,GP550R
RamanShit,Intensity
267.874,278.431
270.934,333.333
273.994,388.235
277.053,388.235
280.113,498.039
283.172,772.549
286.232,1047.06
289.291,1376.47
292.351,1047.06
295.411,992.157
298.47,772.549
301.53,498.039
304.589,443.137
307.649,388.235
310.709,388.235
313.768,388.235
316.828,388.235
319.887,443.137
322.947,498.039
326.006,662.745
329.066,827.451
332.126,662.745
335.185,607.843
338.245,498.039
341.304,278.431
344.364,223.529
347.424,223.529
350.483,223.529
353.543,223.529
356.602,223.529
359.662,223.529
362.721,223.529
365.781,278.431
368.841,333.333
371.9,443.137
374.96,662.745
378.019,882.353
381.079,1101.96
384.138,1650.98
387.198,2035.29
390.258,2749.02
393.317,2035.29
396.377,1760.78
399.436,992.157
402.496,388.235
405.556,168.627
408.615,113.725
411.675,113.725
414.734,113.725
417.794,113.725
420.853,113.725
423.913,113.725
426.973,113.725
430.032,113.725
433.092,113.725
436.151,168.627
439.211,168.627
442.271,223.529
445.33,278.431
448.39,278.431
451.449,388.235
454.509,1156.86
457.568,1211.76
460.628,388.235
463.688,278.431
466.747,113.725
469.807,113.725
472.866,168.627
475.926,223.529
478.986,443.137
482.045,772.549
485.105,882.353
488.164,1101.96
491.224,827.451
494.283,662.745
497.343,333.333
500.403,223.529
503.462,168.627
506.522,168.627
509.581,168.627
512.641,168.627
515.7,168.627
518.76,168.627
521.82,168.627
524.879,168.627
527.939,223.529
530.998,223.529
534.058,223.529
537.118,223.529
540.177,223.529
543.237,278.431
546.296,388.235
549.356,607.843
552.415,827.451
555.475,717.647
558.535,662.745
561.594,607.843
564.654,498.039
567.713,333.333
570.773,278.431
573.833,278.431
576.892,278.431
579.952,278.431
583.011,388.235
586.071,552.941
589.13,662.745
592.19,772.549
595.25,662.745
598.309,552.941
601.369,443.137
604.428,333.333
607.488,278.431
610.548,278.431
613.607,278.431
616.667,278.431
619.726,278.431
622.786,223.529
625.845,168.627
628.905,168.627
631.965,168.627
635.024,168.627
638.084,223.529
641.143,278.431
644.203,333.333
647.262,498.039
650.322,662.745
653.382,662.745
656.441,717.647
659.501,772.549
662.56,772.549
665.62,772.549
668.68,827.451
671.739,882.353
674.799,992.157
677.858,992.157
680.918,1321.57
683.977,2419.61
687.037,4286.27
690.097,10600
693.156,11368.6
696.216,5274.51
699.275,3737.25
702.335,1486.27
705.395,607.843
708.454,333.333
711.514,223.529
714.573,168.627
717.633,113.725
720.692,58.8235
723.752,58.8235
726.812,58.8235
729.871,58.8235
732.931,58.8235
735.99,58.8235
739.05,58.8235
742.11,58.8235
745.169,58.8235
748.229,58.8235
751.288,58.8235
754.348,58.8235
757.407,58.8235
760.467,58.8235
763.527,58.8235
766.586,58.8235
769.646,58.8235
772.705,58.8235
775.765,58.8235
778.824,58.8235
781.884,58.8235
784.944,58.8235
788.003,58.8235
791.063,58.8235
794.122,58.8235
797.182,58.8235
800.242,113.725
803.301,113.725
806.361,113.725
809.42,113.725
812.48,168.627
815.539,223.529
818.599,223.529
821.659,278.431
824.718,388.235
827.778,388.235
830.837,388.235
833.897,333.333
836.957,333.333
840.016,278.431
843.076,223.529
846.135,223.529
849.195,223.529
852.254,223.529
855.314,223.529
858.374,278.431
861.433,278.431
864.493,333.333
867.552,333.333
870.612,388.235
873.671,443.137
876.731,552.941
879.791,552.941
882.85,552.941
885.91,498.039
888.969,388.235
892.029,278.431
895.089,278.431
898.148,278.431
901.208,278.431
904.267,333.333
907.327,443.137
910.386,827.451
913.446,1101.96
916.506,1596.08
919.565,2145.1
922.625,1047.06
925.684,827.451
928.744,552.941
931.804,443.137
934.863,333.333
937.923,278.431
940.982,278.431
944.042,278.431
947.101,278.431
950.161,278.431
953.221,278.431
956.28,223.529
959.34,223.529
962.399,168.627
965.459,168.627
968.519,168.627
971.578,223.529
974.638,388.235
977.697,772.549
980.757,1101.96
983.816,2145.1
986.876,2419.61
989.936,1047.06
992.995,827.451
996.055,443.137
999.114,333.333
1002.17,223.529
1005.23,168.627
1008.29,113.725
1011.35,113.725
1014.41,58.8235
1017.47,58.8235
1020.53,58.8235
1023.59,58.8235
1026.65,58.8235
1029.71,58.8235
1032.77,58.8235
1035.83,58.8235
1038.89,58.8235
1041.95,113.725
1045.01,113.725
1048.07,113.725
1051.13,113.725
1054.19,168.627
1057.25,223.529
1060.31,278.431
1063.37,333.333
1066.43,552.941
1069.48,1211.76
1072.54,1705.88
1075.6,2968.63
1078.66,1705.88
1081.72,1650.98
1084.78,1156.86
1087.84,498.039
1090.9,223.529
1093.96,168.627
1097.02,168.627
1100.08,168.627
1103.14,168.627
1106.2,113.725
1109.26,113.725
1112.32,58.8235
1115.38,58.8235
1118.44,58.8235
1121.5,58.8235
1124.56,113.725
1127.62,168.627
1130.68,278.431
1133.74,333.333
1136.8,443.137
1139.86,607.843
1142.91,772.549
1145.97,937.255
1149.03,1101.96
1152.09,1211.76
1155.15,1321.57
1158.21,1486.27
1161.27,1815.69
1164.33,2145.1
1167.39,2364.71
1170.45,2474.51
1173.51,2309.8
1176.57,2090.2
1179.63,1596.08
1182.69,1101.96
1185.75,717.647
1188.81,552.941
1191.87,443.137
1194.93,388.235
1197.99,388.235
1201.05,388.235
1204.11,388.235
1207.17,443.137
1210.23,498.039
1213.29,552.941
1216.34,607.843
1219.4,717.647
1222.46,717.647
1225.52,772.549
1228.58,772.549
1231.64,717.647
1234.7,662.745
1237.76,552.941
1240.82,443.137
1243.88,388.235
1246.94,278.431
1250,223.529
1253.06,168.627
1256.12,113.725
1259.18,58.8235
1262.24,58.8235
1265.3,58.8235
1268.36,113.725
1271.42,223.529
1274.48,388.235
1277.54,498.039
1280.6,552.941
1283.66,607.843
1286.71,607.843
1289.77,552.941
1292.83,443.137
1295.89,333.333
1298.95,223.529
1302.01,168.627
1305.07,168.627
1308.13,168.627
1311.19,168.627
1314.25,168.627
1317.31,168.627
1320.37,168.627
1323.43,223.529
1326.49,333.333
1329.55,443.137
1332.61,607.843
1335.67,827.451
1338.73,1101.96
1341.79,1376.47
1344.85,1486.27
1347.91,1486.27
1350.97,1486.27
1354.03,1431.37
1357.09,1211.76
1360.14,1047.06
1363.2,882.353
1366.26,772.549
1369.32,662.745
1372.38,498.039
1375.44,443.137
1378.5,443.137
1381.56,333.333
1384.62,333.333
1387.68,278.431
1390.74,278.431
1393.8,278.431
1396.86,278.431
1399.92,333.333
1402.98,333.333
1406.04,388.235
1409.1,443.137
1412.16,443.137
1415.22,443.137
1418.28,388.235
1421.34,333.333
1424.4,278.431
1427.46,168.627
1430.52,58.8235
1433.57,58.8235
1436.63,58.8235
1439.69,58.8235
1442.75,113.725
1445.81,113.725
1448.87,113.725
1451.93,113.725
1454.99,58.8235
1458.05,58.8235
1461.11,58.8235
1464.17,58.8235
1467.23,58.8235
1470.29,58.8235
1473.35,113.725
1476.41,113.725
1479.47,113.725
1482.53,168.627
1485.59,168.627
1488.65,223.529
1491.71,223.529
1494.77,168.627
1497.83,168.627
1500.89,168.627
1503.95,168.627
1507,168.627
1510.06,168.627
1513.12,168.627
1516.18,168.627
1519.24,168.627
1522.3,168.627
1525.36,168.627
1528.42,168.627
1531.48,168.627
1534.54,168.627
1537.6,168.627
1540.66,168.627
1543.72,223.529
1546.78,223.529
1549.84,278.431
1552.9,333.333
1555.96,443.137
1559.02,443.137
1562.08,498.039
1565.14,552.941
1568.2,662.745
1571.26,717.647
1574.32,717.647
1577.38,662.745
1580.43,662.745
1583.49,607.843
1586.55,552.941
1589.61,552.941
1592.67,552.941
1595.73,552.941
1598.79,552.941
1601.85,607.843
1604.91,607.843
1607.97,662.745
1611.03,662.745
1614.09,607.843
1617.15,552.941
1620.21,388.235
1623.27,278.431
1626.33,168.627
1629.39,113.725
1632.45,113.725
1635.51,58.8235
1638.57,58.8235
1641.63,58.8235
1644.69,58.8235
1647.75,58.8235
1650.81,58.8235
1653.86,58.8235
1656.92,58.8235
1659.98,113.725
1663.04,113.725
1666.1,113.725
1669.16,113.725
1672.22,113.725
1675.28,58.8235
1678.34,58.8235
1681.4,58.8235
1684.46,58.8235
1687.52,58.8235
1690.58,113.725
1693.64,113.725
1696.7,113.725
1699.76,113.725
1702.82,113.725
1705.88,113.725
1708.94,113.725
1712,113.725
1715.06,113.725
1718.12,113.725
1721.18,113.725
1724.24,113.725
1727.29,113.725
1730.35,113.725
1733.41,113.725
1736.47,113.725
1739.53,113.725
1742.59,58.8235
1745.65,58.8235
1748.71,58.8235
1751.77,58.8235
1754.83,58.8235
1757.89,58.8235
1760.95,58.8235
1764.01,113.725
1767.07,113.725
1770.13,168.627
1773.19,168.627
1776.25,168.627
1779.31,223.529
1782.37,223.529
1785.43,168.627
1788.49,168.627
1791.55,168.627
1794.61,168.627
1797.67,168.627
1800.72,168.627
1803.78,168.627
1806.84,168.627
1809.9,223.529
1812.96,223.529
1816.02,223.529
1819.08,223.529
1822.14,223.529
1825.2,223.529
1828.26,223.529
1831.32,223.529
1834.38,223.529
1837.44,168.627
1840.5,168.627
1843.56,168.627
1846.62,168.627
1849.68,168.627
1852.74,168.627
1855.8,168.627
1858.86,168.627
1861.92,168.627
1864.98,168.627
1868.04,168.627
1871.1,168.627
1874.15,223.529
1877.21,223.529
1880.27,168.627
1883.33,168.627
1886.39,168.627
1889.45,168.627
1892.51,113.725
1895.57,113.725
1898.63,113.725
1901.69,113.725
1904.75,113.725
1907.81,113.725
1910.87,113.725
1913.93,113.725
1916.99,113.725
1920.05,113.725
1923.11,113.725
1926.17,113.725
1929.23,168.627
1932.29,168.627
1935.35,168.627
1938.41,168.627
1941.47,168.627
1944.52,168.627
1947.58,113.725
1950.64,113.725
1953.7,113.725
1956.76,113.725
1959.82,113.725
1962.88,168.627
1965.94,168.627
1969,113.725
1972.06,113.725
1975.12,113.725
1978.18,113.725
1981.24,113.725
1984.3,113.725
1987.36,113.725
1990.42,113.725
1993.48,113.725
1996.54,113.725
1999.6,113.725
2002.66,113.725
2005.72,113.725
2008.78,113.725
2011.84,113.725
2014.9,113.725
2017.95,113.725
2021.01,113.725
2024.07,113.725
2027.13,113.725
2030.19,113.725
2033.25,113.725
2036.31,113.725
2039.37,113.725
2042.43,113.725
2045.49,113.725
2048.55,168.627
2051.61,168.627
2054.67,223.529
2057.73,223.529
2060.79,223.529
2063.85,168.627
2066.91,113.725
2069.97,113.725
2073.03,113.725
2076.09,113.725
2079.15,113.725
2082.21,168.627
2085.27,168.627
2088.33,168.627
2091.38,168.627
2094.44,168.627
2097.5,113.725
2100.56,113.725
2103.62,113.725
2106.68,113.725
2109.74,113.725
2112.8,113.725
2115.86,168.627
2118.92,168.627
2121.98,168.627
2125.04,168.627
2128.1,168.627
2131.16,168.627
2134.22,168.627
2137.28,168.627
2140.34,168.627
2143.4,168.627
2146.46,168.627
2149.52,113.725
2152.58,113.725
2155.64,113.725
2158.7,58.8235
2161.76,58.8235
2164.81,58.8235
2167.87,58.8235
2170.93,58.8235
2173.99,113.725
2177.05,113.725
2180.11,113.725
2183.17,113.725
2186.23,113.725
2189.29,113.725
2192.35,113.725
2195.41,113.725
2198.47,113.725
2201.53,113.725
2204.59,113.725
2207.65,113.725
2210.71,113.725
2213.77,113.725
2216.83,113.725
2219.89,168.627
2222.95,168.627
2226.01,223.529
2229.07,223.529
2232.13,168.627
2235.19,168.627
2238.24,168.627
2241.3,113.725
2244.36,113.725
2247.42,113.725
2250.48,168.627
2253.54,168.627
2256.6,168.627
2259.66,168.627
2262.72,168.627
2265.78,168.627
2268.84,168.627
2271.9,168.627
2274.96,168.627
2278.02,168.627
2281.08,168.627
2284.14,168.627
2287.2,168.627
2290.26,113.725
2293.32,223.529
2296.38,223.529
