,GP550R
RamanShit,Intensity
258.696,334.646
261.755,334.646
264.815,610.236
267.874,610.236
270.934,885.827
273.994,885.827
277.053,885.827
280.113,885.827
283.172,1437.01
286.232,1988.19
289.291,2814.96
292.351,1988.19
295.411,1712.6
298.47,1161.42
301.53,610.236
304.589,334.646
307.649,334.646
310.709,334.646
313.768,334.646
316.828,334.646
319.887,610.236
322.947,1161.42
326.006,1437.01
329.066,1437.01
332.126,1437.01
335.185,1161.42
338.245,885.827
341.304,610.236
344.364,610.236
347.424,885.827
350.483,1161.42
353.543,1712.6
356.602,2539.37
359.662,3090.55
362.721,2539.37
365.781,2539.37
368.841,2539.37
371.9,2539.37
374.96,2814.96
378.019,3090.55
381.079,3366.14
384.138,4468.5
387.198,5570.87
390.258,7224.41
393.317,5570.87
396.377,4744.09
399.436,2539.37
402.496,1161.42
405.556,610.236
408.615,334.646
411.675,334.646
414.734,610.236
417.794,610.236
420.853,885.827
423.913,885.827
426.973,885.827
430.032,1161.42
433.092,1161.42
436.151,1161.42
439.211,1161.42
442.271,1161.42
445.33,1161.42
448.39,1437.01
451.449,1437.01
454.509,1437.01
457.568,2263.78
460.628,1161.42
463.688,885.827
466.747,610.236
469.807,334.646
472.866,334.646
475.926,334.646
478.986,610.236
482.045,885.827
485.105,1437.01
488.164,1437.01
491.224,1437.01
494.283,1161.42
497.343,885.827
500.403,334.646
503.462,334.646
506.522,334.646
509.581,334.646
512.641,334.646
515.7,334.646
518.76,334.646
521.82,334.646
524.879,334.646
527.939,334.646
530.998,334.646
534.058,334.646
537.118,334.646
540.177,334.646
543.237,334.646
546.296,610.236
549.356,885.827
552.415,1161.42
555.475,1161.42
558.535,885.827
561.594,885.827
564.654,610.236
567.713,334.646
570.773,334.646
573.833,334.646
576.892,334.646
579.952,610.236
583.011,885.827
586.071,1712.6
589.13,2263.78
592.19,2539.37
595.25,2263.78
598.309,1988.19
601.369,1712.6
604.428,1161.42
607.488,610.236
610.548,334.646
613.607,334.646
616.667,334.646
619.726,334.646
622.786,334.646
625.845,334.646
628.905,334.646
631.965,334.646
635.024,334.646
638.084,334.646
641.143,610.236
644.203,885.827
647.262,1161.42
650.322,1988.19
653.382,2539.37
656.441,2539.37
659.501,2814.96
662.56,3366.14
665.62,3917.32
668.68,4192.91
671.739,4468.5
674.799,4744.09
677.858,4744.09
680.918,6122.05
683.977,11082.7
687.037,19626
690.097,47736.2
693.156,51318.9
696.216,23759.8
699.275,16870.1
702.335,6948.82
705.395,3090.55
708.454,1988.19
711.514,1437.01
714.573,885.827
717.633,610.236
720.692,610.236
723.752,334.646
726.812,334.646
729.871,334.646
732.931,334.646
735.99,334.646
739.05,59.0551
742.11,59.0551
745.169,59.0551
748.229,59.0551
751.288,334.646
754.348,334.646
757.407,334.646
760.467,334.646
763.527,610.236
766.586,334.646
769.646,334.646
772.705,334.646
775.765,334.646
778.824,334.646
781.884,334.646
784.944,334.646
788.003,334.646
791.063,334.646
794.122,334.646
797.182,334.646
800.242,334.646
803.301,334.646
806.361,334.646
809.42,334.646
812.48,334.646
815.539,334.646
818.599,610.236
821.659,610.236
824.718,885.827
827.778,885.827
830.837,885.827
833.897,610.236
836.957,334.646
840.016,334.646
843.076,334.646
846.135,334.646
849.195,334.646
852.254,334.646
855.314,610.236
858.374,885.827
861.433,1161.42
864.493,1161.42
867.552,1161.42
870.612,1437.01
873.671,1437.01
876.731,1437.01
879.791,1437.01
882.85,1437.01
885.91,1161.42
888.969,885.827
892.029,610.236
895.089,334.646
898.148,334.646
901.208,334.646
904.267,610.236
907.327,1161.42
910.386,2539.37
913.446,3366.14
916.506,5019.69
919.565,3366.14
922.625,3090.55
925.684,2539.37
928.744,1712.6
931.804,1161.42
934.863,1161.42
937.923,885.827
940.982,885.827
944.042,610.236
947.101,610.236
950.161,610.236
953.221,610.236
956.28,610.236
959.34,610.236
962.399,610.236
965.459,610.236
968.519,610.236
971.578,885.827
974.638,1437.01
977.697,2814.96
980.757,3641.73
983.816,5570.87
986.876,3641.73
989.936,3366.14
992.995,2539.37
996.055,1712.6
999.114,1161.42
1002.17,885.827
1005.23,885.827
1008.29,610.236
1011.35,610.236
1014.41,334.646
1017.47,334.646
1020.53,334.646
1023.59,334.646
1026.65,334.646
1029.71,334.646
1032.77,334.646
1035.83,334.646
1038.89,334.646
1041.95,334.646
1045.01,334.646
1048.07,334.646
1051.13,334.646
1054.19,334.646
1057.25,610.236
1060.31,610.236
1063.37,885.827
1066.43,1712.6
1069.48,3641.73
1072.54,5570.87
1075.6,11358.3
1078.66,9704.72
1081.72,5846.46
1084.78,4744.09
1087.84,2539.37
1090.9,1437.01
1093.96,885.827
1097.02,610.236
1100.08,334.646
1103.14,334.646
1106.2,334.646
1109.26,334.646
1112.32,334.646
1115.38,59.0551
1118.44,59.0551
1121.5,59.0551
1124.56,334.646
1127.62,334.646
1130.68,334.646
1133.74,334.646
1136.8,334.646
1139.86,334.646
1142.91,334.646
1145.97,610.236
1149.03,610.236
1152.09,885.827
1155.15,1161.42
1158.21,1712.6
1161.27,1988.19
1164.33,3090.55
1167.39,3917.32
1170.45,4468.5
1173.51,5019.69
1176.57,3641.73
1179.63,2539.37
1182.69,1437.01
1185.75,1161.42
1188.81,885.827
1191.87,610.236
1194.93,610.236
1197.99,610.236
1201.05,610.236
1204.11,610.236
1207.17,610.236
1210.23,334.646
1213.29,334.646
1216.34,334.646
1219.4,334.646
1222.46,334.646
1225.52,334.646
1228.58,334.646
1231.64,59.0551
1234.7,59.0551
1237.76,59.0551
1240.82,59.0551
1243.88,59.0551
1246.94,59.0551
1250,334.646
1253.06,334.646
1256.12,334.646
1259.18,334.646
1262.24,334.646
1265.3,334.646
1268.36,334.646
1271.42,59.0551
1274.48,59.0551
1277.54,59.0551
1280.6,59.0551
1283.66,59.0551
1286.71,59.0551
1289.77,59.0551
1292.83,59.0551
1295.89,59.0551
1298.95,334.646
1302.01,334.646
1305.07,334.646
1308.13,334.646
1311.19,334.646
1314.25,334.646
1317.31,334.646
1320.37,334.646
1323.43,334.646
1326.49,334.646
1329.55,334.646
1332.61,334.646
1335.67,334.646
1338.73,334.646
1341.79,334.646
1344.85,334.646
1347.91,334.646
1350.97,334.646
1354.03,334.646
1357.09,334.646
1360.14,334.646
1363.2,334.646
1366.26,334.646
1369.32,334.646
1372.38,334.646
1375.44,334.646
1378.5,334.646
1381.56,334.646
1384.62,334.646
1387.68,334.646
1390.74,334.646
1393.8,334.646
1396.86,334.646
1399.92,334.646
1402.98,334.646
1406.04,334.646
1409.1,334.646
1412.16,334.646
1415.22,334.646
1418.28,334.646
1421.34,334.646
1424.4,334.646
1427.46,334.646
1430.52,334.646
1433.57,334.646
1436.63,334.646
1439.69,334.646
1442.75,334.646
1445.81,334.646
1448.87,334.646
1451.93,334.646
1454.99,334.646
1458.05,334.646
1461.11,334.646
1464.17,334.646
1467.23,334.646
1470.29,334.646
1473.35,334.646
1476.41,334.646
1479.47,334.646
1482.53,334.646
1485.59,334.646
1488.65,334.646
1491.71,334.646
1494.77,334.646
1497.83,334.646
1500.89,334.646
