,GP550R
RamanShit,Intensity
258.696,355.731
261.755,355.731
264.815,197.628
267.874,197.628
270.934,39.5257
273.994,39.5257
277.053,39.5257
280.113,39.5257
283.172,39.5257
286.232,197.628
289.291,355.731
292.351,513.834
295.411,671.937
298.47,988.142
301.53,1778.66
304.589,2411.07
307.649,3201.58
310.709,2411.07
313.768,2252.96
316.828,1936.76
319.887,1778.66
322.947,1620.55
326.006,1304.35
329.066,988.142
332.126,1304.35
335.185,1620.55
338.245,3043.48
341.304,7312.25
344.364,11106.7
347.424,17114.6
350.483,13636.4
353.543,15691.7
356.602,15849.8
359.662,16007.9
362.721,16482.2
365.781,25336
368.841,26917
371.9,16798.4
374.96,13952.6
378.019,9367.59
381.079,6363.64
384.138,4150.2
387.198,2411.07
390.258,1146.25
393.317,671.937
396.377,513.834
399.436,197.628
402.496,197.628
405.556,197.628
408.615,197.628
411.675,197.628
414.734,197.628
417.794,39.5257
420.853,39.5257
423.913,39.5257
426.973,39.5257
430.032,39.5257
433.092,39.5257
436.151,39.5257
439.211,197.628
442.271,355.731
445.33,513.834
448.39,671.937
451.449,671.937
454.509,513.834
457.568,513.834
460.628,197.628
463.688,39.5257
466.747,39.5257
469.807,39.5257
472.866,39.5257
475.926,197.628
478.986,355.731
482.045,830.04
485.105,1778.66
488.164,2252.96
491.224,2569.17
494.283,2252.96
497.343,2252.96
500.403,1778.66
503.462,2252.96
506.522,3201.58
509.581,4782.61
512.641,8577.08
515.7,9051.38
518.76,5098.81
521.82,3675.89
524.879,1778.66
527.939,1146.25
530.998,830.04
534.058,671.937
537.118,671.937
540.177,671.937
543.237,671.937
546.296,671.937
549.356,830.04
552.415,830.04
555.475,671.937
558.535,513.834
561.594,355.731
564.654,355.731
567.713,355.731
570.773,355.731
573.833,355.731
576.892,355.731
579.952,197.628
583.011,197.628
586.071,39.5257
589.13,39.5257
592.19,39.5257
595.25,39.5257
598.309,197.628
601.369,197.628
604.428,197.628
607.488,197.628
610.548,197.628
613.607,197.628
616.667,197.628
619.726,355.731
622.786,355.731
625.845,355.731
628.905,355.731
631.965,355.731
635.024,355.731
638.084,355.731
641.143,355.731
644.203,197.628
647.262,197.628
650.322,197.628
653.382,197.628
656.441,197.628
659.501,197.628
662.56,197.628
665.62,197.628
668.68,355.731
671.739,513.834
674.799,671.937
677.858,830.04
680.918,988.142
683.977,988.142
687.037,988.142
690.097,988.142
693.156,988.142
696.216,988.142
699.275,830.04
702.335,830.04
705.395,671.937
708.454,513.834
711.514,355.731
714.573,355.731
717.633,197.628
720.692,197.628
723.752,197.628
726.812,39.5257
729.871,39.5257
732.931,39.5257
735.99,39.5257
739.05,39.5257
742.11,39.5257
745.169,39.5257
748.229,39.5257
751.288,39.5257
754.348,39.5257
757.407,39.5257
760.467,39.5257
763.527,39.5257
766.586,39.5257
769.646,39.5257
772.705,39.5257
775.765,39.5257
778.824,39.5257
781.884,39.5257
784.944,39.5257
788.003,39.5257
791.063,39.5257
794.122,197.628
797.182,355.731
800.242,671.937
803.301,1146.25
806.361,1936.76
809.42,3359.68
812.48,4308.3
815.539,6205.53
818.599,4308.3
821.659,4150.2
824.718,3675.89
827.778,2727.27
830.837,3359.68
833.897,3517.79
836.957,4308.3
840.016,6521.74
843.076,6679.84
846.135,4782.61
849.195,4150.2
852.254,3201.58
855.314,2885.38
858.374,3201.58
861.433,3675.89
864.493,5415.02
867.552,9367.59
870.612,12055.3
873.671,23596.8
876.731,26284.6
879.791,11739.1
882.85,8260.87
885.91,3675.89
888.969,1620.55
892.029,830.04
895.089,513.834
898.148,355.731
901.208,197.628
904.267,39.5257
907.327,39.5257
910.386,39.5257
913.446,39.5257
916.506,39.5257
919.565,39.5257
922.625,39.5257
925.684,39.5257
928.744,39.5257
931.804,39.5257
934.863,39.5257
937.923,39.5257
940.982,39.5257
944.042,39.5257
947.101,39.5257
950.161,39.5257
953.221,39.5257
956.28,39.5257
959.34,39.5257
962.399,39.5257
965.459,39.5257
968.519,39.5257
971.578,197.628
974.638,197.628
977.697,197.628
980.757,197.628
983.816,197.628
986.876,355.731
989.936,513.834
992.995,671.937
996.055,830.04
999.114,671.937
1002.17,513.834
1005.23,355.731
1008.29,197.628
1011.35,197.628
1014.41,39.5257
1017.47,39.5257
1020.53,39.5257
1023.59,39.5257
1026.65,39.5257
1029.71,39.5257
1032.77,39.5257
1035.83,39.5257
1038.89,197.628
1041.95,197.628
1045.01,355.731
1048.07,355.731
1051.13,197.628
1054.19,197.628
1057.25,197.628
1060.31,39.5257
1063.37,39.5257
1066.43,39.5257
1069.48,39.5257
1072.54,39.5257
1075.6,197.628
1078.66,197.628
1081.72,197.628
1084.78,197.628
1087.84,197.628
1090.9,197.628
1093.96,197.628
1097.02,197.628
1100.08,197.628
1103.14,197.628
1106.2,197.628
1109.26,197.628
1112.32,197.628
1115.38,197.628
1118.44,197.628
1121.5,197.628
1124.56,39.5257
1127.62,39.5257
1130.68,39.5257
1133.74,39.5257
1136.8,39.5257
1139.86,39.5257
1142.91,39.5257
1145.97,39.5257
1149.03,39.5257
1152.09,39.5257
1155.15,39.5257
1158.21,39.5257
1161.27,39.5257
1164.33,39.5257
1167.39,39.5257
1170.45,39.5257
1173.51,39.5257
1176.57,39.5257
1179.63,39.5257
1182.69,197.628
1185.75,197.628
1188.81,197.628
1191.87,39.5257
1194.93,39.5257
1197.99,39.5257
1201.05,39.5257
1204.11,39.5257
1207.17,39.5257
1210.23,39.5257
1213.29,197.628
1216.34,197.628
1219.4,197.628
1222.46,197.628
1225.52,39.5257
1228.58,39.5257
1231.64,39.5257
1234.7,39.5257
1237.76,39.5257
1240.82,39.5257
1243.88,39.5257
1246.94,39.5257
1250,39.5257
1253.06,39.5257
1256.12,39.5257
1259.18,39.5257
1262.24,39.5257
1265.3,39.5257
1268.36,39.5257
1271.42,39.5257
1274.48,39.5257
1277.54,39.5257
1280.6,39.5257
1283.66,39.5257
1286.71,39.5257
1289.77,39.5257
1292.83,39.5257
1295.89,39.5257
1298.95,39.5257
1302.01,39.5257
1305.07,197.628
1308.13,197.628
1311.19,197.628
1314.25,197.628
1317.31,197.628
1320.37,197.628
1323.43,197.628
1326.49,39.5257
1329.55,39.5257
1332.61,39.5257
1335.67,197.628
1338.73,197.628
1341.79,197.628
1344.85,197.628
1347.91,197.628
1350.97,197.628
1354.03,197.628
1357.09,197.628
1360.14,197.628
1363.2,197.628
1366.26,197.628
1369.32,197.628
1372.38,197.628
1375.44,197.628
1378.5,197.628
1381.56,39.5257
1384.62,39.5257
1387.68,39.5257
1390.74,39.5257
1393.8,39.5257
1396.86,197.628
1399.92,197.628
1402.98,197.628
1406.04,197.628
1409.1,39.5257
1412.16,39.5257
1415.22,39.5257
1418.28,39.5257
1421.34,39.5257
1424.4,39.5257
1427.46,39.5257
1430.52,39.5257
1433.57,39.5257
1436.63,39.5257
1439.69,39.5257
1442.75,39.5257
1445.81,39.5257
1448.87,39.5257
1451.93,39.5257
1454.99,39.5257
1458.05,39.5257
1461.11,39.5257
1464.17,39.5257
1467.23,39.5257
1470.29,39.5257
1473.35,39.5257
1476.41,39.5257
1479.47,39.5257
1482.53,39.5257
1485.59,39.5257
1488.65,39.5257
1491.71,39.5257
1494.77,39.5257
1497.83,39.5257
1500.89,39.5257
1503.95,39.5257
1507,39.5257
1510.06,39.5257
1513.12,39.5257
1516.18,39.5257
1519.24,39.5257
1522.3,39.5257
1525.36,39.5257
1528.42,39.5257
1531.48,39.5257
1534.54,197.628
1537.6,197.628
1540.66,197.628
1543.72,197.628
1546.78,197.628
1549.84,197.628
1552.9,197.628
1555.96,197.628
1559.02,197.628
1562.08,197.628
1565.14,197.628
1568.2,197.628
1571.26,197.628
1574.32,197.628
1577.38,197.628
1580.43,197.628
1583.49,197.628
1586.55,197.628
1589.61,197.628
1592.67,197.628
1595.73,197.628
1598.79,197.628
1601.85,197.628
1604.91,197.628
1607.97,197.628
1611.03,197.628
1614.09,197.628
1617.15,197.628
1620.21,197.628
1623.27,197.628
1626.33,197.628
1629.39,197.628
1632.45,197.628
1635.51,197.628
1638.57,197.628
1641.63,197.628
1644.69,39.5257
1647.75,39.5257
1650.81,39.5257
1653.86,39.5257
1656.92,39.5257
1659.98,39.5257
1663.04,39.5257
1666.1,39.5257
1669.16,39.5257
1672.22,39.5257
1675.28,39.5257
1678.34,39.5257
1681.4,39.5257
1684.46,39.5257
1687.52,39.5257
1690.58,39.5257
1693.64,39.5257
1696.7,39.5257
1699.76,39.5257
1702.82,39.5257
1705.88,39.5257
1708.94,39.5257
1712,39.5257
1715.06,197.628
1718.12,197.628
1721.18,39.5257
1724.24,39.5257
1727.29,39.5257
1730.35,39.5257
1733.41,39.5257
1736.47,39.5257
1739.53,39.5257
1742.59,39.5257
1745.65,39.5257
1748.71,39.5257
1751.77,39.5257
1754.83,39.5257
1757.89,39.5257
1760.95,39.5257
1764.01,39.5257
1767.07,39.5257
1770.13,39.5257
