,GP550R
RamanShit,Intensity
257.006,274.368
260.191,274.368
263.376,274.368
266.561,274.368
269.745,375.451
272.93,476.534
276.115,476.534
279.299,476.534
282.484,577.617
285.669,577.617
288.854,577.617
292.038,577.617
295.223,577.617
298.408,577.617
301.592,577.617
304.777,577.617
307.962,577.617
311.146,476.534
314.331,476.534
317.516,476.534
320.701,476.534
323.885,476.534
327.07,476.534
330.255,476.534
333.439,476.534
336.624,476.534
339.809,476.534
342.994,476.534
346.178,476.534
349.363,476.534
352.548,476.534
355.732,274.368
358.917,274.368
362.102,274.368
365.287,274.368
368.471,274.368
371.656,274.368
374.841,173.285
378.025,173.285
381.21,173.285
384.395,173.285
387.58,173.285
390.764,173.285
393.949,173.285
397.134,173.285
400.318,173.285
403.503,173.285
406.688,173.285
409.873,173.285
413.057,173.285
416.242,173.285
419.427,173.285
422.611,173.285
425.796,173.285
428.981,173.285
432.166,173.285
435.35,173.285
438.535,173.285
441.72,173.285
444.904,173.285
448.089,173.285
451.274,173.285
454.459,173.285
457.643,173.285
460.828,173.285
464.013,173.285
467.197,173.285
470.382,173.285
473.567,173.285
476.752,173.285
479.936,173.285
483.121,173.285
486.306,173.285
489.49,173.285
492.675,173.285
495.86,173.285
499.045,173.285
502.229,173.285
505.414,173.285
508.599,173.285
511.783,274.368
514.968,274.368
518.153,274.368
521.338,274.368
524.522,274.368
527.707,274.368
530.892,274.368
534.076,173.285
537.261,173.285
540.446,173.285
543.631,173.285
546.815,173.285
550,173.285
553.185,173.285
556.369,173.285
559.554,274.368
562.739,274.368
565.924,274.368
569.108,274.368
572.293,274.368
575.478,274.368
578.662,274.368
581.847,274.368
585.032,274.368
588.217,274.368
591.401,274.368
594.586,274.368
597.771,274.368
600.955,274.368
604.14,274.368
607.325,274.368
610.51,274.368
613.694,274.368
616.879,274.368
620.064,274.368
623.248,274.368
626.433,274.368
629.618,274.368
632.803,274.368
635.987,274.368
639.172,274.368
642.357,274.368
645.541,274.368
648.726,274.368
651.911,274.368
655.096,274.368
658.28,274.368
661.465,274.368
664.65,274.368
667.834,274.368
671.019,274.368
674.204,274.368
677.389,274.368
680.573,274.368
683.758,274.368
686.943,274.368
690.127,274.368
693.312,274.368
696.497,274.368
699.682,274.368
702.866,274.368
706.051,274.368
709.236,274.368
712.42,274.368
715.605,274.368
718.79,274.368
721.975,274.368
725.159,274.368
728.344,274.368
731.529,274.368
734.713,274.368
737.898,274.368
741.083,274.368
744.268,274.368
747.452,274.368
750.637,274.368
753.822,274.368
757.006,274.368
760.191,173.285
763.376,173.285
766.561,173.285
769.745,173.285
772.93,173.285
776.115,173.285
779.299,173.285
782.484,173.285
785.669,173.285
788.854,173.285
792.038,173.285
795.223,173.285
798.408,173.285
801.592,173.285
804.777,173.285
807.962,274.368
811.146,274.368
814.331,274.368
817.516,274.368
820.701,274.368
823.885,274.368
827.07,274.368
830.255,274.368
833.439,274.368
836.624,274.368
839.809,274.368
842.994,274.368
846.178,274.368
849.363,274.368
852.548,274.368
855.732,274.368
858.917,274.368
862.102,274.368
865.287,274.368
868.471,274.368
871.656,274.368
874.841,274.368
878.025,274.368
881.21,274.368
884.395,274.368
887.58,274.368
890.764,274.368
893.949,274.368
897.134,274.368
900.318,274.368
903.503,274.368
906.688,274.368
909.873,274.368
913.057,274.368
916.242,274.368
919.427,274.368
922.611,274.368
925.796,274.368
928.981,274.368
932.166,274.368
935.35,274.368
938.535,274.368
941.72,274.368
944.904,274.368
948.089,274.368
951.274,274.368
954.459,274.368
957.643,274.368
960.828,274.368
964.013,274.368
967.197,274.368
970.382,274.368
973.567,274.368
976.752,274.368
979.936,274.368
983.121,274.368
986.306,274.368
989.49,274.368
992.675,274.368
995.86,274.368
999.045,274.368
1002.23,274.368
1005.41,274.368
1008.6,274.368
1011.78,274.368
1014.97,274.368
1018.15,274.368
1021.34,274.368
1024.52,274.368
1027.71,274.368
1030.89,274.368
1034.08,274.368
1037.26,173.285
1040.45,173.285
1043.63,173.285
1046.82,173.285
1050,173.285
1053.18,173.285
1056.37,173.285
1059.55,173.285
1062.74,173.285
1065.92,173.285
1069.11,173.285
1072.29,274.368
1075.48,173.285
1078.66,173.285
1081.85,173.285
1085.03,173.285
1088.22,173.285
1091.4,173.285
1094.59,173.285
1097.77,274.368
1100.96,274.368
1104.14,274.368
1107.32,274.368
1110.51,274.368
1113.69,274.368
1116.88,274.368
1120.06,173.285
1123.25,173.285
1126.43,173.285
1129.62,173.285
1132.8,173.285
1135.99,173.285
1139.17,173.285
1142.36,173.285
1145.54,173.285
1148.73,274.368
1151.91,274.368
1155.1,274.368
1158.28,274.368
1161.46,274.368
1164.65,274.368
1167.83,274.368
1171.02,274.368
1174.2,274.368
1177.39,274.368
1180.57,274.368
1183.76,274.368
1186.94,375.451
1190.13,476.534
1193.31,476.534
1196.5,476.534
1199.68,476.534
1202.87,476.534
1206.05,476.534
1209.24,577.617
1212.42,577.617
1215.61,678.7
1218.79,678.7
1221.97,779.783
1225.16,779.783
1228.34,779.783
1231.53,880.866
1234.71,880.866
1237.9,880.866
1241.08,880.866
1244.27,880.866
1247.45,981.949
1250.64,981.949
1253.82,981.949
1257.01,981.949
1260.19,981.949
1263.38,1083.03
1266.56,1184.12
1269.75,1184.12
1272.93,1184.12
1276.11,1184.12
1279.3,1184.12
1282.48,1184.12
1285.67,1184.12
1288.85,1184.12
1292.04,1184.12
1295.22,1083.03
1298.41,981.949
1301.59,981.949
1304.78,981.949
1307.96,981.949
1311.15,981.949
1314.33,1083.03
1317.52,1285.2
1320.7,1689.53
1323.89,3407.94
1327.07,5025.27
1330.25,20693.1
1333.44,24938.6
1336.62,4823.1
1339.81,3913.36
1342.99,2397.11
1346.18,1386.28
1349.36,779.783
1352.55,577.617
1355.73,476.534
1358.92,476.534
1362.1,476.534
1365.29,476.534
1368.47,476.534
1371.66,476.534
1374.84,274.368
1378.03,274.368
1381.21,274.368
1384.39,274.368
1387.58,274.368
1390.76,274.368
1393.95,274.368
1397.13,274.368
1400.32,274.368
1403.5,274.368
1406.69,274.368
1409.87,274.368
1413.06,274.368
1416.24,274.368
1419.43,274.368
1422.61,274.368
1425.8,173.285
1428.98,173.285
1432.17,173.285
1435.35,173.285
1438.54,173.285
1441.72,173.285
1444.9,173.285
1448.09,173.285
1451.27,173.285
1454.46,173.285
1457.64,173.285
1460.83,173.285
1464.01,274.368
1467.2,274.368
1470.38,274.368
1473.57,173.285
1476.75,173.285
1479.94,173.285
1483.12,173.285
1486.31,173.285
1489.49,173.285
1492.68,173.285
1495.86,274.368
1499.04,274.368
1502.23,274.368
1505.41,274.368
1508.6,274.368
1511.78,274.368
1514.97,274.368
1518.15,375.451
1521.34,476.534
1524.52,476.534
1527.71,476.534
1530.89,476.534
1534.08,476.534
1537.26,476.534
1540.45,476.534
1543.63,577.617
1546.82,577.617
1550,577.617
1553.18,577.617
1556.37,577.617
1559.55,678.7
1562.74,678.7
1565.92,779.783
1569.11,779.783
1572.29,779.783
1575.48,779.783
1578.66,779.783
1581.85,779.783
1585.03,779.783
1588.22,678.7
1591.4,678.7
1594.59,577.617
1597.77,577.617
1600.96,577.617
1604.14,577.617
1607.32,577.617
1610.51,476.534
1613.69,476.534
1616.88,476.534
1620.06,274.368
1623.25,274.368
1626.43,274.368
1629.62,274.368
1632.8,274.368
1635.99,274.368
1639.17,274.368
1642.36,274.368
1645.54,274.368
1648.73,274.368
1651.91,274.368
1655.1,274.368
1658.28,274.368
1661.46,274.368
1664.65,274.368
1667.83,274.368
1671.02,274.368
1674.2,274.368
1677.39,274.368
1680.57,274.368
1683.76,173.285
1686.94,173.285
1690.13,173.285
1693.31,173.285
1696.5,173.285
1699.68,173.285
1702.87,173.285
1706.05,173.285
1709.24,274.368
1712.42,274.368
1715.61,274.368
1718.79,274.368
1721.97,274.368
1725.16,274.368
1728.34,274.368
1731.53,274.368
1734.71,274.368
1737.9,274.368
1741.08,274.368
1744.27,274.368
1747.45,274.368
1750.64,274.368
1753.82,274.368
1757.01,274.368
1760.19,274.368
1763.38,274.368
1766.56,274.368
1769.75,274.368
1772.93,274.368
1776.11,274.368
1779.3,274.368
1782.48,274.368
1785.67,274.368
1788.85,274.368
1792.04,274.368
1795.22,274.368
1798.41,274.368
1801.59,274.368
1804.78,274.368
1807.96,274.368
1811.15,274.368
1814.33,274.368
1817.52,274.368
1820.7,274.368
1823.89,274.368
1827.07,274.368
1830.25,274.368
1833.44,274.368
1836.62,274.368
1839.81,274.368
1842.99,274.368
1846.18,274.368
1849.36,274.368
1852.55,274.368
1855.73,274.368
1858.92,274.368
1862.1,274.368
1865.29,274.368
1868.47,274.368
1871.66,274.368
1874.84,274.368
1878.03,274.368
1881.21,274.368
1884.39,274.368
1887.58,274.368
1890.76,274.368
1893.95,274.368
1897.13,274.368
1900.32,274.368
1903.5,274.368
1906.69,274.368
1909.87,274.368
1913.06,274.368
1916.24,274.368
1919.43,274.368
1922.61,274.368
1925.8,274.368
1928.98,274.368
1932.17,274.368
1935.35,274.368
1938.54,274.368
1941.72,274.368
1944.9,274.368
1948.09,274.368
1951.27,274.368
1954.46,274.368
1957.64,274.368
1960.83,274.368
1964.01,274.368
1967.2,274.368
1970.38,274.368
1973.57,274.368
1976.75,274.368
1979.94,274.368
1983.12,274.368
1986.31,274.368
1989.49,274.368
1992.68,274.368
1995.86,274.368
1999.04,274.368
2002.23,274.368
2005.41,274.368
2008.6,274.368
