,GP550R
RamanShit,Intensity
257.655,5293.16
261.337,5456.03
265.019,5618.89
268.702,5618.89
272.384,5781.76
276.066,5781.76
279.748,5944.63
283.43,6107.49
287.112,6270.36
290.795,6433.22
294.477,6758.96
298.159,6921.82
301.841,7247.56
305.523,7899.02
309.205,8550.49
312.888,8876.22
316.57,9853.42
320.252,10667.8
323.934,10667.8
327.616,10830.6
331.298,10830.6
334.981,10667.8
338.663,10504.9
342.345,10342
346.027,9853.42
349.709,9364.82
353.391,9201.95
357.074,9201.95
360.756,8876.22
364.438,8713.36
368.12,8713.36
371.802,8713.36
375.484,8713.36
379.167,8713.36
382.849,8713.36
386.531,8713.36
390.213,8713.36
393.895,8876.22
397.578,9039.09
401.26,9039.09
404.942,9201.95
408.624,9364.82
412.306,9690.55
415.988,9690.55
419.671,9853.42
423.353,10179.2
427.035,10667.8
430.717,10993.5
434.399,10993.5
438.081,10993.5
441.764,10993.5
445.446,10993.5
449.128,10993.5
452.81,10993.5
456.492,10993.5
460.174,10993.5
463.857,10993.5
467.539,11156.4
471.221,11156.4
474.903,11156.4
478.585,11156.4
482.267,11319.2
485.95,11482.1
489.632,11645
493.314,11645
496.996,11807.8
500.678,11807.8
504.36,11970.7
508.043,12133.6
511.725,12296.4
515.407,12296.4
519.089,12459.3
522.771,12622.1
526.453,12785
530.136,12947.9
533.818,13110.7
537.5,13110.7
541.182,13436.5
544.864,13599.3
548.547,13762.2
552.229,13762.2
555.911,13762.2
559.593,14087.9
563.275,14250.8
566.957,14413.7
570.64,14576.5
574.322,14739.4
578.004,14902.3
581.686,14902.3
585.368,15065.1
589.05,15228
592.733,15553.7
596.415,15716.6
600.097,15716.6
603.779,16042.3
607.461,16205.2
611.143,16368.1
614.826,16368.1
618.508,16530.9
622.19,16856.7
625.872,17019.5
629.554,17019.5
633.236,17182.4
636.919,17345.3
640.601,17671
644.283,17671
647.965,17833.9
651.647,18159.6
655.329,18322.5
659.012,18485.3
662.694,18648.2
666.376,18973.9
670.058,19136.8
673.74,19299.7
677.422,19462.5
681.105,19788.3
684.787,19951.1
688.469,19951.1
692.151,20276.9
695.833,20439.7
699.516,20765.5
703.198,20928.3
706.88,21091.2
710.562,21254.1
714.244,21579.8
717.926,21579.8
721.609,21742.7
725.291,22068.4
728.973,22394.1
732.655,22394.1
736.337,22557
740.019,22882.7
743.702,23045.6
747.384,23208.5
751.066,23371.3
754.748,23534.2
758.43,23697.1
762.112,23859.9
765.795,24022.8
769.477,24185.7
773.159,24348.5
776.841,24511.4
780.523,24674.3
784.205,24837.1
787.888,25162.9
791.57,25488.6
795.252,25488.6
798.934,25651.5
802.616,25977.2
806.298,26302.9
809.981,26302.9
813.663,26465.8
817.345,26791.5
821.027,26954.4
824.709,27117.3
828.391,27280.1
832.074,27605.9
835.756,27605.9
839.438,27768.7
843.12,27931.6
846.802,28094.5
850.484,28257.3
854.167,28257.3
857.849,28257.3
861.531,28257.3
865.213,28257.3
868.895,28257.3
872.578,28257.3
876.26,28257.3
879.942,28257.3
883.624,28257.3
887.306,28257.3
890.988,28257.3
894.671,28257.3
898.353,28257.3
902.035,28257.3
905.717,28257.3
909.399,28257.3
913.081,28257.3
916.764,28257.3
920.446,28257.3
924.128,28257.3
927.81,28257.3
931.492,28257.3
935.174,28257.3
938.857,28257.3
942.539,28420.2
946.221,28420.2
949.903,28420.2
953.585,28420.2
957.267,28583.1
960.95,28583.1
964.632,28583.1
968.314,28583.1
971.996,28583.1
975.678,28583.1
979.36,28420.2
983.043,28420.2
986.725,28583.1
990.407,28583.1
994.089,28583.1
997.771,28583.1
1001.45,28583.1
1005.14,28583.1
1008.82,28583.1
1012.5,28745.9
1016.18,28745.9
1019.86,28745.9
1023.55,28908.8
1027.23,28908.8
1030.91,28908.8
1034.59,28908.8
1038.28,28908.8
1041.96,28908.8
1045.64,29071.7
1049.32,29071.7
1053,29071.7
1056.69,29071.7
1060.37,29071.7
1064.05,29071.7
1067.73,29071.7
1071.41,29071.7
1075.1,29071.7
1078.78,29071.7
1082.46,29071.7
1086.14,29071.7
1089.83,29071.7
1093.51,28908.8
1097.19,28908.8
