,GP550R
RamanShit,Intensity
254.062,14811.9
257.737,15125.4
261.412,15125.4
265.087,15282.1
268.762,15438.9
272.437,15438.9
276.112,15595.6
279.787,15752.4
283.462,15752.4
287.137,15909.1
290.812,16065.8
294.487,16222.6
298.162,16379.3
301.838,16536.1
305.513,16536.1
309.188,16692.8
312.863,16849.5
316.538,16849.5
320.213,17006.3
323.888,17006.3
327.563,17006.3
331.238,17006.3
334.913,17163
338.588,17319.7
342.263,17476.5
345.938,17476.5
349.613,17633.2
353.288,17790
356.963,17946.7
360.638,18103.4
364.313,18260.2
367.988,18260.2
371.663,18416.9
375.338,18416.9
379.014,18573.7
382.689,18573.7
386.364,18730.4
390.039,18887.1
393.714,19043.9
397.389,19043.9
401.064,19200.6
404.739,19357.4
408.414,19514.1
412.089,19670.8
415.764,19670.8
419.439,19827.6
423.114,19984.3
426.789,19984.3
430.464,19984.3
434.139,20141.1
437.814,20297.8
441.489,20454.5
445.164,20454.5
448.839,20611.3
452.515,20768
456.19,20924.8
459.865,21081.5
463.54,21238.2
467.215,21395
470.89,21551.7
474.565,21708.5
478.24,21865.2
481.915,22021.9
485.59,22178.7
489.265,22335.4
492.94,22335.4
496.615,22492.2
500.29,22648.9
503.965,22648.9
507.64,22805.6
511.315,22962.4
514.99,23119.1
518.665,23275.9
522.34,23432.6
526.015,23589.3
529.691,23746.1
533.366,23902.8
537.041,23902.8
540.716,24216.3
544.391,24373
548.066,24529.8
551.741,24529.8
555.416,24843.3
559.091,24843.3
562.766,24843.3
566.441,25000
570.116,25000
573.791,25156.7
577.466,25313.5
581.141,25470.2
584.816,25627
588.491,25783.7
592.166,25940.4
595.841,26253.9
599.516,26410.7
603.191,26410.7
606.867,26724.1
610.542,27037.6
614.217,27037.6
617.892,27194.4
621.567,27351.1
625.242,27507.8
628.917,27507.8
632.592,27664.6
636.267,27664.6
639.942,27821.3
643.617,27821.3
647.292,27821.3
650.967,27978.1
654.642,28134.8
658.317,28134.8
661.992,28134.8
665.667,28134.8
669.342,28291.5
673.017,28448.3
676.692,28448.3
680.368,28605
684.043,28605
687.718,28605
691.393,28605
695.068,28605
698.743,28605
702.418,28761.8
706.093,28761.8
709.768,28761.8
713.443,28761.8
717.118,28761.8
720.793,28918.5
724.468,28918.5
728.143,29075.2
731.818,29232
735.493,29232
739.168,29232
742.843,29232
746.518,29232
750.193,29232
753.868,29232
757.544,29232
761.219,29232
764.894,29232
768.569,29232
772.244,29232
775.919,29232
779.594,29232
783.269,29232
786.944,29232
790.619,29232
794.294,29232
797.969,29232
801.644,29232
805.319,29232
808.994,29232
812.669,29232
816.344,29075.2
820.019,29075.2
823.694,29075.2
827.369,29075.2
831.044,29075.2
834.72,29075.2
838.395,28918.5
842.07,28918.5
845.745,28918.5
849.42,28918.5
853.095,28761.8
856.77,28761.8
860.445,28761.8
864.12,28761.8
867.795,28605
871.47,28605
875.145,28605
878.82,28605
882.495,28291.5
886.17,28291.5
889.845,28291.5
893.52,28291.5
897.195,28134.8
900.87,28134.8
904.545,28134.8
908.221,27978.1
911.896,27978.1
915.571,27978.1
919.246,27821.3
922.921,27821.3
926.596,27664.6
930.271,27664.6
933.946,27507.8
937.621,27507.8
941.296,27507.8
944.971,27507.8
948.646,27507.8
952.321,27507.8
955.996,27507.8
959.671,27194.4
963.346,27194.4
967.021,27037.6
970.696,27037.6
974.371,26880.9
978.046,26880.9
981.721,26724.1
985.397,26567.4
989.072,26567.4
992.747,26410.7
996.422,26253.9
1000.1,26097.2
1003.77,26097.2
1007.45,26097.2
1011.12,25940.4
1014.8,25940.4
1018.47,25783.7
1022.15,25627
1025.82,25627
1029.5,25470.2
1033.17,25470.2
1036.85,25156.7
1040.52,25156.7
1044.2,25000
1047.87,25000
1051.55,25000
1055.22,24843.3
1058.9,24686.5
1062.57,24529.8
1066.25,24373
1069.92,24373
1073.6,24216.3
1077.27,24059.6
1080.95,23902.8
1084.62,23746.1
1088.3,23589.3
1091.97,23432.6
1095.65,23432.6
1099.32,23432.6
1103,23432.6
1106.67,23275.9
1110.35,23275.9
1114.02,22962.4
1117.7,22962.4
1121.37,22962.4
1125.05,22805.6
1128.72,22648.9
1132.4,22492.2
1136.07,22492.2
1139.75,22335.4
1143.42,22178.7
1147.1,22021.9
1150.77,21865.2
1154.45,21865.2
1158.12,21708.5
1161.8,21551.7
1165.47,21551.7
1169.15,21551.7
1172.82,21395
1176.5,21395
1180.17,21238.2
1183.85,21238.2
1187.52,21081.5
1191.2,20924.8
1194.87,20768
1198.55,20768
1202.22,20768
1205.9,20611.3
1209.57,20454.5
1213.25,20454.5
1216.92,20454.5
1220.6,20454.5
1224.27,20297.8
1227.95,20297.8
1231.62,20141.1
1235.3,20141.1
1238.97,20141.1
1242.65,19984.3
1246.32,19827.6
1250,19670.8
1253.68,19670.8
1257.35,19514.1
1261.03,19514.1
1264.7,19357.4
1268.38,19357.4
1272.05,19357.4
1275.73,19200.6
1279.4,19200.6
1283.08,19200.6
1286.75,19043.9
1290.43,18887.1
1294.1,18730.4
1297.78,18573.7
1301.45,18573.7
1305.13,18573.7
1308.8,18573.7
1312.48,18887.1
1316.15,19514.1
1319.83,22178.7
1323.5,24843.3
1327.18,35031.3
1330.85,39420.1
1334.53,23432.6
1338.2,20141.1
1341.88,18260.2
1345.55,17946.7
1349.23,17476.5
1352.9,17319.7
1356.58,17163
1360.25,17163
1363.93,17006.3
1367.6,16849.5
1371.28,16692.8
1374.95,16692.8
1378.63,16692.8
1382.3,16692.8
1385.98,16379.3
1389.65,16379.3
1393.33,16222.6
1397,16222.6
1400.68,16222.6
1404.35,16065.8
1408.03,15909.1
1411.7,15909.1
1415.38,15752.4
1419.05,15752.4
1422.73,15752.4
1426.4,15595.6
1430.08,15438.9
1433.75,15282.1
1437.43,15282.1
1441.1,15282.1
1444.78,15282.1
1448.45,15282.1
1452.13,15125.4
1455.8,15125.4
1459.48,14968.7
1463.15,14968.7
1466.83,14968.7
1470.5,14968.7
1474.18,14811.9
1477.85,14811.9
1481.53,14811.9
1485.2,14811.9
1488.88,14655.2
1492.55,14655.2
1496.23,14655.2
1499.9,14498.4
1503.58,14341.7
1507.25,14341.7
1510.93,14341.7
1514.6,14341.7
1518.28,14341.7
1521.95,14341.7
1525.63,14341.7
1529.3,14185
1532.98,14185
1536.65,14185
1540.33,14185
1544,14185
1547.68,14028.2
1551.35,14028.2
1555.03,14028.2
1558.7,14028.2
1562.38,14028.2
1566.05,14028.2
1569.73,14028.2
1573.4,13871.5
1577.08,13871.5
1580.75,13871.5
1584.43,13871.5
1588.1,13871.5
1591.78,13871.5
1595.45,13714.7
1599.13,13714.7
1602.8,13714.7
1606.48,13714.7
1610.15,13714.7
1613.83,13714.7
1617.5,13714.7
1621.18,13714.7
1624.85,13558
1628.53,13558
1632.21,13558
1635.88,13558
1639.56,13558
1643.23,13558
1646.91,13558
1650.58,13244.5
1654.26,13244.5
1657.93,13244.5
1661.61,13244.5
1665.28,13244.5
1668.96,13244.5
1672.63,13244.5
1676.31,13244.5
1679.98,13244.5
1683.66,13087.8
1687.33,13087.8
1691.01,13087.8
1694.68,13087.8
1698.36,13087.8
1702.03,13087.8
1705.71,13087.8
1709.38,13087.8
1713.06,12931
1716.73,12931
1720.41,12931
1724.08,12931
1727.76,12931
1731.43,12931
1735.11,12931
1738.78,12931
1742.46,12931
1746.13,12931
1749.81,12931
1753.48,12931
1757.16,12931
1760.83,12931
1764.51,12931
1768.18,12931
1771.86,12774.3
1775.53,12931
1779.21,12931
1782.88,12931
1786.56,12931
1790.23,12931
1793.91,12931
1797.58,12931
1801.26,12931
1804.93,12931
1808.61,12931
1812.28,12931
1815.96,12774.3
1819.63,12774.3
1823.31,12774.3
1826.98,12774.3
1830.66,12774.3
1834.33,12774.3
1838.01,12617.6
1841.68,12617.6
1845.36,12617.6
1849.03,12617.6
1852.71,12617.6
1856.38,12617.6
1860.06,12617.6
1863.73,12617.6
1867.41,12617.6
1871.08,12460.8
1874.76,12460.8
1878.43,12460.8
1882.11,12460.8
1885.78,12460.8
1889.46,12304.1
1893.13,12147.3
1896.81,12147.3
1900.48,12147.3
1904.16,11990.6
1907.83,11990.6
1911.51,11990.6
1915.18,11990.6
1918.86,11990.6
1922.53,11833.9
1926.21,11833.9
1929.88,11833.9
1933.56,11833.9
1937.23,11833.9
1940.91,11677.1
1944.58,11677.1
1948.26,11677.1
1951.93,11520.4
1955.61,11520.4
1959.28,11520.4
1962.96,11363.6
1966.63,11363.6
1970.31,11363.6
1973.98,11363.6
1977.66,11050.2
1981.33,11050.2
1985.01,11050.2
1988.68,10893.4
1992.36,10893.4
1996.03,10893.4
1999.71,10736.7
2003.38,10736.7
2007.06,10579.9
2010.74,10579.9
2014.41,10423.2
2018.09,10423.2
2021.76,10423.2
2025.44,10423.2
2029.11,10266.5
2032.79,10266.5
2036.46,10266.5
2040.14,10109.7
2043.81,9952.98
2047.49,9952.98
2051.16,9796.24
2054.84,9796.24
2058.51,9639.5
2062.19,9639.5
2065.86,9639.5
2069.54,9482.76
2073.21,9482.76
2076.89,9326.02
2080.56,9169.28
2084.24,9169.28
2087.91,9169.28
2091.59,9012.54
2095.26,8855.8
2098.94,8855.8
2102.61,8855.8
2106.29,8699.06
2109.96,8699.06
2113.64,8699.06
2117.31,8542.32
2120.99,8542.32
2124.66,8385.58
2128.34,8385.58
2132.01,8228.84
2135.69,8228.84
2139.36,8072.1
2143.04,8072.1
2146.71,7915.36
2150.39,7758.62
2154.06,7601.88
2157.74,7601.88
2161.41,7445.14
2165.09,7445.14
2168.76,7445.14
2172.44,7288.4
2176.11,7288.4
2179.79,7131.66
2183.46,7131.66
2187.14,6974.92
2190.81,6974.92
2194.49,6818.18
2198.16,6661.44
2201.84,6661.44
2205.51,6661.44
2209.19,6504.7
2212.86,6504.7
2216.54,6504.7
2220.21,6347.96
2223.89,6191.22
2227.56,6191.22
2231.24,6191.22
2234.91,6191.22
2238.59,6034.48
2242.26,6034.48
2245.94,5877.74
2249.61,5721
2253.29,5721
2256.96,5721
2260.64,5564.26
2264.31,5564.26
2267.99,5564.26
2271.66,5407.52
2275.34,5407.52
2279.01,5250.78
2282.69,5250.78
2286.36,5250.78
2290.04,5094.04
2293.71,5094.04
2297.39,5094.04
2301.06,4937.3
2304.74,4937.3
2308.41,4937.3
2312.09,4937.3
2315.76,4623.82
2319.44,4623.82
2323.11,4623.82
2326.79,4623.82
2330.46,4623.82
