,GP550R
RamanShit,Intensity,
397.15,59.27,
400.16,64.16,
403.18,62.10,
406.19,51.21,
409.20,53.56,
412.21,84.34,
415.21,111.29,
418.21,114.53,
421.22,102.16,
424.22,86.68,
427.22,71.65,
430.21,64.68,
433.21,68.62,
436.20,76.15,
439.19,72.04,
442.18,56.29,
445.17,54.77,
448.16,71.68,
451.14,101.03,
454.13,113.98,
457.11,90.26,
460.09,71.48,
463.07,84.88,
466.04,108.46,
469.02,102.23,
471.99,76.38,
474.96,87.08,
477.93,111.03,
480.90,112.39,
483.87,109.21,
486.83,119.21,
489.80,131.01,
492.76,136.27,
495.72,159.22,
498.67,178.16,
501.63,144.30,
504.58,94.80,
507.54,102.02,
510.49,161.44,
513.44,201.48,
516.39,195.63,
519.33,168.03,
522.28,152.41,
525.22,151.26,
528.16,146.09,
531.10,121.25,
534.04,118.63,
536.97,153.04,
539.91,174.74,
542.84,157.02,
545.77,154.14,
548.70,180.98,
551.63,187.56,
554.56,152.82,
557.48,128.10,
560.40,128.65,
563.32,139.29,
566.24,145.98,
569.16,152.77,
572.08,161.35,
574.99,171.37,
577.91,184.54,
580.82,191.60,
583.72,187.70,
586.63,180.66,
589.54,182.53,
592.44,207.19,
595.35,237.88,
598.25,245.35,
601.15,241.23,
604.04,249.31,
606.94,264.70,
609.83,251.46,
612.73,231.73,
615.62,245.58,
618.51,283.86,
621.40,295.85,
624.28,284.99,
627.17,281.37,
630.05,279.25,
632.93,257.82,
635.81,244.23,
638.69,247.43,
641.57,256.58,
644.44,237.91,
647.31,205.20,
650.19,177.48,
653.06,175.19,
655.92,198.32,
658.79,212.22,
661.66,198.13,
664.52,188.61,
667.38,180.69,
670.24,150.51,
673.10,107.67,
675.96,101.02,
678.81,131.43,
681.66,149.18,
684.52,135.71,
687.37,121.57,
690.21,121.53,
693.06,126.11,
695.91,131.14,
698.75,129.64,
701.59,141.60,
704.43,165.74,
707.27,188.92,
710.11,199.74,
712.95,200.07,
715.78,200.24,
718.61,211.11,
721.44,218.29,
724.27,223.51,
727.10,217.99,
729.93,212.31,
732.75,211.49,
735.57,217.38,
738.39,221.08,
741.21,218.51,
744.03,208.54,
746.85,214.01,
749.66,223.10,
752.48,201.31,
755.29,151.90,
758.10,123.68,
760.91,144.00,
763.71,171.59,
766.52,178.39,
769.32,175.30,
772.12,164.48,
774.92,127.08,
777.72,89.81,
780.52,107.27,
783.32,179.49,
786.11,227.16,
788.90,212.09,
791.69,159.13,
794.48,123.80,
797.27,111.64,
800.06,117.84,
802.84,134.70,
805.62,145.84,
808.41,138.09,
811.18,120.97,
813.96,120.72,
816.74,143.22,
819.51,158.65,
822.29,161.34,
825.06,169.02,
827.83,182.39,
830.60,186.82,
833.37,175.13,
836.13,157.50,
838.89,133.42,
841.66,120.38,
844.42,145.39,
847.18,188.42,
849.94,195.74,
852.69,163.44,
855.45,136.84,
858.20,138.92,
860.95,145.90,
863.70,144.89,
866.45,133.87,
869.20,126.73,
871.94,146.97,
874.68,187.51,
877.43,199.30,
880.17,152.37,
882.91,94.63,
885.64,71.29,
888.38,65.58,
891.11,62.71,
893.85,65.26,
896.58,71.70,
899.31,71.43,
902.04,69.95,
904.76,66.71,
907.49,60.29,
910.21,79.79,
912.93,113.69,
915.65,115.31,
918.37,88.61,
921.09,85.65,
923.80,113.99,
926.52,122.97,
929.23,113.79,
931.94,113.27,
934.65,105.10,
937.36,90.44,
940.07,95.97,
942.77,117.41,
945.47,118.49,
948.18,91.94,
950.88,78.10,
953.58,99.97,
956.27,134.25,
958.97,158.48,
961.66,151.24,
964.36,124.47,
967.05,107.00,
969.74,103.83,
972.42,102.91,
975.11,101.63,
977.80,119.26,
980.48,165.05,
983.16,205.18,
985.84,215.79,
988.52,206.79,
991.20,200.83,
993.87,195.11,
996.55,187.55,
999.22,189.51,
1001.89,189.78,
1004.56,170.21,
1007.23,148.03,
1009.90,153.65,
1012.56,158.52,
1015.23,130.20,
1017.89,95.21,
1020.55,97.37,
1023.21,134.33,
1025.87,165.32,
1028.52,170.04,
1031.18,146.85,
1033.83,107.63,
1036.48,81.17,
1039.13,82.53,
1041.78,100.23,
1044.43,107.37,
1047.07,110.72,
1049.72,131.52,
1052.36,149.87,
1055.00,162.21,
1057.64,170.20,
1060.28,159.22,
1062.92,110.34,
1065.55,48.75,
1068.19,50.40,
1070.82,109.50,
1073.45,153.48,
1076.08,156.11,
1078.71,138.51,
1081.33,134.06,
1083.96,137.92,
1086.58,134.06,
1089.20,127.74,
1091.82,100.46,
1094.44,66.25,
1097.06,62.96,
1099.67,105.93,
1102.29,155.17,
1104.90,162.25,
