,GP550R
RamanShit,Intensity
258.696,334.646
261.755,334.646
264.815,334.646
267.874,334.646
270.934,334.646
273.994,610.236
277.053,885.827
280.113,1712.6
283.172,2263.78
286.232,1712.6
289.291,1437.01
292.351,885.827
295.411,610.236
298.47,334.646
301.53,334.646
304.589,334.646
307.649,334.646
310.709,334.646
313.768,610.236
316.828,885.827
319.887,2263.78
322.947,3641.73
326.006,7500
329.066,8051.18
332.126,3641.73
335.185,2814.96
338.245,1161.42
341.304,610.236
344.364,334.646
347.424,334.646
350.483,334.646
353.543,334.646
356.602,334.646
359.662,334.646
362.721,610.236
365.781,610.236
368.841,334.646
371.9,334.646
374.96,334.646
378.019,334.646
381.079,334.646
384.138,610.236
387.198,610.236
390.258,885.827
393.317,885.827
396.377,610.236
399.436,610.236
402.496,334.646
405.556,334.646
408.615,334.646
411.675,334.646
414.734,334.646
417.794,610.236
420.853,610.236
423.913,885.827
426.973,1161.42
430.032,1712.6
433.092,3366.14
436.151,7500
439.211,18523.6
442.271,26515.7
445.33,40846.5
448.39,26515.7
451.449,18799.2
454.509,7500
457.568,3090.55
460.628,1712.6
463.688,1161.42
466.747,885.827
469.807,610.236
472.866,334.646
475.926,334.646
478.986,334.646
482.045,334.646
485.105,334.646
488.164,610.236
491.224,885.827
494.283,1437.01
497.343,1161.42
500.403,610.236
503.462,610.236
506.522,334.646
509.581,334.646
512.641,334.646
515.7,334.646
518.76,334.646
521.82,334.646
524.879,334.646
527.939,334.646
530.998,334.646
534.058,334.646
537.118,334.646
540.177,334.646
543.237,334.646
546.296,334.646
549.356,610.236
552.415,610.236
555.475,334.646
558.535,334.646
561.594,334.646
564.654,334.646
567.713,334.646
570.773,334.646
573.833,610.236
576.892,885.827
579.952,1161.42
583.011,610.236
586.071,610.236
589.13,334.646
592.19,334.646
595.25,334.646
598.309,885.827
601.369,1161.42
604.428,1161.42
607.488,1437.01
610.548,1161.42
613.607,885.827
616.667,610.236
619.726,610.236
622.786,334.646
625.845,334.646
628.905,334.646
631.965,334.646
635.024,334.646
638.084,334.646
641.143,610.236
644.203,885.827
647.262,885.827
650.322,1161.42
653.382,1437.01
656.441,2263.78
659.501,3090.55
662.56,3090.55
665.62,3090.55
668.68,2814.96
671.739,2263.78
674.799,1437.01
677.858,1161.42
680.918,610.236
683.977,610.236
687.037,334.646
690.097,334.646
693.156,334.646
696.216,334.646
699.275,334.646
702.335,334.646
705.395,334.646
708.454,334.646
711.514,334.646
714.573,59.0551
717.633,59.0551
720.692,59.0551
723.752,59.0551
726.812,334.646
729.871,334.646
732.931,334.646
735.99,334.646
739.05,334.646
742.11,334.646
745.169,334.646
748.229,334.646
751.288,334.646
754.348,334.646
757.407,334.646
760.467,334.646
763.527,610.236
766.586,610.236
769.646,885.827
772.705,1161.42
775.765,1437.01
778.824,1988.19
781.884,3090.55
784.944,4192.91
788.003,5019.69
791.063,5295.28
794.122,4744.09
797.182,4192.91
800.242,3090.55
803.301,1988.19
806.361,1437.01
809.42,1161.42
812.48,885.827
815.539,610.236
818.599,610.236
821.659,334.646
824.718,334.646
827.778,334.646
830.837,334.646
833.897,334.646
836.957,334.646
840.016,334.646
843.076,334.646
846.135,334.646
849.195,334.646
852.254,59.0551
855.314,59.0551
858.374,59.0551
861.433,59.0551
864.493,59.0551
867.552,59.0551
870.612,59.0551
873.671,334.646
876.731,59.0551
879.791,59.0551
882.85,59.0551
885.91,59.0551
888.969,59.0551
892.029,59.0551
895.089,59.0551
898.148,59.0551
901.208,59.0551
904.267,59.0551
907.327,59.0551
910.386,334.646
913.446,334.646
916.506,334.646
919.565,334.646
922.625,334.646
925.684,334.646
928.744,334.646
931.804,334.646
934.863,334.646
937.923,334.646
940.982,334.646
944.042,334.646
947.101,334.646
950.161,334.646
953.221,334.646
956.28,334.646
959.34,334.646
962.399,334.646
965.459,334.646
968.519,334.646
971.578,334.646
974.638,334.646
977.697,334.646
980.757,334.646
983.816,334.646
986.876,334.646
989.936,334.646
992.995,334.646
996.055,334.646
999.114,334.646
1002.17,334.646
1005.23,334.646
1008.29,334.646
1011.35,334.646
1014.41,334.646
1017.47,334.646
1020.53,334.646
1023.59,334.646
1026.65,334.646
1029.71,334.646
1032.77,334.646
1035.83,334.646
1038.89,334.646
1041.95,334.646
1045.01,334.646
1048.07,610.236
1051.13,334.646
1054.19,334.646
1057.25,334.646
1060.31,334.646
1063.37,334.646
1066.43,334.646
1069.48,334.646
1072.54,334.646
1075.6,334.646
1078.66,334.646
1081.72,334.646
1084.78,334.646
1087.84,334.646
1090.9,334.646
1093.96,334.646
1097.02,334.646
1100.08,334.646
1103.14,59.0551
1106.2,59.0551
1109.26,59.0551
1112.32,59.0551
1115.38,59.0551
1118.44,59.0551
1121.5,59.0551
1124.56,59.0551
1127.62,59.0551
1130.68,59.0551
1133.74,59.0551
1136.8,59.0551
1139.86,334.646
1142.91,334.646
1145.97,334.646
1149.03,334.646
1152.09,334.646
1155.15,334.646
1158.21,334.646
1161.27,334.646
1164.33,334.646
1167.39,334.646
1170.45,334.646
1173.51,610.236
1176.57,610.236
1179.63,885.827
1182.69,1161.42
1185.75,2263.78
1188.81,3917.32
1191.87,4744.09
1194.93,5846.46
1197.99,4468.5
1201.05,3641.73
1204.11,2263.78
1207.17,1437.01
1210.23,885.827
1213.29,610.236
1216.34,610.236
1219.4,334.646
1222.46,334.646
1225.52,334.646
1228.58,334.646
1231.64,334.646
1234.7,334.646
1237.76,59.0551
1240.82,59.0551
1243.88,59.0551
1246.94,59.0551
1250,59.0551
1253.06,59.0551
1256.12,334.646
1259.18,59.0551
1262.24,59.0551
1265.3,59.0551
1268.36,59.0551
1271.42,59.0551
1274.48,59.0551
1277.54,59.0551
1280.6,334.646
1283.66,334.646
1286.71,59.0551
1289.77,59.0551
1292.83,59.0551
1295.89,59.0551
1298.95,59.0551
1302.01,59.0551
1305.07,59.0551
1308.13,334.646
1311.19,334.646
1314.25,59.0551
1317.31,59.0551
1320.37,59.0551
1323.43,59.0551
1326.49,59.0551
1329.55,59.0551
1332.61,59.0551
1335.67,334.646
1338.73,334.646
1341.79,334.646
1344.85,334.646
1347.91,334.646
1350.97,334.646
1354.03,334.646
1357.09,334.646
1360.14,334.646
1363.2,334.646
1366.26,334.646
1369.32,334.646
1372.38,334.646
1375.44,334.646
1378.5,334.646
1381.56,334.646
1384.62,334.646
1387.68,334.646
1390.74,334.646
1393.8,334.646
1396.86,334.646
1399.92,334.646
1402.98,334.646
1406.04,334.646
1409.1,334.646
1412.16,334.646
1415.22,334.646
1418.28,334.646
1421.34,334.646
1424.4,334.646
1427.46,334.646
1430.52,334.646
1433.57,334.646
1436.63,334.646
1439.69,334.646
1442.75,334.646
1445.81,334.646
1448.87,334.646
1451.93,334.646
1454.99,334.646
1458.05,334.646
1461.11,334.646
1464.17,334.646
1467.23,334.646
1470.29,334.646
1473.35,334.646
1476.41,334.646
1479.47,334.646
1482.53,334.646
1485.59,334.646
1488.65,334.646
1491.71,334.646
1494.77,334.646
1497.83,334.646
1500.89,334.646
1503.95,334.646
1507,334.646
1510.06,334.646
