,GP550R
RamanShit,Intensity
258.629,79.0514
261.694,79.0514
264.758,79.0514
267.823,79.0514
270.887,79.0514
273.952,79.0514
277.016,79.0514
280.081,79.0514
283.145,316.206
286.21,316.206
289.274,79.0514
292.339,79.0514
295.403,79.0514
298.468,79.0514
301.532,79.0514
304.597,316.206
307.661,316.206
310.726,316.206
313.79,553.36
316.855,1264.82
319.919,2687.75
322.984,4584.98
326.048,10276.7
329.113,10988.1
332.177,5296.44
335.242,3873.52
338.306,1501.98
341.371,553.36
344.435,316.206
347.5,79.0514
350.565,79.0514
353.629,79.0514
356.694,79.0514
359.758,79.0514
362.823,79.0514
365.887,79.0514
368.952,79.0514
372.016,79.0514
375.081,79.0514
378.145,79.0514
381.21,79.0514
384.274,79.0514
387.339,79.0514
390.403,79.0514
393.468,79.0514
396.532,79.0514
399.597,79.0514
402.661,79.0514
405.726,79.0514
408.79,79.0514
411.855,79.0514
414.919,79.0514
417.984,79.0514
421.048,316.206
424.113,316.206
427.177,553.36
430.242,1027.67
433.306,2213.44
436.371,5533.6
439.435,14308.3
442.5,20711.5
445.565,33280.6
448.629,20711.5
451.694,14545.5
454.758,5770.75
457.823,2213.44
460.887,1027.67
463.952,553.36
467.016,316.206
470.081,316.206
473.145,316.206
476.21,316.206
479.274,553.36
482.339,790.514
485.403,790.514
488.468,1027.67
491.532,1501.98
494.597,2687.75
497.661,2924.9
500.726,1264.82
503.79,790.514
506.855,316.206
509.919,79.0514
512.984,79.0514
516.048,79.0514
519.113,79.0514
522.177,79.0514
525.242,79.0514
528.306,79.0514
531.371,79.0514
534.435,79.0514
537.5,79.0514
540.565,79.0514
543.629,316.206
546.694,553.36
549.758,790.514
552.823,790.514
555.887,553.36
558.952,553.36
562.016,316.206
565.081,79.0514
568.145,79.0514
571.21,79.0514
574.274,79.0514
577.339,79.0514
580.403,79.0514
583.468,79.0514
586.532,79.0514
589.597,79.0514
592.661,79.0514
595.726,79.0514
598.79,316.206
601.855,316.206
604.919,316.206
607.984,553.36
611.048,316.206
614.113,316.206
617.177,316.206
620.242,316.206
623.306,79.0514
626.371,79.0514
629.435,79.0514
632.5,79.0514
635.565,79.0514
638.629,316.206
641.694,316.206
644.758,316.206
647.823,553.36
650.887,790.514
653.952,1027.67
657.016,1976.28
660.081,2687.75
663.145,2687.75
666.21,3162.06
669.274,2450.59
672.339,2213.44
675.403,1501.98
678.468,1027.67
681.532,553.36
684.597,316.206
687.661,316.206
690.726,79.0514
693.79,79.0514
696.855,79.0514
699.919,79.0514
702.984,79.0514
706.048,79.0514
709.113,79.0514
712.177,79.0514
715.242,79.0514
718.306,79.0514
721.371,79.0514
724.435,79.0514
727.5,79.0514
730.565,79.0514
733.629,79.0514
736.694,79.0514
739.758,79.0514
742.823,79.0514
745.887,79.0514
748.952,79.0514
752.016,79.0514
755.081,79.0514
758.145,79.0514
761.21,79.0514
764.274,79.0514
767.339,79.0514
770.403,79.0514
773.468,79.0514
776.532,79.0514
779.597,79.0514
782.661,79.0514
785.726,79.0514
788.79,316.206
791.855,316.206
794.919,79.0514
797.984,79.0514
801.048,79.0514
804.113,79.0514
807.177,79.0514
810.242,79.0514
813.306,79.0514
816.371,79.0514
819.435,79.0514
822.5,79.0514
825.565,79.0514
828.629,79.0514
831.694,79.0514
834.758,79.0514
837.823,79.0514
840.887,79.0514
843.952,79.0514
847.016,79.0514
850.081,79.0514
853.145,79.0514
856.21,79.0514
859.274,79.0514
862.339,79.0514
865.403,79.0514
868.468,79.0514
871.532,79.0514
874.597,79.0514
877.661,79.0514
880.726,79.0514
883.79,79.0514
886.855,79.0514
889.919,79.0514
892.984,79.0514
896.048,79.0514
899.113,79.0514
902.177,79.0514
905.242,79.0514
908.306,79.0514
911.371,79.0514
914.435,79.0514
917.5,79.0514
920.565,79.0514
923.629,79.0514
926.694,79.0514
929.758,79.0514
932.823,79.0514
935.887,79.0514
938.952,79.0514
942.016,79.0514
945.081,79.0514
948.145,79.0514
951.21,79.0514
954.274,79.0514
957.339,79.0514
960.403,79.0514
963.468,79.0514
966.532,79.0514
969.597,79.0514
972.661,79.0514
975.726,79.0514
978.79,79.0514
981.855,79.0514
984.919,79.0514
987.984,79.0514
991.048,79.0514
994.113,79.0514
997.177,79.0514
1000.24,79.0514
1003.31,79.0514
1006.37,79.0514
1009.44,79.0514
1012.5,79.0514
1015.56,79.0514
1018.63,79.0514
1021.69,79.0514
1024.76,79.0514
1027.82,79.0514
1030.89,79.0514
1033.95,79.0514
1037.02,79.0514
1040.08,79.0514
1043.15,316.206
1046.21,553.36
1049.27,790.514
1052.34,790.514
1055.4,553.36
1058.47,316.206
1061.53,79.0514
1064.6,79.0514
1067.66,79.0514
1070.73,79.0514
1073.79,79.0514
1076.85,79.0514
1079.92,79.0514
1082.98,79.0514
1086.05,79.0514
1089.11,79.0514
1092.18,79.0514
1095.24,79.0514
1098.31,79.0514
1101.37,79.0514
1104.44,79.0514
1107.5,79.0514
1110.56,79.0514
1113.63,79.0514
1116.69,79.0514
1119.76,79.0514
1122.82,79.0514
1125.89,79.0514
1128.95,79.0514
1132.02,79.0514
1135.08,316.206
1138.15,316.206
1141.21,553.36
1144.27,553.36
1147.34,553.36
1150.4,790.514
1153.47,790.514
1156.53,790.514
1159.6,1027.67
1162.66,1264.82
1165.73,1264.82
1168.79,1264.82
1171.85,1501.98
1174.92,1264.82
1177.98,1027.67
1181.05,1027.67
1184.11,1027.67
1187.18,1027.67
1190.24,1027.67
1193.31,790.514
1196.37,553.36
1199.44,316.206
1202.5,79.0514
1205.56,79.0514
1208.63,79.0514
1211.69,316.206
1214.76,316.206
1217.82,553.36
1220.89,553.36
1223.95,553.36
1227.02,553.36
1230.08,553.36
1233.15,316.206
1236.21,316.206
1239.27,316.206
1242.34,316.206
1245.4,79.0514
1248.47,79.0514
1251.53,79.0514
1254.6,79.0514
1257.66,79.0514
1260.73,79.0514
1263.79,79.0514
1266.85,79.0514
1269.92,79.0514
1272.98,316.206
1276.05,316.206
1279.11,316.206
1282.18,553.36
1285.24,553.36
1288.31,316.206
1291.37,316.206
1294.44,316.206
1297.5,79.0514
1300.56,79.0514
1303.63,79.0514
1306.69,79.0514
1309.76,79.0514
1312.82,79.0514
1315.89,79.0514
1318.95,79.0514
