,GP550R
RamanShit,Intensity
249.517,11381.9
252.576,19003.9
255.636,19003.9
258.696,9909.45
261.755,9216.54
264.815,7570.87
267.874,4539.37
270.934,2980.31
273.994,641.732
277.053,0
280.113,0
283.172,0
286.232,0
289.291,0
292.351,0
295.411,0
298.47,35.4331
301.53,122.047
304.589,208.661
307.649,295.276
310.709,555.118
313.768,988.189
316.828,1767.72
319.887,3413.39
322.947,6444.88
326.006,10775.6
329.066,13287.4
332.126,16492.1
335.185,13287.4
338.245,10862.2
341.304,6098.43
344.364,2893.7
347.424,1681.1
350.483,1161.42
353.543,901.575
356.602,728.346
359.662,728.346
362.721,728.346
365.781,555.118
368.841,295.276
371.9,208.661
374.96,122.047
378.019,122.047
381.079,122.047
384.138,122.047
387.198,122.047
390.258,122.047
393.317,208.661
396.377,295.276
399.436,728.346
402.496,1334.65
405.556,1854.33
408.615,2287.4
411.675,2720.47
414.734,3066.93
417.794,3673.23
420.853,4799.21
423.913,6618.11
426.973,7744.09
430.032,9389.76
433.092,7744.09
436.151,7224.41
439.211,6618.11
442.271,5751.97
445.33,6618.11
448.39,7570.87
451.449,10169.3
454.509,12248
457.568,16492.1
460.628,17358.3
463.688,12507.9
466.747,10775.6
469.807,7830.71
472.866,5838.58
475.926,4712.6
478.986,4192.91
482.045,3759.84
485.105,3066.93
488.164,2200.79
491.224,1421.26
494.283,988.189
497.343,901.575
500.403,814.961
503.462,728.346
506.522,641.732
509.581,468.504
512.641,208.661
515.7,208.661
518.76,208.661
521.82,295.276
524.879,381.89
527.939,468.504
530.998,468.504
534.058,468.504
537.118,468.504
540.177,468.504
543.237,381.89
546.296,555.118
549.356,641.732
552.415,728.346
555.475,728.346
558.535,728.346
561.594,641.732
564.654,641.732
567.713,555.118
570.773,468.504
573.833,468.504
576.892,381.89
579.952,295.276
583.011,208.661
586.071,122.047
589.13,122.047
592.19,208.661
595.25,295.276
598.309,555.118
601.369,641.732
604.428,728.346
607.488,641.732
610.548,641.732
613.607,641.732
616.667,641.732
619.726,641.732
622.786,641.732
625.845,641.732
628.905,641.732
631.965,728.346
635.024,814.961
638.084,901.575
641.143,901.575
644.203,901.575
647.262,814.961
650.322,641.732
653.382,381.89
656.441,122.047
659.501,122.047
662.56,122.047
665.62,122.047
668.68,122.047
671.739,122.047
674.799,122.047
677.858,122.047
680.918,122.047
683.977,122.047
687.037,208.661
690.097,381.89
693.156,641.732
696.216,728.346
699.275,901.575
702.335,988.189
705.395,988.189
708.454,988.189
711.514,988.189
714.573,988.189
717.633,988.189
720.692,1161.42
723.752,1421.26
726.812,1940.94
729.871,2720.47
732.931,3759.84
735.99,4885.83
739.05,6185.04
742.11,6877.95
745.169,7397.64
748.229,7917.32
751.288,6444.88
754.348,5318.9
757.407,3933.07
760.467,2720.47
763.527,1681.1
766.586,988.189
769.646,728.346
772.705,641.732
775.765,728.346
778.824,901.575
781.884,1421.26
784.944,2460.63
788.003,3413.39
791.063,4799.21
794.122,4885.83
797.182,3673.23
800.242,3066.93
803.301,1940.94
806.361,1161.42
809.42,728.346
812.48,468.504
815.539,208.661
818.599,122.047
821.659,35.4331
824.718,35.4331
827.778,35.4331
830.837,35.4331
833.897,35.4331
836.957,35.4331
840.016,-51.1811
843.076,-51.1811
846.135,-51.1811
849.195,-51.1811
852.254,-51.1811
855.314,-51.1811
858.374,35.4331
861.433,35.4331
864.493,35.4331
867.552,35.4331
870.612,35.4331
873.671,35.4331
876.731,35.4331
879.791,35.4331
882.85,35.4331
885.91,35.4331
888.969,122.047
892.029,208.661
895.089,381.89
898.148,728.346
901.208,1074.8
904.267,1594.49
907.327,2200.79
910.386,2633.86
913.446,3500
916.506,3240.16
919.565,2633.86
922.625,2287.4
925.684,1507.87
928.744,1074.8
931.804,814.961
934.863,641.732
937.923,641.732
940.982,555.118
944.042,468.504
947.101,468.504
950.161,468.504
953.221,468.504
956.28,555.118
959.34,468.504
962.399,468.504
965.459,468.504
968.519,381.89
971.578,295.276
974.638,122.047
977.697,35.4331
980.757,35.4331
983.816,35.4331
986.876,35.4331
989.936,35.4331
992.995,35.4331
996.055,122.047
999.114,208.661
1002.17,208.661
1005.23,208.661
1008.29,122.047
1011.35,122.047
1014.41,35.4331
1017.47,35.4331
1020.53,35.4331
1023.59,35.4331
1026.65,35.4331
1029.71,35.4331
1032.77,35.4331
1035.83,122.047
1038.89,208.661
1041.95,468.504
1045.01,641.732
1048.07,641.732
1051.13,555.118
1054.19,468.504
1057.25,381.89
1060.31,208.661
1063.37,208.661
1066.43,208.661
1069.48,208.661
1072.54,208.661
1075.6,208.661
1078.66,208.661
1081.72,208.661
1084.78,208.661
1087.84,208.661
1090.9,208.661
1093.96,295.276
1097.02,295.276
1100.08,381.89
1103.14,381.89
1106.2,381.89
1109.26,295.276
1112.32,208.661
1115.38,122.047
1118.44,122.047
1121.5,122.047
1124.56,208.661
1127.62,295.276
1130.68,381.89
1133.74,555.118
1136.8,641.732
1139.86,641.732
1142.91,641.732
1145.97,641.732
1149.03,641.732
1152.09,641.732
1155.15,641.732
1158.21,641.732
1161.27,641.732
1164.33,641.732
1167.39,555.118
1170.45,555.118
1173.51,555.118
1176.57,555.118
1179.63,555.118
1182.69,641.732
1185.75,641.732
1188.81,641.732
1191.87,468.504
1194.93,295.276
1197.99,295.276
1201.05,295.276
1204.11,381.89
1207.17,468.504
1210.23,468.504
1213.29,468.504
1216.34,555.118
1219.4,555.118
1222.46,555.118
1225.52,555.118
1228.58,555.118
1231.64,555.118
1234.7,555.118
1237.76,555.118
1240.82,555.118
1243.88,555.118
1246.94,468.504
1250,468.504
1253.06,381.89
1256.12,295.276
1259.18,295.276
1262.24,208.661
1265.3,208.661
1268.36,208.661
1271.42,208.661
1274.48,295.276
1277.54,208.661
1280.6,208.661
1283.66,208.661
1286.71,208.661
1289.77,122.047
1292.83,122.047
1295.89,122.047
1298.95,122.047
1302.01,122.047
1305.07,122.047
1308.13,122.047
1311.19,122.047
1314.25,122.047
1317.31,122.047
1320.37,35.4331
1323.43,35.4331
1326.49,35.4331
1329.55,35.4331
1332.61,35.4331
1335.67,122.047
1338.73,122.047
1341.79,122.047
1344.85,122.047
1347.91,122.047
1350.97,122.047
1354.03,122.047
1357.09,122.047
1360.14,122.047
1363.2,122.047
1366.26,122.047
1369.32,122.047
1372.38,122.047
1375.44,122.047
1378.5,122.047
1381.56,35.4331
1384.62,35.4331
1387.68,35.4331
1390.74,35.4331
1393.8,35.4331
1396.86,35.4331
1399.92,35.4331
1402.98,35.4331
1406.04,35.4331
1409.1,35.4331
1412.16,35.4331
1415.22,35.4331
1418.28,35.4331
1421.34,35.4331
1424.4,35.4331
1427.46,35.4331
1430.52,35.4331
1433.57,35.4331
1436.63,35.4331
1439.69,35.4331
1442.75,35.4331
1445.81,35.4331
1448.87,35.4331
1451.93,35.4331
1454.99,35.4331
1458.05,35.4331
1461.11,35.4331
1464.17,35.4331
1467.23,35.4331
1470.29,35.4331
1473.35,122.047
1476.41,122.047
1479.47,122.047
1482.53,122.047
1485.59,122.047
1488.65,122.047
1491.71,208.661
1494.77,208.661
1497.83,295.276
1500.89,295.276
1503.95,381.89
1507,468.504
1510.06,555.118
1513.12,641.732
1516.18,814.961
1519.24,901.575
1522.3,988.189
1525.36,988.189
1528.42,988.189
1531.48,1074.8
1534.54,1074.8
1537.6,1074.8
1540.66,1074.8
1543.72,1074.8
1546.78,1074.8
1549.84,1074.8
1552.9,1074.8
1555.96,988.189
1559.02,814.961
1562.08,555.118
1565.14,381.89
1568.2,295.276
1571.26,295.276
1574.32,208.661
1577.38,122.047
1580.43,122.047
1583.49,122.047
1586.55,122.047
1589.61,122.047
1592.67,122.047
1595.73,122.047
1598.79,295.276
1601.85,468.504
1604.91,555.118
1607.97,641.732
1611.03,641.732
1614.09,728.346
1617.15,814.961
1620.21,901.575
1623.27,1074.8
1626.33,1161.42
1629.39,1161.42
1632.45,1161.42
1635.51,1161.42
1638.57,1074.8
1641.63,901.575
1644.69,901.575
1647.75,814.961
1650.81,814.961
1653.86,728.346
1656.92,641.732
1659.98,555.118
1663.04,555.118
1666.1,555.118
1669.16,641.732
1672.22,814.961
1675.28,901.575
1678.34,901.575
1681.4,901.575
1684.46,901.575
1687.52,901.575
1690.58,901.575
1693.64,901.575
1696.7,901.575
1699.76,901.575
1702.82,814.961
1705.88,728.346
1708.94,641.732
1712,555.118
1715.06,468.504
1718.12,295.276
1721.18,208.661
1724.24,208.661
1727.29,208.661
1730.35,208.661
1733.41,122.047
1736.47,35.4331
1739.53,35.4331
1742.59,35.4331
1745.65,35.4331
1748.71,35.4331
1751.77,122.047
1754.83,122.047
1757.89,122.047
1760.95,122.047
1764.01,122.047
1767.07,122.047
1770.13,208.661
1773.19,295.276
1776.25,295.276
1779.31,295.276
1782.37,295.276
1785.43,208.661
1788.49,208.661
1791.55,122.047
1794.61,122.047
1797.67,122.047
1800.72,122.047
1803.78,122.047
1806.84,208.661
1809.9,208.661
1812.96,122.047
1816.02,122.047
1819.08,122.047
1822.14,122.047
1825.2,122.047
1828.26,208.661
1831.32,208.661
1834.38,208.661
1837.44,208.661
1840.5,208.661
1843.56,122.047
1846.62,208.661
1849.68,208.661
1852.74,208.661
1855.8,295.276
1858.86,295.276
1861.92,381.89
1864.98,381.89
1868.04,468.504
1871.1,468.504
1874.15,555.118
1877.21,555.118
1880.27,555.118
1883.33,555.118
1886.39,468.504
1889.45,468.504
1892.51,468.504
1895.57,468.504
1898.63,468.504
1901.69,468.504
1904.75,468.504
1907.81,468.504
1910.87,381.89
1913.93,381.89
1916.99,381.89
1920.05,381.89
1923.11,381.89
1926.17,381.89
1929.23,468.504
1932.29,468.504
1935.35,468.504
1938.41,468.504
1941.47,555.118
1944.52,555.118
1947.58,555.118
1950.64,641.732
1953.7,641.732
1956.76,555.118
1959.82,555.118
1962.88,555.118
1965.94,381.89
1969,295.276
1972.06,295.276
1975.12,208.661
1978.18,208.661
1981.24,208.661
1984.3,122.047
1987.36,122.047
1990.42,122.047
1993.48,122.047
1996.54,122.047
1999.6,122.047
2002.66,122.047
2005.72,35.4331
2008.78,35.4331
2011.84,35.4331
2014.9,35.4331
2017.95,35.4331
2021.01,35.4331
2024.07,35.4331
2027.13,35.4331
2030.19,35.4331
2033.25,35.4331
2036.31,35.4331
2039.37,35.4331
2042.43,35.4331
2045.49,122.047
