,GP550R
RamanShit,Intensity
258.762,294.118
261.817,152.941
264.871,82.3529
267.926,82.3529
270.981,82.3529
274.035,82.3529
277.09,82.3529
280.145,152.941
283.199,294.118
286.254,364.706
289.309,364.706
292.363,364.706
295.418,435.294
298.473,505.882
301.527,717.647
304.582,858.824
307.637,929.412
310.691,1000
313.746,1282.35
316.801,1776.47
319.855,2552.94
322.91,3047.06
325.965,3611.76
329.019,3117.65
332.074,3047.06
335.129,2623.53
338.183,1776.47
341.238,1282.35
344.293,1141.18
347.347,1000
350.402,1211.76
353.457,1423.53
356.511,1847.06
359.566,2129.41
362.621,1988.24
365.675,1917.65
368.73,1776.47
371.785,1494.12
374.839,1423.53
377.894,1352.94
380.949,1494.12
384.003,1917.65
387.058,2976.47
390.113,3682.35
393.167,4458.82
396.222,3682.35
399.277,3541.18
402.331,2552.94
405.386,1352.94
408.441,788.235
411.495,435.294
414.55,223.529
417.605,82.3529
420.659,82.3529
423.714,82.3529
426.768,82.3529
429.823,82.3529
432.878,82.3529
435.932,82.3529
438.987,82.3529
442.042,82.3529
445.096,82.3529
448.151,82.3529
451.206,82.3529
454.26,82.3529
457.315,82.3529
460.37,152.941
463.424,223.529
466.479,294.118
469.534,294.118
472.588,223.529
475.643,223.529
478.698,223.529
481.752,223.529
484.807,223.529
487.862,152.941
490.916,152.941
493.971,152.941
497.026,152.941
500.08,223.529
503.135,294.118
506.19,647.059
509.244,929.412
512.299,929.412
515.354,929.412
518.408,788.235
521.463,647.059
524.518,505.882
527.572,505.882
530.627,505.882
533.682,505.882
536.736,505.882
539.791,505.882
542.846,505.882
545.9,505.882
548.955,576.471
552.01,647.059
555.064,788.235
558.119,1000
561.174,1141.18
564.228,1000
567.283,929.412
570.338,647.059
573.392,435.294
576.447,435.294
579.502,294.118
582.556,223.529
585.611,152.941
588.666,152.941
591.72,152.941
594.775,152.941
597.83,152.941
600.884,152.941
603.939,223.529
606.994,223.529
610.048,223.529
613.103,223.529
616.158,223.529
619.212,223.529
622.267,223.529
625.322,223.529
628.376,223.529
631.431,294.118
634.486,364.706
637.54,435.294
640.595,505.882
643.65,647.059
646.704,717.647
649.759,1070.59
652.814,1494.12
655.868,2270.59
658.923,3682.35
661.977,6011.76
665.032,7917.65
668.087,12435.3
671.141,13141.2
674.196,8270.59
677.251,6717.65
680.305,4105.88
683.36,2552.94
686.415,1705.88
689.469,1211.76
692.524,858.824
695.579,576.471
698.633,435.294
701.688,364.706
