,GP550R
RamanShit,Intensity
271.027,18.1176
274.077,16.2353
277.127,13.4118
280.177,23.7647
283.226,33.1765
286.276,45.4118
289.326,55.7647
292.376,64.2353
295.425,68.9412
298.475,36
301.525,19.0588
304.575,20
307.624,13.4118
310.674,15.2941
313.724,18.1176
316.774,11.5294
319.823,11.5294
322.873,11.5294
325.923,13.4118
328.973,31.2941
332.022,27.5294
335.072,21.8824
338.122,27.5294
341.172,33.1765
344.222,49.1765
347.271,63.2941
350.321,90.5882
353.371,124.471
356.421,160.235
359.47,132.941
362.52,124.471
365.57,80.2353
368.62,66.1176
371.669,45.4118
374.719,62.3529
377.769,44.4706
380.819,41.6471
383.868,40.7059
386.918,35.0588
389.968,35.0588
393.018,52
396.067,48.2353
399.117,62.3529
402.167,63.2941
405.217,68
408.266,64.2353
411.316,65.1765
414.366,83.0588
417.416,77.4118
420.465,84
423.515,75.5294
426.565,79.2941
429.615,64.2353
432.665,64.2353
435.714,67.0588
438.764,60.4706
441.814,22.8235
444.864,14.3529
447.913,13.4118
450.963,4.94118
454.013,4.94118
457.063,4.94118
460.112,7.76471
463.162,5.88235
466.212,5.88235
469.262,7.76471
472.311,6.82353
475.361,7.76471
478.411,21.8824
481.461,17.1765
484.51,28.4706
487.56,43.5294
490.61,51.0588
493.66,62.3529
496.709,71.7647
499.759,81.1765
502.809,91.5294
505.859,73.6471
508.909,67.0588
511.958,60.4706
515.008,22.8235
518.058,11.5294
521.108,7.76471
524.157,21.8824
527.207,46.3529
530.257,51.0588
533.307,66.1176
536.356,76.4706
539.406,53.8824
542.456,44.4706
545.506,36
548.555,29.4118
551.605,23.7647
554.655,17.1765
557.705,8.70588
560.754,20
563.804,29.4118
566.854,21.8824
569.904,31.2941
572.953,56.7059
576.003,47.2941
579.053,43.5294
582.103,48.2353
585.152,55.7647
588.202,40.7059
591.252,41.6471
594.302,23.7647
597.352,20.9412
600.401,26.5882
603.451,30.3529
606.501,4.94118
609.551,3.05882
612.6,8.70588
615.65,18.1176
618.7,21.8824
621.75,23.7647
624.799,26.5882
627.849,26.5882
630.899,36
633.949,38.8235
636.998,34.1176
640.048,36
643.098,48.2353
646.148,73.6471
649.197,102.824
652.247,139.529
655.297,165.882
658.347,187.529
661.396,205.412
664.446,146.118
667.496,109.412
670.546,82.1176
673.596,65.1765
676.645,60.4706
679.695,33.1765
682.745,16.2353
685.795,8.70588
688.844,8.70588
691.894,9.64706
694.944,13.4118
697.994,20.9412
701.043,26.5882
704.093,30.3529
707.143,17.1765
710.193,25.6471
713.242,20
716.292,15.2941
719.342,19.0588
722.392,15.2941
725.441,26.5882
728.491,21.8824
731.541,27.5294
734.591,42.5882
737.64,26.5882
740.69,22.8235
743.74,21.8824
746.79,31.2941
749.839,21.8824
752.889,21.8824
755.939,25.6471
758.989,18.1176
762.039,11.5294
765.088,18.1176
768.138,23.7647
771.188,30.3529
774.238,13.4118
777.287,16.2353
780.337,21.8824
783.387,25.6471
786.437,27.5294
789.486,44.4706
792.536,22.8235
795.586,21.8824
798.636,20
801.685,30.3529
804.735,28.4706
807.785,18.1176
810.835,18.1176
813.884,18.1176
816.934,20
819.984,20.9412
823.034,20
826.083,29.4118
829.133,15.2941
832.183,13.4118
835.233,13.4118
838.283,14.3529
841.332,17.1765
844.382,31.2941
847.432,18.1176
850.482,13.4118
853.531,12.4706
856.581,11.5294
859.631,23.7647
862.681,18.1176
865.73,17.1765
868.78,26.5882
871.83,19.0588
874.88,21.8824
877.929,26.5882
880.979,8.70588
884.029,11.5294
887.079,12.4706
890.128,20
893.178,27.5294
896.228,36.9412
899.278,20.9412
902.327,23.7647
905.377,25.6471
908.427,39.7647
911.477,48.2353
914.526,40.7059
917.576,23.7647
920.626,22.8235
923.676,20.9412
926.726,27.5294
929.775,32.2353
932.825,23.7647
935.875,23.7647
938.925,36.9412
941.974,31.2941
945.024,60.4706
948.074,47.2941
951.124,50.1176
954.173,61.4118
957.223,54.8235
960.273,52.9412
963.323,44.4706
966.372,33.1765
969.422,26.5882
972.472,33.1765
975.522,20
978.571,30.3529
981.621,23.7647
984.671,22.8235
987.721,38.8235
990.77,39.7647
993.82,43.5294
996.87,49.1765
999.92,58.5882
1002.97,75.5294
1006.02,99.0588
1009.07,89.6471
1012.12,93.4118
1015.17,88.7059
1018.22,90.5882
1021.27,81.1765
1024.32,76.4706
1027.37,68
1030.42,76.4706
1033.47,27.5294
1036.52,36.9412
1039.57,38.8235
1042.62,25.6471
1045.67,30.3529
1048.72,22.8235
1051.77,26.5882
1054.82,20.9412
1057.87,26.5882
1060.91,20
1063.96,16.2353
1067.01,18.1176
1070.06,23.7647
1073.11,11.5294
1076.16,11.5294
1079.21,11.5294
1082.26,12.4706
1085.31,12.4706
1088.36,31.2941
1091.41,18.1176
1094.46,20.9412
1097.51,20.9412
1100.56,31.2941
1103.61,25.6471
1106.66,34.1176
1109.71,19.0588
1112.76,20.9412
1115.81,26.5882
1118.86,22.8235
1121.91,23.7647
1124.96,36.9412
1128.01,28.4706
1131.06,26.5882
1134.11,28.4706
1137.16,34.1176
1140.21,22.8235
1143.26,22.8235
1146.31,27.5294
1149.36,21.8824
1152.41,20.9412
1155.46,25.6471
1158.51,33.1765
1161.56,23.7647
1164.61,23.7647
1167.66,33.1765
1170.71,41.6471
1173.76,22.8235
1176.81,34.1176
1179.86,14.3529
1182.91,8.70588
1185.96,25.6471
1189,36
1192.05,45.4118
1195.1,31.2941
1198.15,31.2941
1201.2,40.7059
1204.25,44.4706
1207.3,36.9412
1210.35,32.2353
1213.4,30.3529
1216.45,27.5294
1219.5,23.7647
1222.55,33.1765
1225.6,20
1228.65,15.2941
1231.7,14.3529
1234.75,21.8824
1237.8,7.76471
1240.85,2.11765
1243.9,0.235294
1246.95,0.235294
1250,0.235294
1253.05,0.235294
1256.1,0.235294
1259.15,0.235294
1262.2,0.235294
1265.25,0.235294
1268.3,0.235294
1271.35,0.235294
1274.4,0.235294
1277.45,0.235294
1280.5,0.235294
1283.55,0.235294
1286.6,0.235294
1289.65,0.235294
1292.7,0.235294
1295.75,0.235294
1298.8,0.235294
1301.85,0.235294
1304.9,0.235294
1307.95,0.235294
1311,0.235294
1314.04,0.235294
1317.09,0.235294
1320.14,0.235294
1323.19,0.235294
1326.24,0.235294
1329.29,0.235294
1332.34,0.235294
1335.39,0.235294
1338.44,0.235294
1341.49,0.235294
1344.54,0.235294
1347.59,0.235294
1350.64,0.235294
1353.69,0.235294
1356.74,0.235294
1359.79,0.235294
1362.84,0.235294
1365.89,0.235294
1368.94,0.235294
1371.99,0.235294
1375.04,0.235294
1378.09,0.235294
1381.14,0.235294
1384.19,0.235294
1387.24,0.235294
1390.29,0.235294
1393.34,0.235294
1396.39,0.235294
1399.44,0.235294
1402.49,0.235294
1405.54,0.235294
1408.59,0.235294
1411.64,0.235294
1414.69,0.235294
1417.74,0.235294
1420.79,0.235294
1423.84,0.235294
1426.89,0.235294
1429.94,0.235294
1432.99,0.235294
1436.04,0.235294
1439.09,0.235294
1442.13,0.235294
1445.18,0.235294
1448.23,0.235294
1451.28,0.235294
1454.33,0.235294
1457.38,0.235294
1460.43,0.235294
1463.48,0.235294
1466.53,0.235294
1469.58,0.235294
1472.63,0.235294
1475.68,0.235294
1478.73,0.235294
1481.78,0.235294
1484.83,0.235294
1487.88,0.235294
1490.93,0.235294
1493.98,0.235294
1497.03,0.235294
1500.08,0.235294
1503.13,0.235294
1506.18,0.235294
1509.23,0.235294
1512.28,0.235294
1515.33,0.235294
1518.38,0.235294
1521.43,0.235294
1524.48,0.235294
1527.53,0.235294
1530.58,0.235294
1533.63,0.235294
1536.68,0.235294
1539.73,0.235294
1542.78,0.235294
1545.83,0.235294
1548.88,0.235294
1551.93,0.235294
1554.98,0.235294
1558.03,0.235294
1561.08,0.235294
1564.13,0.235294
1567.17,0.235294
1570.22,0.235294
1573.27,0.235294
1576.32,0.235294
1579.37,0.235294
1582.42,0.235294
1585.47,0.235294
1588.52,0.235294
1591.57,0.235294
1594.62,0.235294
1597.67,0.235294
1600.72,0.235294
1603.77,0.235294
1606.82,0.235294
1609.87,0.235294
1612.92,0.235294
1615.97,0.235294
1619.02,0.235294
1622.07,0.235294
1625.12,0.235294
1628.17,0.235294
1631.22,0.235294
1634.27,0.235294
1637.32,0.235294
1640.37,0.235294
1643.42,0.235294
1646.47,0.235294
1649.52,0.235294
1652.57,0.235294
1655.62,0.235294
1658.67,0.235294
1661.72,0.235294
1664.77,0.235294
1667.82,0.235294
1670.87,0.235294
1673.92,0.235294
1676.97,0.235294
1680.02,0.235294
1683.07,0.235294
1686.12,0.235294
1689.17,0.235294
1692.22,0.235294
1695.26,0.235294
1698.31,0.235294
1701.36,0.235294
1704.41,0.235294
1707.46,0.235294
1710.51,0.235294
1713.56,0.235294
1716.61,0.235294
1719.66,0.235294
1722.71,0.235294
1725.76,0.235294
1728.81,0.235294
1731.86,0.235294
1734.91,0.235294
1737.96,0.235294
1741.01,0.235294
1744.06,0.235294
1747.11,0.235294
1750.16,0.235294
