,GP550R
RamanShit,Intensity
261.755,334.646
264.815,334.646
267.874,334.646
270.934,531.496
273.994,531.496
277.053,728.346
280.113,1122.05
283.172,1515.75
286.232,2303.15
289.291,3681.1
292.351,6240.16
295.411,9980.31
298.47,15885.8
301.53,16476.4
304.589,11752
307.649,9586.61
310.709,5649.61
313.768,3287.4
316.828,2303.15
319.887,1712.6
322.947,1318.9
326.006,1122.05
329.066,1122.05
332.126,1122.05
335.185,1122.05
338.245,1122.05
341.304,1122.05
344.364,925.197
347.424,728.346
350.483,531.496
353.543,531.496
356.602,531.496
359.662,531.496
362.721,334.646
365.781,334.646
368.841,334.646
371.9,334.646
374.96,334.646
378.019,334.646
381.079,334.646
384.138,334.646
387.198,334.646
390.258,334.646
393.317,334.646
396.377,137.795
399.436,137.795
402.496,137.795
405.556,137.795
408.615,137.795
411.675,137.795
414.734,137.795
417.794,137.795
420.853,137.795
423.913,137.795
426.973,137.795
430.032,137.795
433.092,137.795
436.151,137.795
439.211,137.795
442.271,137.795
445.33,137.795
448.39,137.795
451.449,137.795
454.509,137.795
457.568,137.795
460.628,137.795
463.688,137.795
466.747,137.795
469.807,137.795
472.866,137.795
475.926,137.795
478.986,334.646
482.045,334.646
485.105,531.496
488.164,531.496
491.224,531.496
494.283,334.646
497.343,334.646
500.403,334.646
503.462,334.646
506.522,334.646
509.581,334.646
512.641,137.795
515.7,137.795
518.76,137.795
521.82,137.795
524.879,137.795
527.939,137.795
530.998,334.646
534.058,334.646
537.118,334.646
540.177,334.646
543.237,334.646
546.296,334.646
549.356,334.646
552.415,334.646
555.475,531.496
558.535,531.496
561.594,531.496
564.654,531.496
567.713,531.496
570.773,531.496
573.833,531.496
576.892,531.496
579.952,531.496
583.011,531.496
586.071,531.496
589.13,531.496
592.19,531.496
595.25,531.496
598.309,531.496
601.369,531.496
604.428,531.496
607.488,531.496
610.548,728.346
613.607,728.346
616.667,728.346
619.726,728.346
622.786,728.346
625.845,728.346
628.905,728.346
631.965,728.346
635.024,531.496
638.084,531.496
641.143,531.496
644.203,531.496
647.262,531.496
650.322,531.496
653.382,531.496
656.441,531.496
659.501,334.646
662.56,334.646
665.62,334.646
668.68,334.646
671.739,334.646
674.799,334.646
677.858,334.646
680.918,334.646
683.977,334.646
687.037,334.646
690.097,137.795
693.156,137.795
696.216,137.795
699.275,137.795
702.335,334.646
705.395,334.646
708.454,334.646
711.514,334.646
714.573,531.496
717.633,728.346
720.692,925.197
723.752,1515.75
726.812,1712.6
729.871,2106.3
732.931,1318.9
735.99,925.197
739.05,728.346
742.11,334.646
745.169,334.646
748.229,137.795
751.288,137.795
754.348,137.795
757.407,137.795
760.467,137.795
763.527,137.795
766.586,137.795
769.646,137.795
772.705,137.795
775.765,137.795
778.824,137.795
781.884,137.795
784.944,137.795
788.003,137.795
791.063,137.795
794.122,137.795
797.182,137.795
800.242,137.795
803.301,137.795
806.361,137.795
809.42,137.795
812.48,137.795
815.539,334.646
818.599,334.646
821.659,334.646
824.718,334.646
827.778,334.646
830.837,334.646
833.897,334.646
836.957,334.646
840.016,334.646
843.076,334.646
846.135,334.646
849.195,334.646
852.254,334.646
855.314,334.646
858.374,531.496
861.433,531.496
864.493,531.496
867.552,531.496
870.612,531.496
873.671,531.496
876.731,531.496
879.791,531.496
882.85,531.496
885.91,728.346
888.969,531.496
892.029,531.496
895.089,531.496
898.148,531.496
901.208,531.496
904.267,531.496
907.327,531.496
910.386,531.496
913.446,531.496
916.506,531.496
919.565,531.496
922.625,531.496
925.684,531.496
928.744,531.496
931.804,531.496
934.863,334.646
937.923,334.646
940.982,334.646
944.042,334.646
947.101,334.646
950.161,334.646
953.221,334.646
956.28,334.646
959.34,334.646
962.399,334.646
965.459,334.646
968.519,334.646
971.578,334.646
974.638,334.646
977.697,137.795
980.757,137.795
983.816,137.795
986.876,137.795
989.936,137.795
992.995,137.795
996.055,137.795
999.114,137.795
1002.17,137.795
1005.23,137.795
1008.29,137.795
1011.35,137.795
1014.41,137.795
1017.47,137.795
1020.53,137.795
1023.59,137.795
1026.65,137.795
1029.71,137.795
1032.77,137.795
1035.83,137.795
1038.89,137.795
1041.95,137.795
1045.01,137.795
1048.07,137.795
1051.13,334.646
1054.19,334.646
1057.25,334.646
1060.31,334.646
1063.37,334.646
1066.43,334.646
1069.48,531.496
1072.54,728.346
1075.6,1122.05
1078.66,1515.75
1081.72,1712.6
1084.78,1909.45
1087.84,2303.15
1090.9,3287.4
1093.96,5255.91
1097.02,10767.7
1100.08,14901.6
1103.14,23563
1106.2,14901.6
1109.26,10374
1112.32,4271.65
1115.38,1909.45
1118.44,1122.05
1121.5,728.346
1124.56,334.646
1127.62,334.646
1130.68,334.646
1133.74,334.646
1136.8,334.646
1139.86,531.496
1142.91,531.496
1145.97,728.346
1149.03,728.346
1152.09,925.197
1155.15,925.197
1158.21,925.197
1161.27,1122.05
1164.33,1318.9
1167.39,1515.75
1170.45,1515.75
1173.51,1712.6
1176.57,1515.75
1179.63,1515.75
1182.69,1122.05
1185.75,925.197
1188.81,728.346
1191.87,728.346
1194.93,531.496
1197.99,334.646
1201.05,334.646
1204.11,334.646
1207.17,334.646
1210.23,531.496
1213.29,531.496
1216.34,531.496
1219.4,728.346
1222.46,728.346
1225.52,728.346
1228.58,728.346
1231.64,728.346
1234.7,728.346
1237.76,531.496
1240.82,531.496
1243.88,531.496
1246.94,531.496
1250,334.646
1253.06,334.646
1256.12,334.646
1259.18,334.646
1262.24,334.646
1265.3,334.646
1268.36,334.646
1271.42,531.496
1274.48,728.346
1277.54,728.346
1280.6,728.346
1283.66,925.197
1286.71,728.346
1289.77,728.346
1292.83,728.346
1295.89,531.496
1298.95,334.646
1302.01,334.646
1305.07,137.795
1308.13,137.795
1311.19,137.795
1314.25,137.795
1317.31,137.795
1320.37,137.795
1323.43,137.795
1326.49,334.646
1329.55,334.646
1332.61,531.496
1335.67,728.346
1338.73,728.346
1341.79,925.197
1344.85,1122.05
1347.91,1122.05
1350.97,1122.05
1354.03,1122.05
1357.09,925.197
1360.14,925.197
1363.2,728.346
1366.26,531.496
1369.32,531.496
1372.38,334.646
1375.44,334.646
1378.5,334.646
1381.56,334.646
1384.62,137.795
1387.68,137.795
1390.74,137.795
1393.8,334.646
1396.86,334.646
1399.92,334.646
1402.98,334.646
1406.04,334.646
1409.1,334.646
1412.16,531.496
1415.22,531.496
1418.28,334.646
1421.34,334.646
1424.4,334.646
1427.46,334.646
1430.52,334.646
1433.57,334.646
1436.63,531.496
1439.69,728.346
1442.75,728.346
1445.81,728.346
1448.87,531.496
1451.93,531.496
1454.99,334.646
1458.05,334.646
1461.11,334.646
1464.17,334.646
1467.23,334.646
1470.29,334.646
1473.35,334.646
1476.41,334.646
1479.47,334.646
1482.53,334.646
1485.59,334.646
1488.65,334.646
1491.71,334.646
1494.77,531.496
1497.83,531.496
1500.89,334.646
1503.95,334.646
1507,334.646
1510.06,334.646
