,GP550R
RamanShit,Intensity
255.565,-0.354331
258.629,8.85827
261.694,13.8189
264.758,18.7795
267.823,23.0315
270.887,26.5748
273.952,29.4094
277.016,30.8268
280.081,31.5354
283.145,32.9528
286.21,33.6614
289.274,38.622
292.339,35.7874
295.403,33.6614
298.468,33.6614
301.532,31.5354
304.597,25.8661
307.661,16.6535
310.726,8.14961
313.79,3.89764
316.855,3.18898
319.919,2.48031
322.984,3.89764
326.048,3.89764
329.113,6.73228
332.177,13.1102
335.242,22.3228
338.306,30.1181
341.371,38.622
344.435,47.126
347.5,48.5433
350.565,54.2126
353.629,62.0079
356.694,41.4567
359.758,30.8268
362.823,27.2835
365.887,25.8661
368.952,25.1575
372.016,24.4488
375.081,25.1575
378.145,26.5748
381.21,28.7008
384.274,31.5354
387.339,39.3307
390.403,50.6693
393.468,56.3386
396.532,62.7165
399.597,56.3386
402.661,54.9213
405.726,50.6693
408.79,47.8346
411.855,47.126
414.919,45.7087
417.984,45.7087
421.048,42.1654
424.113,34.3701
427.177,23.7402
430.242,12.4016
433.306,5.31496
436.371,3.89764
439.435,2.48031
442.5,2.48031
445.565,1.06299
448.629,1.06299
451.694,1.06299
454.758,1.77165
457.823,3.89764
460.887,2.48031
463.952,3.18898
467.016,3.89764
470.081,8.14961
473.145,17.3622
476.21,27.2835
479.274,39.3307
482.339,52.0866
485.403,67.6772
488.468,86.811
491.532,108.78
494.597,124.37
497.661,130.748
500.726,132.874
503.79,138.543
506.855,157.677
509.919,171.142
512.984,116.575
516.048,79.7244
519.113,43.5827
522.177,20.1969
525.242,6.73228
528.306,3.18898
531.371,2.48031
534.435,3.89764
537.5,6.02362
540.565,9.56693
543.629,13.1102
546.694,16.6535
549.758,20.1969
552.823,23.0315
555.887,23.0315
558.952,27.2835
562.016,25.1575
565.081,23.0315
568.145,23.0315
571.21,20.9055
574.274,17.3622
577.339,13.1102
580.403,9.56693
583.468,8.14961
586.532,6.73228
589.597,4.6063
592.661,2.48031
595.726,1.77165
598.79,1.77165
601.855,1.06299
604.919,6.02362
607.984,9.56693
611.048,18.0709
614.113,14.5276
617.177,10.9843
620.242,8.85827
623.306,5.31496
626.371,6.02362
629.435,6.73228
632.5,10.2756
635.565,18.7795
638.629,60.5906
641.694,79.7244
644.758,22.3228
647.823,20.9055
650.887,18.7795
653.952,18.0709
657.016,16.6535
660.081,13.1102
663.145,15.9449
666.21,15.9449
669.274,15.9449
672.339,18.7795
675.403,14.5276
678.468,13.1102
681.532,10.9843
684.597,10.9843
687.661,10.2756
690.726,8.85827
693.79,7.44094
696.855,6.73228
699.919,5.31496
702.984,3.89764
706.048,3.89764
709.113,2.48031
712.177,3.18898
715.242,3.89764
718.306,4.6063
721.371,5.31496
724.435,6.73228
727.5,10.2756
730.565,13.8189
733.629,13.8189
736.694,20.1969
739.758,13.8189
742.823,11.6929
745.887,8.85827
748.952,7.44094
752.016,6.73228
755.081,6.73228
758.145,6.02362
761.21,5.31496
764.274,4.6063
767.339,3.89764
770.403,1.77165
773.468,1.77165
776.532,1.77165
779.597,1.77165
782.661,1.77165
785.726,2.48031
788.79,3.18898
791.855,4.6063
794.919,7.44094
797.984,16.6535
801.048,30.1181
804.113,47.8346
807.177,72.6378
810.242,103.819
813.306,107.362
816.371,94.6063
819.435,93.189
822.5,92.4803
825.565,91.063
828.629,88.2283
831.694,89.6457
834.758,89.6457
837.823,90.3543
840.887,99.5669
843.952,96.7323
847.016,88.937
850.081,78.3071
853.145,63.4252
856.21,50.6693
859.274,39.3307
862.339,27.9921
865.403,19.4882
868.468,13.1102
871.532,8.14961
874.597,6.02362
877.661,3.18898
880.726,2.48031
883.79,1.06299
886.855,1.77165
889.919,2.48031
892.984,4.6063
896.048,5.31496
899.113,9.56693
902.177,13.8189
905.242,16.6535
908.306,20.9055
911.371,27.2835
914.435,35.0787
917.5,40.0394
920.565,42.1654
923.629,42.874
926.694,44.2913
929.758,50.6693
932.823,60.5906
935.887,71.2205
938.952,82.5591
942.016,88.937
945.081,96.7323
948.145,93.8976
951.21,88.937
954.274,84.685
957.339,75.4724
960.403,65.5512
963.468,56.3386
966.532,50.6693
969.597,44.2913
972.661,35.0787
975.726,24.4488
978.79,15.9449
981.855,12.4016
984.919,8.85827
987.984,5.31496
991.048,3.18898
994.113,3.18898
997.177,2.48031
1000.24,1.77165
1003.31,1.77165
1006.37,1.77165
1009.44,1.77165
1012.5,1.77165
1015.56,4.6063
1018.63,3.18898
1021.69,2.48031
1024.76,2.48031
1027.82,3.89764
1030.89,4.6063
1033.95,8.14961
1037.02,14.5276
1040.08,18.0709
1043.15,26.5748
1046.21,19.4882
1049.27,19.4882
1052.34,17.3622
1055.4,20.1969
1058.47,20.9055
1061.53,22.3228
1064.6,24.4488
1067.66,29.4094
1070.73,34.3701
1073.79,39.3307
1076.85,35.0787
1079.92,33.6614
1082.98,32.2441
1086.05,30.1181
1089.11,27.9921
1092.18,23.7402
1095.24,20.9055
1098.31,18.0709
1101.37,21.6142
1104.44,24.4488
1107.5,31.5354
1110.56,47.126
1113.63,57.0472
1116.69,71.2205
1119.76,56.3386
1122.82,46.4173
1125.89,27.9921
1128.95,15.9449
1132.02,9.56693
1135.08,6.02362
1138.15,4.6063
1141.21,3.89764
1144.27,3.18898
1147.34,3.18898
1150.4,2.48031
1153.47,1.77165
1156.53,1.06299
1159.6,1.06299
1162.66,1.06299
1165.73,1.06299
1168.79,1.77165
1171.85,3.18898
1174.92,4.6063
1177.98,11.6929
1181.05,22.3228
1184.11,44.2913
1187.18,49.252
1190.24,27.2835
1193.31,20.1969
1196.37,7.44094
1199.44,2.48031
1202.5,1.77165
1205.56,3.18898
1208.63,3.89764
1211.69,7.44094
1214.76,14.5276
1217.82,20.9055
1220.89,26.5748
1223.95,30.8268
1227.02,37.9134
1230.08,33.6614
1233.15,30.1181
1236.21,27.9921
1239.27,25.1575
1242.34,23.0315
1245.4,20.9055
1248.47,18.7795
1251.53,18.0709
1254.6,17.3622
1257.66,16.6535
1260.73,13.1102
1263.79,9.56693
1266.85,6.02362
1269.92,3.18898
1272.98,1.77165
1276.05,1.77165
1279.11,1.77165
1282.18,2.48031
1285.24,5.31496
1288.31,-0.354331
1291.37,-0.354331
1294.44,-0.354331
1297.5,-0.354331
1300.56,-0.354331
1303.63,-0.354331
1306.69,-0.354331
1309.76,-0.354331
1312.82,-0.354331
1315.89,-0.354331
1318.95,-0.354331
1322.02,-0.354331
1325.08,-0.354331
1328.15,-0.354331
1331.21,-0.354331
