,GP550R
RamanShit,Intensity
261.755,197.628
264.815,197.628
267.874,197.628
270.934,197.628
273.994,197.628
277.053,197.628
280.113,197.628
283.172,355.731
286.232,355.731
289.291,355.731
292.351,513.834
295.411,513.834
298.47,513.834
301.53,513.834
304.589,355.731
307.649,355.731
310.709,355.731
313.768,197.628
316.828,197.628
319.887,39.5257
322.947,39.5257
326.006,39.5257
329.066,39.5257
332.126,39.5257
335.185,39.5257
338.245,197.628
341.304,197.628
344.364,197.628
347.424,355.731
350.483,355.731
353.543,513.834
356.602,513.834
359.662,513.834
362.721,513.834
365.781,513.834
368.841,671.937
371.9,671.937
374.96,671.937
378.019,513.834
381.079,513.834
384.138,513.834
387.198,513.834
390.258,513.834
393.317,513.834
396.377,513.834
399.436,513.834
402.496,355.731
405.556,355.731
408.615,355.731
411.675,355.731
414.734,197.628
417.794,197.628
420.853,39.5257
423.913,39.5257
426.973,39.5257
430.032,39.5257
433.092,39.5257
436.151,39.5257
439.211,39.5257
442.271,39.5257
445.33,39.5257
448.39,39.5257
451.449,197.628
454.509,355.731
457.568,513.834
460.628,988.142
463.688,1304.35
466.747,1620.55
469.807,1304.35
472.866,988.142
475.926,671.937
478.986,513.834
482.045,355.731
485.105,355.731
488.164,197.628
491.224,197.628
494.283,197.628
497.343,197.628
500.403,197.628
503.462,197.628
506.522,197.628
509.581,197.628
512.641,197.628
515.7,39.5257
518.76,39.5257
521.82,39.5257
524.879,39.5257
527.939,39.5257
530.998,39.5257
534.058,39.5257
537.118,39.5257
540.177,39.5257
543.237,39.5257
546.296,39.5257
549.356,39.5257
552.415,39.5257
555.475,39.5257
558.535,39.5257
561.594,39.5257
564.654,39.5257
567.713,39.5257
570.773,39.5257
573.833,39.5257
576.892,39.5257
579.952,39.5257
583.011,39.5257
586.071,39.5257
589.13,39.5257
592.19,39.5257
595.25,39.5257
598.309,39.5257
601.369,39.5257
604.428,39.5257
607.488,39.5257
610.548,39.5257
613.607,39.5257
616.667,39.5257
619.726,39.5257
622.786,39.5257
625.845,39.5257
628.905,39.5257
631.965,39.5257
635.024,39.5257
638.084,39.5257
641.143,39.5257
644.203,39.5257
647.262,39.5257
650.322,39.5257
653.382,39.5257
656.441,39.5257
659.501,39.5257
662.56,39.5257
665.62,39.5257
668.68,197.628
671.739,197.628
674.799,197.628
677.858,197.628
680.918,197.628
683.977,197.628
687.037,197.628
690.097,197.628
693.156,197.628
696.216,197.628
699.275,197.628
702.335,197.628
705.395,39.5257
708.454,39.5257
711.514,39.5257
714.573,39.5257
717.633,39.5257
720.692,39.5257
723.752,39.5257
726.812,39.5257
729.871,39.5257
732.931,39.5257
735.99,39.5257
739.05,39.5257
742.11,39.5257
745.169,39.5257
748.229,39.5257
751.288,39.5257
754.348,39.5257
757.407,39.5257
760.467,39.5257
763.527,39.5257
766.586,39.5257
769.646,39.5257
772.705,39.5257
775.765,39.5257
