,GP550R
RamanShit,Intensity
263.462,16.129
266.639,16.129
269.816,41.2186
272.993,66.3082
276.171,91.3978
279.348,141.577
282.525,191.756
285.702,191.756
288.88,216.846
292.057,216.846
295.234,216.846
298.411,241.935
301.589,267.025
304.766,317.204
307.943,417.563
311.12,568.1
314.298,1120.07
317.475,1170.25
320.652,568.1
323.829,568.1
327.007,367.384
330.184,91.3978
333.361,41.2186
336.538,41.2186
339.716,41.2186
342.893,16.129
346.07,16.129
349.247,16.129
352.425,16.129
355.602,16.129
358.779,16.129
361.957,16.129
365.134,16.129
368.311,41.2186
371.488,66.3082
374.666,116.487
377.843,141.577
381.02,216.846
384.197,267.025
387.375,292.115
390.552,743.728
393.729,618.28
396.906,317.204
400.084,292.115
403.261,292.115
406.438,292.115
409.615,267.025
412.793,241.935
415.97,241.935
419.147,241.935
422.324,241.935
425.502,241.935
428.679,241.935
431.856,216.846
435.033,216.846
438.211,216.846
441.388,367.384
444.565,292.115
447.742,191.756
450.92,141.577
454.097,116.487
457.274,91.3978
460.452,41.2186
463.629,16.129
466.806,16.129
469.983,16.129
473.161,16.129
476.338,16.129
479.515,16.129
482.692,16.129
485.87,16.129
489.047,16.129
492.224,16.129
495.401,41.2186
498.579,41.2186
501.756,41.2186
504.933,66.3082
508.11,91.3978
511.288,116.487
514.465,216.846
517.642,317.204
520.819,317.204
523.997,392.473
527.174,342.294
530.351,317.204
533.528,267.025
536.706,166.667
539.883,91.3978
543.06,91.3978
546.237,66.3082
549.415,66.3082
552.592,66.3082
555.769,66.3082
558.946,66.3082
562.124,91.3978
565.301,91.3978
568.478,116.487
571.656,141.577
574.833,141.577
578.01,166.667
581.187,141.577
584.365,116.487
587.542,116.487
590.719,66.3082
593.896,41.2186
597.074,41.2186
600.251,41.2186
603.428,41.2186
606.605,16.129
609.783,16.129
612.96,41.2186
616.137,66.3082
619.314,66.3082
622.492,66.3082
625.669,66.3082
628.846,41.2186
632.023,41.2186
635.201,16.129
638.378,16.129
641.555,16.129
644.732,16.129
647.91,16.129
651.087,16.129
654.264,66.3082
657.441,91.3978
660.619,141.577
663.796,292.115
666.973,844.086
670.151,1320.79
673.328,1546.59
676.505,1797.49
679.682,1822.58
682.86,4557.35
686.037,3051.97
689.214,1797.49
692.391,1521.51
695.569,969.534
698.746,568.1
701.923,417.563
705.1,292.115
