,GP550R
RamanShit,Intensity
268.822,11.0063
272.49,24.8428
276.158,31.761
279.826,38.6792
283.494,52.5157
287.162,59.434
290.83,87.1069
294.498,177.044
298.166,273.899
301.834,343.082
305.502,391.509
309.17,391.509
312.838,398.428
316.506,446.855
320.174,509.119
323.842,253.145
327.51,114.78
331.178,100.943
334.846,66.3522
338.514,107.862
342.181,128.616
345.849,197.799
349.517,266.981
353.185,384.591
356.853,363.836
360.521,280.818
364.189,273.899
367.857,253.145
371.525,225.472
375.193,218.553
378.861,204.717
382.529,225.472
386.197,239.308
389.865,273.899
393.533,322.327
397.201,343.082
400.869,356.918
404.537,356.918
408.205,384.591
411.873,356.918
415.541,350
419.208,350
422.876,315.409
426.544,287.736
430.212,266.981
433.88,260.063
437.548,253.145
441.216,246.226
444.884,246.226
448.552,246.226
452.22,232.39
455.888,239.308
459.556,239.308
463.224,239.308
466.892,280.818
470.56,253.145
474.228,239.308
477.896,211.635
481.564,190.881
485.232,177.044
488.9,177.044
492.568,170.126
496.236,156.289
499.903,156.289
503.571,156.289
507.239,128.616
510.907,163.208
514.575,177.044
518.243,232.39
521.911,301.572
525.579,336.164
529.247,398.428
532.915,453.774
536.583,474.528
540.251,474.528
543.919,474.528
547.587,474.528
551.255,474.528
554.923,474.528
558.591,467.61
562.259,446.855
565.927,439.937
569.595,426.101
573.263,370.755
576.931,336.164
580.598,329.245
584.266,287.736
587.934,336.164
591.602,350
595.27,363.836
598.938,384.591
602.606,398.428
606.274,398.428
609.942,481.447
613.61,467.61
617.278,391.509
620.946,363.836
624.614,308.491
628.282,260.063
631.95,239.308
635.618,232.39
639.286,225.472
642.954,218.553
646.622,225.472
650.29,232.39
653.958,246.226
657.625,315.409
661.293,377.673
664.961,419.182
668.629,522.956
672.297,792.767
675.965,1000.31
679.633,1927.36
683.301,1733.65
686.969,1000.31
690.637,951.887
694.305,785.849
697.973,585.22
701.641,488.365
705.309,467.61
708.977,467.61
712.645,453.774
716.313,467.61
719.981,481.447
723.649,495.283
727.317,516.038
730.985,522.956
734.653,550.629
738.32,516.038
741.988,488.365
745.656,453.774
749.324,412.264
752.992,370.755
756.66,336.164
760.328,322.327
763.996,308.491
767.664,308.491
771.332,315.409
775,336.164
778.668,356.918
782.336,363.836
786.004,398.428
789.672,433.019
793.34,433.019
797.008,439.937
800.676,439.937
804.344,433.019
808.012,426.101
811.68,419.182
815.347,405.346
819.015,391.509
822.683,350
826.351,315.409
830.019,294.654
833.687,246.226
837.355,218.553
841.023,204.717
844.691,190.881
848.359,183.962
852.027,177.044
855.695,177.044
859.363,170.126
863.031,163.208
866.699,142.453
870.367,121.698
874.035,121.698
877.703,121.698
881.371,114.78
885.039,107.862
888.707,94.0252
892.375,107.862
896.042,107.862
899.71,107.862
903.378,107.862
907.046,114.78
910.714,121.698
914.382,149.371
918.05,100.943
921.718,73.2704
925.386,45.5975
929.054,45.5975
932.722,52.5157
936.39,87.1069
940.058,149.371
943.726,183.962
947.394,190.881
951.062,197.799
954.73,225.472
958.398,183.962
962.066,177.044
965.734,149.371
969.402,128.616
973.069,128.616
976.737,121.698
980.405,114.78
984.073,107.862
987.741,121.698
991.409,135.535
995.077,94.0252
998.745,94.0252
1002.41,94.0252
1006.08,87.1069
1009.75,59.434
1013.42,31.761
1017.08,17.9245
1020.75,24.8428
1024.42,31.761
1028.09,31.761
1031.76,38.6792
1035.42,59.434
1039.09,114.78
1042.76,149.371
1046.43,197.799
1050.1,315.409
1053.76,488.365
1057.43,675.157
1061.1,758.176
1064.77,875.786
1068.44,751.258
1072.1,744.34
1075.77,654.403
1079.44,467.61
1083.11,294.654
1086.78,183.962
1090.44,100.943
1094.11,52.5157
1097.78,31.761
1101.45,52.5157
1105.12,59.434
1108.78,59.434
1112.45,66.3522
1116.12,73.2704
1119.79,80.1887
1123.46,107.862
1127.12,73.2704
1130.79,73.2704
1134.46,52.5157
1138.13,17.9245
1141.8,17.9245
1145.46,11.0063
1149.13,11.0063
1152.8,11.0063
1156.47,11.0063
1160.14,17.9245
1163.8,24.8428
1167.47,38.6792
1171.14,38.6792
1174.81,45.5975
1178.47,45.5975
1182.14,45.5975
1185.81,45.5975
1189.48,45.5975
1193.15,45.5975
1196.81,38.6792
1200.48,38.6792
1204.15,38.6792
1207.82,38.6792
1211.49,31.761
1215.15,24.8428
1218.82,24.8428
1222.49,52.5157
1226.16,17.9245
1229.83,24.8428
1233.49,24.8428
1237.16,24.8428
1240.83,24.8428
1244.5,24.8428
1248.17,24.8428
1251.83,17.9245
1255.5,11.0063
1259.17,4.08805
1262.84,4.08805
1266.51,-2.83019
1270.17,4.08805
1273.84,11.0063
1277.51,11.0063
1281.18,24.8428
1284.85,24.8428
1288.51,45.5975
1292.18,31.761
1295.85,31.761
1299.52,31.761
1303.19,24.8428
1306.85,31.761
1310.52,45.5975
1314.19,11.0063
1317.86,17.9245
1321.53,17.9245
1325.19,17.9245
1328.86,17.9245
1332.53,17.9245
1336.2,17.9245
1339.86,17.9245
1343.53,17.9245
1347.2,17.9245
1350.87,17.9245
1354.54,17.9245
1358.2,17.9245
1361.87,17.9245
1365.54,11.0063
1369.21,11.0063
1372.88,11.0063
1376.54,11.0063
1380.21,11.0063
1383.88,4.08805
1387.55,4.08805
1391.22,4.08805
1394.88,4.08805
1398.55,11.0063
1402.22,11.0063
1405.89,11.0063
1409.56,17.9245
1413.22,17.9245
1416.89,17.9245
1420.56,17.9245
1424.23,17.9245
1427.9,17.9245
1431.56,17.9245
1435.23,11.0063
1438.9,11.0063
