,GP550R
RamanShit,Intensity
261.817,-177.866
264.871,-177.866
267.926,-177.866
270.981,-177.866
274.035,-177.866
277.09,-177.866
280.145,-177.866
283.199,-177.866
286.254,98.8142
289.309,375.494
292.363,652.174
295.418,1758.89
298.473,2312.25
301.527,2312.25
304.582,2312.25
307.637,2035.57
310.691,2035.57
313.746,2035.57
316.801,2312.25
319.855,2588.93
322.91,3695.65
325.965,4802.37
329.019,7015.81
332.074,11719.4
335.129,20849.8
338.183,30810.3
341.238,51837.9
344.293,55158.1
347.347,34407.1
350.402,27766.8
353.457,16699.6
356.511,10336
359.566,6739.13
362.621,4525.69
365.675,2865.61
368.73,2312.25
371.785,2312.25
374.839,2588.93
377.894,3142.29
380.949,3695.65
384.003,3695.65
387.058,3972.33
390.113,4249.01
393.167,5355.73
396.222,7845.85
399.277,12549.4
402.331,13102.8
405.386,10059.3
408.441,10059.3
411.495,9229.25
414.55,10059.3
417.605,10336
420.659,12549.4
423.714,9505.93
426.768,7292.49
429.823,3418.97
432.878,2035.57
435.932,1758.89
438.987,2312.25
442.042,2588.93
445.096,3418.97
448.151,2588.93
451.206,1758.89
454.26,652.174
457.315,375.494
460.37,98.8142
463.424,98.8142
466.479,98.8142
469.534,98.8142
472.588,98.8142
475.643,98.8142
478.698,98.8142
481.752,98.8142
484.807,98.8142
487.862,98.8142
490.916,98.8142
493.971,98.8142
497.026,-177.866
500.08,-177.866
503.135,-177.866
506.19,98.8142
509.244,375.494
512.299,928.854
515.354,1758.89
518.408,2588.93
521.463,3142.29
524.518,3142.29
527.572,3142.29
530.627,3142.29
533.682,2865.61
536.736,2865.61
539.791,2865.61
542.846,2588.93
545.9,2588.93
548.955,2588.93
552.01,2588.93
555.064,2035.57
558.119,1205.53
561.174,652.174
564.228,375.494
567.283,375.494
570.338,375.494
573.392,375.494
576.447,652.174
579.502,652.174
582.556,652.174
585.611,375.494
588.666,375.494
591.72,98.8142
594.775,98.8142
597.83,98.8142
600.884,98.8142
603.939,98.8142
606.994,98.8142
610.048,98.8142
613.103,98.8142
616.158,98.8142
619.212,98.8142
622.267,98.8142
625.322,98.8142
628.376,98.8142
631.431,375.494
634.486,375.494
637.54,652.174
640.595,928.854
643.65,1482.21
646.704,2588.93
649.759,3972.33
652.814,6185.77
655.868,10336
658.923,16699.6
661.977,25830
665.032,26660.1
668.087,20019.8
671.141,20019.8
674.196,17253
677.251,20019.8
680.305,22233.2
683.36,24446.6
686.415,30256.9
689.469,24446.6
692.524,21403.2
695.579,14486.2
698.633,8122.53
701.688,4802.37
704.743,2865.61
707.797,1482.21
710.852,1205.53
713.907,652.174
716.961,375.494
720.016,98.8142
723.071,98.8142
726.125,98.8142
729.18,98.8142
732.235,98.8142
735.289,98.8142
738.344,98.8142
741.399,375.494
744.453,652.174
747.508,652.174
750.563,928.854
753.617,928.854
756.672,652.174
759.727,652.174
762.781,98.8142
765.836,98.8142
768.891,-177.866
771.945,-177.866
775,-177.866
778.055,-177.866
781.109,-177.866
784.164,98.8142
787.219,98.8142
790.273,98.8142
793.328,98.8142
796.383,98.8142
799.437,98.8142
802.492,98.8142
805.547,98.8142
808.601,98.8142
811.656,98.8142
814.711,98.8142
817.765,98.8142
820.82,98.8142
823.875,98.8142
826.929,98.8142
829.984,98.8142
833.039,98.8142
836.093,98.8142
839.148,375.494
842.203,652.174
845.257,928.854
848.312,1482.21
851.367,2035.57
854.421,2588.93
857.476,2035.57
860.531,1758.89
863.585,928.854
866.64,652.174
869.695,375.494
872.749,98.8142
875.804,98.8142
878.859,98.8142
881.913,98.8142
884.968,98.8142
