,GP550R
RamanShit,Intensity
261.817,137.795
264.871,137.795
267.926,137.795
270.981,137.795
274.035,137.795
277.09,334.646
280.145,531.496
283.199,531.496
286.254,531.496
289.309,531.496
292.363,728.346
295.418,728.346
298.473,531.496
301.527,531.496
304.582,531.496
307.637,728.346
310.691,1122.05
313.746,2106.3
316.801,3090.55
319.855,4271.65
322.91,5452.76
325.965,6240.16
329.019,7027.56
332.074,7814.96
335.129,8996.06
338.183,10767.7
341.238,12933.1
344.293,15689
347.347,17263.8
350.402,17657.5
353.457,17066.9
356.511,16082.7
359.566,13917.3
362.621,11752
365.675,9783.46
368.73,8208.66
371.785,6830.71
374.839,6043.31
377.894,5846.46
380.949,5649.61
384.003,5649.61
387.058,5649.61
390.113,5452.76
393.167,5452.76
396.222,5452.76
399.277,5452.76
402.331,5452.76
405.386,5452.76
408.441,5452.76
411.495,5452.76
414.55,5452.76
417.605,5059.06
420.659,4074.8
423.714,2696.85
426.768,1515.75
429.823,728.346
432.878,334.646
435.932,334.646
438.987,531.496
442.042,531.496
445.096,728.346
448.151,531.496
451.206,531.496
454.26,531.496
457.315,531.496
460.37,334.646
463.424,334.646
466.479,137.795
469.534,137.795
472.588,137.795
475.643,137.795
478.698,137.795
481.752,334.646
484.807,334.646
487.862,334.646
490.916,334.646
493.971,137.795
497.026,137.795
500.08,137.795
503.135,334.646
506.19,531.496
509.244,925.197
512.299,1122.05
515.354,1318.9
518.408,1515.75
521.463,1515.75
524.518,1712.6
527.572,1909.45
530.627,1909.45
533.682,2106.3
536.736,2106.3
539.791,1909.45
542.846,1515.75
545.9,1122.05
548.955,925.197
552.01,925.197
555.064,925.197
558.119,925.197
561.174,925.197
564.228,925.197
567.283,1122.05
570.338,1318.9
573.392,1515.75
576.447,1515.75
579.502,1318.9
582.556,1122.05
585.611,728.346
588.666,334.646
591.72,137.795
594.775,137.795
597.83,137.795
600.884,137.795
603.939,137.795
606.994,137.795
610.048,137.795
613.103,137.795
616.158,137.795
619.212,137.795
622.267,137.795
625.322,334.646
628.376,728.346
631.431,1122.05
634.486,1909.45
637.54,2696.85
640.595,3484.25
643.65,4074.8
646.704,4862.2
649.759,6240.16
652.814,7814.96
655.868,9783.46
658.923,10964.6
661.977,10964.6
665.032,11161.4
668.087,11555.1
671.141,12145.7
674.196,14114.2
677.251,18641.7
680.305,24940.9
683.36,28484.3
686.415,31437
689.469,28484.3
692.524,24940.9
695.579,18051.2
698.633,12145.7
701.688,8208.66
704.743,5452.76
707.797,3484.25
710.852,2500
713.907,1712.6
716.961,1122.05
720.016,925.197
723.071,531.496
726.125,334.646
729.18,334.646
732.235,137.795
735.289,137.795
738.344,137.795
741.399,137.795
744.453,137.795
747.508,334.646
750.563,334.646
753.617,531.496
756.672,334.646
759.727,334.646
762.781,334.646
765.836,137.795
768.891,137.795
771.945,137.795
775,137.795
778.055,137.795
781.109,137.795
784.164,137.795
787.219,137.795
790.273,137.795
793.328,137.795
796.383,137.795
799.437,137.795
802.492,137.795
805.547,137.795
808.601,137.795
811.656,334.646
814.711,334.646
817.765,334.646
820.82,334.646
823.875,531.496
826.929,531.496
829.984,728.346
833.039,728.346
836.093,728.346
839.148,728.346
842.203,728.346
845.257,728.346
848.312,728.346
851.367,728.346
854.421,728.346
857.476,728.346
860.531,728.346
863.585,531.496
866.64,531.496
869.695,531.496
872.749,531.496
875.804,531.496
878.859,531.496
881.913,334.646
884.968,334.646
888.023,137.795
891.077,137.795
894.132,334.646
897.186,334.646
900.241,334.646
903.296,334.646
906.35,334.646
909.405,334.646
912.46,531.496
915.514,531.496
918.569,728.346
921.624,925.197
924.678,1122.05
927.733,1318.9
930.788,1712.6
933.842,1909.45
936.897,2106.3
939.952,2106.3
943.006,2106.3
946.061,2106.3
949.116,2106.3
952.17,2106.3
955.225,1909.45
958.28,1515.75
961.334,1122.05
964.389,728.346
967.444,334.646
970.498,334.646
973.553,334.646
976.608,531.496
979.662,728.346
982.717,1712.6
985.772,3090.55
988.826,5059.06
991.881,7814.96
994.936,11555.1
997.99,15885.8
1001.05,20216.5
1004.1,22381.9
1007.15,24744.1
1010.21,22381.9
1013.26,21791.3
1016.32,19232.3
1019.37,15689
1022.43,12933.1
1025.48,10767.7
1028.54,9192.91
1031.59,8011.81
1034.65,7027.56
1037.7,5846.46
1040.76,4665.35
1043.81,3877.95
1046.86,3090.55
1049.92,2500
1052.97,1909.45
1056.03,1515.75
1059.08,1122.05
1062.14,728.346
1065.19,531.496
1068.25,531.496
1071.3,137.795
1074.36,137.795
1077.41,137.795
1080.47,137.795
1083.52,137.795
1086.58,137.795
1089.63,137.795
1092.68,137.795
1095.74,137.795
1098.79,137.795
1101.85,137.795
1104.9,137.795
1107.96,137.795
1111.01,137.795
1114.07,137.795
1117.12,334.646
1120.18,137.795
1123.23,137.795
1126.29,137.795
1129.34,137.795
1132.4,137.795
1135.45,137.795
1138.5,137.795
1141.56,137.795
1144.61,137.795
1147.67,137.795
1150.72,137.795
1153.78,137.795
1156.83,137.795
1159.89,137.795
1162.94,137.795
1166,334.646
1169.05,334.646
1172.11,334.646
1175.16,334.646
1178.22,334.646
1181.27,334.646
1184.32,334.646
1187.38,334.646
1190.43,334.646
1193.49,334.646
1196.54,334.646
1199.6,334.646
1202.65,334.646
1205.71,334.646
1208.76,334.646
1211.82,334.646
1214.87,334.646
1217.93,334.646
1220.98,334.646
1224.04,334.646
1227.09,334.646
1230.14,334.646
1233.2,334.646
1236.25,334.646
1239.31,334.646
1242.36,334.646
1245.42,334.646
1248.47,334.646
1251.53,334.646
1254.58,334.646
1257.64,334.646
1260.69,334.646
1263.75,334.646
1266.8,334.646
1269.86,334.646
1272.91,334.646
1275.96,334.646
1279.02,334.646
1282.07,334.646
1285.13,334.646
1288.18,137.795
1291.24,137.795
1294.29,137.795
1297.35,137.795
1300.4,137.795
1303.46,137.795
1306.51,137.795
1309.57,137.795
1312.62,137.795
1315.68,137.795
1318.73,137.795
1321.78,137.795
1324.84,137.795
1327.89,137.795
1330.95,334.646
1334,334.646
1337.06,334.646
1340.11,137.795
1343.17,137.795
1346.22,137.795
1349.28,334.646
1352.33,334.646
1355.39,334.646
1358.44,334.646
1361.5,334.646
1364.55,334.646
1367.6,334.646
1370.66,334.646
1373.71,334.646
1376.77,334.646
1379.82,334.646
1382.88,334.646
1385.93,334.646
1388.99,137.795
1392.04,137.795
1395.1,137.795
1398.15,137.795
1401.21,334.646
1404.26,334.646
1407.32,334.646
1410.37,334.646
1413.42,334.646
1416.48,334.646
1419.53,334.646
1422.59,334.646
1425.64,334.646
1428.7,334.646
1431.75,334.646
1434.81,334.646
1437.86,334.646
1440.92,334.646
1443.97,334.646
1447.03,334.646
1450.08,334.646
1453.14,137.795
1456.19,137.795
1459.24,137.795
1462.3,137.795
1465.35,137.795
1468.41,137.795
1471.46,137.795
1474.52,137.795
1477.57,137.795
1480.63,137.795
1483.68,137.795
1486.74,334.646
1489.79,334.646
1492.85,334.646
1495.9,334.646
1498.95,334.646
1502.01,334.646
1505.06,334.646
1508.12,334.646
1511.17,334.646
1514.23,334.646
1517.28,334.646
1520.34,334.646
1523.39,334.646
1526.45,334.646
1529.5,334.646
1532.56,334.646
1535.61,334.646
1538.67,334.646
1541.72,334.646
1544.77,334.646
1547.83,334.646
1550.88,334.646
1553.94,531.496
1556.99,531.496
1560.05,334.646
1563.1,334.646
1566.16,334.646
1569.21,334.646
1572.27,334.646
1575.32,334.646
1578.38,334.646
1581.43,334.646
1584.49,334.646
1587.54,334.646
1590.59,334.646
1593.65,334.646
1596.7,334.646
1599.76,334.646
1602.81,334.646
1605.87,334.646
1608.92,334.646
1611.98,334.646
1615.03,334.646
1618.09,334.646
1621.14,334.646
1624.2,334.646
1627.25,334.646
1630.31,334.646
1633.36,334.646
1636.41,334.646
1639.47,334.646
1642.52,334.646
1645.58,334.646
1648.63,334.646
1651.69,334.646
1654.74,334.646
1657.8,334.646
1660.85,334.646
1663.91,334.646
1666.96,334.646
1670.02,334.646
1673.07,334.646
1676.13,334.646
1679.18,531.496
1682.23,531.496
1685.29,531.496
1688.34,531.496
1691.4,531.496
1694.45,531.496
1697.51,531.496
1700.56,531.496
1703.62,531.496
1706.67,334.646
1709.73,334.646
1712.78,334.646
1715.84,334.646
1718.89,334.646
1721.95,334.646
1725,334.646
1728.05,334.646
1731.11,334.646
1734.16,334.646
1737.22,137.795
1740.27,137.795
1743.33,137.795
1746.38,137.795
1749.44,137.795
1752.49,137.795
1755.55,137.795
1758.6,137.795
1761.66,334.646
1764.71,334.646
1767.77,334.646
1770.82,334.646
1773.87,334.646
1776.93,334.646
1779.98,334.646
1783.04,334.646
1786.09,334.646
1789.15,334.646
1792.2,137.795
1795.26,137.795
1798.31,137.795
1801.37,334.646
1804.42,334.646
1807.48,334.646
1810.53,334.646
1813.59,334.646
1816.64,334.646
1819.69,334.646
1822.75,334.646
1825.8,334.646
1828.86,334.646
1831.91,334.646
1834.97,334.646
1838.02,334.646
1841.08,334.646
1844.13,334.646
1847.19,334.646
1850.24,334.646
1853.3,334.646
1856.35,334.646
1859.41,334.646
1862.46,334.646
1865.51,334.646
1868.57,334.646
1871.62,531.496
1874.68,531.496
1877.73,531.496
1880.79,531.496
1883.84,531.496
1886.9,531.496
1889.95,334.646
1893.01,334.646
1896.06,334.646
1899.12,334.646
1902.17,334.646
1905.23,334.646
1908.28,334.646
1911.33,334.646
1914.39,334.646
1917.44,334.646
1920.5,334.646
1923.55,334.646
1926.61,334.646
1929.66,334.646
1932.72,334.646
1935.77,531.496
1938.83,531.496
1941.88,531.496
1944.94,531.496
1947.99,531.496
1951.05,531.496
1954.1,531.496
1957.15,531.496
1960.21,728.346
1963.26,531.496
1966.32,531.496
1969.37,531.496
1972.43,531.496
1975.48,531.496
1978.54,531.496
1981.59,531.496
1984.65,531.496
1987.7,531.496
1990.76,531.496
1993.81,531.496
1996.86,334.646
1999.92,334.646
2002.97,334.646
2006.03,334.646
2009.08,334.646
2012.14,334.646
2015.19,334.646
2018.25,334.646
2021.3,334.646
2024.36,334.646
2027.41,334.646
2030.47,334.646
2033.52,334.646
2036.58,334.646
2039.63,334.646
2042.68,334.646
2045.74,334.646
2048.79,531.496
2051.85,531.496
2054.9,531.496
2057.96,531.496
2061.01,531.496
2064.07,334.646
2067.12,334.646
2070.18,334.646
2073.23,334.646
2076.29,334.646
2079.34,334.646
2082.4,334.646
2085.45,334.646
2088.5,334.646
2091.56,531.496
2094.61,531.496
2097.67,728.346
2100.72,728.346
2103.78,728.346
2106.83,728.346
2109.89,728.346
2112.94,728.346
2116,531.496
2119.05,531.496
2122.11,531.496
2125.16,531.496
2128.22,531.496
2131.27,728.346
2134.32,531.496
2137.38,531.496
2140.43,531.496
2143.49,531.496
2146.54,531.496
2149.6,334.646
2152.65,334.646
2155.71,334.646
2158.76,334.646
2161.82,334.646
2164.87,531.496
2167.93,334.646
2170.98,334.646
2174.04,334.646
2177.09,334.646
2180.14,334.646
2183.2,531.496
2186.25,531.496
2189.31,531.496
2192.36,531.496
2195.42,531.496
2198.47,531.496
2201.53,531.496
2204.58,531.496
2207.64,531.496
2210.69,334.646
2213.75,334.646
2216.8,334.646
2219.86,334.646
2222.91,531.496
2225.96,531.496
2229.02,728.346
2232.07,728.346
2235.13,531.496
2238.18,334.646
2241.24,334.646
2244.29,334.646
2247.35,334.646
2250.4,334.646
2253.46,334.646
2256.51,531.496
2259.57,531.496
2262.62,531.496
2265.68,531.496
2268.73,531.496
2271.78,531.496
2274.84,531.496
2277.89,531.496
2280.95,531.496
2284,531.496
2287.06,531.496
2290.11,531.496
