,GP550R
RamanShit,Intensity
261.878,748.031
264.928,2165.35
267.978,5472.44
271.027,9724.41
274.077,16811
277.127,17755.9
280.177,11378
283.226,8779.53
286.276,5708.66
289.326,5236.22
292.376,5000
295.425,5000
298.475,4763.78
301.525,4763.78
304.575,4763.78
307.624,4527.56
310.674,4527.56
313.724,4291.34
316.774,3818.9
319.823,2637.8
322.873,1929.13
325.923,1692.91
328.973,1456.69
332.022,1220.47
335.072,748.031
338.122,748.031
341.172,984.252
344.222,1692.91
347.271,2401.57
350.321,2637.8
353.371,2165.35
356.421,1929.13
359.47,1692.91
362.52,1692.91
365.57,1692.91
368.62,1456.69
371.669,984.252
374.719,511.811
377.769,511.811
380.819,748.031
383.868,1220.47
386.918,1456.69
389.968,1929.13
393.018,1220.47
396.067,984.252
399.117,511.811
402.167,511.811
405.217,748.031
408.266,1220.47
411.316,2874.02
414.366,6181.1
417.416,11850.4
420.465,18700.8
423.515,27204.7
426.565,28385.8
429.615,21535.4
432.665,20590.6
435.714,19173.2
438.764,18464.6
441.814,19645.7
444.864,22716.5
447.913,30275.6
450.963,35000
454.013,46338.6
457.063,48228.3
460.112,34291.3
463.162,26023.6
466.212,14685
469.262,9015.75
472.311,5708.66
475.361,3582.68
478.411,2165.35
481.461,1456.69
484.51,1456.69
487.56,1692.91
490.61,2165.35
493.66,3110.24
496.709,4527.56
499.759,6181.1
502.809,6889.76
505.859,6889.76
508.909,6653.54
511.958,6181.1
515.008,5236.22
518.058,5000
521.108,4763.78
524.157,4291.34
527.207,2874.02
530.257,1220.47
533.307,511.811
536.356,275.591
539.406,275.591
542.456,275.591
545.506,511.811
548.555,1220.47
551.605,2401.57
554.655,4527.56
557.705,9015.75
560.754,13031.5
563.804,25787.4
566.854,28149.6
569.904,13503.9
572.953,10669.3
576.003,7362.2
579.053,6653.54
582.103,7362.2
585.152,8543.31
588.202,10669.3
591.252,13267.7
594.302,15157.5
597.352,18937
600.401,17992.1
603.451,15157.5
606.501,13976.4
609.551,11850.4
612.6,10196.9
615.65,8307.09
618.7,6181.1
621.75,4055.12
624.799,2401.57
627.849,1456.69
630.899,984.252
633.949,748.031
636.998,511.811
640.048,275.591
643.098,275.591
646.148,275.591
649.197,275.591
652.247,275.591
655.297,275.591
658.347,275.591
661.396,275.591
664.446,511.811
667.496,511.811
670.546,748.031
673.596,984.252
676.645,1456.69
679.695,2165.35
682.745,3110.24
685.795,3582.68
688.844,3818.9
691.894,3346.46
694.944,2874.02
697.994,1929.13
701.043,1220.47
704.093,748.031
707.143,511.811
710.193,275.591
713.242,275.591
716.292,275.591
719.342,275.591
722.392,275.591
725.441,275.591
728.491,275.591
731.541,275.591
734.591,275.591
737.64,275.591
740.69,275.591
743.74,275.591
746.79,275.591
749.839,275.591
752.889,275.591
755.939,275.591
758.989,275.591
762.039,275.591
765.088,275.591
768.138,275.591
771.188,275.591
774.238,275.591
777.287,275.591
780.337,275.591
783.387,275.591
786.437,275.591
789.486,275.591
792.536,275.591
795.586,275.591
798.636,275.591
801.685,275.591
804.735,275.591
807.785,275.591
810.835,275.591
813.884,275.591
816.934,275.591
819.984,511.811
823.034,748.031
826.083,1220.47
829.133,1220.47
832.183,1220.47
835.233,1220.47
838.283,984.252
841.332,748.031
844.382,748.031
847.432,748.031
850.482,984.252
853.531,1456.69
856.581,2165.35
859.631,3110.24
862.681,4291.34
865.73,5472.44
868.78,6181.1
871.83,6417.32
874.88,6653.54
877.929,7125.98
880.979,8307.09
884.029,9015.75
887.079,10196.9
890.128,9251.97
893.178,9251.97
896.228,8779.53
899.278,9488.19
902.327,10433.1
905.377,13267.7
908.427,17992.1
911.477,21063
914.526,28622
917.576,29566.9
920.626,21063
923.676,17755.9
926.726,11378
