,GP550R
RamanShit,Intensity
261.755,15.748
264.815,251.969
267.874,724.409
270.934,1527.56
273.994,2000
277.053,2377.95
280.113,2000
283.172,1763.78
286.232,1385.83
289.291,1149.61
292.351,1102.36
295.411,1102.36
298.47,1102.36
301.53,1149.61
304.589,1244.09
307.649,1433.07
310.709,1669.29
313.768,1858.27
316.828,1952.76
319.887,2000
322.947,2094.49
326.006,2236.22
329.066,2614.17
332.126,3181.1
335.185,3842.52
338.245,4314.96
341.304,4503.94
344.364,4551.18
347.424,4598.43
350.483,4881.89
353.543,4503.94
356.602,3937.01
359.662,2850.39
362.721,2141.73
365.781,1858.27
368.841,1669.29
371.9,1433.07
374.96,1102.36
378.019,913.386
381.079,724.409
384.138,818.898
387.198,818.898
390.258,818.898
393.317,818.898
396.377,771.654
399.436,629.921
402.496,299.213
405.556,110.236
408.615,110.236
411.675,110.236
414.734,299.213
417.794,771.654
420.853,1622.05
423.913,2661.42
426.973,3700.79
430.032,3842.52
433.092,3417.32
436.151,3606.3
439.211,3653.54
442.271,4267.72
445.33,5732.28
448.39,7574.8
451.449,8944.88
454.509,10315
457.568,10031.5
460.628,9322.83
463.688,8803.15
466.747,7858.27
469.807,6960.63
472.866,5921.26
475.926,4834.65
478.986,3984.25
482.045,3370.08
485.105,2944.88
488.164,2377.95
491.224,1716.54
494.283,1244.09
497.343,960.63
500.403,1102.36
503.462,1149.61
506.522,1244.09
509.581,1622.05
512.641,1338.58
515.7,1291.34
518.76,1102.36
521.82,677.165
524.879,346.457
527.939,157.48
530.998,110.236
534.058,62.9921
537.118,110.236
540.177,110.236
543.237,204.724
546.296,299.213
549.356,393.701
552.415,582.677
555.475,1007.87
558.535,1622.05
561.594,2614.17
564.654,4362.2
567.713,5496.06
570.773,7196.85
573.833,5496.06
576.892,4740.16
579.952,3322.83
583.011,2614.17
586.071,2519.69
589.13,2661.42
592.19,2944.88
595.25,3653.54
598.309,4456.69
601.369,4929.13
604.428,5448.82
607.488,4929.13
610.548,4692.91
613.607,3984.25
616.667,3133.86
619.726,2519.69
622.786,1952.76
625.845,1433.07
628.905,1055.12
631.965,771.654
635.024,629.921
638.084,629.921
641.143,582.677
644.203,488.189
647.262,440.945
650.322,440.945
653.382,440.945
656.441,440.945
659.501,488.189
662.56,488.189
665.62,488.189
668.68,488.189
671.739,488.189
674.799,535.433
677.858,582.677
680.918,677.165
683.977,866.142
687.037,1007.87
690.097,1055.12
693.156,1102.36
696.216,1007.87
699.275,960.63
702.335,818.898
705.395,629.921
708.454,440.945
711.514,299.213
714.573,157.48
717.633,62.9921
720.692,62.9921
723.752,62.9921
726.812,62.9921
729.871,62.9921
732.931,62.9921
735.99,110.236
739.05,110.236
742.11,62.9921
745.169,62.9921
748.229,62.9921
751.288,62.9921
754.348,62.9921
757.407,62.9921
760.467,62.9921
763.527,62.9921
766.586,62.9921
769.646,62.9921
772.705,62.9921
775.765,62.9921
778.824,62.9921
781.884,62.9921
784.944,62.9921
788.003,62.9921
791.063,62.9921
794.122,62.9921
797.182,62.9921
800.242,62.9921
803.301,62.9921
806.361,62.9921
809.42,62.9921
812.48,110.236
815.539,157.48
818.599,157.48
821.659,157.48
824.718,204.724
827.778,251.969
830.837,346.457
833.897,440.945
836.957,440.945
840.016,488.189
843.076,488.189
846.135,582.677
849.195,629.921
852.254,724.409
855.314,913.386
858.374,1244.09
861.433,1763.78
864.493,2472.44
867.552,3322.83
870.612,4267.72
873.671,5070.87
876.731,5496.06
879.791,5779.53
882.85,6110.24
885.91,6488.19
888.969,7007.87
892.029,7338.58
895.089,7716.54
898.148,7338.58
901.208,6913.39
904.267,6440.94
907.327,6393.7
910.386,6346.46
913.446,6299.21
916.506,6535.43
919.565,6724.41
922.625,5921.26
925.684,5307.09
928.744,4314.96
931.804,3370.08
934.863,2566.93
937.923,1763.78
940.982,1196.85
944.042,771.654
947.101,440.945
950.161,251.969
953.221,157.48
956.28,157.48
959.34,157.48
962.399,157.48
965.459,204.724
968.519,251.969
971.578,393.701
974.638,629.921
977.697,1102.36
980.757,1858.27
983.816,2330.71
986.876,2992.13
989.936,3653.54
992.995,2141.73
996.055,1527.56
999.114,818.898
1002.17,440.945
1005.23,204.724
1008.29,110.236
1011.35,62.9921
1014.41,62.9921
1017.47,62.9921
1020.53,157.48
1023.59,393.701
1026.65,535.433
1029.71,535.433
1032.77,488.189
1035.83,488.189
1038.89,346.457
1041.95,488.189
1045.01,488.189
1048.07,535.433
1051.13,535.433
1054.19,488.189
1057.25,488.189
1060.31,440.945
1063.37,346.457
1066.43,251.969
1069.48,204.724
1072.54,251.969
1075.6,393.701
1078.66,724.409
1081.72,1196.85
1084.78,1858.27
1087.84,2755.91
1090.9,3275.59
1093.96,3984.25
1097.02,3275.59
1100.08,2944.88
1103.14,2094.49
1106.2,1291.34
1109.26,866.142
1112.32,582.677
1115.38,440.945
1118.44,393.701
1121.5,299.213
1124.56,299.213
1127.62,299.213
1130.68,393.701
1133.74,535.433
1136.8,677.165
1139.86,818.898
1142.91,1007.87
1145.97,1291.34
1149.03,1527.56
1152.09,1669.29
1155.15,1716.54
1158.21,1858.27
1161.27,2000
1164.33,2283.46
1167.39,2614.17
1170.45,2755.91
1173.51,2850.39
1176.57,2472.44
1179.63,2000
1182.69,1574.8
1185.75,1149.61
1188.81,866.142
1191.87,724.409
1194.93,629.921
1197.99,488.189
1201.05,440.945
1204.11,488.189
1207.17,535.433
1210.23,629.921
1213.29,818.898
1216.34,1007.87
1219.4,1196.85
1222.46,1244.09
1225.52,1291.34
1228.58,1291.34
1231.64,1196.85
1234.7,1055.12
1237.76,913.386
1240.82,771.654
1243.88,629.921
1246.94,488.189
1250,346.457
1253.06,299.213
1256.12,157.48
1259.18,110.236
1262.24,110.236
1265.3,110.236
1268.36,157.48
1271.42,299.213
1274.48,488.189
1277.54,677.165
1280.6,866.142
1283.66,1007.87
1286.71,1102.36
1289.77,1007.87
1292.83,913.386
1295.89,677.165
