,GP550R
RamanShit,Intensity
243.398,13027.5
246.457,13027.5
249.517,13027.5
252.576,13654.9
255.636,8698.04
258.696,3992.16
261.755,2611.76
264.815,854.902
267.874,478.431
270.934,478.431
273.994,478.431
277.053,603.922
280.113,666.667
283.172,2172.55
286.232,2737.25
289.291,541.176
292.351,352.941
295.411,164.706
298.47,101.961
301.53,101.961
304.589,101.961
307.649,39.2157
310.709,39.2157
313.768,39.2157
316.828,39.2157
319.887,39.2157
322.947,39.2157
326.006,39.2157
329.066,39.2157
332.126,39.2157
335.185,39.2157
338.245,101.961
341.304,101.961
344.364,164.706
347.424,227.451
350.483,478.431
353.543,729.412
356.602,290.196
359.662,290.196
362.721,352.941
365.781,415.686
368.841,478.431
371.9,792.157
374.96,980.392
378.019,2298.04
381.079,2674.51
384.138,1921.57
387.198,1733.33
390.258,1984.31
393.317,2109.8
396.377,2298.04
399.436,541.176
402.496,227.451
405.556,101.961
408.615,39.2157
411.675,39.2157
414.734,101.961
417.794,101.961
420.853,164.706
423.913,164.706
426.973,164.706
430.032,164.706
433.092,164.706
436.151,352.941
439.211,729.412
442.271,980.392
445.33,980.392
448.39,1043.14
451.449,980.392
454.509,917.647
457.568,729.412
460.628,415.686
463.688,227.451
466.747,164.706
469.807,101.961
472.866,101.961
475.926,39.2157
478.986,39.2157
482.045,39.2157
485.105,101.961
488.164,101.961
491.224,101.961
494.283,164.706
497.343,227.451
500.403,352.941
503.462,415.686
506.522,415.686
509.581,541.176
512.641,352.941
515.7,290.196
518.76,164.706
521.82,101.961
524.879,101.961
527.939,101.961
530.998,101.961
534.058,101.961
537.118,164.706
540.177,227.451
543.237,164.706
546.296,164.706
549.356,101.961
552.415,101.961
555.475,101.961
558.535,164.706
561.594,290.196
564.654,541.176
567.713,917.647
570.773,1231.37
573.833,1733.33
576.892,1231.37
579.952,1231.37
583.011,1168.63
586.071,854.902
589.13,478.431
592.19,290.196
595.25,227.451
598.309,227.451
601.369,164.706
604.428,164.706
607.488,164.706
610.548,101.961
613.607,39.2157
616.667,39.2157
619.726,39.2157
622.786,39.2157
625.845,39.2157
628.905,101.961
631.965,101.961
635.024,164.706
638.084,164.706
641.143,227.451
644.203,290.196
647.262,290.196
650.322,227.451
653.382,164.706
656.441,101.961
659.501,101.961
662.56,39.2157
665.62,39.2157
668.68,39.2157
671.739,39.2157
674.799,101.961
677.858,39.2157
680.918,39.2157
683.977,39.2157
687.037,39.2157
690.097,39.2157
693.156,39.2157
696.216,39.2157
699.275,39.2157
702.335,101.961
705.395,101.961
708.454,101.961
711.514,101.961
714.573,101.961
717.633,101.961
720.692,101.961
723.752,101.961
726.812,101.961
729.871,101.961
732.931,101.961
735.99,101.961
739.05,101.961
742.11,164.706
745.169,290.196
748.229,415.686
751.288,603.922
754.348,729.412
757.407,980.392
760.467,666.667
763.527,478.431
766.586,227.451
769.646,227.451
772.705,164.706
775.765,164.706
778.824,227.451
781.884,290.196
784.944,352.941
788.003,478.431
791.063,603.922
794.122,415.686
797.182,352.941
800.242,227.451
803.301,164.706
806.361,101.961
809.42,39.2157
812.48,39.2157
815.539,39.2157
818.599,39.2157
821.659,39.2157
824.718,39.2157
827.778,39.2157
830.837,39.2157
833.897,39.2157
836.957,39.2157
840.016,39.2157
843.076,39.2157
846.135,39.2157
849.195,39.2157
852.254,101.961
855.314,101.961
858.374,164.706
861.433,227.451
864.493,290.196
867.552,541.176
870.612,854.902
873.671,1482.35
876.731,1921.57
879.791,4180.39
882.85,4745.1
885.91,1733.33
888.969,1231.37
892.029,917.647
895.089,917.647
898.148,1043.14
901.208,1294.12
904.267,1670.59
907.327,2988.24
910.386,3239.22
913.446,1607.84
916.506,1294.12
919.565,729.412
922.625,478.431
925.684,290.196
928.744,227.451
931.804,164.706
934.863,101.961
937.923,101.961
940.982,39.2157
944.042,39.2157
947.101,39.2157
950.161,39.2157
953.221,39.2157
956.28,39.2157
959.34,101.961
962.399,101.961
965.459,164.706
968.519,290.196
971.578,290.196
974.638,415.686
977.697,227.451
980.757,227.451
983.816,164.706
986.876,101.961
989.936,101.961
992.995,101.961
996.055,101.961
999.114,101.961
1002.17,101.961
1005.23,164.706
1008.29,227.451
1011.35,415.686
1014.41,792.157
1017.47,1419.61
1020.53,1858.82
1023.59,2423.53
1026.65,1858.82
1029.71,1482.35
1032.77,980.392
1035.83,792.157
1038.89,729.412
1041.95,792.157
1045.01,917.647
1048.07,1168.63
1051.13,1670.59
1054.19,2611.76
1057.25,3176.47
1060.31,4368.63
1063.37,3176.47
1066.43,2674.51
1069.48,1733.33
1072.54,1043.14
1075.6,666.667
1078.66,478.431
1081.72,352.941
1084.78,227.451
1087.84,164.706
1090.9,164.706
1093.96,101.961
1097.02,101.961
1100.08,101.961
1103.14,39.2157
1106.2,39.2157
1109.26,39.2157
1112.32,39.2157
1115.38,39.2157
1118.44,39.2157
1121.5,39.2157
1124.56,101.961
1127.62,101.961
1130.68,101.961
1133.74,101.961
1136.8,101.961
1139.86,101.961
1142.91,101.961
1145.97,101.961
1149.03,101.961
1152.09,101.961
1155.15,101.961
1158.21,101.961
1161.27,101.961
1164.33,101.961
1167.39,101.961
1170.45,101.961
1173.51,101.961
1176.57,101.961
1179.63,101.961
1182.69,101.961
1185.75,101.961
1188.81,101.961
1191.87,101.961
1194.93,101.961
1197.99,101.961
1201.05,101.961
1204.11,101.961
1207.17,101.961
1210.23,101.961
1213.29,101.961
1216.34,101.961
1219.4,101.961
1222.46,101.961
1225.52,101.961
1228.58,39.2157
1231.64,39.2157
1234.7,39.2157
1237.76,39.2157
1240.82,39.2157
1243.88,39.2157
1246.94,39.2157
1250,39.2157
1253.06,39.2157
1256.12,39.2157
1259.18,39.2157
1262.24,39.2157
1265.3,39.2157
1268.36,39.2157
1271.42,39.2157
1274.48,39.2157
1277.54,39.2157
1280.6,39.2157
1283.66,39.2157
1286.71,39.2157
1289.77,39.2157
1292.83,39.2157
1295.89,39.2157
1298.95,39.2157
1302.01,39.2157
1305.07,39.2157
1308.13,39.2157
1311.19,39.2157
1314.25,39.2157
1317.31,39.2157
1320.37,39.2157
1323.43,39.2157
1326.49,39.2157
1329.55,39.2157
1332.61,39.2157
1335.67,39.2157
1338.73,39.2157
1341.79,39.2157
1344.85,39.2157
1347.91,39.2157
1350.97,39.2157
1354.03,39.2157
1357.09,39.2157
1360.14,39.2157
1363.2,39.2157
1366.26,39.2157
1369.32,39.2157
1372.38,39.2157
1375.44,39.2157
1378.5,39.2157
1381.56,39.2157
1384.62,39.2157
1387.68,39.2157
1390.74,39.2157
1393.8,39.2157
1396.86,39.2157
1399.92,39.2157
1402.98,39.2157
1406.04,39.2157
1409.1,39.2157
1412.16,39.2157
1415.22,39.2157
1418.28,39.2157
1421.34,39.2157
1424.4,39.2157
1427.46,39.2157
1430.52,39.2157
1433.57,39.2157
1436.63,39.2157
1439.69,39.2157
1442.75,39.2157
1445.81,39.2157
1448.87,39.2157
1451.93,39.2157
1454.99,39.2157
1458.05,39.2157
1461.11,39.2157
1464.17,39.2157
1467.23,39.2157
1470.29,39.2157
1473.35,39.2157
1476.41,39.2157
1479.47,39.2157
1482.53,39.2157
1485.59,39.2157
1488.65,39.2157
1491.71,39.2157
1494.77,39.2157
1497.83,39.2157
1500.89,39.2157
1503.95,39.2157
1507,39.2157
1510.06,39.2157
1513.12,39.2157
1516.18,39.2157
1519.24,39.2157
1522.3,39.2157
1525.36,39.2157
1528.42,39.2157
1531.48,39.2157
1534.54,39.2157
1537.6,39.2157
1540.66,39.2157
1543.72,39.2157
1546.78,39.2157
1549.84,39.2157
