,GP550R
RamanShit,Intensity
261.817,452.756
264.871,452.756
267.926,452.756
270.981,452.756
274.035,452.756
277.09,452.756
280.145,452.756
283.199,452.756
286.254,452.756
289.309,452.756
292.363,452.756
295.418,452.756
298.473,452.756
301.527,452.756
304.582,452.756
307.637,452.756
310.691,452.756
313.746,452.756
316.801,452.756
319.855,452.756
322.91,452.756
325.965,452.756
329.019,452.756
332.074,452.756
335.129,452.756
338.183,98.4252
341.238,98.4252
344.293,98.4252
347.347,98.4252
350.402,98.4252
353.457,98.4252
356.511,98.4252
359.566,98.4252
362.621,452.756
365.675,452.756
368.73,452.756
371.785,452.756
374.839,452.756
377.894,452.756
380.949,452.756
384.003,452.756
387.058,452.756
390.113,452.756
393.167,452.756
396.222,452.756
399.277,452.756
402.331,452.756
405.386,452.756
408.441,452.756
411.495,452.756
414.55,452.756
417.605,452.756
420.659,452.756
423.714,452.756
426.768,452.756
429.823,98.4252
432.878,98.4252
435.932,98.4252
438.987,98.4252
442.042,98.4252
445.096,98.4252
448.151,98.4252
451.206,98.4252
454.26,98.4252
457.315,98.4252
460.37,98.4252
463.424,98.4252
466.479,98.4252
469.534,98.4252
472.588,452.756
475.643,452.756
478.698,452.756
481.752,452.756
484.807,452.756
487.862,452.756
490.916,452.756
493.971,452.756
497.026,452.756
500.08,452.756
503.135,452.756
506.19,452.756
509.244,452.756
512.299,452.756
515.354,452.756
518.408,452.756
521.463,452.756
524.518,452.756
527.572,452.756
530.627,452.756
533.682,452.756
536.736,452.756
539.791,452.756
542.846,98.4252
545.9,98.4252
548.955,98.4252
552.01,98.4252
555.064,98.4252
558.119,98.4252
561.174,98.4252
564.228,98.4252
567.283,98.4252
570.338,98.4252
573.392,98.4252
576.447,98.4252
579.502,98.4252
582.556,98.4252
585.611,98.4252
588.666,98.4252
591.72,98.4252
594.775,98.4252
597.83,98.4252
600.884,98.4252
603.939,98.4252
606.994,98.4252
610.048,98.4252
613.103,98.4252
616.158,98.4252
619.212,98.4252
622.267,98.4252
625.322,98.4252
628.376,98.4252
631.431,98.4252
634.486,98.4252
637.54,98.4252
640.595,98.4252
643.65,98.4252
646.704,98.4252
649.759,98.4252
652.814,98.4252
655.868,98.4252
658.923,98.4252
661.977,98.4252
665.032,98.4252
668.087,98.4252
671.141,98.4252
674.196,98.4252
677.251,98.4252
680.305,98.4252
683.36,98.4252
686.415,98.4252
689.469,98.4252
692.524,98.4252
695.579,98.4252
698.633,98.4252
701.688,98.4252
704.743,98.4252
707.797,98.4252
710.852,452.756
713.907,452.756
716.961,452.756
720.016,452.756
723.071,452.756
726.125,807.087
729.18,807.087
732.235,807.087
735.289,807.087
738.344,807.087
741.399,807.087
744.453,452.756
747.508,452.756
750.563,452.756
753.617,452.756
756.672,98.4252
759.727,98.4252
762.781,98.4252
765.836,98.4252
768.891,98.4252
771.945,98.4252
775,98.4252
778.055,98.4252
781.109,98.4252
784.164,98.4252
787.219,98.4252
790.273,98.4252
793.328,98.4252
796.383,98.4252
799.437,98.4252
802.492,98.4252
805.547,98.4252
808.601,98.4252
811.656,98.4252
814.711,98.4252
817.765,452.756
820.82,452.756
823.875,452.756
826.929,452.756
829.984,452.756
833.039,452.756
836.093,452.756
839.148,452.756
842.203,452.756
845.257,452.756
848.312,452.756
851.367,452.756
854.421,452.756
857.476,452.756
860.531,452.756
863.585,98.4252
866.64,98.4252
869.695,98.4252
872.749,98.4252
875.804,98.4252
878.859,98.4252
881.913,98.4252
884.968,98.4252
888.023,98.4252
891.077,452.756
894.132,452.756
897.186,452.756
900.241,452.756
903.296,452.756
906.35,452.756
909.405,452.756
912.46,452.756
915.514,452.756
918.569,452.756
921.624,452.756
924.678,452.756
927.733,98.4252
930.788,98.4252
933.842,98.4252
936.897,98.4252
939.952,98.4252
943.006,98.4252
946.061,98.4252
949.116,98.4252
952.17,98.4252
955.225,452.756
958.28,452.756
961.334,452.756
964.389,452.756
967.444,452.756
970.498,452.756
973.553,807.087
976.608,807.087
979.662,807.087
982.717,807.087
985.772,1161.42
988.826,1161.42
991.881,1161.42
994.936,807.087
997.99,807.087
1001.05,807.087
1004.1,452.756
1007.15,452.756
1010.21,452.756
1013.26,452.756
1016.32,452.756
1019.37,98.4252
1022.43,98.4252
1025.48,98.4252
1028.54,98.4252
1031.59,98.4252
1034.65,98.4252
1037.7,98.4252
1040.76,452.756
1043.81,452.756
1046.86,807.087
1049.92,807.087
1052.97,807.087
1056.03,807.087
1059.08,807.087
1062.14,807.087
1065.19,452.756
1068.25,452.756
1071.3,98.4252
1074.36,98.4252
1077.41,98.4252
1080.47,98.4252
1083.52,98.4252
1086.58,98.4252
1089.63,98.4252
1092.68,98.4252
1095.74,452.756
1098.79,452.756
1101.85,807.087
1104.9,1161.42
1107.96,1870.08
1111.01,2578.74
1114.07,3996.06
1117.12,6122.05
1120.18,8602.36
1123.23,11791.3
1126.29,15689
1129.34,20295.3
