,GP550R
RamanShit,Intensity
258.762,275.591
261.817,275.591
264.871,275.591
267.926,275.591
270.981,275.591
274.035,275.591
277.09,275.591
280.145,275.591
283.199,275.591
286.254,275.591
289.309,275.591
292.363,275.591
295.418,275.591
298.473,275.591
301.527,275.591
304.582,275.591
307.637,275.591
310.691,275.591
313.746,275.591
316.801,511.811
319.855,511.811
322.91,511.811
325.965,511.811
329.019,748.031
332.074,748.031
335.129,748.031
338.183,984.252
341.238,1220.47
344.293,1456.69
347.347,1692.91
350.402,1929.13
353.457,1929.13
356.511,1692.91
359.566,1456.69
362.621,1220.47
365.675,1220.47
368.73,984.252
371.785,984.252
374.839,748.031
377.894,511.811
380.949,511.811
384.003,275.591
387.058,275.591
390.113,275.591
393.167,275.591
396.222,275.591
399.277,275.591
402.331,275.591
405.386,275.591
408.441,275.591
411.495,275.591
414.55,511.811
417.605,275.591
420.659,275.591
423.714,275.591
426.768,275.591
429.823,275.591
432.878,275.591
435.932,511.811
438.987,511.811
442.042,275.591
445.096,275.591
448.151,275.591
451.206,275.591
454.26,275.591
457.315,275.591
460.37,275.591
463.424,275.591
466.479,275.591
469.534,275.591
472.588,275.591
475.643,275.591
478.698,275.591
481.752,275.591
484.807,275.591
487.862,275.591
490.916,275.591
493.971,275.591
497.026,275.591
500.08,275.591
503.135,511.811
506.19,511.811
509.244,511.811
512.299,748.031
515.354,748.031
518.408,748.031
521.463,748.031
524.518,984.252
527.572,984.252
530.627,984.252
533.682,748.031
536.736,748.031
539.791,748.031
542.846,511.811
545.9,511.811
548.955,511.811
552.01,275.591
555.064,275.591
558.119,275.591
561.174,275.591
564.228,275.591
567.283,275.591
570.338,275.591
573.392,275.591
576.447,275.591
579.502,275.591
582.556,275.591
585.611,275.591
588.666,275.591
591.72,275.591
594.775,275.591
597.83,511.811
600.884,511.811
603.939,511.811
606.994,511.811
610.048,511.811
613.103,511.811
616.158,511.811
619.212,275.591
622.267,275.591
625.322,275.591
628.376,275.591
631.431,275.591
634.486,275.591
637.54,275.591
640.595,275.591
643.65,275.591
646.704,275.591
649.759,275.591
652.814,275.591
655.868,275.591
658.923,275.591
661.977,275.591
665.032,275.591
668.087,275.591
671.141,275.591
674.196,275.591
677.251,275.591
680.305,275.591
683.36,275.591
686.415,275.591
689.469,275.591
692.524,275.591
695.579,275.591
698.633,275.591
701.688,275.591
704.743,275.591
707.797,275.591
710.852,275.591
713.907,275.591
716.961,275.591
720.016,275.591
723.071,275.591
726.125,275.591
729.18,275.591
732.235,275.591
735.289,275.591
738.344,275.591
741.399,275.591
744.453,275.591
747.508,275.591
750.563,275.591
753.617,275.591
756.672,275.591
759.727,275.591
762.781,275.591
765.836,275.591
768.891,275.591
771.945,275.591
775,275.591
778.055,275.591
781.109,275.591
784.164,275.591
787.219,275.591
790.273,275.591
793.328,275.591
796.383,275.591
799.437,275.591
802.492,275.591
805.547,275.591
808.601,275.591
811.656,275.591
814.711,275.591
817.765,275.591
820.82,275.591
823.875,275.591
826.929,275.591
829.984,275.591
833.039,275.591
836.093,275.591
839.148,275.591
842.203,275.591
845.257,275.591
848.312,275.591
851.367,275.591
854.421,275.591
857.476,275.591
860.531,275.591
863.585,275.591
866.64,275.591
869.695,511.811
872.749,511.811
875.804,511.811
878.859,748.031
881.913,748.031
884.968,511.811
888.023,511.811
891.077,511.811
894.132,275.591
897.186,275.591
900.241,275.591
903.296,275.591
906.35,275.591
909.405,275.591
912.46,275.591
915.514,275.591
918.569,275.591
921.624,275.591
924.678,275.591
927.733,275.591
930.788,275.591
933.842,275.591
936.897,275.591
939.952,275.591
943.006,275.591
946.061,275.591
949.116,275.591
952.17,275.591
955.225,275.591
958.28,275.591
961.334,275.591
964.389,275.591
967.444,275.591
970.498,275.591
973.553,275.591
976.608,275.591
979.662,275.591
982.717,275.591
985.772,275.591
988.826,275.591
991.881,275.591
994.936,275.591
997.99,275.591
1001.05,275.591
1004.1,275.591
1007.15,275.591
1010.21,275.591
1013.26,275.591
1016.32,275.591
1019.37,275.591
1022.43,275.591
1025.48,275.591
1028.54,275.591
1031.59,275.591
1034.65,275.591
1037.7,275.591
1040.76,275.591
1043.81,275.591
1046.86,275.591
