,GP550R
RamanShit,Intensity
264.871,59.0551
267.926,59.0551
270.981,59.0551
274.035,59.0551
277.09,59.0551
280.145,334.646
283.199,334.646
286.254,334.646
289.309,334.646
292.363,334.646
295.418,334.646
298.473,334.646
301.527,334.646
304.582,334.646
307.637,334.646
310.691,334.646
313.746,610.236
316.801,610.236
319.855,334.646
322.91,334.646
325.965,334.646
329.019,334.646
332.074,334.646
335.129,334.646
338.183,334.646
341.238,334.646
344.293,334.646
347.347,334.646
350.402,334.646
353.457,334.646
356.511,334.646
359.566,59.0551
362.621,59.0551
365.675,59.0551
368.73,59.0551
371.785,59.0551
374.839,59.0551
377.894,334.646
380.949,334.646
384.003,334.646
387.058,334.646
390.113,334.646
393.167,334.646
396.222,334.646
399.277,610.236
402.331,885.827
405.386,1437.01
408.441,2539.37
411.495,3090.55
414.55,3641.73
417.605,2814.96
420.659,2539.37
423.714,1437.01
426.768,885.827
429.823,610.236
432.878,334.646
435.932,334.646
438.987,334.646
442.042,334.646
445.096,334.646
448.151,334.646
451.206,334.646
454.26,334.646
457.315,334.646
460.37,334.646
463.424,334.646
466.479,334.646
469.534,334.646
472.588,610.236
475.643,610.236
478.698,885.827
481.752,1437.01
484.807,2539.37
487.862,3917.32
490.916,4744.09
493.971,5846.46
497.026,4744.09
500.08,4192.91
503.135,2814.96
506.19,1712.6
509.244,1161.42
512.299,885.827
515.354,610.236
518.408,610.236
521.463,334.646
524.518,334.646
527.572,334.646
530.627,334.646
533.682,334.646
536.736,334.646
539.791,334.646
542.846,334.646
545.9,334.646
548.955,334.646
552.01,334.646
555.064,334.646
558.119,334.646
561.174,334.646
564.228,334.646
567.283,334.646
570.338,334.646
573.392,334.646
576.447,334.646
579.502,334.646
582.556,610.236
585.611,610.236
588.666,610.236
591.72,610.236
594.775,610.236
597.83,610.236
600.884,885.827
603.939,885.827
606.994,885.827
610.048,1161.42
613.103,1437.01
616.158,1437.01
619.212,1712.6
622.267,1712.6
625.322,1437.01
628.376,1437.01
631.431,1161.42
634.486,610.236
637.54,334.646
640.595,334.646
643.65,334.646
646.704,334.646
649.759,59.0551
652.814,59.0551
655.868,59.0551
658.923,59.0551
661.977,334.646
665.032,334.646
668.087,334.646
671.141,334.646
674.196,334.646
677.251,334.646
680.305,334.646
683.36,334.646
686.415,334.646
689.469,334.646
692.524,334.646
695.579,334.646
698.633,59.0551
701.688,59.0551
704.743,59.0551
707.797,59.0551
710.852,59.0551
713.907,59.0551
716.961,59.0551
720.016,59.0551
723.071,59.0551
726.125,59.0551
729.18,59.0551
732.235,59.0551
735.289,59.0551
738.344,59.0551
741.399,59.0551
744.453,59.0551
747.508,59.0551
750.563,59.0551
753.617,59.0551
756.672,59.0551
759.727,59.0551
762.781,59.0551
765.836,59.0551
768.891,59.0551
771.945,59.0551
775,59.0551
778.055,59.0551
781.109,59.0551
784.164,59.0551
787.219,59.0551
790.273,59.0551
793.328,59.0551
796.383,59.0551
799.437,59.0551
802.492,59.0551
805.547,59.0551
808.601,334.646
811.656,334.646
814.711,334.646
817.765,334.646
820.82,334.646
823.875,334.646
826.929,334.646
829.984,334.646
833.039,334.646
836.093,334.646
839.148,334.646
842.203,334.646
845.257,334.646
848.312,334.646
851.367,334.646
854.421,59.0551
857.476,59.0551
860.531,59.0551
863.585,59.0551
866.64,334.646
869.695,334.646
872.749,334.646
875.804,334.646
878.859,59.0551
881.913,59.0551
884.968,59.0551
888.023,59.0551
891.077,59.0551
894.132,59.0551
897.186,59.0551
900.241,59.0551
903.296,59.0551
906.35,59.0551
909.405,59.0551
912.46,59.0551
915.514,59.0551
918.569,59.0551
921.624,59.0551
924.678,59.0551
927.733,59.0551
930.788,59.0551
933.842,59.0551
936.897,59.0551
939.952,59.0551
943.006,334.646
946.061,334.646
949.116,334.646
952.17,334.646
955.225,334.646
958.28,334.646
961.334,334.646
964.389,334.646
967.444,334.646
970.498,334.646
973.553,334.646
976.608,334.646
979.662,334.646
982.717,610.236
985.772,610.236
988.826,885.827
991.881,1161.42
994.936,1712.6
997.99,1988.19
1001.05,3090.55
1004.1,6397.64
1007.15,11082.7
1010.21,45255.9
1013.26,53523.6
1016.32,13011.8
1019.37,8877.95
1022.43,3641.73
1025.48,1988.19
1028.54,1437.01
1031.59,885.827
1034.65,610.236
1037.7,610.236
1040.76,334.646
1043.81,334.646
1046.86,334.646
1049.92,334.646
1052.97,334.646
1056.03,334.646
1059.08,334.646
1062.14,59.0551
1065.19,59.0551
1068.25,59.0551
1071.3,59.0551
1074.36,59.0551
1077.41,59.0551
1080.47,59.0551
1083.52,59.0551
1086.58,59.0551
1089.63,59.0551
1092.68,59.0551
1095.74,334.646
1098.79,334.646
1101.85,334.646
1104.9,334.646
1107.96,334.646
1111.01,334.646
1114.07,334.646
1117.12,334.646
1120.18,334.646
1123.23,334.646
1126.29,334.646
1129.34,610.236
1132.4,885.827
1135.45,1161.42
1138.5,1712.6
1141.56,2263.78
1144.61,2539.37
1147.67,2263.78
1150.72,1988.19
1153.78,1437.01
1156.83,885.827
1159.89,610.236
1162.94,334.646
1166,334.646
1169.05,334.646
1172.11,334.646
1175.16,334.646
1178.22,334.646
1181.27,334.646
1184.32,334.646
1187.38,59.0551
1190.43,59.0551
1193.49,59.0551
1196.54,59.0551
1199.6,59.0551
1202.65,59.0551
1205.71,59.0551
1208.76,59.0551
1211.82,59.0551
1214.87,59.0551
1217.93,59.0551
1220.98,59.0551
1224.04,59.0551
1227.09,59.0551
1230.14,59.0551
