,GP550R
RamanShit,Intensity
258.629,39.3701
261.694,39.3701
264.758,39.3701
267.823,39.3701
270.887,39.3701
273.952,39.3701
277.016,39.3701
280.081,39.3701
283.145,39.3701
286.21,39.3701
289.274,39.3701
292.339,275.591
295.403,275.591
298.468,275.591
301.532,511.811
304.597,511.811
307.661,511.811
310.726,511.811
313.79,511.811
316.855,511.811
319.919,275.591
322.984,275.591
326.048,39.3701
329.113,39.3701
332.177,39.3701
335.242,39.3701
338.306,39.3701
341.371,39.3701
344.435,39.3701
347.5,39.3701
350.565,39.3701
353.629,39.3701
356.694,39.3701
359.758,39.3701
362.823,39.3701
365.887,39.3701
368.952,39.3701
372.016,39.3701
375.081,39.3701
378.145,39.3701
381.21,39.3701
384.274,39.3701
387.339,39.3701
390.403,39.3701
393.468,275.591
396.532,511.811
399.597,748.031
402.661,1220.47
405.726,2401.57
408.79,3110.24
411.855,3818.9
414.919,3110.24
417.984,2401.57
421.048,1220.47
424.113,748.031
427.177,275.591
430.242,275.591
433.306,39.3701
436.371,39.3701
439.435,39.3701
442.5,39.3701
445.565,39.3701
448.629,39.3701
451.694,39.3701
454.758,39.3701
457.823,39.3701
460.887,39.3701
463.952,39.3701
467.016,275.591
470.081,275.591
473.145,511.811
476.21,748.031
479.274,1220.47
482.339,2165.35
485.403,3582.68
488.468,4291.34
491.532,5236.22
494.597,4291.34
497.661,3582.68
500.726,2401.57
503.79,1220.47
506.855,984.252
509.919,511.811
512.984,275.591
516.048,275.591
519.113,39.3701
522.177,39.3701
525.242,39.3701
528.306,39.3701
531.371,39.3701
534.435,39.3701
537.5,39.3701
540.565,39.3701
543.629,39.3701
546.694,39.3701
549.758,39.3701
552.823,39.3701
555.887,39.3701
558.952,275.591
562.016,275.591
565.081,275.591
568.145,275.591
571.21,275.591
574.274,275.591
577.339,275.591
580.403,275.591
583.468,275.591
586.532,275.591
589.597,275.591
592.661,511.811
595.726,511.811
598.79,511.811
601.855,748.031
604.919,984.252
607.984,1456.69
611.048,1692.91
614.113,2165.35
617.177,2165.35
620.242,2165.35
623.306,1929.13
626.371,1456.69
629.435,984.252
632.5,511.811
635.565,275.591
638.629,39.3701
641.694,39.3701
644.758,39.3701
647.823,39.3701
650.887,39.3701
653.952,39.3701
657.016,39.3701
660.081,275.591
663.145,511.811
666.21,984.252
669.274,1456.69
672.339,984.252
675.403,748.031
678.468,511.811
681.532,275.591
684.597,39.3701
687.661,39.3701
690.726,39.3701
693.79,39.3701
696.855,39.3701
699.919,39.3701
702.984,39.3701
706.048,39.3701
709.113,39.3701
712.177,39.3701
715.242,39.3701
718.306,39.3701
721.371,39.3701
724.435,39.3701
727.5,39.3701
730.565,39.3701
733.629,39.3701
736.694,39.3701
739.758,39.3701
