,GP550R
RamanShit,Intensity
257.49,52.2152
261.187,52.2152
264.883,52.2152
268.58,30.0633
272.276,30.0633
275.973,30.0633
279.669,30.0633
283.366,30.0633
287.062,52.2152
290.759,118.671
294.455,162.975
298.152,185.127
301.848,207.278
305.545,273.734
309.241,340.19
312.938,428.797
316.634,517.405
320.331,561.709
324.027,561.709
327.724,561.709
331.42,539.557
335.117,517.405
338.813,450.949
342.51,384.494
346.206,340.19
349.903,273.734
353.599,185.127
357.296,96.519
360.992,52.2152
364.689,30.0633
368.385,7.91139
372.082,30.0633
375.778,30.0633
379.475,52.2152
383.171,96.519
386.868,162.975
390.564,295.886
394.261,406.646
397.957,473.101
401.654,517.405
405.35,539.557
409.047,539.557
412.743,561.709
416.44,539.557
420.136,495.253
423.833,428.797
427.529,362.342
431.226,362.342
434.922,340.19
438.619,318.038
442.315,273.734
446.012,185.127
449.708,96.519
453.405,52.2152
457.101,52.2152
460.798,52.2152
464.494,74.3671
468.191,96.519
471.887,185.127
475.584,318.038
479.28,428.797
482.977,495.253
486.673,561.709
490.37,650.316
494.066,738.924
497.763,783.228
501.459,916.139
505.156,761.076
508.852,738.924
512.549,650.316
516.245,561.709
519.942,473.101
523.638,428.797
527.335,428.797
531.031,428.797
534.728,406.646
538.424,384.494
542.121,362.342
545.817,340.19
549.514,318.038
553.21,295.886
556.907,273.734
560.603,273.734
564.3,251.582
567.996,207.278
571.693,118.671
575.389,30.0633
579.086,30.0633
582.782,30.0633
586.479,30.0633
590.175,30.0633
593.872,30.0633
597.568,30.0633
601.265,52.2152
604.961,52.2152
608.658,52.2152
612.354,74.3671
616.051,140.823
619.747,229.43
623.444,273.734
627.14,561.709
630.837,849.684
634.533,1602.85
638.23,871.835
641.926,849.684
645.623,650.316
649.319,384.494
653.016,251.582
656.712,229.43
660.409,229.43
664.105,229.43
667.802,185.127
671.498,185.127
675.195,185.127
678.891,185.127
682.588,185.127
686.284,185.127
689.981,185.127
693.677,162.975
697.374,140.823
701.07,162.975
704.767,162.975
708.463,162.975
712.16,162.975
715.856,162.975
719.553,185.127
723.249,185.127
726.946,207.278
730.642,229.43
734.339,251.582
738.035,362.342
741.732,650.316
745.428,893.987
749.125,1137.66
752.821,1469.94
756.518,849.684
760.214,650.316
763.911,362.342
767.607,185.127
771.304,96.519
775,52.2152
778.696,30.0633
782.393,74.3671
786.089,96.519
789.786,162.975
793.482,340.19
797.179,473.101
800.875,583.861
804.572,694.62
808.268,938.291
811.965,1602.85
815.661,2289.56
819.358,3485.76
823.054,3463.61
826.751,3441.46
830.447,3419.3
834.144,3419.3
837.84,3419.3
841.537,3419.3
845.233,4371.84
848.93,3352.85
852.626,2887.66
856.323,2378.16
860.019,2090.19
863.716,1691.46
867.412,1558.54
871.109,1469.94
874.805,1137.66
878.502,672.468
882.198,340.19
885.895,229.43
889.591,185.127
893.288,118.671
896.984,96.519
900.681,140.823
904.377,229.43
908.074,473.101
911.77,672.468
915.467,805.38
919.163,982.595
922.86,1049.05
926.556,1093.35
930.253,1204.11
933.949,893.987
937.646,738.924
941.342,583.861
945.039,428.797
948.735,406.646
952.432,406.646
956.128,295.886
959.825,185.127
963.521,118.671
967.218,118.671
970.914,96.519
974.611,118.671
978.307,162.975
982.004,340.19
985.7,982.595
989.397,2068.04
993.093,2666.14
996.79,3530.06
1000.49,3153.48
1004.18,2621.84
1007.88,2400.32
1011.58,2112.34
1015.27,2045.89
1018.97,2001.58
1022.67,1979.43
1026.36,1802.22
1030.06,1403.48
1033.75,1026.9
1037.45,783.228
1041.15,628.165
1044.84,539.557
1048.54,473.101
1052.24,318.038
1055.93,207.278
1059.63,140.823
1063.33,74.3671
1067.02,74.3671
1070.72,52.2152
1074.42,74.3671
1078.11,96.519
1081.81,140.823
1085.51,229.43
1089.2,295.886
1092.9,318.038
1096.6,318.038
1100.29,340.19
1103.99,362.342
1107.68,384.494
1111.38,517.405
1115.08,628.165
1118.77,805.38
1122.47,606.013
1126.17,583.861
1129.86,362.342
1133.56,118.671
1137.26,52.2152
1140.95,96.519
1144.65,140.823
1148.35,229.43
1152.04,295.886
1155.74,340.19
1159.44,539.557
1163.13,716.772
1166.83,1049.05
1170.53,1204.11
1174.22,849.684
1177.92,960.443
1181.61,982.595
1185.31,1004.75
1189.01,1071.2
1192.7,1514.24
1196.4,1890.82
1200.1,2710.44
1203.79,2599.68
1207.49,1890.82
1211.19,1890.82
1214.88,1691.46
1218.58,1890.82
1222.28,2112.34
1225.97,2466.77
1229.67,2710.44
1233.37,2799.05
1237.06,2909.81
1240.76,2776.9
1244.46,2754.75
1248.15,2732.59
1251.85,2599.68
1255.54,2444.62
1259.24,2356.01
1262.94,2245.25
1266.63,1890.82
1270.33,1492.09
1274.03,1181.96
1277.72,916.139
1281.42,672.468
1285.12,539.557
1288.81,495.253
1292.51,517.405
1296.21,539.557
1299.9,672.468
1303.6,871.835
1307.3,1026.9
1310.99,1115.51
1314.69,1159.81
1318.39,1204.11
1322.08,1314.87
1325.78,1558.54
1329.47,1735.76
1333.17,1912.97
1336.87,1735.76
1340.56,1735.76
1344.26,1514.24
1347.96,1137.66
1351.65,849.684
1355.35,628.165
1359.05,406.646
1362.74,207.278
1366.44,96.519
1370.14,52.2152
1373.83,74.3671
1377.53,74.3671
1381.23,118.671
1384.92,162.975
1388.62,273.734
1392.32,428.797
1396.01,539.557
1399.71,628.165
1403.4,827.532
1407.1,1049.05
1410.8,1226.27
1414.49,1292.72
1418.19,1403.48
1421.89,1514.24
1425.58,1713.61
1429.28,2156.65
1432.98,2821.2
1436.67,3552.22
1440.37,3973.1
1444.07,4216.77
1447.76,3950.95
1451.46,3928.8
1455.16,3640.82
1458.85,3087.03
1462.55,2488.92
1466.25,1757.91
1469.94,1093.35
1473.64,672.468
1477.33,495.253
1481.03,362.342
1484.73,140.823
1488.42,74.3671
1492.12,52.2152
1495.82,7.91139
1499.51,7.91139
1503.21,7.91139
1506.91,7.91139
1510.6,7.91139
1514.3,30.0633
1518,30.0633
1521.69,30.0633
1525.39,30.0633
1529.09,52.2152
1532.78,140.823
1536.48,340.19
1540.18,539.557
1543.87,628.165
1547.57,783.228
1551.26,606.013
1554.96,473.101
1558.66,295.886
1562.35,229.43
1566.05,96.519
1569.75,140.823
1573.44,162.975
1577.14,207.278
1580.84,318.038
1584.53,428.797
1588.23,583.861
1591.93,916.139
1595.62,1292.72
1599.32,1691.46
1603.02,2045.89
1606.71,2178.8
1610.41,2621.84
1614.11,2156.65
1617.8,2134.49
1621.5,1780.06
1625.19,1403.48
1628.89,1270.57
1632.59,1425.63
1636.28,1425.63
1639.98,1691.46
1643.68,2156.65
1647.37,2666.14
1651.07,3286.39
1654.77,3995.25
1658.46,4416.14
1662.16,4615.51
1665.86,4393.99
1669.55,4371.84
1673.25,4172.47
1676.95,3773.73
1680.64,3308.54
1684.34,2710.44
1688.04,2045.89
1691.73,1735.76
1695.43,1469.94
1699.12,938.291
1702.82,517.405
1706.52,295.886
1710.21,140.823
1713.91,52.2152
1717.61,30.0633
1721.3,30.0633
1725,30.0633
1728.7,30.0633
1732.39,30.0633
1736.09,30.0633
1739.79,30.0633
1743.48,30.0633
1747.18,30.0633
1750.88,30.0633
1754.57,30.0633
1758.27,30.0633
1761.96,30.0633
1765.66,52.2152
1769.36,52.2152
1773.05,52.2152
1776.75,52.2152
1780.45,52.2152
1784.14,52.2152
1787.84,52.2152
1791.54,52.2152
1795.23,52.2152
1798.93,52.2152
1802.63,52.2152
1806.32,52.2152
1810.02,52.2152
1813.72,52.2152
1817.41,52.2152
1821.11,52.2152
1824.81,30.0633
1828.5,30.0633
1832.2,30.0633
1835.89,30.0633
1839.59,30.0633
1843.29,30.0633
1846.98,30.0633
1850.68,30.0633
1854.38,30.0633
1858.07,30.0633
1861.77,30.0633
1865.47,30.0633
1869.16,30.0633
1872.86,30.0633
1876.56,52.2152
1880.25,74.3671
1883.95,74.3671
1887.65,74.3671
1891.34,74.3671
1895.04,74.3671
1898.74,74.3671
1902.43,74.3671
1906.13,74.3671
1909.82,96.519
1913.52,96.519
1917.22,96.519
1920.91,96.519
1924.61,96.519
1928.31,96.519
1932,74.3671
1935.7,74.3671
1939.4,74.3671
1943.09,74.3671
1946.79,52.2152
1950.49,52.2152
1954.18,52.2152
1957.88,52.2152
1961.58,52.2152
1965.27,30.0633
1968.97,30.0633
1972.67,30.0633
1976.36,30.0633
1980.06,30.0633
1983.75,30.0633
1987.45,30.0633
1991.15,30.0633
1994.84,30.0633
1998.54,30.0633
2002.24,30.0633
2005.93,30.0633
2009.63,52.2152
2013.33,52.2152
2017.02,52.2152
2020.72,52.2152
2024.42,52.2152
2028.11,52.2152
2031.81,52.2152
2035.51,74.3671
2039.2,74.3671
2042.9,74.3671
2046.6,74.3671
2050.29,74.3671
2053.99,74.3671
2057.68,74.3671
2061.38,74.3671
2065.08,52.2152
2068.77,52.2152
2072.47,52.2152
2076.17,52.2152
2079.86,30.0633
2083.56,30.0633
2087.26,30.0633
2090.95,30.0633
2094.65,30.0633
2098.35,30.0633
2102.04,30.0633
2105.74,30.0633
2109.44,30.0633
2113.13,30.0633
2116.83,30.0633
2120.53,30.0633
2124.22,30.0633
2127.92,30.0633
2131.61,30.0633
2135.31,52.2152
2139.01,52.2152
2142.7,52.2152
2146.4,52.2152
2150.1,52.2152
2153.79,52.2152
2157.49,52.2152
2161.19,52.2152
2164.88,74.3671
2168.58,74.3671
2172.28,52.2152
2175.97,52.2152
2179.67,52.2152
2183.37,52.2152
2187.06,52.2152
2190.76,52.2152
2194.46,30.0633
2198.15,30.0633
2201.85,30.0633
2205.54,30.0633
2209.24,30.0633
2212.94,30.0633
2216.63,30.0633
2220.33,30.0633
2224.03,30.0633
2227.72,30.0633
