,GP550R
RamanShit,Intensity
261.817,53.1496
264.871,72.8346
267.926,112.205
270.981,131.89
274.035,190.945
277.09,289.37
280.145,427.165
283.199,820.866
286.254,1509.84
289.309,2179.13
292.363,3458.66
295.418,3793.31
298.473,2415.35
301.527,2139.76
304.582,1490.16
307.637,899.606
310.691,545.276
313.746,328.74
316.801,190.945
319.855,112.205
322.91,72.8346
325.965,33.4646
329.019,13.7795
332.074,13.7795
335.129,13.7795
338.183,13.7795
341.238,13.7795
344.293,13.7795
347.347,13.7795
350.402,13.7795
353.457,13.7795
356.511,13.7795
359.566,13.7795
362.621,13.7795
365.675,13.7795
368.73,13.7795
371.785,33.4646
374.839,53.1496
377.894,72.8346
380.949,92.5197
384.003,112.205
387.058,151.575
390.113,171.26
393.167,230.315
396.222,348.425
399.277,545.276
402.331,938.976
405.386,1470.47
408.441,1765.75
411.495,2159.45
414.55,1765.75
417.605,1529.53
420.659,1037.4
423.714,604.331
426.768,387.795
429.823,250
432.878,151.575
435.932,112.205
438.987,72.8346
442.042,53.1496
445.096,33.4646
448.151,13.7795
451.206,13.7795
454.26,13.7795
457.315,13.7795
460.37,13.7795
463.424,13.7795
466.479,13.7795
469.534,13.7795
472.588,13.7795
475.643,33.4646
478.698,53.1496
481.752,92.5197
484.807,131.89
487.862,151.575
490.916,210.63
493.971,230.315
497.026,230.315
500.08,230.315
503.135,210.63
506.19,190.945
509.244,112.205
512.299,72.8346
515.354,53.1496
518.408,33.4646
521.463,13.7795
524.518,13.7795
527.572,13.7795
530.627,13.7795
533.682,13.7795
536.736,13.7795
539.791,13.7795
542.846,13.7795
545.9,13.7795
548.955,13.7795
552.01,13.7795
555.064,13.7795
558.119,13.7795
561.174,33.4646
564.228,33.4646
567.283,33.4646
570.338,53.1496
573.392,53.1496
576.447,53.1496
579.502,53.1496
582.556,72.8346
585.611,112.205
588.666,131.89
591.72,151.575
594.775,210.63
597.83,250
600.884,348.425
603.939,486.22
606.994,663.386
610.048,761.811
613.103,879.921
616.158,761.811
619.212,683.071
622.267,505.906
625.322,328.74
628.376,230.315
631.431,151.575
634.486,112.205
637.54,72.8346
640.595,53.1496
643.65,33.4646
646.704,33.4646
649.759,33.4646
652.814,33.4646
655.868,33.4646
658.923,33.4646
661.977,33.4646
665.032,33.4646
668.087,13.7795
671.141,13.7795
674.196,13.7795
677.251,13.7795
680.305,13.7795
683.36,13.7795
686.415,13.7795
689.469,13.7795
692.524,13.7795
695.579,13.7795
698.633,13.7795
701.688,13.7795
704.743,-5.90551
707.797,-5.90551
710.852,-5.90551
713.907,-5.90551
716.961,-5.90551
720.016,13.7795
723.071,13.7795
726.125,13.7795
729.18,13.7795
732.235,13.7795
735.289,13.7795
738.344,13.7795
741.399,13.7795
744.453,13.7795
747.508,13.7795
750.563,13.7795
753.617,13.7795
756.672,13.7795
759.727,13.7795
762.781,13.7795
765.836,13.7795
768.891,13.7795
771.945,13.7795
775,13.7795
