,GP550R
RamanShit,Intensity
258.696,553.36
261.755,1027.67
264.815,1027.67
267.874,1027.67
270.934,1027.67
273.994,1264.82
277.053,1264.82
280.113,1264.82
283.172,1027.67
286.232,1027.67
289.291,790.514
292.351,316.206
295.411,79.0514
298.47,79.0514
301.53,79.0514
304.589,79.0514
307.649,79.0514
310.709,316.206
313.768,553.36
316.828,1501.98
319.887,3636.36
322.947,6245.06
326.006,10513.8
329.066,10988.1
332.126,7193.68
335.185,5770.75
338.245,3162.06
341.304,1739.13
344.364,790.514
347.424,553.36
350.483,316.206
353.543,316.206
356.602,316.206
359.662,316.206
362.721,316.206
365.781,316.206
368.841,553.36
371.9,790.514
374.96,1027.67
378.019,1501.98
381.079,1976.28
384.138,2450.59
387.198,3162.06
390.258,4110.67
393.317,4822.13
396.377,5533.6
399.436,5533.6
402.496,5533.6
405.556,5296.44
408.615,5059.29
411.675,4110.67
414.734,3399.21
417.794,2924.9
420.853,2450.59
423.913,2450.59
426.973,2450.59
430.032,2687.75
433.092,3162.06
436.151,4822.13
439.211,7430.83
442.271,11225.3
445.33,14545.5
448.39,20237.2
451.449,20948.6
454.509,15256.9
457.568,12648.2
460.628,7430.83
463.688,3873.52
466.747,2450.59
469.807,1501.98
472.866,1027.67
475.926,553.36
478.986,316.206
482.045,316.206
485.105,316.206
488.164,79.0514
491.224,79.0514
494.283,79.0514
497.343,79.0514
500.403,79.0514
503.462,79.0514
506.522,79.0514
509.581,79.0514
512.641,79.0514
515.7,79.0514
518.76,79.0514
521.82,79.0514
524.879,79.0514
527.939,79.0514
530.998,79.0514
534.058,79.0514
537.118,79.0514
540.177,79.0514
543.237,316.206
546.296,553.36
549.356,1264.82
552.415,1739.13
555.475,1739.13
558.535,1739.13
561.594,1501.98
564.654,1264.82
567.713,1027.67
570.773,790.514
573.833,790.514
576.892,790.514
579.952,553.36
583.011,553.36
586.071,316.206
589.13,79.0514
592.19,79.0514
595.25,79.0514
598.309,316.206
601.369,316.206
604.428,316.206
607.488,553.36
610.548,553.36
613.607,553.36
616.667,553.36
619.726,553.36
622.786,553.36
625.845,316.206
628.905,316.206
631.965,316.206
635.024,316.206
638.084,316.206
641.143,553.36
644.203,790.514
647.262,1027.67
650.322,1264.82
653.382,1501.98
656.441,1976.28
