,GP550R
RamanShit,Intensity
255.636,303.15
258.696,161.417
261.755,161.417
264.815,161.417
267.874,161.417
270.934,232.283
273.994,303.15
277.053,374.016
280.113,586.614
283.172,657.48
286.232,728.346
289.291,799.213
292.351,870.079
295.411,870.079
298.47,940.945
301.53,870.079
304.589,870.079
307.649,870.079
310.709,870.079
313.768,870.079
316.828,940.945
319.887,1153.54
322.947,1649.61
326.006,2216.54
329.066,3137.8
332.126,3208.66
335.185,2358.27
338.245,2003.94
341.304,1224.41
344.364,728.346
347.424,586.614
350.483,515.748
353.543,515.748
356.602,515.748
359.662,586.614
362.721,657.48
365.781,728.346
368.841,799.213
371.9,870.079
374.96,1011.81
378.019,1224.41
381.079,1507.87
384.138,1933.07
387.198,2216.54
390.258,2570.87
393.317,3066.93
396.377,3350.39
399.436,3492.13
402.496,3350.39
405.556,3208.66
408.615,2783.46
411.675,2287.4
414.734,1791.34
417.794,1366.14
420.853,1011.81
423.913,728.346
426.973,586.614
430.032,586.614
433.092,586.614
436.151,728.346
439.211,940.945
442.271,1224.41
445.33,1578.74
448.39,1791.34
451.449,2003.94
454.509,1791.34
457.568,1649.61
460.628,1082.68
463.688,515.748
466.747,303.15
469.807,161.417
472.866,90.5512
475.926,90.5512
478.986,90.5512
482.045,90.5512
485.105,90.5512
488.164,90.5512
491.224,90.5512
494.283,90.5512
497.343,90.5512
500.403,90.5512
503.462,232.283
506.522,303.15
509.581,374.016
512.641,444.882
515.7,444.882
518.76,515.748
521.82,515.748
524.879,444.882
527.939,444.882
530.998,444.882
534.058,374.016
537.118,515.748
540.177,374.016
543.237,303.15
546.296,444.882
549.356,444.882
552.415,515.748
555.475,586.614
558.535,728.346
561.594,728.346
564.654,799.213
567.713,870.079
570.773,870.079
573.833,940.945
576.892,940.945
579.952,940.945
583.011,870.079
586.071,728.346
589.13,586.614
592.19,444.882
595.25,444.882
598.309,444.882
601.369,444.882
604.428,444.882
607.488,444.882
610.548,374.016
613.607,303.15
616.667,303.15
619.726,303.15
622.786,232.283
625.845,161.417
628.905,161.417
631.965,161.417
635.024,161.417
638.084,232.283
641.143,232.283
644.203,232.283
647.262,303.15
650.322,303.15
653.382,374.016
656.441,515.748
659.501,586.614
662.56,728.346
665.62,1082.68
668.68,1578.74
671.739,2216.54
674.799,2925.2
677.858,3633.86
680.918,4625.98
683.977,4696.85
687.037,3846.46
690.097,3421.26
693.156,2500
696.216,1720.47
699.275,1224.41
702.335,940.945
705.395,728.346
708.454,586.614
711.514,444.882
714.573,374.016
717.633,303.15
720.692,303.15
723.752,161.417
726.812,161.417
729.871,161.417
732.931,161.417
735.99,161.417
739.05,161.417
742.11,161.417
745.169,161.417
748.229,161.417
751.288,161.417
754.348,90.5512
757.407,90.5512
760.467,90.5512
763.527,90.5512
766.586,90.5512
769.646,90.5512
772.705,90.5512
775.765,90.5512
778.824,90.5512
781.884,161.417
784.944,161.417
788.003,161.417
791.063,161.417
794.122,161.417
797.182,90.5512
800.242,90.5512
803.301,90.5512
806.361,90.5512
809.42,90.5512
812.48,90.5512
815.539,90.5512
818.599,90.5512
821.659,90.5512
824.718,90.5512
827.778,90.5512
830.837,161.417
833.897,161.417
836.957,90.5512
840.016,90.5512
843.076,90.5512
846.135,90.5512
849.195,90.5512
852.254,90.5512
855.314,90.5512
858.374,161.417
861.433,90.5512
864.493,90.5512
867.552,90.5512
870.612,90.5512
873.671,90.5512
876.731,90.5512
879.791,90.5512
882.85,90.5512
885.91,90.5512
888.969,90.5512
892.029,90.5512
895.089,161.417
898.148,232.283
901.208,232.283
904.267,303.15
907.327,374.016
910.386,586.614
913.446,870.079
916.506,1437.01
919.565,2358.27
922.625,3917.32
925.684,6681.1
928.744,8381.89
931.804,11429.1
934.863,8381.89
937.923,7531.5
940.982,5192.91
944.042,2783.46
947.101,1507.87
950.161,1011.81
953.221,728.346
956.28,586.614
959.34,586.614
962.399,586.614
965.459,657.48
968.519,799.213
971.578,870.079
974.638,1082.68
977.697,1153.54
980.757,1153.54
983.816,1153.54
986.876,1082.68
989.936,940.945
992.995,728.346
996.055,657.48
999.114,515.748
1002.17,444.882
1005.23,374.016
1008.29,374.016
1011.35,303.15
1014.41,232.283
1017.47,161.417
1020.53,90.5512
1023.59,90.5512
1026.65,90.5512
1029.71,90.5512
1032.77,90.5512
1035.83,90.5512
1038.89,90.5512
1041.95,90.5512
1045.01,90.5512
1048.07,161.417
1051.13,161.417
1054.19,161.417
1057.25,161.417
1060.31,161.417
1063.37,161.417
1066.43,161.417
1069.48,161.417
1072.54,161.417
1075.6,161.417
1078.66,161.417
1081.72,161.417
1084.78,161.417
1087.84,161.417
1090.9,161.417
1093.96,90.5512
1097.02,90.5512
1100.08,90.5512
1103.14,90.5512
1106.2,90.5512
1109.26,90.5512
1112.32,90.5512
1115.38,90.5512
1118.44,90.5512
1121.5,90.5512
1124.56,90.5512
1127.62,90.5512
1130.68,90.5512
1133.74,90.5512
1136.8,161.417
1139.86,161.417
1142.91,161.417
1145.97,161.417
1149.03,90.5512
1152.09,90.5512
1155.15,90.5512
1158.21,90.5512
1161.27,90.5512
1164.33,90.5512
1167.39,161.417
1170.45,161.417
1173.51,161.417
1176.57,161.417
1179.63,161.417
1182.69,161.417
1185.75,232.283
1188.81,232.283
1191.87,161.417
1194.93,161.417
1197.99,161.417
1201.05,161.417
1204.11,161.417
1207.17,232.283
1210.23,232.283
1213.29,232.283
1216.34,303.15
1219.4,232.283
1222.46,232.283
1225.52,161.417
1228.58,161.417
1231.64,161.417
1234.7,161.417
1237.76,161.417
1240.82,161.417
1243.88,161.417
1246.94,161.417
1250,232.283
1253.06,232.283
1256.12,161.417
1259.18,161.417
1262.24,161.417
1265.3,161.417
1268.36,161.417
1271.42,232.283
1274.48,232.283
1277.54,232.283
1280.6,232.283
1283.66,232.283
1286.71,232.283
1289.77,232.283
1292.83,232.283
1295.89,232.283
1298.95,232.283
1302.01,232.283
1305.07,232.283
1308.13,232.283
1311.19,232.283
1314.25,232.283
1317.31,232.283
1320.37,232.283
1323.43,232.283
1326.49,232.283
1329.55,232.283
1332.61,232.283
1335.67,232.283
1338.73,232.283
1341.79,232.283
1344.85,232.283
1347.91,232.283
1350.97,232.283
1354.03,232.283
1357.09,232.283
1360.14,303.15
1363.2,232.283
1366.26,232.283
1369.32,232.283
1372.38,232.283
1375.44,232.283
1378.5,161.417
1381.56,161.417
1384.62,161.417
1387.68,90.5512
1390.74,90.5512
1393.8,90.5512
1396.86,90.5512
1399.92,90.5512
1402.98,161.417
1406.04,161.417
