,GP550R
RamanShit,Intensity
258.828,503.937
261.878,125.984
264.928,125.984
267.978,125.984
271.027,220.472
274.077,503.937
277.127,692.913
280.177,692.913
283.226,692.913
286.276,787.402
289.326,787.402
292.376,787.402
295.425,881.89
298.475,881.89
301.525,787.402
304.575,692.913
307.624,503.937
310.674,503.937
313.724,409.449
316.774,314.961
319.823,314.961
322.873,314.961
325.923,314.961
328.973,409.449
332.022,409.449
335.072,409.449
338.122,503.937
341.172,598.425
344.222,692.913
347.271,1070.87
350.321,1637.8
353.371,2582.68
356.421,3811.02
359.47,5322.83
362.52,7212.6
365.57,9480.31
368.62,10614.2
371.669,11653.5
374.719,10519.7
377.769,9007.87
380.819,5984.25
383.868,3905.51
386.918,2866.14
389.968,2488.19
393.018,2393.7
396.067,2488.19
399.117,2771.65
402.167,3338.58
405.217,3905.51
408.266,4188.98
411.316,4472.44
414.366,4188.98
417.416,3905.51
420.465,3055.12
423.515,2015.75
426.565,1165.35
429.615,598.425
432.665,314.961
435.714,125.984
438.764,125.984
441.814,125.984
444.864,125.984
447.913,125.984
450.963,125.984
454.013,125.984
457.063,220.472
460.112,314.961
463.162,409.449
466.212,692.913
469.262,881.89
472.311,1070.87
475.361,1165.35
478.411,1165.35
481.461,1070.87
484.51,976.378
487.56,598.425
490.61,409.449
493.66,220.472
496.709,220.472
499.759,220.472
502.809,409.449
505.859,598.425
508.909,881.89
511.958,692.913
515.008,598.425
518.058,598.425
521.108,598.425
524.157,598.425
527.207,692.913
530.257,787.402
533.307,881.89
536.356,1259.84
539.406,1921.26
542.456,2299.21
545.506,2393.7
548.555,2582.68
551.605,1826.77
554.655,1070.87
557.705,503.937
560.754,220.472
563.804,125.984
566.854,125.984
569.904,125.984
572.953,220.472
576.003,314.961
579.053,409.449
582.103,692.913
585.152,1070.87
588.202,1448.82
591.252,1543.31
594.302,1543.31
597.352,1543.31
600.401,1448.82
603.451,1165.35
606.501,976.378
609.551,976.378
612.6,976.378
615.65,1070.87
618.7,1165.35
621.75,1448.82
624.799,1826.77
627.849,2299.21
630.899,2771.65
633.949,3433.07
636.998,4472.44
640.048,5700.79
643.098,6834.65
646.148,8346.46
649.197,8535.43
652.247,7212.6
655.297,6456.69
658.347,4944.88
661.396,3527.56
664.446,2393.7
667.496,1543.31
670.546,976.378
673.596,692.913
676.645,598.425
679.695,692.913
682.745,787.402
685.795,976.378
688.844,1543.31
691.894,1921.26
694.944,2204.72
697.994,1921.26
701.043,1826.77
704.093,1448.82
707.143,881.89
710.193,598.425
713.242,409.449
716.292,314.961
719.342,125.984
722.392,125.984
725.441,125.984
728.491,125.984
731.541,125.984
734.591,125.984
737.64,125.984
740.69,125.984
743.74,125.984
746.79,125.984
749.839,125.984
752.889,125.984
755.939,125.984
758.989,125.984
762.039,125.984
765.088,125.984
768.138,125.984
771.188,125.984
774.238,125.984
777.287,125.984
780.337,125.984
783.387,125.984
786.437,125.984
789.486,125.984
792.536,31.4961
795.586,31.4961
798.636,31.4961
801.685,125.984
804.735,314.961
807.785,503.937
810.835,787.402
813.884,1354.33
816.934,2015.75
819.984,2677.17
823.034,3622.05
826.083,3811.02
829.133,2771.65
832.183,2582.68
835.233,2299.21
838.283,2299.21
841.332,2393.7
844.382,2677.17
847.432,3244.09
850.482,3811.02
853.531,4472.44
856.581,5133.86
859.631,5889.76
862.681,6929.13
865.73,8251.97
868.78,10236.2
871.83,12881.9
874.88,14866.1
877.929,19590.6
880.979,20157.5
884.029,15244.1
887.079,12315
890.128,7685.04
893.178,5039.37
896.228,3338.58
899.278,2204.72
902.327,1448.82
905.377,1165.35
908.427,976.378
911.477,1165.35
914.526,1259.84
917.576,1637.8
920.626,2204.72
923.676,2866.14
926.726,3622.05
929.775,4000
932.825,4283.46
935.875,4000
938.925,3811.02
941.974,3433.07
945.024,2771.65
948.074,2110.24
951.124,1732.28
954.173,1354.33
957.223,1070.87
960.273,881.89
963.323,787.402
966.372,692.913
969.422,598.425
972.472,598.425
975.522,598.425
978.571,598.425
981.621,598.425
984.671,598.425
987.721,598.425
990.77,598.425
993.82,503.937
996.87,503.937
999.92,503.937
1002.97,503.937
1006.02,503.937
1009.07,503.937
1012.12,409.449
1015.17,314.961
1018.22,220.472
1021.27,125.984
1024.32,125.984
1027.37,125.984
1030.42,125.984
1033.47,220.472
1036.52,409.449
1039.57,598.425
1042.62,787.402
1045.67,787.402
1048.72,787.402
1051.77,692.913
1054.82,503.937
1057.87,314.961
1060.91,220.472
1063.96,125.984
1067.01,125.984
1070.06,125.984
1073.11,125.984
1076.16,125.984
1079.21,125.984
1082.26,125.984
1085.31,125.984
1088.36,125.984
1091.41,125.984
1094.46,31.4961
1097.51,31.4961
1100.56,31.4961
1103.61,31.4961
1106.66,31.4961
1109.71,125.984
1112.76,125.984
1115.81,125.984
1118.86,125.984
1121.91,125.984
1124.96,125.984
1128.01,125.984
1131.06,125.984
1134.11,125.984
1137.16,125.984
1140.21,125.984
1143.26,125.984
1146.31,125.984
1149.36,125.984
1152.41,125.984
1155.46,125.984
1158.51,125.984
1161.56,220.472
1164.61,220.472
1167.66,220.472
1170.71,220.472
1173.76,220.472
1176.81,314.961
1179.86,314.961
1182.91,314.961
1185.96,314.961
1189,314.961
1192.05,314.961
1195.1,220.472
1198.15,125.984
1201.2,125.984
1204.25,125.984
1207.3,125.984
1210.35,125.984
1213.4,125.984
1216.45,125.984
1219.5,125.984
1222.55,125.984
1225.6,125.984
1228.65,125.984
1231.7,125.984
1234.75,125.984
1237.8,125.984
1240.85,125.984
1243.9,125.984
1246.95,125.984
1250,220.472
1253.05,220.472
1256.1,220.472
1259.15,220.472
1262.2,220.472
1265.25,220.472
1268.3,220.472
1271.35,220.472
1274.4,220.472
1277.45,220.472
1280.5,125.984
1283.55,125.984
1286.6,125.984
1289.65,125.984
1292.7,125.984
1295.75,125.984
1298.8,125.984
1301.85,125.984
1304.9,125.984
1307.95,125.984
1311,125.984
1314.04,125.984
1317.09,125.984
1320.14,125.984
1323.19,125.984
1326.24,125.984
1329.29,125.984
1332.34,125.984
1335.39,125.984
1338.44,125.984
1341.49,125.984
1344.54,125.984
1347.59,220.472
1350.64,409.449
1353.69,409.449
1356.74,503.937
1359.79,503.937
1362.84,598.425
1365.89,787.402
1368.94,881.89
1371.99,976.378
1375.04,1070.87
1378.09,1165.35
1381.14,1259.84
1384.19,1259.84
1387.24,1165.35
1390.29,1070.87
1393.34,976.378
1396.39,881.89
1399.44,692.913
1402.49,503.937
1405.54,409.449
1408.59,314.961
1411.64,220.472
1414.69,125.984
1417.74,125.984
1420.79,125.984
1423.84,125.984
1426.89,125.984
1429.94,125.984
1432.99,125.984
1436.04,125.984
1439.09,125.984
1442.13,125.984
1445.18,125.984
1448.23,125.984
1451.28,125.984
1454.33,125.984
1457.38,125.984
1460.43,220.472
1463.48,220.472
1466.53,220.472
1469.58,220.472
1472.63,314.961
1475.68,314.961
1478.73,314.961
1481.78,314.961
1484.83,314.961
1487.88,314.961
1490.93,220.472
1493.98,220.472
1497.03,220.472
1500.08,220.472
1503.13,125.984
1506.18,125.984
1509.23,125.984
1512.28,125.984
1515.33,125.984
1518.38,125.984
1521.43,125.984
1524.48,125.984
1527.53,125.984
1530.58,125.984
1533.63,125.984
1536.68,125.984
1539.73,125.984
1542.78,220.472
1545.83,220.472
1548.88,314.961
1551.93,314.961
1554.98,314.961
1558.03,314.961
1561.08,220.472
1564.13,220.472
1567.17,220.472
1570.22,125.984
1573.27,125.984
1576.32,125.984
1579.37,125.984
1582.42,125.984
1585.47,125.984
1588.52,125.984
1591.57,125.984
1594.62,125.984
1597.67,125.984
1600.72,125.984
1603.77,125.984
1606.82,125.984
1609.87,125.984
1612.92,125.984
1615.97,125.984
1619.02,125.984
1622.07,125.984
1625.12,125.984
1628.17,220.472
1631.22,220.472
1634.27,220.472
1637.32,314.961
1640.37,314.961
1643.42,314.961
1646.47,314.961
1649.52,314.961
1652.57,314.961
1655.62,314.961
1658.67,314.961
1661.72,314.961
1664.77,314.961
1667.82,314.961
1670.87,220.472
1673.92,220.472
1676.97,125.984
1680.02,125.984
1683.07,125.984
1686.12,125.984
1689.17,125.984
1692.22,125.984
1695.26,125.984
1698.31,125.984
1701.36,125.984
1704.41,125.984
1707.46,125.984
1710.51,125.984
1713.56,125.984
1716.61,125.984
1719.66,125.984
1722.71,125.984
1725.76,125.984
1728.81,125.984
1731.86,125.984
1734.91,125.984
1737.96,125.984
1741.01,125.984
1744.06,125.984
1747.11,125.984
1750.16,125.984
1753.21,125.984
1756.26,125.984
1759.31,125.984
1762.36,125.984
1765.41,220.472
1768.46,220.472
1771.51,220.472
1774.56,314.961
1777.61,314.961
1780.66,314.961
1783.71,314.961
1786.76,220.472
1789.81,220.472
1792.86,220.472
1795.91,220.472
1798.96,220.472
1802.01,220.472
1805.06,220.472
1808.11,220.472
1811.16,220.472
1814.21,125.984
1817.26,125.984
1820.3,125.984
1823.35,125.984
1826.4,125.984
1829.45,125.984
1832.5,125.984
1835.55,125.984
1838.6,125.984
1841.65,125.984
1844.7,125.984
1847.75,125.984
1850.8,125.984
1853.85,125.984
1856.9,220.472
1859.95,220.472
1863,220.472
1866.05,220.472
1869.1,220.472
1872.15,220.472
1875.2,220.472
1878.25,220.472
1881.3,220.472
1884.35,220.472
1887.4,220.472
1890.45,220.472
1893.5,220.472
1896.55,125.984
1899.6,125.984
1902.65,125.984
1905.7,125.984
1908.75,125.984
1911.8,125.984
1914.85,220.472
1917.9,220.472
1920.95,220.472
1924,220.472
1927.05,220.472
1930.1,220.472
1933.15,220.472
1936.2,220.472
1939.25,220.472
1942.3,220.472
1945.35,220.472
1948.39,220.472
1951.44,220.472
1954.49,125.984
1957.54,125.984
1960.59,125.984
1963.64,125.984
1966.69,220.472
1969.74,220.472
1972.79,220.472
1975.84,220.472
1978.89,220.472
1981.94,220.472
1984.99,314.961
1988.04,314.961
1991.09,314.961
1994.14,220.472
1997.19,220.472
2000.24,220.472
2003.29,125.984
2006.34,125.984
2009.39,125.984
2012.44,125.984
2015.49,125.984
2018.54,125.984
2021.59,125.984
2024.64,125.984
2027.69,125.984
2030.74,220.472
2033.79,220.472
2036.84,220.472
2039.89,220.472
2042.94,220.472
2045.99,220.472
2049.04,220.472
2052.09,220.472
2055.14,220.472
2058.19,314.961
2061.24,314.961
2064.29,314.961
2067.34,314.961
2070.39,314.961
2073.43,314.961
2076.48,314.961
2079.53,314.961
2082.58,314.961
2085.63,314.961
2088.68,314.961
2091.73,314.961
2094.78,314.961
2097.83,314.961
2100.88,220.472
2103.93,220.472
2106.98,220.472
2110.03,220.472
2113.08,220.472
2116.13,220.472
2119.18,314.961
2122.23,314.961
2125.28,314.961
2128.33,314.961
2131.38,220.472
2134.43,220.472
2137.48,220.472
2140.53,220.472
2143.58,314.961
2146.63,314.961
2149.68,314.961
2152.73,314.961
2155.78,314.961
2158.83,220.472
2161.88,220.472
2164.93,220.472
2167.98,220.472
2171.03,220.472
2174.08,220.472
2177.13,314.961
2180.18,220.472
2183.23,220.472
2186.28,220.472
2189.33,220.472
2192.38,220.472
2195.43,220.472
2198.48,220.472
2201.52,220.472
2204.57,314.961
2207.62,409.449
2210.67,503.937
2213.72,598.425
2216.77,692.913
2219.82,692.913
2222.87,692.913
2225.92,692.913
2228.97,692.913
2232.02,692.913
2235.07,692.913
2238.12,692.913
2241.17,692.913
2244.22,787.402
2247.27,787.402
2250.32,787.402
2253.37,787.402
2256.42,787.402
2259.47,787.402
2262.52,787.402
2265.57,787.402
2268.62,881.89
2271.67,976.378
2274.72,1070.87
2277.77,1070.87
2280.82,1165.35
2283.87,1165.35
2286.92,1165.35
2289.97,1165.35
