,GP550R
RamanShit,Intensity
261.755,19.685
264.815,19.685
267.874,19.685
270.934,19.685
273.994,19.685
277.053,19.685
280.113,19.685
283.172,19.685
286.232,19.685
289.291,19.685
292.351,19.685
295.411,19.685
298.47,19.685
301.53,19.685
304.589,19.685
307.649,19.685
310.709,90.5512
313.768,90.5512
316.828,90.5512
319.887,90.5512
322.947,90.5512
326.006,90.5512
329.066,90.5512
332.126,90.5512
335.185,90.5512
338.245,90.5512
341.304,90.5512
344.364,90.5512
347.424,90.5512
350.483,90.5512
353.543,90.5512
356.602,90.5512
359.662,90.5512
362.721,90.5512
365.781,90.5512
368.841,90.5512
371.9,90.5512
374.96,90.5512
378.019,90.5512
381.079,90.5512
384.138,90.5512
387.198,90.5512
390.258,90.5512
393.317,90.5512
396.377,90.5512
399.436,90.5512
402.496,161.417
405.556,161.417
408.615,161.417
411.675,161.417
414.734,161.417
417.794,161.417
420.853,161.417
423.913,232.283
426.973,232.283
430.032,232.283
433.092,232.283
436.151,232.283
439.211,232.283
442.271,232.283
445.33,232.283
448.39,232.283
451.449,232.283
454.509,303.15
457.568,303.15
460.628,232.283
463.688,232.283
466.747,232.283
469.807,232.283
472.866,232.283
475.926,161.417
478.986,161.417
482.045,161.417
485.105,161.417
488.164,161.417
491.224,161.417
494.283,90.5512
497.343,90.5512
500.403,90.5512
503.462,90.5512
506.522,90.5512
509.581,90.5512
512.641,90.5512
515.7,90.5512
518.76,90.5512
521.82,90.5512
524.879,90.5512
527.939,90.5512
530.998,90.5512
534.058,90.5512
537.118,90.5512
540.177,90.5512
543.237,19.685
546.296,19.685
549.356,19.685
552.415,19.685
555.475,19.685
558.535,90.5512
561.594,90.5512
564.654,90.5512
567.713,90.5512
570.773,90.5512
573.833,90.5512
576.892,19.685
579.952,19.685
583.011,19.685
586.071,19.685
589.13,19.685
592.19,19.685
595.25,19.685
598.309,19.685
601.369,19.685
604.428,19.685
607.488,90.5512
610.548,90.5512
613.607,90.5512
616.667,90.5512
619.726,90.5512
622.786,90.5512
625.845,90.5512
628.905,90.5512
631.965,90.5512
635.024,90.5512
638.084,90.5512
641.143,90.5512
644.203,90.5512
647.262,90.5512
650.322,90.5512
653.382,90.5512
656.441,90.5512
659.501,19.685
662.56,19.685
665.62,19.685
668.68,19.685
671.739,19.685
674.799,90.5512
677.858,90.5512
680.918,90.5512
683.977,90.5512
687.037,90.5512
690.097,90.5512
693.156,90.5512
696.216,19.685
699.275,19.685
702.335,19.685
705.395,19.685
708.454,19.685
711.514,19.685
714.573,19.685
717.633,90.5512
720.692,90.5512
723.752,90.5512
726.812,90.5512
729.871,90.5512
732.931,90.5512
735.99,90.5512
739.05,90.5512
742.11,19.685
745.169,19.685
748.229,19.685
751.288,19.685
754.348,19.685
757.407,90.5512
760.467,90.5512
763.527,90.5512
766.586,90.5512
769.646,90.5512
772.705,90.5512
775.765,90.5512
778.824,90.5512
781.884,90.5512
784.944,90.5512
788.003,90.5512
791.063,90.5512
794.122,90.5512
797.182,19.685
800.242,19.685
803.301,19.685
806.361,19.685
809.42,90.5512
812.48,90.5512
815.539,90.5512
818.599,19.685
821.659,19.685
824.718,19.685
827.778,19.685
830.837,19.685
833.897,19.685
836.957,90.5512
840.016,90.5512
843.076,90.5512
846.135,90.5512
849.195,90.5512
852.254,90.5512
855.314,90.5512
858.374,90.5512
861.433,90.5512
864.493,90.5512
867.552,90.5512
870.612,90.5512
873.671,90.5512
876.731,90.5512
879.791,90.5512
882.85,90.5512
885.91,19.685
888.969,19.685
892.029,19.685
895.089,19.685
898.148,19.685
901.208,19.685
904.267,19.685
907.327,19.685
910.386,19.685
913.446,19.685
916.506,19.685
919.565,19.685
922.625,19.685
925.684,19.685
928.744,19.685
931.804,19.685
934.863,19.685
937.923,19.685
940.982,19.685
944.042,19.685
947.101,19.685
950.161,90.5512
953.221,19.685
956.28,19.685
959.34,19.685
962.399,19.685
965.459,19.685
968.519,19.685
971.578,19.685
974.638,19.685
977.697,90.5512
980.757,90.5512
983.816,90.5512
986.876,90.5512
989.936,161.417
992.995,161.417
996.055,90.5512
999.114,90.5512
1002.17,19.685
1005.23,19.685
1008.29,19.685
1011.35,19.685
1014.41,19.685
1017.47,19.685
1020.53,19.685
1023.59,19.685
1026.65,19.685
1029.71,19.685
1032.77,19.685
1035.83,19.685
1038.89,19.685
1041.95,19.685
1045.01,19.685
1048.07,19.685
1051.13,19.685
1054.19,19.685
1057.25,19.685
1060.31,19.685
1063.37,19.685
1066.43,19.685
1069.48,19.685
1072.54,19.685
1075.6,19.685
1078.66,19.685
1081.72,19.685
1084.78,19.685
1087.84,19.685
1090.9,19.685
1093.96,19.685
1097.02,19.685
1100.08,19.685
1103.14,90.5512
1106.2,161.417
1109.26,303.15
1112.32,444.882
1115.38,657.48
1118.44,940.945
1121.5,1295.28
1124.56,1720.47
1127.62,2145.67
1130.68,2783.46
1133.74,3562.99
1136.8,4271.65
1139.86,5051.18
1142.91,5759.84
1145.97,6539.37
1149.03,7177.17
1152.09,7814.96
1155.15,8169.29
1158.21,8240.16
1161.27,8311.02
1164.33,8169.29
1167.39,8027.56
1170.45,7531.5
1173.51,6893.7
1176.57,5759.84
1179.63,4625.98
1182.69,3917.32
1185.75,3066.93
1188.81,2358.27
1191.87,1862.2
1194.93,1437.01
1197.99,1082.68
1201.05,870.079
1204.11,728.346
1207.17,728.346
1210.23,728.346
1213.29,799.213
1216.34,1011.81
1219.4,1366.14
1222.46,1791.34
1225.52,2429.13
1228.58,3208.66
1231.64,4200.79
1234.7,5334.65
1237.76,6681.1
1240.82,8098.43
1243.88,9657.48
1246.94,11429.1
1250,13059.1
1253.06,14122
1256.12,14547.2
1259.18,14830.7
1262.24,14547.2
1265.3,14192.9
1268.36,13342.5
1271.42,12279.5
1274.48,11074.8
1277.54,9799.21
1280.6,8523.62
1283.66,7389.76
1286.71,6326.77
1289.77,5405.51
1292.83,4555.12
1295.89,3846.46
1298.95,3279.53
1302.01,2712.6
1305.07,2216.54
1308.13,1791.34
1311.19,1437.01
1314.25,1153.54
1317.31,940.945
1320.37,728.346
1323.43,515.748
1326.49,374.016
1329.55,303.15
1332.61,161.417
1335.67,90.5512
1338.73,90.5512
1341.79,90.5512
1344.85,90.5512
1347.91,19.685
1350.97,19.685
1354.03,19.685
1357.09,19.685
1360.14,19.685
1363.2,19.685
1366.26,90.5512
1369.32,90.5512
1372.38,90.5512
1375.44,161.417
1378.5,232.283
1381.56,374.016
1384.62,444.882
1387.68,586.614
1390.74,728.346
1393.8,940.945
1396.86,1153.54
