,GP550R
RamanShit,Intensity
258.762,304.348
261.817,43.4783
264.871,43.4783
267.926,43.4783
270.981,130.435
274.035,304.348
277.09,652.174
280.145,565.217
283.199,304.348
286.254,304.348
289.309,217.391
292.363,217.391
295.418,217.391
298.473,130.435
301.527,130.435
304.582,130.435
307.637,130.435
310.691,130.435
313.746,130.435
316.801,130.435
319.855,130.435
322.91,130.435
325.965,130.435
329.019,130.435
332.074,130.435
335.129,217.391
338.183,217.391
341.238,304.348
344.293,478.261
347.347,826.087
350.402,1347.83
353.457,2217.39
356.511,3260.87
359.566,4565.22
362.621,6478.26
365.675,9000
368.73,10304.3
371.785,11695.7
374.839,10304.3
377.894,9000
380.949,6217.39
384.003,3869.57
387.058,2652.17
390.113,2217.39
393.167,1869.57
396.222,2130.43
399.277,2217.39
402.331,2478.26
405.386,2913.04
408.441,3173.91
411.495,3434.78
414.55,3173.91
417.605,3000
420.659,2304.35
423.714,1521.74
426.768,913.043
429.823,478.261
432.878,217.391
435.932,130.435
438.987,43.4783
442.042,43.4783
445.096,43.4783
448.151,43.4783
451.206,43.4783
454.26,130.435
457.315,217.391
460.37,217.391
463.424,304.348
466.479,478.261
469.534,652.174
472.588,739.13
475.643,739.13
478.698,739.13
481.752,652.174
484.807,652.174
487.862,391.304
490.916,304.348
493.971,130.435
497.026,130.435
500.08,130.435
503.135,304.348
506.19,565.217
509.244,826.087
512.299,652.174
515.354,565.217
518.408,565.217
521.463,565.217
524.518,565.217
527.572,652.174
530.627,739.13
533.682,913.043
536.736,1521.74
539.791,2217.39
542.846,2565.22
545.9,2826.09
548.955,2478.26
552.01,2043.48
555.064,1173.91
558.119,478.261
561.174,217.391
564.228,43.4783
567.283,43.4783
570.338,43.4783
573.392,43.4783
576.447,130.435
579.502,217.391
582.556,391.304
585.611,739.13
588.666,913.043
591.72,1000
594.775,1000
597.83,913.043
600.884,913.043
603.939,739.13
606.994,565.217
610.048,565.217
613.103,565.217
616.158,652.174
619.212,739.13
622.267,1000
625.322,1260.87
628.376,1608.7
631.431,1956.52
634.486,2304.35
637.54,2826.09
640.595,3521.74
643.65,4130.43
646.704,4565.22
649.759,5000
652.814,4304.35
655.868,3869.57
658.923,2913.04
661.977,2043.48
665.032,1347.83
668.087,826.087
671.141,565.217
674.196,391.304
677.251,304.348
680.305,391.304
683.36,478.261
686.415,565.217
689.469,826.087
692.524,1086.96
695.579,1173.91
698.633,1086.96
701.688,1000
704.743,826.087
707.797,478.261
710.852,304.348
713.907,130.435
716.961,43.4783
720.016,43.4783
723.071,-43.4783
726.125,-43.4783
729.18,-43.4783
732.235,-43.4783
735.289,-43.4783
738.344,43.4783
741.399,43.4783
744.453,43.4783
747.508,43.4783
750.563,43.4783
753.617,43.4783
756.672,43.4783
759.727,43.4783
762.781,43.4783
765.836,43.4783
768.891,43.4783
771.945,43.4783
775,43.4783
778.055,43.4783
781.109,43.4783
784.164,43.4783
787.219,43.4783
790.273,43.4783
793.328,43.4783
796.383,43.4783
799.437,43.4783
802.492,130.435
805.547,217.391
808.601,478.261
811.656,826.087
814.711,1434.78
817.765,2217.39
820.82,2913.04
823.875,3956.52
826.929,4217.39
829.984,2913.04
833.039,2652.17
836.093,2304.35
839.148,2217.39
842.203,2304.35
845.257,2478.26
848.312,2826.09
851.367,3260.87
854.421,3695.65
857.476,4217.39
860.531,5000
863.585,6043.48
866.64,7521.74
869.695,9695.65
872.749,12565.2
875.804,14304.3
878.859,19087
881.913,18130.4
884.968,14217.4
888.023,11260.9
891.077,6826.09
894.132,4304.35
897.186,2739.13
900.241,1695.65
903.296,1086.96
906.35,739.13
909.405,739.13
912.46,739.13
915.514,826.087
918.569,913.043
921.624,1260.87
924.678,1695.65
927.733,2130.43
930.788,2391.3
933.842,2391.3
936.897,2391.3
939.952,2217.39
943.006,1869.57
946.061,1434.78
949.116,1086.96
952.17,739.13
955.225,565.217
958.28,391.304
961.334,217.391
964.389,130.435
967.444,130.435
970.498,130.435
973.553,130.435
976.608,130.435
979.662,130.435
982.717,217.391
985.772,304.348
988.826,304.348
991.881,304.348
994.936,304.348
997.99,391.304
1001.05,478.261
1004.1,565.217
1007.15,739.13
1010.21,565.217
1013.26,478.261
1016.32,304.348
1019.37,130.435
1022.43,43.4783
1025.48,43.4783
1028.54,43.4783
1031.59,43.4783
1034.65,43.4783
1037.7,130.435
1040.76,304.348
1043.81,478.261
1046.86,478.261
1049.92,478.261
1052.97,391.304
1056.03,304.348
1059.08,130.435
1062.14,43.4783
1065.19,43.4783
1068.25,43.4783
1071.3,43.4783
1074.36,43.4783
1077.41,43.4783
1080.47,43.4783
1083.52,43.4783
1086.58,43.4783
1089.63,43.4783
1092.68,43.4783
1095.74,-43.4783
1098.79,-43.4783
1101.85,-43.4783
1104.9,-43.4783
1107.96,-43.4783
1111.01,-43.4783
1114.07,43.4783
1117.12,43.4783
1120.18,43.4783
1123.23,43.4783
1126.29,43.4783
1129.34,43.4783
1132.4,43.4783
1135.45,43.4783
1138.5,43.4783
1141.56,43.4783
1144.61,130.435
1147.67,130.435
1150.72,130.435
1153.78,130.435
1156.83,130.435
1159.89,130.435
1162.94,130.435
1166,130.435
1169.05,217.391
1172.11,217.391
1175.16,217.391
1178.22,217.391
1181.27,217.391
1184.32,217.391
1187.38,217.391
1190.43,217.391
1193.49,217.391
1196.54,130.435
1199.6,43.4783
1202.65,43.4783
1205.71,43.4783
1208.76,43.4783
1211.82,43.4783
1214.87,43.4783
1217.93,43.4783
1220.98,43.4783
1224.04,43.4783
1227.09,43.4783
1230.14,43.4783
1233.2,43.4783
1236.25,43.4783
1239.31,43.4783
1242.36,43.4783
1245.42,43.4783
1248.47,130.435
1251.53,130.435
1254.58,130.435
1257.64,130.435
1260.69,130.435
1263.75,130.435
1266.8,130.435
1269.86,130.435
1272.91,130.435
1275.96,130.435
1279.02,130.435
1282.07,130.435
1285.13,130.435
1288.18,130.435
1291.24,43.4783
1294.29,43.4783
1297.35,43.4783
1300.4,43.4783
1303.46,43.4783
1306.51,43.4783
1309.57,43.4783
1312.62,43.4783
1315.68,43.4783
1318.73,43.4783
1321.78,43.4783
1324.84,-43.4783
1327.89,-43.4783
1330.95,-43.4783
1334,-43.4783
1337.06,43.4783
1340.11,43.4783
1343.17,43.4783
1346.22,43.4783
1349.28,43.4783
1352.33,130.435
1355.39,217.391
1358.44,217.391
1361.5,304.348
1364.55,478.261
1367.6,565.217
1370.66,652.174
1373.71,739.13
1376.77,826.087
1379.82,913.043
1382.88,913.043
1385.93,913.043
1388.99,826.087
1392.04,739.13
1395.1,739.13
1398.15,565.217
1401.21,478.261
1404.26,391.304
1407.32,304.348
1410.37,130.435
1413.42,130.435
1416.48,43.4783
1419.53,43.4783
1422.59,43.4783
1425.64,43.4783
1428.7,43.4783
1431.75,43.4783
1434.81,43.4783
1437.86,43.4783
1440.92,43.4783
1443.97,43.4783
1447.03,43.4783
1450.08,43.4783
1453.14,43.4783
1456.19,43.4783
1459.24,43.4783
1462.3,130.435
1465.35,130.435
1468.41,130.435
1471.46,130.435
1474.52,130.435
1477.57,217.391
1480.63,217.391
1483.68,217.391
1486.74,217.391
1489.79,217.391
1492.85,130.435
1495.9,130.435
1498.95,130.435
1502.01,130.435
1505.06,43.4783
1508.12,43.4783
1511.17,43.4783
1514.23,43.4783
1517.28,43.4783
1520.34,43.4783
1523.39,43.4783
1526.45,43.4783
1529.5,43.4783
1532.56,43.4783
1535.61,43.4783
1538.67,43.4783
1541.72,43.4783
1544.77,43.4783
1547.83,43.4783
1550.88,130.435
1553.94,130.435
1556.99,130.435
1560.05,217.391
1563.1,130.435
1566.16,130.435
1569.21,130.435
1572.27,130.435
1575.32,43.4783
1578.38,43.4783
1581.43,43.4783
1584.49,43.4783
1587.54,43.4783
1590.59,43.4783
1593.65,43.4783
1596.7,43.4783
1599.76,43.4783
