,GP550R
RamanShit,Intensity
258.828,31.4961
261.878,97.6378
264.928,78.7402
267.978,59.8425
271.027,12.5984
274.077,50.3937
277.127,59.8425
280.177,97.6378
283.226,201.575
286.276,286.614
289.326,314.961
292.376,314.961
295.425,314.961
298.475,305.512
301.525,286.614
304.575,220.472
307.624,154.331
310.674,107.087
313.724,78.7402
316.774,50.3937
319.823,31.4961
322.873,31.4961
325.923,31.4961
328.973,40.9449
332.022,69.2913
335.072,78.7402
338.122,88.189
341.172,107.087
344.222,125.984
347.271,154.331
350.321,211.024
353.371,343.307
356.421,494.488
359.47,607.874
362.52,655.118
365.57,721.26
368.62,655.118
371.669,626.772
374.719,551.181
377.769,466.142
380.819,390.551
383.868,333.858
386.918,305.512
389.968,277.165
393.018,220.472
396.067,267.717
399.117,277.165
402.167,314.961
405.217,409.449
408.266,475.591
411.316,494.488
414.366,532.283
417.416,475.591
420.465,428.346
423.515,314.961
426.565,220.472
429.615,135.433
432.665,97.6378
435.714,69.2913
438.764,40.9449
441.814,12.5984
444.864,3.14961
447.913,3.14961
450.963,12.5984
454.013,31.4961
457.063,59.8425
460.112,88.189
463.162,107.087
466.212,163.78
469.262,248.819
472.311,352.756
475.361,503.937
478.411,692.913
481.461,900.787
484.51,1174.8
487.56,1212.6
490.61,995.276
493.66,853.543
496.709,588.976
499.759,418.898
502.809,362.205
505.859,343.307
508.909,324.409
511.958,296.063
515.008,286.614
518.058,229.921
521.108,173.228
524.157,144.882
527.207,125.984
530.257,125.984
533.307,116.535
536.356,107.087
539.406,173.228
542.456,69.2913
545.506,50.3937
548.555,69.2913
551.605,69.2913
554.655,78.7402
557.705,88.189
560.754,78.7402
563.804,69.2913
566.854,69.2913
569.904,59.8425
572.953,50.3937
576.003,59.8425
579.053,69.2913
582.103,88.189
585.152,97.6378
588.202,116.535
591.252,135.433
594.302,192.126
597.352,229.921
600.401,258.268
603.451,277.165
606.501,286.614
609.551,324.409
612.6,352.756
615.65,371.654
618.7,400
621.75,456.693
624.799,503.937
627.849,570.079
630.899,683.465
633.949,844.094
636.998,1051.97
640.048,1174.8
