,GP550R
RamanShit,Intensity
258.828,6482.21
261.878,3162.06
264.928,-158.103
267.978,-1106.72
271.027,-395.257
274.077,-395.257
277.127,79.0514
280.177,1027.67
283.226,3162.06
286.276,6482.21
289.326,8853.75
292.376,12173.9
295.425,12648.2
298.475,9328.06
301.525,8142.29
304.575,5533.6
307.624,3399.21
310.674,1976.28
313.724,1264.82
316.774,1264.82
319.823,1264.82
322.873,1264.82
325.923,1501.98
328.973,1027.67
332.022,790.514
335.072,316.206
338.122,316.206
341.172,316.206
344.222,790.514
347.271,1264.82
350.321,1739.13
353.371,1976.28
356.421,2924.9
359.47,4347.83
362.52,5296.44
365.57,6719.37
368.62,5296.44
371.669,4822.13
374.719,3162.06
377.769,1739.13
380.819,790.514
383.868,553.36
386.918,316.206
389.968,79.0514
393.018,79.0514
396.067,79.0514
399.117,79.0514
402.167,79.0514
405.217,79.0514
408.266,316.206
411.316,553.36
414.366,1501.98
417.416,3162.06
420.465,5296.44
423.515,6719.37
426.565,8142.29
429.615,6719.37
432.665,5770.75
435.714,3873.52
438.764,2213.44
441.814,1501.98
444.864,1264.82
447.913,1264.82
450.963,1264.82
454.013,1264.82
457.063,1027.67
460.112,1027.67
463.162,1027.67
466.212,1027.67
469.262,1264.82
472.311,1739.13
475.361,1976.28
478.411,2213.44
481.461,2213.44
484.51,1976.28
487.56,1976.28
490.61,1739.13
493.66,1027.67
496.709,553.36
499.759,316.206
502.809,79.0514
505.859,-158.103
508.909,-158.103
511.958,-158.103
515.008,79.0514
518.058,79.0514
521.108,316.206
524.157,790.514
527.207,1027.67
530.257,1501.98
533.307,2450.59
536.356,3873.52
539.406,6007.91
542.456,9328.06
545.506,15019.8
548.555,23794.5
551.605,32569.2
554.655,42292.5
557.705,43478.3
560.754,35889.3
563.804,35652.2
566.854,35177.9
569.904,34940.7
572.953,33280.6
576.003,36600.8
579.053,38260.9
582.103,29249
585.152,21660.1
588.202,13122.5
591.252,8379.45
594.302,5296.44
597.352,3636.36
600.401,2450.59
603.451,1501.98
606.501,1027.67
609.551,1027.67
612.6,1027.67
615.65,1027.67
618.7,1027.67
621.75,1027.67
624.799,790.514
627.849,790.514
630.899,316.206
633.949,79.0514
636.998,79.0514
640.048,79.0514
643.098,79.0514
646.148,316.206
649.197,553.36
652.247,1027.67
655.297,1739.13
658.347,3162.06
661.396,5296.44
664.446,8616.6
667.496,10751
670.546,12885.4
673.596,10751
676.645,8853.75
679.695,5770.75
682.745,3399.21
685.795,2213.44
688.844,1501.98
691.894,1264.82
694.944,790.514
697.994,790.514
701.043,790.514
704.093,1264.82
707.143,1739.13
710.193,2450.59
713.242,2687.75
716.292,2687.75
719.342,2450.59
722.392,2450.59
725.441,2450.59
728.491,1976.28
731.541,1264.82
734.591,1027.67
737.64,790.514
740.69,553.36
743.74,553.36
746.79,316.206
749.839,316.206
752.889,79.0514
755.939,79.0514
758.989,79.0514
762.039,79.0514
765.088,79.0514
768.138,79.0514
771.188,79.0514
774.238,79.0514
777.287,79.0514
780.337,79.0514
783.387,79.0514
786.437,79.0514
789.486,79.0514
792.536,79.0514
795.586,79.0514
798.636,79.0514
801.685,79.0514
804.735,79.0514
807.785,79.0514
810.835,79.0514
813.884,79.0514
816.934,79.0514
819.984,79.0514
823.034,79.0514
826.083,79.0514
829.133,79.0514
832.183,79.0514
835.233,79.0514
838.283,79.0514
841.332,79.0514
844.382,79.0514
847.432,79.0514
850.482,79.0514
853.531,79.0514
856.581,79.0514
859.631,79.0514
862.681,79.0514
865.73,79.0514
868.78,79.0514
871.83,79.0514
874.88,79.0514
877.929,79.0514
880.979,79.0514
884.029,79.0514
887.079,79.0514
890.128,79.0514
893.178,316.206
896.228,553.36
899.278,790.514
902.327,790.514
905.377,790.514
908.427,790.514
911.477,1027.67
914.526,1264.82
917.576,1739.13
920.626,1976.28
923.676,1739.13
926.726,1501.98
929.775,1264.82
932.825,790.514
935.875,790.514
938.925,1027.67
941.974,1264.82
945.024,1976.28
948.074,3162.06
951.124,4347.83
954.173,4822.13
957.223,5059.29
960.273,5533.6
963.323,7667.98
966.372,12411.1
969.422,15494.1
972.472,19525.7
975.522,15256.9
978.571,11936.8
981.621,6245.06
984.671,3399.21
987.721,1976.28
990.77,1027.67
993.82,790.514
996.87,553.36
999.92,553.36
1002.97,790.514
1006.02,1264.82
1009.07,1739.13
1012.12,1739.13
1015.17,1739.13
1018.22,1501.98
1021.27,1264.82
1024.32,790.514
1027.37,553.36
1030.42,316.206
1033.47,79.0514
1036.52,79.0514
1039.57,79.0514
1042.62,79.0514
1045.67,79.0514
1048.72,79.0514
1051.77,79.0514
1054.82,79.0514
1057.87,79.0514
1060.91,79.0514
1063.96,79.0514
1067.01,79.0514
1070.06,79.0514
1073.11,79.0514
1076.16,79.0514
1079.21,79.0514
1082.26,79.0514
1085.31,79.0514
1088.36,79.0514
1091.41,79.0514
1094.46,316.206
1097.51,553.36
1100.56,1027.67
1103.61,1501.98
1106.66,1976.28
1109.71,1976.28
1112.76,1739.13
1115.81,1501.98
1118.86,1027.67
1121.91,553.36
1124.96,316.206
1128.01,316.206
1131.06,316.206
1134.11,316.206
1137.16,316.206
1140.21,316.206
1143.26,316.206
1146.31,553.36
1149.36,790.514
1152.41,1027.67
1155.46,1264.82
1158.51,1501.98
1161.56,1739.13
1164.61,2213.44
1167.66,2924.9
1170.71,4110.67
1173.76,6007.91
1176.81,9090.91
1179.86,10988.1
1182.91,13359.7
1185.96,10988.1
1189,9565.22
1192.05,6482.21
1195.1,4110.67
1198.15,2450.59
1201.2,1501.98
1204.25,1027.67
1207.3,790.514
1210.35,316.206
1213.4,316.206
1216.45,79.0514
1219.5,79.0514
1222.55,79.0514
1225.6,79.0514
1228.65,79.0514
1231.7,79.0514
1234.75,79.0514
1237.8,79.0514
1240.85,79.0514
1243.9,79.0514
1246.95,79.0514
1250,79.0514
1253.05,79.0514
1256.1,79.0514
1259.15,79.0514
1262.2,316.206
1265.25,553.36
1268.3,553.36
1271.35,790.514
1274.4,553.36
1277.45,553.36
1280.5,316.206
1283.55,79.0514
1286.6,79.0514
1289.65,79.0514
1292.7,79.0514
1295.75,79.0514
1298.8,79.0514
1301.85,79.0514
1304.9,79.0514
1307.95,79.0514
1311,79.0514
1314.04,79.0514
1317.09,79.0514
1320.14,79.0514
1323.19,79.0514
1326.24,79.0514
1329.29,79.0514
1332.34,79.0514
1335.39,79.0514
1338.44,79.0514
1341.49,79.0514
1344.54,79.0514
1347.59,79.0514
1350.64,79.0514
1353.69,79.0514
1356.74,79.0514
1359.79,79.0514
1362.84,79.0514
1365.89,79.0514
1368.94,79.0514
1371.99,79.0514
1375.04,316.206
1378.09,790.514
1381.14,1501.98
1384.19,3636.36
1387.24,2924.9
1390.29,1264.82
1393.34,1027.67
1396.39,553.36
1399.44,553.36
1402.49,316.206
1405.54,316.206
1408.59,316.206
1411.64,79.0514
1414.69,79.0514
1417.74,79.0514
1420.79,79.0514
1423.84,79.0514
1426.89,79.0514
1429.94,79.0514
1432.99,79.0514
1436.04,79.0514
1439.09,79.0514
1442.13,79.0514
1445.18,79.0514
1448.23,79.0514
1451.28,79.0514
1454.33,79.0514
1457.38,79.0514
1460.43,79.0514
1463.48,79.0514
1466.53,79.0514
1469.58,79.0514
1472.63,79.0514
1475.68,79.0514
1478.73,79.0514
1481.78,79.0514
1484.83,79.0514
1487.88,79.0514
1490.93,79.0514
1493.98,79.0514
1497.03,79.0514
1500.08,79.0514
1503.13,79.0514
1506.18,79.0514
1509.23,79.0514
1512.28,79.0514
1515.33,79.0514
1518.38,79.0514
1521.43,79.0514
1524.48,79.0514
1527.53,79.0514
1530.58,79.0514
1533.63,79.0514
1536.68,79.0514
1539.73,79.0514
1542.78,79.0514
1545.83,79.0514
1548.88,79.0514
1551.93,79.0514
1554.98,79.0514
1558.03,79.0514
1561.08,79.0514
1564.13,79.0514
1567.17,79.0514
1570.22,79.0514
1573.27,79.0514
1576.32,79.0514
1579.37,79.0514
1582.42,79.0514
1585.47,79.0514
1588.52,79.0514
1591.57,79.0514
1594.62,79.0514
1597.67,79.0514
1600.72,79.0514
1603.77,79.0514
1606.82,79.0514
1609.87,79.0514
1612.92,79.0514
1615.97,79.0514
1619.02,79.0514
1622.07,79.0514
1625.12,79.0514
1628.17,79.0514
1631.22,79.0514
1634.27,79.0514
1637.32,79.0514
1640.37,79.0514
1643.42,79.0514
1646.47,79.0514
1649.52,79.0514
1652.57,79.0514
1655.62,79.0514
1658.67,79.0514
1661.72,79.0514
1664.77,79.0514
1667.82,79.0514
1670.87,79.0514
1673.92,79.0514
1676.97,79.0514
1680.02,79.0514
1683.07,79.0514
1686.12,79.0514
1689.17,79.0514
1692.22,79.0514
1695.26,79.0514
1698.31,79.0514
1701.36,79.0514
1704.41,79.0514
1707.46,79.0514
1710.51,79.0514
1713.56,79.0514
1716.61,79.0514
1719.66,79.0514
1722.71,79.0514
1725.76,79.0514
1728.81,79.0514
1731.86,79.0514
1734.91,79.0514
1737.96,79.0514
1741.01,79.0514
1744.06,79.0514
1747.11,79.0514
1750.16,79.0514
1753.21,79.0514
1756.26,79.0514
1759.31,79.0514
1762.36,79.0514
1765.41,79.0514
1768.46,79.0514
1771.51,79.0514
1774.56,79.0514
1777.61,79.0514
1780.66,79.0514
1783.71,79.0514
1786.76,79.0514
1789.81,79.0514
1792.86,79.0514
1795.91,79.0514
1798.96,79.0514
1802.01,79.0514
1805.06,79.0514
1808.11,79.0514
1811.16,79.0514
1814.21,79.0514
1817.26,79.0514
1820.3,79.0514
1823.35,79.0514
1826.4,79.0514
1829.45,79.0514
1832.5,79.0514
1835.55,79.0514
1838.6,79.0514
1841.65,79.0514
1844.7,79.0514
1847.75,79.0514
1850.8,79.0514
1853.85,79.0514
1856.9,79.0514
1859.95,79.0514
1863,79.0514
1866.05,79.0514
1869.1,79.0514
1872.15,79.0514
1875.2,79.0514
1878.25,79.0514
1881.3,79.0514
1884.35,79.0514
1887.4,79.0514
1890.45,79.0514
1893.5,79.0514
1896.55,79.0514
1899.6,79.0514
1902.65,79.0514
1905.7,79.0514
1908.75,79.0514
1911.8,79.0514
1914.85,79.0514
1917.9,79.0514
1920.95,79.0514
1924,79.0514
1927.05,79.0514
1930.1,79.0514
1933.15,79.0514
1936.2,79.0514
1939.25,79.0514
1942.3,79.0514
1945.35,79.0514
1948.39,79.0514
1951.44,79.0514
1954.49,79.0514
1957.54,79.0514
1960.59,79.0514
1963.64,79.0514
1966.69,79.0514
1969.74,79.0514
1972.79,79.0514
1975.84,79.0514
1978.89,79.0514
1981.94,79.0514
1984.99,79.0514
1988.04,79.0514
1991.09,79.0514
1994.14,79.0514
1997.19,79.0514
2000.24,79.0514
2003.29,79.0514
2006.34,79.0514
2009.39,79.0514
2012.44,79.0514
2015.49,79.0514
2018.54,79.0514
2021.59,79.0514
2024.64,79.0514
2027.69,79.0514
2030.74,79.0514
2033.79,79.0514
2036.84,79.0514
2039.89,79.0514
2042.94,79.0514
2045.99,79.0514
2049.04,79.0514
2052.09,79.0514
2055.14,79.0514
2058.19,79.0514
2061.24,79.0514
2064.29,79.0514
2067.34,79.0514
2070.39,79.0514
2073.43,79.0514
2076.48,79.0514
2079.53,79.0514
2082.58,79.0514
2085.63,79.0514
2088.68,79.0514
2091.73,79.0514
2094.78,79.0514
2097.83,79.0514
2100.88,79.0514
2103.93,79.0514
2106.98,79.0514
2110.03,79.0514
2113.08,79.0514
2116.13,79.0514
2119.18,79.0514
2122.23,79.0514
2125.28,79.0514
2128.33,79.0514
2131.38,79.0514
2134.43,79.0514
2137.48,79.0514
2140.53,79.0514
2143.58,79.0514
2146.63,79.0514
2149.68,79.0514
2152.73,79.0514
2155.78,79.0514
2158.83,79.0514
2161.88,79.0514
2164.93,79.0514
2167.98,79.0514
2171.03,79.0514
2174.08,79.0514
2177.13,79.0514
2180.18,79.0514
2183.23,79.0514
2186.28,79.0514
2189.33,79.0514
2192.38,79.0514
2195.43,79.0514
2198.48,79.0514
2201.52,79.0514
2204.57,79.0514
2207.62,79.0514
2210.67,79.0514
2213.72,79.0514
2216.77,79.0514
2219.82,79.0514
2222.87,79.0514
2225.92,79.0514
2228.97,79.0514
2232.02,79.0514
2235.07,79.0514
2238.12,79.0514
2241.17,79.0514
2244.22,79.0514
2247.27,79.0514
2250.32,79.0514
2253.37,79.0514
2256.42,79.0514
2259.47,79.0514
2262.52,79.0514
2265.57,79.0514
2268.62,79.0514
2271.67,79.0514
2274.72,79.0514
2277.77,79.0514
2280.82,79.0514
2283.87,79.0514
2286.92,79.0514
2289.97,79.0514
