,GP550R
RamanShit,Intensity
256.124,107.516
259.94,102.941
263.755,89.2157
267.57,80.0654
271.386,75.4902
275.201,84.6405
279.016,84.6405
282.831,89.2157
286.647,93.7908
290.462,102.941
294.277,112.092
298.092,125.817
301.908,139.542
305.723,148.693
309.538,139.542
313.353,134.967
317.169,130.392
320.984,125.817
324.799,107.516
328.614,93.7908
332.43,89.2157
336.245,75.4902
340.06,75.4902
343.876,70.915
347.691,70.915
351.506,66.3399
355.321,66.3399
359.137,70.915
362.952,70.915
366.767,70.915
370.582,75.4902
374.398,80.0654
378.213,112.092
382.028,153.268
385.843,171.569
389.659,176.144
393.474,189.869
397.289,217.32
401.104,272.222
404.92,308.824
408.735,331.699
412.55,450.654
416.365,331.699
420.181,327.124
423.996,327.124
427.811,295.098
431.627,249.346
435.442,212.745
439.257,194.444
443.072,180.719
446.888,162.418
450.703,116.667
454.518,84.6405
458.333,84.6405
462.149,66.3399
465.964,48.0392
469.779,38.8889
473.594,29.7386
477.41,29.7386
481.225,29.7386
485.04,29.7386
488.855,38.8889
492.671,52.6144
496.486,70.915
500.301,98.366
504.116,134.967
507.932,148.693
511.747,148.693
515.562,166.993
519.378,189.869
523.193,194.444
527.008,203.595
530.823,212.745
534.639,221.895
538.454,221.895
542.269,226.471
546.084,226.471
549.9,226.471
553.715,231.046
557.53,235.621
561.345,240.196
565.161,244.771
568.976,253.922
572.791,272.222
576.606,244.771
580.422,244.771
584.237,231.046
588.052,194.444
591.867,166.993
595.683,166.993
599.498,148.693
603.313,130.392
607.129,107.516
610.944,84.6405
614.759,84.6405
618.574,84.6405
622.39,80.0654
626.205,57.1895
630.02,75.4902
633.835,75.4902
637.651,75.4902
641.466,75.4902
645.281,75.4902
649.096,75.4902
652.912,75.4902
656.727,75.4902
660.542,75.4902
664.357,75.4902
668.173,75.4902
671.988,70.915
675.803,66.3399
679.618,61.7647
683.434,52.6144
687.249,48.0392
691.064,43.4641
694.88,43.4641
698.695,43.4641
702.51,43.4641
706.325,43.4641
710.141,43.4641
713.956,34.3137
717.771,38.8889
721.586,38.8889
725.402,38.8889
729.217,38.8889
733.032,38.8889
736.847,38.8889
740.663,29.7386
744.478,43.4641
748.293,43.4641
752.108,43.4641
755.924,48.0392
759.739,48.0392
763.554,57.1895
767.369,61.7647
771.185,61.7647
775,61.7647
778.815,70.915
782.631,66.3399
786.446,57.1895
790.261,48.0392
794.076,43.4641
797.892,38.8889
801.707,20.5882
805.522,43.4641
809.337,66.3399
813.153,75.4902
816.968,52.6144
820.783,52.6144
824.598,52.6144
828.414,61.7647
832.229,70.915
836.044,116.667
839.859,157.843
843.675,162.418
847.49,166.993
851.305,171.569
855.12,180.719
858.936,194.444
862.751,253.922
866.566,212.745
870.382,130.392
874.197,89.2157
878.012,70.915
881.827,61.7647
885.643,52.6144
889.458,52.6144
893.273,38.8889
897.088,52.6144
900.904,57.1895
904.719,93.7908
908.534,125.817
912.349,130.392
916.165,139.542
919.98,144.118
923.795,148.693
927.61,199.02
931.426,285.948
935.241,327.124
939.056,404.902
942.871,615.359
946.687,757.19
950.502,761.765
954.317,967.647
958.133,1178.1
961.948,761.765
965.763,597.059
969.578,317.974
973.394,139.542
977.209,80.0654
981.024,75.4902
984.839,75.4902
988.655,52.6144
992.47,75.4902
996.285,75.4902
1000.1,144.118
1003.92,125.817
1007.73,112.092
1011.55,125.817
1015.36,130.392
1019.18,134.967
1022.99,144.118
1026.81,157.843
1030.62,166.993
1034.44,157.843
1038.25,157.843
1042.07,153.268
1045.88,148.693
1049.7,144.118
1053.51,139.542
1057.33,130.392
1061.14,130.392
1064.96,121.242
1068.78,93.7908
1072.59,80.0654
1076.41,75.4902
1080.22,70.915
1084.04,66.3399
1087.85,66.3399
1091.67,61.7647
1095.48,52.6144
1099.3,43.4641
1103.11,43.4641
1106.93,34.3137
1110.74,34.3137
1114.56,29.7386
1118.37,29.7386
1122.19,29.7386
1126,29.7386
1129.82,29.7386
1133.63,29.7386
1137.45,34.3137
1141.27,34.3137
1145.08,43.4641
1148.9,57.1895
1152.71,66.3399
1156.53,70.915
1160.34,80.0654
1164.16,80.0654
1167.97,84.6405
1171.79,84.6405
1175.6,84.6405
1179.42,75.4902
1183.23,66.3399
1187.05,66.3399
1190.86,61.7647
1194.68,52.6144
1198.49,43.4641
1202.31,20.5882
1206.12,43.4641
1209.94,43.4641
1213.76,48.0392
1217.57,52.6144
1221.39,66.3399
1225.2,80.0654
1229.02,107.516
1232.83,153.268
1236.65,185.294
1240.46,199.02
1244.28,212.745
1248.09,212.745
1251.91,212.745
1255.72,212.745
1259.54,212.745
1263.35,231.046
1267.17,221.895
1270.98,217.32
1274.8,208.17
1278.61,194.444
1282.43,189.869
1286.24,157.843
1290.06,134.967
1293.88,125.817
1297.69,121.242
1301.51,112.092
1305.32,107.516
1309.14,102.941
1312.95,89.2157
1316.77,84.6405
1320.58,75.4902
1324.4,75.4902
1328.21,66.3399
1332.03,61.7647
1335.84,52.6144
1339.66,48.0392
1343.47,38.8889
1347.29,29.7386
1351.1,20.5882
1354.92,20.5882
1358.73,20.5882
1362.55,20.5882
1366.37,29.7386
1370.18,70.915
1374,102.941
1377.81,107.516
1381.63,112.092
1385.44,121.242
1389.26,130.392
1393.07,134.967
1396.89,139.542
1400.7,148.693
1404.52,148.693
1408.33,148.693
1412.15,162.418
1415.96,176.144
1419.78,180.719
1423.59,189.869
1427.41,199.02
1431.22,203.595
1435.04,226.471
1438.86,272.222
1442.67,304.248
1446.49,308.824
1450.3,350
1454.12,340.85
1457.93,304.248
1461.75,281.373
1465.56,226.471
1469.38,194.444
1473.19,171.569
1477.01,121.242
1480.82,89.2157
1484.64,70.915
1488.45,66.3399
1492.27,52.6144
1496.08,34.3137
1499.9,48.0392
1503.71,48.0392
1507.53,48.0392
1511.35,52.6144
1515.16,52.6144
1518.98,66.3399
1522.79,80.0654
1526.61,84.6405
1530.42,84.6405
1534.24,89.2157
1538.05,89.2157
1541.87,84.6405
1545.68,80.0654
1549.5,80.0654
1553.31,80.0654
1557.13,80.0654
1560.94,66.3399
1564.76,52.6144
1568.57,43.4641
1572.39,34.3137
1576.2,34.3137
1580.02,25.1634
1583.84,25.1634
1587.65,25.1634
1591.47,25.1634
1595.28,29.7386
1599.1,34.3137
1602.91,52.6144
1606.73,66.3399
1610.54,75.4902
1614.36,89.2157
1618.17,102.941
1621.99,107.516
1625.8,130.392
1629.62,176.144
1633.43,212.745
1637.25,226.471
1641.06,240.196
1644.88,263.072
1648.69,276.797
1652.51,281.373
1656.33,285.948
1660.14,290.523
1663.96,304.248
1667.77,290.523
1671.59,290.523
1675.4,285.948
1679.22,285.948
1683.03,253.922
1686.85,194.444
1690.66,166.993
1694.48,148.693
1698.29,107.516
1702.11,84.6405
1705.92,75.4902
1709.74,57.1895
1713.55,34.3137
1717.37,29.7386
1721.18,29.7386
1725,29.7386
1728.82,34.3137
1732.63,34.3137
