,GP550R
RamanShit,Intensity
258.222,271.028
261.855,252.336
265.488,233.645
269.12,252.336
272.753,345.794
276.386,476.636
280.019,588.785
283.652,663.551
287.285,757.009
290.918,775.701
294.551,794.393
298.184,831.776
301.816,869.159
305.449,887.85
309.082,906.542
312.715,943.925
316.348,1000
319.981,1037.38
323.614,1093.46
327.247,869.159
330.88,719.626
334.512,420.561
338.145,289.72
341.778,271.028
345.411,271.028
349.044,327.103
352.677,383.178
356.31,607.477
359.943,1168.22
363.576,1990.65
367.208,2457.94
370.841,3037.38
374.474,2439.25
378.107,2420.56
381.74,2121.5
385.373,1392.52
389.006,775.701
392.639,495.327
396.272,420.561
399.904,401.869
403.537,439.252
407.17,457.944
410.803,495.327
414.436,532.71
418.069,626.168
421.702,682.243
425.335,700.935
428.967,794.393
432.6,682.243
436.233,588.785
439.866,401.869
443.499,308.411
447.132,271.028
450.765,252.336
454.398,233.645
458.031,233.645
461.663,233.645
465.296,252.336
468.929,252.336
472.562,252.336
476.195,233.645
479.828,233.645
483.461,233.645
487.094,233.645
490.727,214.953
494.359,214.953
497.992,214.953
501.625,233.645
505.258,271.028
508.891,383.178
512.524,495.327
516.157,514.019
519.79,719.626
523.423,495.327
527.055,420.561
530.688,308.411
534.321,252.336
537.954,214.953
541.587,214.953
545.22,214.953
548.853,214.953
552.486,233.645
556.119,252.336
559.751,289.72
563.384,345.794
567.017,401.869
570.65,457.944
574.283,532.71
577.916,383.178
581.549,383.178
585.182,383.178
588.815,327.103
592.447,271.028
596.08,252.336
599.713,214.953
603.346,214.953
606.979,214.953
610.612,214.953
614.245,233.645
617.878,214.953
621.511,214.953
625.143,214.953
628.776,214.953
632.409,214.953
636.042,214.953
639.675,214.953
643.308,214.953
646.941,214.953
650.574,214.953
654.207,214.953
657.839,252.336
661.472,271.028
665.105,289.72
668.738,308.411
672.371,401.869
676.004,514.019
679.637,831.776
683.27,1598.13
686.902,2121.5
690.535,2121.5
694.168,3878.5
697.801,4644.86
701.434,2028.04
705.067,1448.6
708.7,962.617
712.333,738.318
715.966,457.944
719.598,364.486
723.231,308.411
726.864,271.028
730.497,233.645
734.13,233.645
737.763,233.645
741.396,214.953
745.029,214.953
748.662,214.953
752.294,214.953
755.927,214.953
759.56,214.953
763.193,233.645
766.826,271.028
770.459,345.794
774.092,439.252
777.725,420.561
781.358,327.103
784.99,271.028
788.623,233.645
792.256,214.953
795.889,214.953
799.522,214.953
803.155,214.953
806.788,214.953
810.421,214.953
814.054,214.953
817.686,214.953
821.319,233.645
824.952,233.645
828.585,214.953
832.218,214.953
835.851,214.953
839.484,214.953
843.117,214.953
846.75,214.953
850.382,214.953
854.015,214.953
857.648,214.953
861.281,233.645
864.914,233.645
868.547,233.645
872.18,252.336
875.813,271.028
879.446,271.028
883.078,289.72
886.711,289.72
890.344,271.028
893.977,252.336
897.61,214.953
901.243,214.953
904.876,214.953
908.509,214.953
912.141,196.262
915.774,196.262
919.407,196.262
923.04,196.262
926.673,196.262
930.306,196.262
933.939,196.262
937.572,196.262
941.205,196.262
944.837,196.262
948.47,196.262
952.103,196.262
955.736,196.262
959.369,196.262
963.002,196.262
966.635,214.953
970.268,289.72
973.901,364.486
977.533,532.71
981.166,719.626
984.799,981.308
988.432,1093.46
992.065,682.243
995.698,626.168
999.331,626.168
1002.96,607.477
1006.6,607.477
1010.23,644.86
1013.86,794.393
1017.5,1093.46
1021.13,1261.68
1024.76,1598.13
1028.39,2383.18
1032.03,2906.54
1035.66,4719.63
1039.29,4383.18
1042.93,2943.93
1046.56,2925.23
1050.19,2663.55
