,GP550R
RamanShit,Intensity
258.762,76.4706
261.817,288.235
264.871,711.765
267.926,958.824
270.981,1170.59
274.035,958.824
277.09,817.647
280.145,500
283.199,217.647
286.254,111.765
289.309,111.765
292.363,147.059
295.418,217.647
298.473,358.824
301.527,500
304.582,535.294
307.637,570.588
310.691,605.882
313.746,817.647
316.801,1382.35
319.855,1770.59
322.91,2194.12
325.965,1735.29
329.019,1735.29
332.074,1382.35
335.129,1735.29
338.183,1841.18
341.238,2582.35
344.293,2794.12
347.347,1841.18
350.402,1664.71
353.457,1311.76
356.511,852.941
359.566,358.824
362.621,111.765
365.675,76.4706
368.73,76.4706
371.785,76.4706
374.839,111.765
377.894,182.353
380.949,288.235
384.003,641.176
387.058,1064.71
390.113,1382.35
393.167,1170.59
396.222,1135.29
399.277,1029.41
402.331,852.941
405.386,747.059
408.441,852.941
411.495,888.235
414.55,1205.88
417.605,1876.47
420.659,2229.41
423.714,2582.35
426.768,2229.41
429.823,1982.35
432.878,1700
435.932,1664.71
438.987,1558.82
442.042,1664.71
445.096,1841.18
448.151,1241.18
451.206,958.824
454.26,464.706
457.315,217.647
460.37,147.059
463.424,111.765
466.479,182.353
469.534,252.941
472.588,394.118
475.643,676.471
478.698,1241.18
481.752,1629.41
484.807,2370.59
487.862,1629.41
490.916,1558.82
493.971,1135.29
497.026,676.471
500.08,570.588
503.135,535.294
506.19,570.588
509.244,570.588
512.299,535.294
515.354,500
518.408,429.412
521.463,288.235
524.518,217.647
527.572,217.647
530.627,217.647
533.682,252.941
536.736,323.529
539.791,464.706
542.846,394.118
545.9,394.118
548.955,429.412
552.01,429.412
555.064,535.294
558.119,711.765
561.174,852.941
564.228,923.529
567.283,923.529
570.338,923.529
573.392,1029.41
576.447,1100
579.502,923.529
582.556,923.529
585.611,888.235
588.666,817.647
591.72,782.353
594.775,605.882
597.83,464.706
600.884,464.706
603.939,464.706
606.994,605.882
610.048,817.647
613.103,958.824
616.158,994.118
619.212,994.118
622.267,958.824
625.322,852.941
628.376,570.588
631.431,464.706
634.486,429.412
637.54,464.706
640.595,500
643.65,605.882
646.704,464.706
649.759,429.412
652.814,288.235
655.868,182.353
658.923,147.059
661.977,111.765
665.032,217.647
668.087,358.824
671.141,711.765
674.196,1064.71
677.251,1805.88
680.305,1876.47
683.36,1135.29
686.415,888.235
689.469,500
692.524,358.824
695.579,323.529
698.633,394.118
701.688,570.588
704.743,1241.18
707.797,2405.88
710.852,3958.82
713.907,6958.82
716.961,7029.41
720.016,4841.18
723.071,3817.65
726.125,2158.82
729.18,1205.88
732.235,711.765
735.289,464.706
738.344,323.529
741.399,217.647
744.453,182.353
747.508,111.765
750.563,76.4706
753.617,76.4706
756.672,76.4706
759.727,76.4706
762.781,111.765
765.836,147.059
768.891,147.059
771.945,147.059
775,111.765
778.055,111.765
781.109,76.4706
784.164,76.4706
787.219,76.4706
790.273,41.1765
793.328,41.1765
796.383,76.4706
799.437,76.4706
802.492,76.4706
805.547,111.765
808.601,147.059
811.656,217.647
814.711,252.941
817.765,252.941
820.82,217.647
823.875,217.647
826.929,217.647
829.984,252.941
833.039,288.235
836.093,288.235
839.148,323.529
842.203,323.529
845.257,323.529
848.312,358.824
851.367,429.412
854.421,500
857.476,535.294
860.531,570.588
863.585,570.588
866.64,570.588
869.695,535.294
872.749,535.294
875.804,535.294
878.859,535.294
881.913,535.294
884.968,570.588
888.023,676.471
891.077,852.941
894.132,1241.18
897.186,1982.35
900.241,2441.18
903.296,3076.47
906.35,2441.18
909.405,2405.88
912.46,2017.65
915.514,1276.47
918.569,747.059
921.624,429.412
924.678,217.647
927.733,147.059
930.788,111.765
933.842,111.765
936.897,111.765
939.952,147.059
943.006,217.647
946.061,394.118
949.116,711.765
952.17,1029.41
955.225,1347.06
958.28,1735.29
961.334,2405.88
964.389,3005.88
967.444,3782.35
970.498,3676.47
973.553,3641.18
976.608,3570.59
979.662,3994.12
982.717,4100
985.772,3252.94
988.826,2970.59
991.881,2652.94
994.936,2617.65
997.99,2582.35
1001.05,2582.35
1004.1,2935.29
1007.15,2441.18
1010.21,2088.24
1013.26,1382.35
1016.32,782.353
1019.37,464.706
1022.43,323.529
1025.48,252.941
1028.54,182.353
1031.59,147.059
1034.65,111.765
1037.7,111.765
1040.76,111.765
1043.81,111.765
1046.86,147.059
1049.92,147.059
1052.97,182.353
1056.03,252.941
1059.08,323.529
1062.14,323.529
1065.19,323.529
1068.25,288.235
1071.3,217.647
1074.36,252.941
1077.41,252.941
1080.47,252.941
1083.52,394.118
1086.58,429.412
1089.63,252.941
1092.68,182.353
1095.74,147.059
1098.79,182.353
1101.85,217.647
1104.9,252.941
1107.96,252.941
1111.01,217.647
1114.07,217.647
1117.12,182.353
1120.18,147.059
1123.23,147.059
1126.29,182.353
1129.34,252.941
1132.4,394.118
1135.45,535.294
1138.5,676.471
1141.56,923.529
1144.61,1170.59
1147.67,1347.06
1150.72,1523.53
1153.78,1629.41
1156.83,1735.29
1159.89,1841.18
1162.94,2088.24
1166,2335.29
1169.05,2441.18
1172.11,2547.06
1175.16,2194.12
1178.22,1700
1181.27,1311.76
1184.32,888.235
1187.38,605.882
1190.43,464.706
1193.49,358.824
1196.54,288.235
1199.6,217.647
1202.65,252.941
1205.71,288.235
1208.76,358.824
1211.82,535.294
1214.87,711.765
1217.93,888.235
1220.98,994.118
1224.04,994.118
1227.09,994.118
1230.14,958.824
1233.2,852.941
1236.25,676.471
1239.31,535.294
1242.36,429.412
1245.42,323.529
1248.47,252.941
1251.53,217.647
1254.58,182.353
1257.64,111.765
1260.69,111.765
1263.75,111.765
1266.8,147.059
1269.86,252.941
1272.91,394.118
