,GP550R
RamanShit,Intensity
258.828,220.472
261.878,1165.35
264.928,2677.17
267.978,4283.46
271.027,5039.37
274.077,5700.79
277.127,4755.91
280.177,3905.51
283.226,2015.75
286.276,976.378
289.326,787.402
292.376,976.378
295.425,1165.35
298.475,1732.28
301.525,2204.72
304.575,2299.21
307.624,2488.19
310.674,2866.14
313.724,3244.09
316.774,3527.56
319.823,3716.54
322.873,5039.37
325.923,4094.49
328.973,4377.95
332.022,4472.44
335.072,4566.93
338.122,5606.3
341.172,8440.94
344.222,8818.9
347.271,6645.67
350.321,6078.74
353.371,4850.39
356.421,3244.09
359.47,1448.82
362.52,409.449
365.57,125.984
368.62,125.984
371.669,125.984
374.719,314.961
377.769,503.937
380.819,976.378
383.868,2015.75
386.918,3338.58
389.968,4755.91
393.018,4377.95
396.067,3716.54
399.117,3716.54
402.167,3433.07
405.217,3716.54
408.266,3811.02
411.316,5133.86
414.366,7779.53
417.416,9952.76
420.465,10236.2
423.515,8818.9
426.565,8157.48
429.615,6551.18
432.665,5700.79
435.714,5606.3
438.764,4944.88
441.814,5606.3
444.864,5984.25
447.913,4283.46
450.963,3244.09
454.013,1543.31
457.063,692.913
460.112,314.961
463.162,220.472
466.212,314.961
469.262,503.937
472.311,881.89
475.361,1448.82
478.411,2866.14
481.461,3905.51
484.51,5889.76
487.56,3905.51
490.61,3244.09
493.66,1826.77
496.709,976.378
499.759,976.378
502.809,976.378
505.859,1070.87
508.909,1259.84
511.958,1070.87
515.008,976.378
518.058,692.913
521.108,409.449
524.157,220.472
527.207,220.472
530.257,220.472
533.307,220.472
536.356,314.961
539.406,503.937
542.456,314.961
545.506,314.961
548.555,314.961
551.605,409.449
554.655,598.425
557.705,976.378
560.754,1259.84
563.804,1637.8
566.854,2110.24
569.904,2582.68
572.953,3433.07
576.003,3244.09
579.053,3055.12
582.103,2866.14
585.152,2771.65
588.202,2771.65
591.252,2393.7
594.302,1637.8
597.352,881.89
600.401,598.425
603.451,598.425
606.501,692.913
609.551,881.89
612.6,1448.82
615.65,1921.26
