,GP550R
RamanShit,Intensity
255.636,125.984
258.696,598.425
261.755,1732.28
264.815,2488.19
267.874,3055.12
270.934,2488.19
273.994,2393.7
277.053,1921.26
280.113,1259.84
283.172,692.913
286.232,1070.87
289.291,1165.35
292.351,1448.82
295.411,2015.75
298.47,2393.7
301.53,2393.7
304.589,2488.19
307.649,2582.68
310.709,3149.61
313.768,4944.88
316.828,8629.92
319.887,8913.39
322.947,6173.23
326.006,6173.23
329.066,4944.88
332.126,6173.23
335.185,6267.72
338.245,8629.92
341.304,9196.85
344.364,6173.23
347.424,5511.81
350.483,4094.49
353.543,2582.68
356.602,1165.35
359.662,409.449
362.721,220.472
365.781,220.472
368.841,220.472
371.9,314.961
374.96,409.449
378.019,787.402
381.079,1921.26
384.138,3055.12
387.198,4472.44
390.258,4188.98
393.317,3338.58
396.377,2960.63
399.436,2393.7
402.496,2015.75
405.556,2299.21
408.615,2393.7
411.675,3244.09
414.734,5133.86
417.794,6078.74
420.853,6929.13
423.913,6078.74
426.973,5889.76
430.032,5228.35
433.092,4566.93
436.151,4472.44
439.211,4000
442.271,4661.42
445.33,3433.07
448.39,2582.68
451.449,1354.33
454.509,692.913
457.568,409.449
460.628,220.472
463.688,409.449
466.747,503.937
469.807,692.913
472.866,1070.87
475.926,2110.24
478.986,2866.14
482.045,4188.98
485.105,2866.14
488.164,2393.7
491.224,1448.82
494.283,787.402
497.343,692.913
500.403,787.402
503.462,787.402
506.522,787.402
509.581,787.402
512.641,692.913
515.7,598.425
518.76,314.961
521.82,220.472
524.879,220.472
527.939,220.472
530.998,314.961
534.058,598.425
537.118,1070.87
540.177,1259.84
543.237,1354.33
546.296,1354.33
549.356,1448.82
552.415,1732.28
555.475,2299.21
558.535,2582.68
561.594,2582.68
564.654,2677.17
567.713,2677.17
570.773,2771.65
573.833,2582.68
576.892,2582.68
579.952,2582.68
583.011,2393.7
586.071,2299.21
589.13,2110.24
592.19,1637.8
595.25,1259.84
598.309,1259.84
601.369,1354.33
604.428,1637.8
607.488,2110.24
610.548,2488.19
613.607,2677.17
616.667,2866.14
619.726,2677.17
622.786,2299.21
625.845,1543.31
628.905,1070.87
631.965,976.378
635.024,1070.87
638.084,1165.35
641.143,1448.82
644.203,1165.35
647.262,976.378
650.322,692.913
653.382,409.449
656.441,314.961
659.501,409.449
662.56,598.425
665.62,1070.87
668.68,2015.75
671.739,3149.61
674.799,5228.35
677.858,5417.32
680.918,3433.07
683.977,2771.65
687.037,1637.8
690.097,1259.84
693.156,1165.35
696.216,1354.33
699.275,1732.28
702.335,3527.56
705.395,6929.13
708.454,11653.5
711.514,20629.9
714.573,21385.8
717.633,14110.2
720.692,11086.6
723.752,6078.74
726.812,3338.58
729.871,1921.26
732.931,1165.35
735.99,692.913
739.05,409.449
742.11,314.961
745.169,125.984
748.229,125.984
751.288,125.984
754.348,125.984
757.407,220.472
760.467,409.449
763.527,598.425
766.586,787.402
769.646,598.425
772.705,503.937
775.765,409.449
778.824,314.961
781.884,220.472
784.944,125.984
788.003,125.984
791.063,125.984
794.122,125.984
797.182,125.984
800.242,125.984
803.301,125.984
806.361,220.472
809.42,220.472
812.48,314.961
815.539,314.961
818.599,220.472
821.659,220.472
824.718,220.472
827.778,220.472
830.837,314.961
833.897,409.449
836.957,409.449
840.016,503.937
843.076,598.425
846.135,881.89
849.195,1070.87
852.254,1259.84
855.314,1354.33
858.374,1354.33
861.433,1448.82
864.493,1448.82
867.552,1448.82
870.612,1448.82
873.671,1448.82
876.731,1448.82
879.791,1543.31
882.85,1637.8
885.91,1732.28
888.969,2299.21
892.029,3338.58
895.089,5039.37
898.148,6078.74
901.208,7685.04
904.267,6078.74
907.327,5984.25
910.386,4850.39
913.446,3149.61
916.506,1826.77
919.565,1070.87
922.625,598.425
925.684,314.961
928.744,220.472
931.804,220.472
934.863,220.472
937.923,314.961
940.982,598.425
944.042,1165.35
947.101,2110.24
950.161,3055.12
953.221,4094.49
956.28,5417.32
959.34,7496.06
962.399,8913.39
965.459,11275.6
968.519,10897.6
971.578,10141.7
974.638,10992.1
977.697,11275.6
980.757,11559.1
983.816,9007.87
986.876,8157.48
989.936,7212.6
992.995,7118.11
996.055,6645.67
999.114,7118.11
1002.17,7496.06
1005.23,7968.5
1008.29,5322.83
1011.35,3433.07
1014.41,1921.26
1017.47,1070.87
1020.53,692.913
1023.59,503.937
