,GP550R
RamanShit,Intensity
261.755,116.142
264.815,116.142
267.874,143.701
270.934,143.701
273.994,143.701
277.053,143.701
280.113,198.819
283.172,391.732
286.232,419.291
289.291,501.969
292.351,612.205
295.411,639.764
298.47,1742.13
301.53,2899.61
304.589,446.85
307.649,253.937
310.709,226.378
313.768,309.055
316.828,419.291
319.887,529.528
322.947,1935.04
326.006,2596.46
329.066,364.173
332.126,171.26
335.185,116.142
338.245,88.5827
341.304,116.142
344.364,116.142
347.424,143.701
350.483,171.26
353.543,253.937
356.602,998.031
359.662,1163.39
362.721,529.528
365.781,694.882
368.841,694.882
371.9,722.441
374.96,832.677
378.019,1025.59
381.079,1273.62
384.138,2045.28
387.198,1935.04
390.258,1907.48
393.317,1687.01
396.377,1907.48
399.436,1935.04
402.496,2100.39
405.556,722.441
408.615,529.528
411.675,309.055
414.734,364.173
417.794,364.173
420.853,391.732
423.913,419.291
426.973,501.969
430.032,777.559
433.092,998.031
436.151,1576.77
439.211,998.031
442.271,832.677
445.33,639.764
448.39,529.528
451.449,281.496
454.509,88.5827
457.568,88.5827
460.628,88.5827
463.688,143.701
466.747,198.819
469.807,336.614
472.866,639.764
475.926,1080.71
478.986,1852.36
482.045,2375.98
485.105,4029.53
488.164,2375.98
491.224,1907.48
494.283,1163.39
497.343,722.441
500.403,501.969
503.462,419.291
506.522,391.732
509.581,364.173
512.641,309.055
515.7,226.378
518.76,116.142
521.82,88.5827
524.879,61.0236
527.939,61.0236
530.998,61.0236
534.058,61.0236
537.118,33.4646
540.177,33.4646
543.237,33.4646
546.296,33.4646
549.356,61.0236
552.415,116.142
555.475,171.26
558.535,226.378
561.594,474.409
564.654,226.378
567.713,198.819
570.773,171.26
573.833,116.142
576.892,143.701
579.952,143.701
583.011,198.819
586.071,143.701
589.13,143.701
592.19,171.26
595.25,171.26
598.309,226.378
601.369,281.496
604.428,584.646
607.488,446.85
610.548,253.937
613.607,253.937
616.667,253.937
619.726,253.937
622.786,281.496
625.845,309.055
628.905,364.173
631.965,309.055
635.024,309.055
638.084,253.937
641.143,198.819
644.203,143.701
647.262,171.26
650.322,198.819
653.382,226.378
656.441,336.614
659.501,253.937
662.56,253.937
665.62,226.378
668.68,226.378
671.739,198.819
674.799,171.26
677.858,88.5827
680.918,88.5827
683.977,61.0236
687.037,33.4646
690.097,33.4646
693.156,61.0236
696.216,61.0236
699.275,61.0236
702.335,61.0236
705.395,61.0236
708.454,61.0236
711.514,61.0236
714.573,61.0236
717.633,61.0236
720.692,61.0236
723.752,61.0236
726.812,61.0236
729.871,61.0236
732.931,61.0236
735.99,61.0236
739.05,61.0236
742.11,61.0236
745.169,61.0236
748.229,61.0236
751.288,61.0236
754.348,33.4646
757.407,33.4646
760.467,33.4646
763.527,33.4646
766.586,61.0236
769.646,61.0236
772.705,61.0236
775.765,61.0236
778.824,61.0236
781.884,61.0236
784.944,61.0236
788.003,61.0236
791.063,61.0236
794.122,88.5827
797.182,116.142
800.242,116.142
803.301,116.142
806.361,116.142
809.42,116.142
812.48,88.5827
815.539,88.5827
818.599,88.5827
821.659,88.5827
824.718,88.5827
827.778,61.0236
830.837,61.0236
833.897,61.0236
836.957,61.0236
840.016,61.0236
843.076,33.4646
846.135,33.4646
849.195,33.4646
852.254,33.4646
855.314,33.4646
858.374,33.4646
861.433,33.4646
864.493,33.4646
867.552,33.4646
870.612,33.4646
873.671,61.0236
876.731,88.5827
879.791,116.142
882.85,143.701
885.91,198.819
888.969,226.378
892.029,226.378
895.089,226.378
898.148,226.378
901.208,226.378
904.267,198.819
907.327,171.26
910.386,171.26
913.446,171.26
916.506,226.378
919.565,253.937
922.625,309.055
925.684,391.732
928.744,474.409
931.804,639.764
934.863,887.795
937.923,1190.94
940.982,1631.89
944.042,2403.54
947.101,2927.17
950.161,3533.46
953.221,2927.17
956.28,2844.49
959.34,2541.34
962.399,2045.28
965.459,1549.21
968.519,1080.71
971.578,694.882
974.638,446.85
977.697,281.496
980.757,226.378
983.816,198.819
986.876,171.26
989.936,198.819
992.995,226.378
996.055,281.496
999.114,309.055
1002.17,446.85
1005.23,281.496
1008.29,226.378
1011.35,116.142
1014.41,88.5827
1017.47,33.4646
1020.53,33.4646
1023.59,33.4646
1026.65,33.4646
1029.71,33.4646
1032.77,61.0236
1035.83,33.4646
1038.89,33.4646
1041.95,33.4646
1045.01,33.4646
1048.07,33.4646
1051.13,33.4646
1054.19,33.4646
1057.25,61.0236
1060.31,61.0236
