,GP550R
RamanShit,Intensity
252.729,173.228
255.778,251.969
258.828,251.969
261.878,48.8189
264.928,56.6929
267.978,64.5669
271.027,72.4409
274.077,81.8898
277.127,88.189
280.177,91.3386
283.226,88.189
286.276,86.6142
289.326,81.8898
292.376,69.2913
295.425,56.6929
298.475,42.5197
301.525,33.0709
304.575,29.9213
307.624,26.7717
310.674,29.9213
313.724,31.4961
316.774,34.6457
319.823,39.3701
322.873,45.6693
325.923,53.5433
328.973,56.6929
332.022,56.6929
335.072,56.6929
338.122,55.1181
341.172,51.9685
344.222,45.6693
347.271,37.7953
350.321,31.4961
353.371,26.7717
356.421,18.8976
359.47,12.5984
362.52,7.87402
365.57,6.29921
368.62,3.14961
371.669,3.14961
374.719,3.14961
377.769,3.14961
380.819,3.14961
383.868,4.72441
386.918,6.29921
389.968,9.44882
393.018,15.748
396.067,18.8976
399.117,20.4724
402.167,22.0472
405.217,22.0472
408.266,22.0472
411.316,20.4724
414.366,18.8976
417.416,14.1732
420.465,11.0236
423.515,7.87402
426.565,6.29921
429.615,4.72441
432.665,3.14961
435.714,3.14961
438.764,3.14961
441.814,3.14961
444.864,3.14961
447.913,3.14961
450.963,3.14961
454.013,4.72441
457.063,7.87402
460.112,14.1732
463.162,23.622
466.212,39.3701
469.262,55.1181
472.311,72.4409
475.361,91.3386
478.411,102.362
481.461,116.535
484.51,107.087
487.56,110.236
490.61,111.811
493.66,113.386
496.709,119.685
499.759,141.732
502.809,173.228
505.859,190.551
508.909,207.874
511.958,226.772
515.008,185.827
518.058,157.48
521.108,111.811
524.157,72.4409
527.207,45.6693
530.257,29.9213
533.307,18.8976
536.356,11.0236
539.406,7.87402
542.456,6.29921
545.506,7.87402
548.555,7.87402
551.605,9.44882
554.655,11.0236
557.705,12.5984
560.754,14.1732
563.804,15.748
566.854,17.3228
569.904,20.4724
572.953,14.1732
576.003,12.5984
579.053,7.87402
582.103,4.72441
585.152,3.14961
588.202,3.14961
591.252,3.14961
594.302,3.14961
597.352,3.14961
600.401,3.14961
603.451,3.14961
606.501,3.14961
609.551,3.14961
612.6,3.14961
615.65,3.14961
618.7,3.14961
621.75,3.14961
624.799,3.14961
627.849,3.14961
630.899,4.72441
633.949,4.72441
636.998,4.72441
640.048,4.72441
643.098,4.72441
646.148,4.72441
649.197,4.72441
652.247,4.72441
655.297,4.72441
658.347,3.14961
661.396,3.14961
664.446,3.14961
667.496,3.14961
670.546,3.14961
673.596,3.14961
676.645,3.14961
679.695,3.14961
682.745,3.14961
685.795,3.14961
688.844,3.14961
691.894,3.14961
694.944,3.14961
697.994,3.14961
701.043,3.14961
704.093,3.14961
707.143,3.14961
710.193,3.14961
713.242,4.72441
716.292,4.72441
719.342,4.72441
722.392,6.29921
725.441,6.29921
728.491,7.87402
731.541,7.87402
734.591,7.87402
737.64,7.87402
740.69,9.44882
743.74,9.44882
746.79,9.44882
749.839,11.0236
752.889,11.0236
755.939,11.0236
758.989,11.0236
762.039,11.0236
765.088,11.0236
768.138,11.0236
771.188,11.0236
774.238,11.0236
777.287,11.0236
780.337,11.0236
783.387,11.0236
786.437,11.0236
789.486,11.0236
792.536,11.0236
795.586,9.44882
798.636,7.87402
801.685,7.87402
804.735,6.29921
807.785,4.72441
810.835,4.72441
813.884,4.72441
816.934,3.14961
819.984,3.14961
823.034,3.14961
826.083,3.14961
829.133,3.14961
832.183,3.14961
835.233,3.14961
838.283,3.14961
841.332,3.14961
844.382,3.14961
847.432,3.14961
850.482,3.14961
853.531,3.14961
856.581,3.14961
859.631,3.14961
862.681,3.14961
865.73,3.14961
868.78,3.14961
871.83,3.14961
874.88,3.14961
877.929,3.14961
880.979,3.14961
884.029,3.14961
887.079,3.14961
890.128,3.14961
893.178,3.14961
896.228,3.14961
899.278,3.14961
902.327,3.14961
905.377,3.14961
908.427,3.14961
911.477,3.14961
914.526,3.14961
917.576,3.14961
920.626,3.14961
923.676,3.14961
926.726,3.14961
929.775,3.14961
932.825,3.14961
935.875,3.14961
938.925,3.14961
941.974,3.14961
945.024,3.14961
948.074,3.14961
951.124,3.14961
954.173,3.14961
957.223,3.14961
960.273,3.14961
963.323,4.72441
966.372,4.72441
969.422,4.72441
972.472,6.29921
975.522,6.29921
978.571,6.29921
981.621,6.29921
984.671,6.29921
987.721,6.29921
990.77,4.72441
993.82,3.14961
996.87,3.14961
999.92,3.14961
1002.97,3.14961
1006.02,3.14961
1009.07,4.72441
1012.12,4.72441
1015.17,4.72441
1018.22,4.72441
1021.27,4.72441
1024.32,4.72441
1027.37,4.72441
1030.42,4.72441
1033.47,4.72441
1036.52,4.72441
1039.57,3.14961
1042.62,3.14961
1045.67,4.72441
1048.72,4.72441
1051.77,4.72441
1054.82,4.72441
1057.87,4.72441
1060.91,4.72441
1063.96,6.29921
1067.01,6.29921
1070.06,6.29921
1073.11,7.87402
1076.16,9.44882
1079.21,9.44882
1082.26,9.44882
1085.31,9.44882
1088.36,9.44882
1091.41,9.44882
1094.46,9.44882
1097.51,6.29921
1100.56,6.29921
1103.61,4.72441
1106.66,4.72441
1109.71,3.14961
1112.76,3.14961
1115.81,3.14961
1118.86,3.14961
1121.91,3.14961
1124.96,3.14961
1128.01,3.14961
1131.06,3.14961
1134.11,4.72441
1137.16,7.87402
1140.21,9.44882
1143.26,12.5984
1146.31,15.748
1149.36,18.8976
1152.41,22.0472
1155.46,28.3465
1158.51,31.4961
1161.56,37.7953
1164.61,44.0945
1167.66,48.8189
1170.71,55.1181
1173.76,61.4173
1176.81,67.7165
1179.86,74.0157
1182.91,77.1654
1185.96,78.7402
1189,81.8898
1192.05,78.7402
1195.1,77.1654
1198.15,74.0157
1201.2,69.2913
1204.25,62.9921
1207.3,55.1181
1210.35,45.6693
1213.4,37.7953
1216.45,29.9213
1219.5,22.0472
1222.55,12.5984
1225.6,4.72441
1228.65,3.14961
1231.7,3.14961
1234.75,3.14961
1237.8,4.72441
1240.85,6.29921
1243.9,7.87402
1246.95,15.748
1250,23.622
1253.05,23.622
1256.1,25.1969
1259.15,26.7717
1262.2,23.622
1265.25,22.0472
1268.3,17.3228
1271.35,12.5984
1274.4,6.29921
1277.45,1.5748
1280.5,1.5748
1283.55,1.5748
1286.6,1.5748
1289.65,1.5748
1292.7,1.5748
1295.75,1.5748
1298.8,1.5748
1301.85,1.5748
1304.9,1.5748
1307.95,1.5748
1311,1.5748
1314.04,1.5748
1317.09,1.5748
1320.14,1.5748
1323.19,1.5748
1326.24,1.5748
1329.29,1.5748
1332.34,1.5748
1335.39,1.5748
1338.44,1.5748
1341.49,1.5748
1344.54,1.5748
1347.59,1.5748
1350.64,1.5748
1353.69,1.5748
1356.74,1.5748
1359.79,1.5748
1362.84,1.5748
1365.89,1.5748
1368.94,1.5748
1371.99,1.5748
1375.04,1.5748
1378.09,1.5748
1381.14,1.5748
1384.19,1.5748
1387.24,1.5748
1390.29,1.5748
1393.34,1.5748
1396.39,1.5748
1399.44,1.5748
1402.49,1.5748
1405.54,1.5748
1408.59,1.5748
1411.64,1.5748
1414.69,1.5748
1417.74,1.5748
1420.79,1.5748
1423.84,1.5748
1426.89,1.5748
1429.94,1.5748
1432.99,1.5748
1436.04,1.5748
1439.09,1.5748
1442.13,1.5748
1445.18,1.5748
1448.23,1.5748
1451.28,1.5748
1454.33,1.5748
1457.38,1.5748
1460.43,1.5748
1463.48,1.5748
1466.53,1.5748
1469.58,1.5748
1472.63,1.5748
1475.68,1.5748
1478.73,1.5748
1481.78,1.5748
1484.83,1.5748
1487.88,1.5748
1490.93,1.5748
1493.98,1.5748
1497.03,1.5748
1500.08,1.5748
1503.13,1.5748
1506.18,1.5748
1509.23,1.5748
1512.28,1.5748
1515.33,1.5748
1518.38,1.5748
1521.43,1.5748
1524.48,1.5748
1527.53,1.5748
1530.58,1.5748
1533.63,1.5748
1536.68,1.5748
1539.73,1.5748
1542.78,1.5748
1545.83,1.5748
1548.88,1.5748
1551.93,1.5748
1554.98,1.5748
1558.03,1.5748
1561.08,1.5748
1564.13,1.5748
1567.17,1.5748
1570.22,1.5748
1573.27,1.5748
1576.32,1.5748
1579.37,1.5748
1582.42,1.5748
1585.47,1.5748
1588.52,1.5748
1591.57,1.5748
1594.62,1.5748
1597.67,1.5748
1600.72,1.5748
1603.77,1.5748
1606.82,1.5748
1609.87,1.5748
1612.92,1.5748
1615.97,1.5748
1619.02,1.5748
1622.07,1.5748
1625.12,1.5748
1628.17,1.5748
1631.22,1.5748
1634.27,1.5748
1637.32,1.5748
1640.37,1.5748
1643.42,1.5748
1646.47,1.5748
1649.52,1.5748
1652.57,1.5748
1655.62,1.5748
1658.67,1.5748
1661.72,1.5748
1664.77,1.5748
1667.82,1.5748
1670.87,1.5748
1673.92,1.5748
1676.97,1.5748
1680.02,1.5748
1683.07,1.5748
1686.12,1.5748
1689.17,1.5748
1692.22,1.5748
1695.26,1.5748
1698.31,1.5748
1701.36,1.5748
1704.41,1.5748
1707.46,1.5748
1710.51,1.5748
1713.56,1.5748
1716.61,1.5748
1719.66,1.5748
1722.71,1.5748
1725.76,1.5748
1728.81,1.5748
1731.86,1.5748
1734.91,1.5748
1737.96,1.5748
1741.01,1.5748
1744.06,1.5748
1747.11,1.5748
1750.16,1.5748
1753.21,1.5748
1756.26,1.5748
1759.31,1.5748
1762.36,1.5748
1765.41,1.5748
1768.46,1.5748
1771.51,1.5748
1774.56,1.5748
1777.61,1.5748
1780.66,1.5748
1783.71,1.5748
1786.76,1.5748
1789.81,1.5748
1792.86,1.5748
1795.91,1.5748
1798.96,1.5748
1802.01,1.5748
1805.06,1.5748
1808.11,1.5748
1811.16,1.5748
1814.21,1.5748
1817.26,1.5748
1820.3,1.5748
1823.35,1.5748
1826.4,1.5748
1829.45,1.5748
1832.5,1.5748
1835.55,1.5748
1838.6,1.5748
1841.65,1.5748
1844.7,1.5748
1847.75,1.5748
1850.8,1.5748
1853.85,1.5748
1856.9,1.5748
1859.95,1.5748
1863,1.5748
1866.05,1.5748
1869.1,1.5748
1872.15,1.5748
1875.2,1.5748
1878.25,1.5748
1881.3,1.5748
1884.35,1.5748
1887.4,1.5748
1890.45,1.5748
1893.5,1.5748
1896.55,1.5748
1899.6,1.5748
1902.65,1.5748
1905.7,1.5748
1908.75,1.5748
1911.8,1.5748
1914.85,1.5748
1917.9,1.5748
1920.95,1.5748
1924,1.5748
1927.05,1.5748
1930.1,1.5748
1933.15,1.5748
1936.2,1.5748
1939.25,1.5748
1942.3,1.5748
1945.35,1.5748
1948.39,1.5748
1951.44,1.5748
1954.49,1.5748
1957.54,1.5748
1960.59,1.5748
1963.64,1.5748
1966.69,1.5748
1969.74,1.5748
1972.79,1.5748
1975.84,1.5748
1978.89,1.5748
1981.94,1.5748
1984.99,1.5748
1988.04,1.5748
1991.09,1.5748
1994.14,1.5748
1997.19,1.5748
2000.24,1.5748
2003.29,1.5748
2006.34,1.5748
2009.39,1.5748
2012.44,1.5748
2015.49,1.5748
2018.54,1.5748
2021.59,1.5748
2024.64,1.5748
2027.69,1.5748
2030.74,1.5748
2033.79,1.5748
2036.84,1.5748
2039.89,1.5748
2042.94,1.5748
2045.99,1.5748
2049.04,1.5748
2052.09,1.5748
2055.14,1.5748
2058.19,1.5748
2061.24,1.5748
2064.29,1.5748
2067.34,1.5748
2070.39,1.5748
2073.43,1.5748
2076.48,1.5748
2079.53,1.5748
2082.58,1.5748
2085.63,1.5748
2088.68,1.5748
2091.73,1.5748
2094.78,1.5748
2097.83,1.5748
2100.88,1.5748
2103.93,1.5748
2106.98,1.5748
2110.03,1.5748
2113.08,1.5748
2116.13,1.5748
2119.18,1.5748
2122.23,1.5748
2125.28,1.5748
2128.33,1.5748
2131.38,1.5748
2134.43,1.5748
2137.48,1.5748
2140.53,1.5748
2143.58,1.5748
2146.63,1.5748
2149.68,1.5748
2152.73,1.5748
2155.78,1.5748
2158.83,1.5748
2161.88,1.5748
2164.93,1.5748
2167.98,1.5748
2171.03,1.5748
2174.08,1.5748
2177.13,1.5748
2180.18,1.5748
2183.23,1.5748
2186.28,1.5748
2189.33,1.5748
2192.38,1.5748
2195.43,1.5748
2198.48,1.5748
2201.52,1.5748
2204.57,1.5748
2207.62,1.5748
2210.67,1.5748
2213.72,1.5748
2216.77,1.5748
2219.82,1.5748
2222.87,1.5748
2225.92,1.5748
2228.97,1.5748
2232.02,1.5748
2235.07,1.5748
2238.12,1.5748
2241.17,1.5748
2244.22,1.5748
2247.27,1.5748
2250.32,1.5748
2253.37,1.5748
2256.42,1.5748
2259.47,1.5748
2262.52,1.5748
2265.57,1.5748
2268.62,1.5748
2271.67,1.5748
2274.72,1.5748
2277.77,1.5748
2280.82,1.5748
2283.87,1.5748
2286.92,1.5748
2289.97,1.5748
2293.02,0
2296.07,0
