,GP550R
RamanShit,Intensity
258.828,110.236
261.878,236.22
264.928,236.22
267.978,173.228
271.027,110.236
274.077,47.2441
277.127,47.2441
280.177,47.2441
283.226,47.2441
286.276,110.236
289.326,110.236
292.376,110.236
295.425,110.236
298.475,110.236
301.525,110.236
304.575,173.228
307.624,236.22
310.674,236.22
313.724,236.22
316.774,299.213
319.823,299.213
322.873,236.22
325.923,173.228
328.973,173.228
332.022,173.228
335.072,236.22
338.122,236.22
341.172,299.213
344.222,362.205
347.271,488.189
350.321,614.173
353.371,803.15
356.421,614.173
359.47,488.189
362.52,236.22
365.57,173.228
368.62,173.228
371.669,110.236
374.719,110.236
377.769,110.236
380.819,110.236
383.868,173.228
386.918,236.22
389.968,236.22
393.018,299.213
396.067,299.213
399.117,236.22
402.167,236.22
405.217,173.228
408.266,173.228
411.316,173.228
414.366,173.228
417.416,236.22
420.465,236.22
423.515,236.22
426.565,236.22
429.615,236.22
432.665,236.22
435.714,236.22
438.764,299.213
441.814,362.205
444.864,614.173
447.913,929.134
450.963,1433.07
454.013,2503.94
457.063,4771.65
460.112,6346.46
463.162,9811.02
466.212,6346.46
469.262,6157.48
472.311,4708.66
475.361,2755.91
478.411,1748.03
481.461,1244.09
484.51,929.134
487.56,677.165
490.61,551.181
493.66,425.197
496.709,362.205
499.759,299.213
502.809,299.213
505.859,236.22
508.909,173.228
511.958,173.228
515.008,110.236
518.058,110.236
521.108,110.236
524.157,110.236
527.207,110.236
530.257,173.228
533.307,173.228
536.356,173.228
539.406,299.213
542.456,173.228
545.506,173.228
548.555,236.22
551.605,236.22
554.655,236.22
557.705,299.213
560.754,299.213
563.804,299.213
566.854,236.22
569.904,236.22
572.953,236.22
576.003,173.228
579.053,173.228
582.103,110.236
585.152,110.236
588.202,110.236
591.252,173.228
594.302,236.22
597.352,299.213
600.401,299.213
603.451,236.22
606.501,236.22
609.551,173.228
612.6,173.228
615.65,173.228
618.7,173.228
621.75,236.22
624.799,236.22
627.849,236.22
630.899,173.228
633.949,173.228
636.998,173.228
640.048,173.228
643.098,173.228
646.148,173.228
649.197,236.22
652.247,299.213
655.297,362.205
658.347,425.197
661.396,425.197
664.446,362.205
667.496,362.205
670.546,362.205
673.596,362.205
676.645,362.205
679.695,362.205
682.745,488.189
685.795,362.205
688.844,362.205
691.894,425.197
694.944,425.197
697.994,425.197
701.043,425.197
704.093,425.197
707.143,488.189
710.193,488.189
713.242,488.189
716.292,425.197
719.342,425.197
722.392,362.205
725.441,299.213
728.491,236.22
731.541,236.22
734.591,236.22
737.64,299.213
740.69,425.197
743.74,866.142
746.79,2125.98
749.839,2314.96
752.889,1055.12
755.939,803.15
758.989,362.205
762.039,299.213
765.088,236.22
768.138,173.228
771.188,173.228
774.238,173.228
777.287,173.228
780.337,236.22
783.387,236.22
786.437,236.22
789.486,236.22
792.536,299.213
795.586,362.205
798.636,362.205
801.685,362.205
804.735,362.205
807.785,362.205
810.835,362.205
813.884,299.213
816.934,236.22
819.984,173.228
823.034,173.228
826.083,173.228
829.133,173.228
832.183,236.22
835.233,173.228
838.283,173.228
841.332,173.228
844.382,173.228
