,GP550R
RamanShit,Intensity
252.729,0
255.778,0
258.828,0
261.878,0
264.928,0
267.978,0
271.027,274.51
274.077,588.235
277.127,1215.69
280.177,1529.41
283.226,2000
286.276,1372.55
289.326,1215.69
292.376,588.235
295.425,274.51
298.475,117.647
301.525,117.647
304.575,117.647
307.624,274.51
310.674,431.373
313.724,901.961
316.774,1686.27
319.823,2000
322.873,2470.59
325.923,1843.14
328.973,1686.27
332.022,1372.55
335.072,1372.55
338.122,1372.55
341.172,1372.55
344.222,1529.41
347.271,1529.41
350.321,1372.55
353.371,1372.55
356.421,1372.55
359.47,1372.55
362.52,1372.55
365.57,1529.41
368.62,1686.27
371.669,2313.73
374.719,2784.31
377.769,3098.04
380.819,2784.31
383.868,2313.73
386.918,1686.27
389.968,1529.41
393.018,1372.55
396.067,1372.55
399.117,1372.55
402.167,1529.41
405.217,2784.31
408.266,5137.25
411.316,13607.8
414.366,15019.6
417.416,6078.43
420.465,4509.8
423.515,2941.18
426.565,2784.31
429.615,2470.59
432.665,1529.41
435.714,588.235
438.764,274.51
441.814,117.647
444.864,117.647
447.913,117.647
450.963,117.647
454.013,274.51
457.063,588.235
460.112,745.098
463.162,745.098
466.212,901.961
469.262,1372.55
472.311,2470.59
475.361,3098.04
478.411,3725.49
481.461,3098.04
484.51,2627.45
487.56,1843.14
490.61,1215.69
493.66,745.098
496.709,588.235
499.759,588.235
502.809,588.235
505.859,588.235
508.909,588.235
511.958,588.235
515.008,588.235
518.058,745.098
521.108,745.098
524.157,745.098
527.207,745.098
530.257,745.098
533.307,745.098
536.356,745.098
539.406,745.098
542.456,588.235
545.506,274.51
548.555,274.51
551.605,117.647
554.655,117.647
557.705,117.647
560.754,117.647
563.804,117.647
566.854,274.51
569.904,274.51
572.953,274.51
576.003,431.373
579.053,431.373
582.103,431.373
585.152,431.373
588.202,431.373
591.252,431.373
594.302,431.373
597.352,745.098
600.401,1372.55
603.451,2470.59
606.501,3254.9
609.551,4039.22
612.6,4352.94
615.65,4509.8
618.7,4509.8
621.75,4666.67
624.799,4666.67
627.849,4666.67
630.899,4666.67
633.949,4666.67
636.998,4823.53
640.048,4823.53
643.098,4980.39
646.148,5764.71
649.197,4980.39
652.247,4352.94
655.297,2941.18
658.347,1686.27
661.396,1058.82
664.446,901.961
667.496,745.098
670.546,588.235
673.596,431.373
676.645,274.51
679.695,274.51
682.745,117.647
685.795,117.647
688.844,117.647
691.894,117.647
694.944,117.647
697.994,117.647
701.043,274.51
704.093,431.373
707.143,431.373
710.193,588.235
713.242,588.235
716.292,588.235
719.342,588.235
722.392,745.098
725.441,901.961
728.491,1058.82
731.541,1372.55
734.591,1843.14
737.64,2313.73
740.69,2313.73
743.74,2313.73
746.79,2156.86
749.839,1843.14
752.889,1215.69
755.939,901.961
758.989,588.235
762.039,431.373
765.088,274.51
768.138,117.647
771.188,117.647
774.238,117.647
777.287,117.647
780.337,117.647
783.387,117.647
786.437,117.647
789.486,117.647
792.536,117.647
795.586,117.647
798.636,117.647
801.685,117.647
804.735,117.647
807.785,117.647
810.835,117.647
813.884,117.647
816.934,117.647
819.984,117.647
823.034,117.647
826.083,117.647
829.133,117.647
832.183,117.647
835.233,117.647
838.283,117.647
841.332,117.647
844.382,117.647
847.432,117.647
850.482,117.647
853.531,117.647
856.581,117.647
859.631,117.647
862.681,274.51
865.73,274.51
868.78,117.647
871.83,117.647
874.88,117.647
877.929,117.647
880.979,117.647
884.029,117.647
887.079,117.647
890.128,117.647
893.178,117.647
896.228,117.647
899.278,117.647
902.327,117.647
905.377,117.647
908.427,117.647
911.477,117.647
914.526,117.647
917.576,117.647
920.626,117.647
923.676,117.647
926.726,117.647
929.775,117.647
932.825,117.647
935.875,117.647
938.925,117.647
941.974,117.647
945.024,117.647
948.074,117.647
951.124,117.647
954.173,117.647
957.223,117.647
960.273,117.647
963.323,117.647
966.372,117.647
969.422,117.647
972.472,117.647
975.522,117.647
978.571,117.647
981.621,117.647
984.671,117.647
987.721,117.647
990.77,274.51
993.82,431.373
996.87,745.098
999.92,1372.55
1002.97,1843.14
1006.02,2000
1009.07,2000
1012.12,2000
1015.17,2000
1018.22,2000
1021.27,1843.14
1024.32,1529.41
1027.37,1215.69
1030.42,901.961
1033.47,901.961
1036.52,901.961
1039.57,1215.69
1042.62,1686.27
1045.67,2784.31
1048.72,4509.8
1051.77,7647.06
1054.82,13137.3
1057.87,16588.2
1060.91,21764.7
1063.96,16588.2
1067.01,13764.7
1070.06,8274.51
1073.11,4509.8
1076.16,2784.31
1079.21,1843.14
1082.26,1372.55
1085.31,1372.55
1088.36,1529.41
1091.41,1843.14
1094.46,2627.45
1097.51,3568.63
1100.56,5294.12
1103.61,5450.98
1106.66,3725.49
1109.71,3098.04
1112.76,1686.27
1115.81,1058.82
1118.86,901.961
1121.91,901.961
1124.96,1058.82
1128.01,1529.41
1131.06,2784.31
1134.11,3725.49
1137.16,4509.8
1140.21,3725.49
1143.26,3568.63
1146.31,3098.04
1149.36,2313.73
1152.41,2000
1155.46,2000
1158.51,2000
1161.56,2000
1164.61,2156.86
1167.66,2156.86
1170.71,2313.73
1173.76,2313.73
1176.81,2156.86
1179.86,2000
1182.91,1843.14
1185.96,1372.55
1189,901.961
1192.05,588.235
1195.1,431.373
1198.15,117.647
1201.2,117.647
1204.25,117.647
1207.3,274.51
1210.35,431.373
1213.4,745.098
1216.45,901.961
1219.5,901.961
1222.55,901.961
1225.6,1058.82
1228.65,901.961
1231.7,901.961
1234.75,588.235
1237.8,588.235
1240.85,431.373
1243.9,274.51
1246.95,274.51
1250,117.647
1253.05,117.647
1256.1,117.647
1259.15,117.647
1262.2,117.647
1265.25,117.647
1268.3,274.51
1271.35,431.373
1274.4,431.373
1277.45,588.235
1280.5,588.235
1283.55,745.098
1286.6,745.098
1289.65,588.235
1292.7,588.235
1295.75,431.373
1298.8,274.51
1301.85,117.647
1304.9,117.647
1307.95,117.647
1311,117.647
1314.04,117.647
1317.09,117.647
1320.14,274.51
1323.19,274.51
1326.24,431.373
1329.29,588.235
1332.34,745.098
1335.39,901.961
1338.44,1215.69
1341.49,1529.41
1344.54,1686.27
1347.59,1686.27
1350.64,1686.27
1353.69,1529.41
1356.74,1529.41
1359.79,1215.69
1362.84,1058.82
1365.89,901.961
1368.94,745.098
1371.99,588.235
1375.04,431.373
1378.09,431.373
1381.14,431.373
1384.19,274.51
1387.24,274.51
1390.29,274.51
1393.34,274.51
1396.39,274.51
1399.44,431.373
1402.49,431.373
1405.54,431.373
1408.59,588.235
1411.64,588.235
1414.69,588.235
1417.74,588.235
1420.79,431.373
1423.84,431.373
1426.89,274.51
1429.94,117.647
1432.99,117.647
1436.04,117.647
1439.09,117.647
1442.13,117.647
1445.18,117.647
1448.23,117.647
1451.28,117.647
1454.33,117.647
1457.38,117.647
1460.43,117.647
1463.48,117.647
1466.53,117.647
1469.58,117.647
1472.63,117.647
1475.68,274.51
1478.73,274.51
1481.78,274.51
1484.83,274.51
1487.88,274.51
1490.93,274.51
1493.98,274.51
1497.03,274.51
1500.08,274.51
1503.13,274.51
1506.18,274.51
1509.23,274.51
1512.28,274.51
1515.33,274.51
1518.38,274.51
1521.43,274.51
1524.48,274.51
1527.53,274.51
1530.58,274.51
1533.63,274.51
1536.68,274.51
1539.73,274.51
1542.78,274.51
1545.83,274.51
1548.88,274.51
1551.93,431.373
1554.98,588.235
1558.03,588.235
1561.08,588.235
1564.13,588.235
1567.17,745.098
1570.22,745.098
1573.27,901.961
1576.32,745.098
1579.37,745.098
1582.42,745.098
1585.47,745.098
1588.52,745.098
1591.57,745.098
1594.62,745.098
1597.67,745.098
1600.72,745.098
1603.77,745.098
1606.82,745.098
1609.87,901.961
1612.92,901.961
1615.97,745.098
1619.02,588.235
1622.07,431.373
1625.12,274.51
1628.17,274.51
1631.22,274.51
1634.27,274.51
1637.32,117.647
1640.37,117.647
1643.42,117.647
1646.47,117.647
1649.52,117.647
1652.57,117.647
1655.62,117.647
1658.67,117.647
1661.72,117.647
1664.77,117.647
1667.82,117.647
1670.87,117.647
1673.92,117.647
1676.97,117.647
1680.02,117.647
1683.07,117.647
1686.12,117.647
1689.17,117.647
1692.22,117.647
1695.26,117.647
1698.31,274.51
1701.36,274.51
1704.41,274.51
1707.46,274.51
1710.51,274.51
1713.56,274.51
1716.61,274.51
1719.66,274.51
1722.71,274.51
1725.76,274.51
1728.81,274.51
1731.86,274.51
1734.91,274.51
1737.96,274.51
1741.01,117.647
1744.06,117.647
1747.11,117.647
1750.16,117.647
1753.21,117.647
1756.26,117.647
1759.31,117.647
1762.36,274.51
1765.41,274.51
1768.46,274.51
1771.51,274.51
1774.56,274.51
1777.61,274.51
1780.66,274.51
1783.71,274.51
1786.76,274.51
1789.81,274.51
1792.86,274.51
1795.91,274.51
1798.96,274.51
1802.01,274.51
1805.06,274.51
1808.11,274.51
1811.16,274.51
1814.21,274.51
1817.26,274.51
1820.3,274.51
1823.35,274.51
1826.4,274.51
1829.45,274.51
1832.5,274.51
1835.55,274.51
1838.6,274.51
1841.65,274.51
1844.7,274.51
1847.75,274.51
1850.8,274.51
1853.85,274.51
1856.9,274.51
1859.95,274.51
1863,274.51
1866.05,274.51
1869.1,274.51
1872.15,274.51
1875.2,274.51
1878.25,274.51
1881.3,274.51
1884.35,274.51
1887.4,274.51
1890.45,274.51
1893.5,274.51
1896.55,274.51
1899.6,274.51
1902.65,274.51
1905.7,274.51
1908.75,274.51
1911.8,274.51
1914.85,274.51
1917.9,274.51
1920.95,274.51
1924,274.51
1927.05,274.51
1930.1,274.51
1933.15,274.51
1936.2,274.51
1939.25,274.51
1942.3,274.51
1945.35,274.51
1948.39,274.51
1951.44,274.51
1954.49,431.373
1957.54,431.373
1960.59,431.373
1963.64,431.373
1966.69,431.373
1969.74,431.373
1972.79,431.373
1975.84,431.373
1978.89,431.373
1981.94,431.373
1984.99,431.373
1988.04,431.373
1991.09,431.373
1994.14,431.373
1997.19,274.51
2000.24,274.51
2003.29,274.51
2006.34,274.51
2009.39,274.51
2012.44,274.51
2015.49,274.51
2018.54,274.51
2021.59,274.51
2024.64,274.51
2027.69,274.51
2030.74,431.373
2033.79,274.51
2036.84,274.51
2039.89,274.51
2042.94,274.51
2045.99,274.51
2049.04,274.51
2052.09,431.373
2055.14,431.373
2058.19,274.51
2061.24,274.51
2064.29,274.51
2067.34,274.51
2070.39,274.51
2073.43,274.51
2076.48,274.51
2079.53,274.51
2082.58,274.51
2085.63,274.51
2088.68,274.51
2091.73,274.51
2094.78,274.51
2097.83,274.51
2100.88,274.51
2103.93,274.51
2106.98,274.51
2110.03,274.51
2113.08,274.51
2116.13,274.51
2119.18,274.51
2122.23,274.51
2125.28,274.51
2128.33,274.51
2131.38,274.51
2134.43,274.51
2137.48,274.51
2140.53,274.51
2143.58,274.51
2146.63,274.51
2149.68,274.51
2152.73,274.51
2155.78,274.51
2158.83,117.647
2161.88,117.647
2164.93,117.647
2167.98,117.647
2171.03,274.51
2174.08,274.51
2177.13,274.51
2180.18,274.51
2183.23,274.51
2186.28,274.51
2189.33,274.51
2192.38,274.51
2195.43,274.51
2198.48,274.51
2201.52,274.51
2204.57,274.51
2207.62,431.373
2210.67,431.373
2213.72,431.373
2216.77,588.235
2219.82,588.235
2222.87,588.235
2225.92,588.235
2228.97,431.373
2232.02,431.373
2235.07,274.51
2238.12,274.51
2241.17,274.51
2244.22,274.51
2247.27,274.51
2250.32,274.51
2253.37,431.373
2256.42,274.51
2259.47,274.51
2262.52,274.51
2265.57,274.51
2268.62,274.51
2271.67,274.51
2274.72,431.373
2277.77,431.373
2280.82,431.373
2283.87,431.373
2286.92,431.373
2289.97,0
2293.02,0
2296.07,0
