,GP550R
RamanShit,Intensity
255.636,472.441
258.696,0
261.755,0
264.815,157.48
267.874,314.961
270.934,629.921
273.994,1259.84
277.053,1574.8
280.113,2047.24
283.172,1417.32
286.232,1259.84
289.291,629.921
292.351,314.961
295.411,157.48
298.47,157.48
301.53,157.48
304.589,314.961
307.649,472.441
310.709,944.882
313.768,1732.28
316.828,2047.24
319.887,2519.69
322.947,1889.76
326.006,1732.28
329.066,1417.32
332.126,1417.32
335.185,1417.32
338.245,1417.32
341.304,1574.8
344.364,1574.8
347.424,1417.32
350.483,1417.32
353.543,1417.32
356.602,1417.32
359.662,1417.32
362.721,1574.8
365.781,1732.28
368.841,2362.2
371.9,2834.65
374.96,3149.61
378.019,2834.65
381.079,2362.2
384.138,1732.28
387.198,1574.8
390.258,1417.32
393.317,1417.32
396.377,1417.32
399.436,1574.8
402.496,2834.65
405.556,5196.85
408.615,13700.8
411.675,15118.1
414.734,6141.73
417.794,4566.93
420.853,2992.13
423.913,2834.65
426.973,2519.69
430.032,1574.8
433.092,629.921
436.151,314.961
439.211,157.48
442.271,157.48
445.33,157.48
448.39,157.48
451.449,314.961
454.509,629.921
457.568,787.402
460.628,787.402
463.688,944.882
466.747,1417.32
469.807,2519.69
472.866,3149.61
475.926,3779.53
478.986,3149.61
482.045,2677.17
485.105,1889.76
488.164,1259.84
491.224,787.402
494.283,629.921
497.343,629.921
500.403,629.921
503.462,629.921
506.522,629.921
509.581,629.921
512.641,629.921
515.7,787.402
518.76,787.402
521.82,787.402
524.879,787.402
527.939,787.402
530.998,787.402
534.058,787.402
537.118,787.402
540.177,629.921
543.237,314.961
546.296,314.961
549.356,157.48
552.415,157.48
555.475,157.48
558.535,157.48
561.594,157.48
564.654,314.961
567.713,314.961
570.773,314.961
573.833,472.441
576.892,472.441
579.952,472.441
583.011,472.441
586.071,472.441
589.13,472.441
592.19,472.441
595.25,787.402
598.309,1417.32
601.369,2519.69
604.428,3307.09
607.488,4094.49
610.548,4409.45
613.607,4566.93
616.667,4566.93
619.726,4724.41
622.786,4724.41
625.845,4724.41
628.905,4724.41
631.965,4724.41
635.024,4881.89
638.084,4881.89
641.143,5039.37
644.203,5826.77
647.262,5039.37
650.322,4409.45
653.382,2992.13
656.441,1732.28
659.501,1102.36
662.56,944.882
665.62,787.402
668.68,629.921
671.739,472.441
674.799,314.961
677.858,314.961
680.918,157.48
683.977,157.48
687.037,157.48
690.097,157.48
693.156,157.48
696.216,157.48
699.275,314.961
702.335,472.441
705.395,472.441
708.454,629.921
711.514,629.921
714.573,629.921
717.633,629.921
720.692,787.402
723.752,944.882
726.812,1102.36
729.871,1417.32
732.931,1889.76
735.99,2362.2
739.05,2362.2
742.11,2362.2
745.169,2204.72
748.229,1889.76
751.288,1259.84
754.348,944.882
757.407,629.921
760.467,472.441
763.527,314.961
766.586,157.48
769.646,157.48
772.705,157.48
775.765,157.48
778.824,157.48
781.884,157.48
784.944,157.48
788.003,157.48
791.063,157.48
794.122,157.48
797.182,157.48
800.242,157.48
803.301,157.48
806.361,157.48
809.42,157.48
812.48,157.48
815.539,157.48
818.599,157.48
821.659,157.48
824.718,157.48
827.778,157.48
830.837,157.48
833.897,157.48
836.957,157.48
840.016,157.48
843.076,157.48
846.135,157.48
849.195,157.48
852.254,157.48
855.314,157.48
858.374,157.48
861.433,314.961
864.493,314.961
867.552,157.48
870.612,157.48
873.671,157.48
876.731,157.48
879.791,157.48
882.85,157.48
885.91,157.48
888.969,157.48
892.029,157.48
895.089,157.48
898.148,157.48
901.208,157.48
904.267,157.48
907.327,157.48
910.386,157.48
913.446,157.48
916.506,157.48
919.565,157.48
922.625,157.48
925.684,157.48
928.744,157.48
931.804,157.48
934.863,157.48
937.923,157.48
940.982,157.48
944.042,157.48
947.101,157.48
950.161,157.48
953.221,157.48
956.28,157.48
959.34,157.48
962.399,157.48
965.459,157.48
968.519,157.48
971.578,157.48
974.638,157.48
977.697,157.48
980.757,157.48
983.816,157.48
986.876,157.48
989.936,314.961
992.995,472.441
996.055,787.402
999.114,1417.32
1002.17,1889.76
1005.23,2047.24
1008.29,2047.24
1011.35,2047.24
1014.41,2047.24
1017.47,2047.24
1020.53,1889.76
1023.59,1574.8
1026.65,1259.84
1029.71,944.882
1032.77,944.882
1035.83,944.882
1038.89,1259.84
1041.95,1732.28
1045.01,2834.65
1048.07,4566.93
1051.13,7716.54
1054.19,13228.3
1057.25,16692.9
1060.31,21889.8
1063.37,16692.9
1066.43,13858.3
1069.48,8346.46
1072.54,4566.93
1075.6,2834.65
1078.66,1889.76
1081.72,1417.32
1084.78,1417.32
1087.84,1574.8
1090.9,1889.76
1093.96,2677.17
1097.02,3622.05
1100.08,5354.33
1103.14,5511.81
1106.2,3779.53
1109.26,3149.61
1112.32,1732.28
1115.38,1102.36
1118.44,944.882
1121.5,944.882
1124.56,1102.36
1127.62,1574.8
1130.68,2834.65
1133.74,3779.53
1136.8,4566.93
1139.86,3779.53
1142.91,3622.05
1145.97,3149.61
1149.03,2362.2
1152.09,2047.24
1155.15,2047.24
1158.21,2047.24
1161.27,2047.24
1164.33,2204.72
1167.39,2204.72
1170.45,2362.2
1173.51,2362.2
1176.57,2204.72
1179.63,2047.24
1182.69,1889.76
1185.75,1417.32
1188.81,944.882
1191.87,629.921
1194.93,472.441
1197.99,157.48
1201.05,157.48
1204.11,157.48
1207.17,314.961
1210.23,472.441
1213.29,787.402
1216.34,944.882
1219.4,944.882
1222.46,944.882
1225.52,1102.36
1228.58,944.882
1231.64,944.882
1234.7,629.921
1237.76,629.921
1240.82,472.441
1243.88,314.961
1246.94,314.961
1250,157.48
1253.06,157.48
1256.12,157.48
1259.18,157.48
1262.24,157.48
1265.3,157.48
1268.36,314.961
1271.42,472.441
1274.48,472.441
1277.54,629.921
1280.6,629.921
1283.66,787.402
1286.71,787.402
1289.77,629.921
1292.83,629.921
1295.89,472.441
1298.95,314.961
1302.01,157.48
1305.07,157.48
1308.13,157.48
1311.19,157.48
1314.25,157.48
1317.31,157.48
1320.37,314.961
1323.43,314.961
1326.49,472.441
1329.55,629.921
1332.61,787.402
1335.67,944.882
1338.73,1259.84
1341.79,1574.8
1344.85,1732.28
1347.91,1732.28
1350.97,1732.28
1354.03,1574.8
1357.09,1574.8
1360.14,1259.84
1363.2,1102.36
1366.26,944.882
1369.32,787.402
1372.38,629.921
