,GP550R
RamanShit,Intensity
258.762,13.834
261.817,13.834
264.871,13.834
267.926,13.834
270.981,13.834
274.035,13.834
277.09,13.834
280.145,13.834
283.199,13.834
286.254,49.4071
289.309,120.553
292.363,227.273
295.418,262.846
298.473,298.419
301.527,298.419
304.582,262.846
307.637,262.846
310.691,227.273
313.746,156.126
316.801,120.553
319.855,120.553
322.91,120.553
325.965,120.553
329.019,156.126
332.074,156.126
335.129,156.126
338.183,156.126
341.238,120.553
344.293,84.9802
347.347,49.4071
350.402,49.4071
353.457,49.4071
356.511,49.4071
359.566,49.4071
362.621,49.4071
365.675,49.4071
368.73,84.9802
371.785,84.9802
374.839,84.9802
377.894,84.9802
380.949,120.553
384.003,120.553
387.058,120.553
390.113,84.9802
393.167,84.9802
396.222,49.4071
399.277,49.4071
402.331,13.834
405.386,13.834
408.441,13.834
411.495,13.834
414.55,13.834
417.605,49.4071
420.659,84.9802
423.714,84.9802
426.768,120.553
429.823,120.553
432.878,84.9802
435.932,84.9802
438.987,49.4071
442.042,13.834
445.096,13.834
448.151,13.834
451.206,49.4071
454.26,84.9802
457.315,156.126
460.37,262.846
463.424,440.711
466.479,654.15
469.534,1009.88
472.588,1614.62
475.643,2539.53
478.698,3428.85
481.752,4140.32
484.807,4958.5
487.862,5741.11
490.916,6167.98
493.971,6701.58
497.026,6167.98
500.08,6096.84
503.135,5883.4
506.19,5492.09
509.244,4887.35
512.299,4424.9
515.354,4318.18
518.408,4282.61
521.463,4033.6
524.518,4638.34
527.572,4424.9
530.627,3571.15
533.682,2930.83
536.736,1970.36
539.791,1258.89
542.846,867.589
545.9,654.15
548.955,511.858
552.01,369.565
555.064,298.419
558.119,191.7
561.174,120.553
564.228,49.4071
567.283,13.834
570.338,13.834
573.392,13.834
576.447,13.834
579.502,13.834
582.556,13.834
585.611,13.834
588.666,13.834
591.72,13.834
594.775,13.834
597.83,13.834
600.884,13.834
603.939,13.834
606.994,13.834
610.048,13.834
613.103,13.834
616.158,13.834
619.212,49.4071
622.267,49.4071
625.322,49.4071
628.376,49.4071
631.431,13.834
634.486,13.834
637.54,13.834
640.595,13.834
643.65,13.834
646.704,13.834
649.759,13.834
652.814,13.834
655.868,49.4071
658.923,49.4071
661.977,49.4071
665.032,49.4071
668.087,84.9802
671.141,84.9802
674.196,84.9802
677.251,84.9802
680.305,49.4071
683.36,49.4071
686.415,49.4071
689.469,49.4071
692.524,13.834
695.579,13.834
698.633,13.834
701.688,13.834
704.743,13.834
707.797,13.834
710.852,49.4071
713.907,49.4071
716.961,49.4071
