,GP550R
RamanShit,Intensity
255.707,294.118
258.762,843.137
261.817,1666.67
264.871,2764.71
267.926,4411.76
270.981,6058.82
274.035,7980.39
277.09,8529.41
280.145,9627.45
283.199,8254.9
286.254,7431.37
289.309,5509.8
292.363,3862.75
295.418,2490.2
298.473,1666.67
301.527,1117.65
304.582,843.137
307.637,568.627
310.691,294.118
313.746,294.118
316.801,294.118
319.855,294.118
322.91,294.118
325.965,19.6078
329.019,19.6078
332.074,19.6078
335.129,19.6078
338.183,19.6078
341.238,19.6078
344.293,19.6078
347.347,19.6078
350.402,19.6078
353.457,294.118
356.511,294.118
359.566,294.118
362.621,294.118
365.675,294.118
368.73,294.118
371.785,294.118
374.839,294.118
377.894,294.118
380.949,294.118
384.003,294.118
387.058,294.118
390.113,294.118
393.167,294.118
396.222,294.118
399.277,294.118
402.331,294.118
405.386,294.118
408.441,294.118
411.495,294.118
414.55,294.118
417.605,294.118
420.659,294.118
423.714,294.118
426.768,294.118
429.823,294.118
432.878,294.118
435.932,294.118
438.987,294.118
442.042,294.118
445.096,294.118
448.151,294.118
451.206,294.118
454.26,294.118
457.315,294.118
460.37,294.118
463.424,294.118
466.479,294.118
469.534,294.118
472.588,294.118
475.643,294.118
478.698,294.118
481.752,294.118
484.807,294.118
487.862,294.118
490.916,294.118
493.971,294.118
497.026,294.118
500.08,294.118
503.135,294.118
506.19,294.118
509.244,294.118
512.299,294.118
515.354,294.118
518.408,294.118
521.463,294.118
524.518,294.118
527.572,294.118
530.627,294.118
533.682,294.118
536.736,294.118
539.791,294.118
542.846,294.118
545.9,294.118
548.955,294.118
552.01,294.118
555.064,294.118
558.119,294.118
561.174,294.118
564.228,294.118
567.283,294.118
570.338,294.118
573.392,294.118
576.447,294.118
579.502,294.118
582.556,294.118
585.611,294.118
588.666,294.118
591.72,294.118
594.775,294.118
597.83,294.118
600.884,294.118
603.939,294.118
606.994,294.118
610.048,294.118
613.103,294.118
616.158,294.118
619.212,294.118
622.267,294.118
625.322,294.118
628.376,294.118
631.431,294.118
634.486,294.118
637.54,294.118
640.595,294.118
