,GP550R
RamanShit,Intensity
255.565,2000
258.629,2692.91
261.694,2692.91
264.758,3007.87
267.823,2755.91
270.887,2818.9
273.952,2881.89
277.016,2881.89
280.081,2944.88
283.145,4015.75
286.21,2944.88
289.274,2251.97
292.339,1244.09
295.403,677.165
298.468,362.205
301.532,236.22
304.597,110.236
307.661,47.2441
310.726,47.2441
313.79,47.2441
316.855,47.2441
319.919,110.236
322.984,173.228
326.048,299.213
329.113,488.189
332.177,362.205
335.242,236.22
338.306,173.228
341.371,110.236
344.435,110.236
347.5,110.236
350.565,110.236
353.629,110.236
356.694,110.236
359.758,110.236
362.823,110.236
365.887,110.236
368.952,173.228
372.016,299.213
375.081,173.228
378.145,110.236
381.21,110.236
384.274,110.236
387.339,110.236
390.403,173.228
393.468,236.22
396.532,299.213
399.597,425.197
402.661,425.197
405.726,425.197
408.79,425.197
411.855,362.205
414.919,299.213
417.984,173.228
421.048,110.236
424.113,110.236
427.177,110.236
430.242,110.236
433.306,110.236
436.371,173.228
439.435,299.213
442.5,614.173
445.565,1055.12
448.629,1622.05
451.694,3259.84
454.758,3511.81
457.823,2000
460.887,2000
463.952,2125.98
467.016,2188.98
470.081,2314.96
473.145,3889.76
476.21,4267.72
479.274,2314.96
482.339,2062.99
485.403,1496.06
488.468,1181.1
491.532,992.126
494.597,1181.1
497.661,1433.07
500.726,2251.97
503.79,3763.78
506.855,6031.5
509.919,7417.32
512.984,9874.02
516.048,7354.33
519.113,5527.56
522.177,2566.93
525.242,1244.09
528.306,740.157
531.371,488.189
534.435,362.205
537.5,299.213
540.565,173.228
543.629,110.236
546.694,110.236
549.758,110.236
552.823,110.236
555.887,110.236
558.952,110.236
562.016,110.236
565.081,110.236
568.145,110.236
571.21,110.236
574.274,110.236
577.339,110.236
580.403,173.228
583.468,173.228
586.532,110.236
589.597,110.236
592.661,110.236
595.726,110.236
598.79,110.236
601.855,110.236
604.919,110.236
607.984,110.236
611.048,110.236
614.113,110.236
617.177,110.236
620.242,110.236
623.306,173.228
626.371,236.22
629.435,236.22
632.5,299.213
635.565,362.205
638.629,425.197
641.694,551.181
644.758,614.173
647.823,677.165
650.887,677.165
653.952,677.165
657.016,551.181
660.081,425.197
663.145,299.213
666.21,173.228
669.274,173.228
672.339,110.236
675.403,110.236
678.468,110.236
681.532,110.236
684.597,110.236
687.661,110.236
690.726,110.236
693.79,110.236
696.855,110.236
699.919,110.236
702.984,110.236
706.048,110.236
709.113,110.236
712.177,110.236
715.242,110.236
718.306,173.228
721.371,173.228
724.435,173.228
727.5,173.228
730.565,236.22
733.629,299.213
736.694,362.205
739.758,488.189
742.823,803.15
745.887,992.126
748.952,1622.05
752.016,1811.02
755.081,929.134
758.145,740.157
761.21,488.189
764.274,425.197
767.339,362.205
770.403,299.213
773.468,236.22
776.532,173.228
779.597,173.228
782.661,173.228
785.726,173.228
788.79,173.228
791.855,173.228
794.919,236.22
797.984,299.213
801.048,362.205
804.113,488.189
807.177,803.15
810.242,992.126
813.306,1748.03
816.371,1370.08
819.435,866.142
822.5,614.173
825.565,299.213
828.629,173.228
831.694,173.228
834.758,173.228
837.823,110.236
840.887,110.236
843.952,110.236
847.016,110.236
850.081,110.236
853.145,110.236
856.21,110.236
859.274,173.228
862.339,173.228
