,GP550R
RamanShit,Intensity
258.762,108.268
261.817,238.189
264.871,324.803
267.926,454.724
270.981,498.031
274.035,498.031
277.09,498.031
280.145,498.031
283.199,498.031
286.254,498.031
289.309,498.031
292.363,541.339
295.418,584.646
298.473,757.874
301.527,887.795
304.582,1320.87
307.637,887.795
310.691,627.953
313.746,324.803
316.801,281.496
319.855,281.496
322.91,324.803
325.965,368.11
329.019,454.724
332.074,584.646
335.129,411.417
338.183,411.417
341.238,368.11
344.293,368.11
347.347,411.417
350.402,454.724
353.457,541.339
356.511,541.339
359.566,757.874
362.621,498.031
365.675,454.724
368.73,281.496
371.785,194.882
374.839,108.268
377.894,64.9606
380.949,64.9606
384.003,64.9606
387.058,64.9606
390.113,64.9606
393.167,64.9606
396.222,64.9606
399.277,64.9606
402.331,194.882
405.386,324.803
408.441,454.724
411.495,498.031
414.55,541.339
417.605,584.646
420.659,627.953
423.714,671.26
426.768,887.795
429.823,1450.79
432.878,2403.54
435.932,3226.38
438.987,7860.24
442.042,8553.15
445.096,3399.61
448.151,2403.54
451.206,1017.72
454.26,454.724
457.315,194.882
460.37,64.9606
463.424,64.9606
466.479,64.9606
469.534,64.9606
472.588,64.9606
475.643,194.882
478.698,324.803
481.752,454.724
484.807,498.031
487.862,498.031
490.916,541.339
493.971,541.339
497.026,541.339
500.08,584.646
503.135,627.953
506.19,801.181
509.244,1061.02
512.299,1320.87
515.354,1667.32
518.408,2100.39
521.463,2836.61
524.518,4222.44
527.572,5045.28
530.627,9722.44
533.682,10718.5
536.736,4958.66
539.791,3659.45
542.846,1927.17
545.9,1061.02
548.955,627.953
552.01,368.11
555.064,238.189
558.119,151.575
561.174,64.9606
564.228,64.9606
567.283,64.9606
570.338,21.6535
573.392,21.6535
576.447,21.6535
579.502,21.6535
582.556,21.6535
585.611,64.9606
588.666,64.9606
591.72,108.268
594.775,108.268
597.83,108.268
600.884,64.9606
603.939,64.9606
606.994,21.6535
610.048,21.6535
613.103,21.6535
616.158,21.6535
619.212,21.6535
622.267,21.6535
625.322,64.9606
628.376,64.9606
631.431,64.9606
634.486,64.9606
637.54,64.9606
640.595,64.9606
643.65,64.9606
646.704,64.9606
649.759,64.9606
652.814,64.9606
655.868,64.9606
658.923,64.9606
661.977,64.9606
665.032,64.9606
668.087,64.9606
671.141,64.9606
674.196,64.9606
677.251,108.268
680.305,108.268
683.36,194.882
686.415,238.189
689.469,324.803
692.524,368.11
695.579,498.031
698.633,584.646
701.688,584.646
704.743,584.646
707.797,541.339
710.852,541.339
713.907,498.031
716.961,498.031
720.016,498.031
723.071,498.031
726.125,498.031
729.18,454.724
732.235,368.11
735.289,194.882
738.344,108.268
741.399,64.9606
744.453,64.9606
747.508,64.9606
750.563,64.9606
753.617,21.6535
756.672,21.6535
759.727,21.6535
762.781,21.6535
765.836,21.6535
768.891,21.6535
771.945,21.6535
775,21.6535
778.055,21.6535
781.109,21.6535
784.164,21.6535
787.219,21.6535
790.273,21.6535
793.328,21.6535
796.383,64.9606
799.437,64.9606
802.492,64.9606
805.547,64.9606
808.601,64.9606
811.656,64.9606
814.711,64.9606
817.765,64.9606
820.82,64.9606
823.875,64.9606
826.929,64.9606
829.984,64.9606
833.039,64.9606
836.093,64.9606
839.148,64.9606
842.203,64.9606
845.257,64.9606
848.312,64.9606
851.367,64.9606
854.421,64.9606
857.476,64.9606
860.531,64.9606
863.585,64.9606
866.64,64.9606
869.695,64.9606
872.749,64.9606
875.804,64.9606
878.859,64.9606
881.913,64.9606
884.968,64.9606
888.023,64.9606
891.077,64.9606
894.132,64.9606
897.186,64.9606
900.241,64.9606
903.296,64.9606
906.35,64.9606
909.405,64.9606
912.46,21.6535
915.514,21.6535
918.569,21.6535
921.624,21.6535
924.678,21.6535
927.733,21.6535
930.788,21.6535
933.842,21.6535
936.897,21.6535
939.952,21.6535
943.006,21.6535
946.061,21.6535
949.116,21.6535
952.17,64.9606
955.225,64.9606
958.28,108.268
961.334,194.882
964.389,194.882
967.444,194.882
970.498,108.268
973.553,108.268
976.608,108.268
979.662,108.268
982.717,64.9606
985.772,64.9606
988.826,64.9606
991.881,64.9606
994.936,64.9606
997.99,64.9606
1001.05,64.9606
1004.1,108.268
1007.15,108.268
1010.21,108.268
1013.26,108.268
1016.32,108.268
1019.37,108.268
1022.43,108.268
1025.48,194.882
1028.54,324.803
1031.59,627.953
1034.65,801.181
1037.7,1710.63
1040.76,1970.47
1043.81,757.874
1046.86,498.031
1049.92,238.189
1052.97,108.268
1056.03,108.268
1059.08,108.268
1062.14,108.268
1065.19,108.268
1068.25,108.268
1071.3,194.882
1074.36,238.189
1077.41,324.803
1080.47,368.11
1083.52,411.417
1086.58,411.417
1089.63,411.417
1092.68,368.11
1095.74,281.496
1098.79,194.882
1101.85,64.9606
1104.9,64.9606
1107.96,21.6535
1111.01,21.6535
1114.07,21.6535
1117.12,21.6535
1120.18,21.6535
1123.23,21.6535
1126.29,21.6535
1129.34,21.6535
1132.4,21.6535
1135.45,21.6535
1138.5,21.6535
1141.56,21.6535
1144.61,21.6535
1147.67,21.6535
1150.72,64.9606
1153.78,64.9606
1156.83,64.9606
1159.89,64.9606
1162.94,64.9606
1166,64.9606
1169.05,64.9606
1172.11,64.9606
1175.16,64.9606
1178.22,64.9606
1181.27,64.9606
1184.32,64.9606
1187.38,64.9606
1190.43,64.9606
1193.49,64.9606
1196.54,64.9606
1199.6,64.9606
1202.65,64.9606
1205.71,64.9606
1208.76,64.9606
1211.82,64.9606
1214.87,64.9606
1217.93,64.9606
1220.98,64.9606
1224.04,64.9606
1227.09,21.6535
1230.14,21.6535
1233.2,21.6535
1236.25,21.6535
1239.31,21.6535
1242.36,21.6535
1245.42,21.6535
1248.47,21.6535
1251.53,21.6535
1254.58,21.6535
1257.64,21.6535
1260.69,21.6535
1263.75,21.6535
1266.8,21.6535
1269.86,21.6535
1272.91,21.6535
1275.96,21.6535
1279.02,21.6535
1282.07,21.6535
1285.13,21.6535
1288.18,21.6535
1291.24,21.6535
1294.29,21.6535
1297.35,21.6535
1300.4,21.6535
1303.46,21.6535
1306.51,21.6535
1309.57,21.6535
1312.62,21.6535
1315.68,21.6535
1318.73,21.6535
1321.78,21.6535
1324.84,21.6535
1327.89,21.6535
1330.95,21.6535
1334,21.6535
1337.06,21.6535
1340.11,21.6535
1343.17,21.6535
1346.22,21.6535
1349.28,21.6535
1352.33,21.6535
1355.39,21.6535
1358.44,21.6535
1361.5,21.6535
1364.55,21.6535
1367.6,21.6535
1370.66,21.6535
1373.71,21.6535
1376.77,21.6535
1379.82,21.6535
1382.88,21.6535
1385.93,21.6535
1388.99,21.6535
1392.04,21.6535
1395.1,21.6535
1398.15,21.6535
1401.21,108.268
1404.26,21.6535
1407.32,21.6535
1410.37,21.6535
1413.42,21.6535
1416.48,21.6535
1419.53,21.6535
1422.59,21.6535
1425.64,21.6535
1428.7,21.6535
1431.75,21.6535
1434.81,21.6535
1437.86,21.6535
1440.92,21.6535
1443.97,21.6535
1447.03,21.6535
1450.08,21.6535
1453.14,21.6535
1456.19,21.6535
1459.24,21.6535
1462.3,21.6535
1465.35,21.6535
1468.41,21.6535
1471.46,21.6535
1474.52,21.6535
1477.57,21.6535
1480.63,21.6535
1483.68,21.6535
1486.74,21.6535
1489.79,21.6535
1492.85,21.6535
1495.9,21.6535
1498.95,21.6535
1502.01,21.6535
1505.06,21.6535
1508.12,21.6535
1511.17,21.6535
1514.23,21.6535
1517.28,21.6535
1520.34,21.6535
1523.39,21.6535
1526.45,21.6535
1529.5,21.6535
1532.56,21.6535
1535.61,21.6535
1538.67,21.6535
1541.72,21.6535
1544.77,21.6535
1547.83,21.6535
1550.88,21.6535
1553.94,21.6535
1556.99,21.6535
1560.05,21.6535
1563.1,21.6535
1566.16,21.6535
1569.21,21.6535
1572.27,21.6535
1575.32,21.6535
1578.38,21.6535
1581.43,21.6535
1584.49,21.6535
1587.54,21.6535
1590.59,21.6535
1593.65,21.6535
1596.7,21.6535
1599.76,21.6535
1602.81,108.268
1605.87,21.6535
1608.92,21.6535
1611.98,21.6535
1615.03,21.6535
1618.09,21.6535
1621.14,21.6535
1624.2,21.6535
1627.25,21.6535
1630.31,21.6535
1633.36,21.6535
1636.41,21.6535
1639.47,21.6535
1642.52,21.6535
1645.58,21.6535
1648.63,21.6535
1651.69,21.6535
1654.74,21.6535
1657.8,21.6535
1660.85,21.6535
1663.91,21.6535
1666.96,21.6535
1670.02,21.6535
1673.07,21.6535
1676.13,21.6535
1679.18,21.6535
1682.23,21.6535
1685.29,21.6535
1688.34,21.6535
1691.4,21.6535
1694.45,21.6535
1697.51,21.6535
1700.56,21.6535
1703.62,21.6535
1706.67,21.6535
1709.73,21.6535
1712.78,21.6535
1715.84,21.6535
1718.89,21.6535
1721.95,21.6535
1725,21.6535
1728.05,21.6535
1731.11,21.6535
1734.16,21.6535
1737.22,21.6535
1740.27,21.6535
1743.33,21.6535
1746.38,21.6535
1749.44,21.6535
1752.49,21.6535
1755.55,21.6535
1758.6,21.6535
1761.66,21.6535
1764.71,21.6535
1767.77,21.6535
1770.82,21.6535
1773.87,21.6535
1776.93,21.6535
1779.98,21.6535
1783.04,21.6535
1786.09,21.6535
1789.15,21.6535
1792.2,21.6535
1795.26,21.6535
1798.31,21.6535
1801.37,108.268
1804.42,21.6535
1807.48,21.6535
1810.53,21.6535
1813.59,21.6535
1816.64,21.6535
1819.69,21.6535
1822.75,21.6535
1825.8,21.6535
1828.86,21.6535
1831.91,21.6535
1834.97,21.6535
1838.02,21.6535
1841.08,21.6535
1844.13,21.6535
1847.19,21.6535
1850.24,21.6535
1853.3,21.6535
1856.35,21.6535
1859.41,21.6535
1862.46,21.6535
1865.51,21.6535
1868.57,21.6535
1871.62,21.6535
1874.68,21.6535
1877.73,21.6535
1880.79,21.6535
1883.84,21.6535
1886.9,21.6535
1889.95,21.6535
1893.01,21.6535
1896.06,21.6535
1899.12,21.6535
1902.17,21.6535
1905.23,21.6535
1908.28,21.6535
1911.33,21.6535
1914.39,21.6535
1917.44,21.6535
1920.5,21.6535
1923.55,21.6535
1926.61,21.6535
1929.66,21.6535
1932.72,21.6535
1935.77,21.6535
1938.83,21.6535
1941.88,21.6535
1944.94,21.6535
1947.99,21.6535
1951.05,21.6535
1954.1,21.6535
1957.15,21.6535
1960.21,21.6535
1963.26,21.6535
1966.32,21.6535
1969.37,21.6535
1972.43,21.6535
1975.48,21.6535
1978.54,21.6535
1981.59,21.6535
1984.65,21.6535
1987.7,21.6535
1990.76,21.6535
1993.81,21.6535
1996.86,21.6535
1999.92,21.6535
2002.97,108.268
2006.03,21.6535
2009.08,21.6535
2012.14,21.6535
2015.19,21.6535
2018.25,21.6535
2021.3,21.6535
2024.36,21.6535
2027.41,21.6535
2030.47,21.6535
2033.52,21.6535
2036.58,21.6535
2039.63,21.6535
2042.68,21.6535
2045.74,21.6535
2048.79,21.6535
2051.85,21.6535
2054.9,21.6535
2057.96,21.6535
2061.01,21.6535
2064.07,21.6535
2067.12,21.6535
2070.18,21.6535
2073.23,21.6535
2076.29,21.6535
2079.34,21.6535
2082.4,21.6535
2085.45,21.6535
2088.5,21.6535
2091.56,21.6535
2094.61,21.6535
2097.67,21.6535
2100.72,21.6535
2103.78,21.6535
2106.83,21.6535
2109.89,21.6535
2112.94,21.6535
2116,21.6535
2119.05,21.6535
2122.11,21.6535
2125.16,21.6535
2128.22,21.6535
2131.27,21.6535
2134.32,21.6535
2137.38,21.6535
2140.43,21.6535
2143.49,21.6535
2146.54,21.6535
2149.6,21.6535
2152.65,21.6535
2155.71,21.6535
2158.76,21.6535
2161.82,21.6535
2164.87,21.6535
2167.93,21.6535
2170.98,21.6535
2174.04,21.6535
2177.09,21.6535
2180.14,21.6535
2183.2,21.6535
2186.25,21.6535
2189.31,21.6535
2192.36,21.6535
2195.42,21.6535
2198.47,21.6535
2201.53,108.268
2204.58,21.6535
2207.64,21.6535
2210.69,21.6535
2213.75,21.6535
2216.8,21.6535
2219.86,21.6535
2222.91,21.6535
2225.96,21.6535
2229.02,21.6535
2232.07,21.6535
2235.13,21.6535
2238.18,21.6535
2241.24,21.6535
2244.29,21.6535
2247.35,21.6535
2250.4,21.6535
2253.46,21.6535
2256.51,21.6535
2259.57,21.6535
2262.62,21.6535
2265.68,21.6535
2268.73,21.6535
2271.78,21.6535
2274.84,21.6535
2277.89,21.6535
2280.95,21.6535
2284,21.6535
2287.06,21.6535
2290.11,21.6535
