,GP550R
RamanShit,Intensity
260.951,1.81818
264.346,1.81818
267.742,1.81818
271.138,1.81818
274.533,1.81818
277.929,13.4545
281.324,19.2727
284.72,25.0909
288.115,30.9091
291.511,42.5455
294.907,48.3636
298.302,60
301.698,42.5455
305.093,36.7273
308.489,19.2727
311.885,25.0909
315.28,30.9091
318.676,36.7273
322.071,36.7273
325.467,48.3636
328.862,60
332.258,71.6364
335.654,94.9091
339.049,112.364
342.445,112.364
345.84,118.182
349.236,124
352.632,129.818
356.027,129.818
359.423,129.818
362.818,205.455
366.214,217.091
369.61,199.636
373.005,199.636
376.401,199.636
379.796,199.636
383.192,199.636
386.587,292.727
389.983,298.545
393.379,298.545
396.774,298.545
400.17,118.182
403.565,89.0909
406.961,89.0909
410.357,71.6364
413.752,60
417.148,60
420.543,54.1818
423.939,54.1818
427.334,54.1818
430.73,42.5455
434.126,30.9091
437.521,25.0909
440.917,7.63636
444.312,7.63636
447.708,7.63636
451.104,7.63636
454.499,7.63636
457.895,7.63636
461.29,7.63636
464.686,13.4545
468.081,19.2727
471.477,19.2727
474.873,19.2727
478.268,19.2727
481.664,19.2727
485.059,13.4545
488.455,13.4545
491.851,7.63636
495.246,7.63636
498.642,13.4545
502.037,19.2727
505.433,30.9091
508.829,54.1818
512.224,71.6364
515.62,83.2727
519.015,89.0909
522.411,89.0909
525.806,89.0909
529.202,77.4545
532.598,54.1818
535.993,36.7273
539.389,25.0909
542.784,25.0909
546.18,25.0909
549.576,25.0909
552.971,19.2727
556.367,19.2727
559.762,19.2727
563.158,19.2727
566.553,13.4545
569.949,13.4545
573.345,7.63636
576.74,13.4545
580.136,7.63636
583.531,7.63636
586.927,7.63636
590.323,7.63636
593.718,7.63636
597.114,7.63636
600.509,13.4545
603.905,13.4545
607.301,19.2727
610.696,19.2727
614.092,19.2727
617.487,19.2727
620.883,25.0909
624.278,25.0909
627.674,25.0909
631.07,25.0909
634.465,30.9091
637.861,54.1818
641.256,83.2727
644.652,100.727
648.048,147.273
651.443,222.909
654.839,350.909
658.234,810.545
661.63,839.636
665.025,926.909
668.421,1438.91
671.817,1363.27
675.212,1008.36
678.608,979.273
682.003,793.091
685.399,595.273
688.795,636
692.19,630.182
695.586,112.364
698.981,94.9091
702.377,71.6364
705.772,48.3636
709.168,30.9091
712.564,19.2727
715.959,19.2727
719.355,19.2727
722.75,19.2727
726.146,25.0909
729.542,36.7273
732.937,36.7273
736.333,36.7273
739.728,42.5455
743.124,42.5455
746.52,42.5455
749.915,36.7273
753.311,25.0909
756.706,25.0909
760.102,25.0909
763.497,25.0909
766.893,25.0909
770.289,19.2727
773.684,19.2727
777.08,19.2727
780.475,25.0909
783.871,25.0909
787.267,25.0909
790.662,25.0909
794.058,25.0909
797.453,25.0909
800.849,25.0909
804.244,25.0909
807.64,25.0909
811.036,19.2727
814.431,19.2727
817.827,19.2727
821.222,19.2727
824.618,13.4545
828.014,13.4545
831.409,13.4545
834.805,13.4545
838.2,13.4545
841.596,13.4545
844.992,13.4545
848.387,19.2727
851.783,19.2727
855.178,19.2727
858.574,19.2727
861.969,19.2727
865.365,19.2727
868.761,19.2727
872.156,19.2727
875.552,19.2727
878.947,19.2727
882.343,19.2727
885.739,19.2727
889.134,13.4545
892.53,25.0909
895.925,30.9091
899.321,36.7273
902.716,36.7273
906.112,36.7273
909.508,36.7273
912.903,54.1818
916.299,83.2727
919.694,124
923.09,158.909
926.486,193.818
929.881,158.909
933.277,153.091
936.672,135.636
940.068,124
943.463,112.364
946.859,100.727
950.255,77.4545
953.65,54.1818
957.046,36.7273
960.441,30.9091
963.837,25.0909
967.233,25.0909
970.628,19.2727
974.024,19.2727
977.419,19.2727
980.815,19.2727
984.211,13.4545
987.606,13.4545
991.002,13.4545
994.397,19.2727
997.793,19.2727
1001.19,19.2727
1004.58,36.7273
1007.98,54.1818
1011.38,71.6364
1014.77,100.727
1018.17,129.818
1021.56,147.273
1024.96,211.273
1028.35,199.636
1031.75,199.636
1035.14,199.636
1038.54,199.636
1041.94,548.727
1045.33,554.545
1048.73,531.273
1052.12,554.545
1055.52,577.818
1058.91,653.455
1062.31,333.455
1065.7,316
1069.1,269.455
1072.5,188
1075.89,118.182
1079.29,129.818
1082.68,124
1086.08,42.5455
1089.47,36.7273
1092.87,30.9091
1096.26,25.0909
1099.66,25.0909
1103.06,25.0909
1106.45,19.2727
1109.85,19.2727
1113.24,19.2727
1116.64,19.2727
1120.03,19.2727
1123.43,19.2727
1126.83,19.2727
1130.22,19.2727
1133.62,19.2727
1137.01,19.2727
1140.41,19.2727
1143.8,19.2727
1147.2,19.2727
1150.59,19.2727
1153.99,19.2727
1157.39,19.2727
1160.78,19.2727
1164.18,19.2727
1167.57,19.2727
1170.97,25.0909
1174.36,25.0909
1177.76,25.0909
1181.15,25.0909
1184.55,25.0909
1187.95,25.0909
1191.34,25.0909
1194.74,19.2727
1198.13,25.0909
1201.53,25.0909
1204.92,25.0909
1208.32,25.0909
1211.71,19.2727
1215.11,19.2727
1218.51,19.2727
1221.9,13.4545
1225.3,19.2727
1228.69,19.2727
1232.09,19.2727
1235.48,25.0909
1238.88,25.0909
1242.28,25.0909
1245.67,25.0909
1249.07,25.0909
1252.46,25.0909
1255.86,25.0909
1259.25,25.0909
1262.65,25.0909
1266.04,25.0909
1269.44,25.0909
1272.84,25.0909
1276.23,25.0909
1279.63,25.0909
1283.02,25.0909
1286.42,25.0909
1289.81,25.0909
1293.21,25.0909
1296.6,30.9091
1300,36.7273
1303.4,36.7273
1306.79,36.7273
1310.19,36.7273
1313.58,42.5455
