,GP550R
RamanShit,Intensity
266.071,427.673
269.643,427.673
273.214,377.358
276.786,327.044
280.357,327.044
283.929,327.044
287.5,327.044
291.071,377.358
294.643,427.673
298.214,427.673
301.786,427.673
305.357,477.987
308.929,477.987
312.5,528.302
316.071,628.931
319.643,628.931
323.214,679.245
326.786,679.245
330.357,679.245
333.929,729.56
337.5,830.189
341.071,930.818
344.643,981.132
348.214,1031.45
351.786,1081.76
355.357,1081.76
358.929,1081.76
362.5,1081.76
366.071,1534.59
369.643,1333.33
373.214,1433.96
376.786,1484.28
380.357,1534.59
383.929,1584.91
387.5,2641.51
391.071,2389.94
394.643,1635.22
398.214,1635.22
401.786,1635.22
405.357,1534.59
408.929,1182.39
412.5,981.132
416.071,729.56
419.643,477.987
423.214,477.987
426.786,477.987
430.357,477.987
433.929,427.673
437.5,427.673
441.071,427.673
444.643,427.673
448.214,477.987
451.786,578.616
455.357,578.616
458.929,628.931
462.5,628.931
466.071,578.616
469.643,578.616
473.214,578.616
476.786,528.302
480.357,528.302
483.929,477.987
487.5,427.673
491.071,377.358
494.643,377.358
498.214,427.673
501.786,528.302
505.357,679.245
508.929,830.189
512.5,981.132
516.071,1081.76
519.643,1081.76
523.214,1132.08
526.786,1132.08
530.357,1081.76
533.929,1031.45
537.5,930.818
541.071,830.189
544.643,830.189
548.214,779.874
551.786,729.56
555.357,729.56
558.929,628.931
562.5,477.987
566.071,427.673
569.643,377.358
573.214,377.358
576.786,377.358
580.357,377.358
583.929,377.358
587.5,427.673
591.071,427.673
594.643,427.673
598.214,427.673
601.786,427.673
605.357,427.673
608.929,427.673
612.5,427.673
616.071,427.673
619.643,427.673
623.214,427.673
626.786,427.673
630.357,477.987
633.929,628.931
637.5,729.56
641.071,830.189
644.643,1132.08
648.214,1584.91
651.786,2188.68
655.357,3597.48
658.929,6666.67
662.5,8729.56
666.071,8779.87
669.643,12150.9
673.214,8981.13
676.786,6616.35
680.357,3698.11
683.929,2591.19
687.5,2138.36
691.071,1886.79
694.643,1383.65
698.214,1031.45
701.786,779.874
705.357,628.931
708.929,528.302
712.5,528.302
716.071,477.987
719.643,477.987
723.214,477.987
726.786,528.302
730.357,679.245
733.929,880.503
737.5,880.503
741.071,930.818
744.643,930.818
748.214,930.818
751.786,830.189
755.357,729.56
758.929,679.245
762.5,679.245
766.071,628.931
769.643,628.931
773.214,578.616
776.786,578.616
780.357,528.302
783.929,528.302
787.5,528.302
791.071,427.673
794.643,427.673
798.214,427.673
801.786,427.673
805.357,377.358
808.929,377.358
812.5,427.673
816.071,427.673
819.643,477.987
823.214,477.987
826.786,528.302
830.357,528.302
833.929,578.616
837.5,628.931
841.071,679.245
844.643,729.56
848.214,729.56
851.786,779.874
855.357,779.874
858.929,779.874
862.5,880.503
866.071,1081.76
869.643,628.931
873.214,528.302
876.786,427.673
880.357,427.673
883.929,427.673
887.5,427.673
891.071,427.673
894.643,427.673
898.214,477.987
901.786,528.302
905.357,578.616
908.929,679.245
912.5,779.874
916.071,1031.45
919.643,1283.02
923.214,1534.59
926.786,1735.85
930.357,1333.33
933.929,1333.33
937.5,1333.33
941.071,1283.02
944.643,1232.7
948.214,1132.08
951.786,981.132
955.357,880.503
958.929,779.874
962.5,628.931
966.071,528.302
969.643,477.987
973.214,427.673
976.786,427.673
980.357,427.673
983.929,377.358
987.5,477.987
991.071,477.987
994.643,578.616
998.214,679.245
1001.79,729.56
1005.36,729.56
1008.93,779.874
1012.5,1031.45
1016.07,1433.96
1019.64,1584.91
1023.21,1836.48
1026.79,1584.91
1030.36,1534.59
1033.93,1534.59
1037.5,1383.65
1041.07,1534.59
1044.64,1886.79
1048.21,2238.99
1051.79,2943.4
1055.36,3396.23
1058.93,2238.99
1062.5,1937.11
1066.07,1383.65
1069.64,1031.45
1073.21,779.874
1076.79,628.931
1080.36,528.302
1083.93,427.673
1087.5,377.358
1091.07,377.358
1094.64,427.673
1098.21,427.673
1101.79,427.673
1105.36,528.302
1108.93,528.302
1112.5,528.302
1116.07,528.302
1119.64,578.616
1123.21,578.616
1126.79,578.616
1130.36,528.302
1133.93,528.302
1137.5,477.987
1141.07,477.987
1144.64,427.673
1148.21,377.358
1151.79,377.358
1155.36,377.358
1158.93,377.358
1162.5,377.358
1166.07,377.358
1169.64,377.358
1173.21,377.358
1176.79,377.358
1180.36,377.358
1183.93,377.358
1187.5,427.673
1191.07,427.673
1194.64,427.673
1198.21,427.673
1201.79,427.673
1205.36,427.673
1208.93,427.673
1212.5,427.673
1216.07,427.673
1219.64,427.673
1223.21,427.673
1226.79,427.673
1230.36,427.673
1233.93,427.673
1237.5,427.673
1241.07,427.673
1244.64,427.673
1248.21,427.673
1251.79,377.358
1255.36,327.044
1258.93,327.044
1262.5,327.044
1266.07,327.044
1269.64,327.044
1273.21,377.358
1276.79,377.358
1280.36,377.358
1283.93,377.358
1287.5,377.358
1291.07,377.358
1294.64,377.358
1298.21,427.673
1301.79,427.673
1305.36,427.673
1308.93,427.673
1312.5,427.673
1316.07,477.987
1319.64,477.987
1323.21,477.987
1326.79,477.987
1330.36,477.987
1333.93,477.987
1337.5,477.987
1341.07,477.987
1344.64,427.673
1348.21,427.673
1351.79,377.358
1355.36,377.358
1358.93,377.358
1362.5,377.358
1366.07,377.358
1369.64,377.358
1373.21,377.358
1376.79,377.358
1380.36,377.358
1383.93,377.358
1387.5,377.358
1391.07,377.358
1394.64,377.358
1398.21,377.358
1401.79,377.358
1405.36,377.358
1408.93,377.358
1412.5,377.358
1416.07,377.358
1419.64,377.358
1423.21,377.358
1426.79,377.358
1430.36,377.358
1433.93,377.358
1437.5,377.358
1441.07,377.358
1444.64,377.358
1448.21,377.358
1451.79,377.358
1455.36,377.358
1458.93,327.044
1462.5,377.358
1466.07,377.358
1469.64,377.358
1473.21,377.358
