,GP550R
RamanShit,Intensity
249.598,500
252.653,500
255.707,500
258.762,440.945
261.817,456.693
264.871,472.441
267.926,488.189
270.981,503.937
274.035,519.685
277.09,535.433
280.145,535.433
283.199,535.433
286.254,566.929
289.309,519.685
292.363,440.945
295.418,314.961
298.473,236.22
301.527,173.228
304.582,125.984
307.637,78.7402
310.691,62.9921
313.746,31.4961
316.801,31.4961
319.855,31.4961
322.91,31.4961
325.965,47.2441
329.019,62.9921
332.074,62.9921
335.129,62.9921
338.183,62.9921
341.238,47.2441
344.293,47.2441
347.347,31.4961
350.402,31.4961
353.457,31.4961
356.511,31.4961
359.566,31.4961
362.621,31.4961
365.675,31.4961
368.73,31.4961
371.785,31.4961
374.839,47.2441
377.894,47.2441
380.949,47.2441
384.003,62.9921
387.058,78.7402
390.113,78.7402
393.167,94.4882
396.222,125.984
399.277,173.228
402.331,204.724
405.386,236.22
408.441,251.969
411.495,251.969
414.55,220.472
417.605,141.732
420.659,78.7402
423.714,47.2441
426.768,31.4961
429.823,31.4961
432.878,31.4961
435.932,31.4961
438.987,62.9921
442.042,110.236
445.096,141.732
448.151,188.976
451.206,267.717
454.26,330.709
457.315,377.953
460.37,393.701
463.424,456.693
466.479,551.181
469.534,708.661
472.588,976.378
475.643,1149.61
478.698,1275.59
481.752,1149.61
484.807,1023.62
487.862,881.89
490.916,803.15
493.971,881.89
497.026,1023.62
500.08,1385.83
503.135,1637.8
506.19,2409.45
509.244,2535.43
512.299,1622.05
515.354,1322.83
518.408,818.898
521.463,488.189
524.518,267.717
527.572,157.48
530.627,94.4882
533.682,62.9921
536.736,31.4961
539.791,31.4961
542.846,31.4961
545.9,31.4961
548.955,31.4961
552.01,31.4961
555.064,47.2441
558.119,62.9921
561.174,78.7402
564.228,125.984
567.283,141.732
570.338,157.48
573.392,157.48
576.447,141.732
579.502,94.4882
582.556,62.9921
585.611,47.2441
588.666,31.4961
591.72,31.4961
594.775,31.4961
597.83,31.4961
600.884,31.4961
603.939,31.4961
606.994,31.4961
610.048,31.4961
613.103,31.4961
616.158,47.2441
619.212,47.2441
622.267,47.2441
625.322,47.2441
628.376,47.2441
631.431,47.2441
634.486,47.2441
637.54,47.2441
640.595,62.9921
643.65,62.9921
646.704,62.9921
649.759,62.9921
652.814,62.9921
655.868,62.9921
658.923,47.2441
661.977,47.2441
665.032,31.4961
668.087,31.4961
671.141,31.4961
674.196,31.4961
677.251,31.4961
680.305,31.4961
683.36,31.4961
686.415,31.4961
689.469,31.4961
692.524,31.4961
695.579,31.4961
698.633,31.4961
701.688,31.4961
704.743,31.4961
707.797,31.4961
710.852,31.4961
713.907,31.4961
716.961,47.2441
720.016,47.2441
723.071,47.2441
726.125,47.2441
729.18,47.2441
732.235,31.4961
735.289,47.2441
738.344,47.2441
741.399,62.9921
744.453,78.7402
747.508,94.4882
750.563,125.984
753.617,157.48
756.672,204.724
759.727,204.724
762.781,204.724
765.836,204.724
768.891,188.976
771.945,173.228
775,157.48
778.055,141.732
781.109,141.732
784.164,157.48
787.219,173.228
790.273,188.976
793.328,236.22
796.383,283.465
799.437,299.213
802.492,299.213
805.547,299.213
808.601,299.213
811.656,299.213
814.711,267.717
817.765,220.472
820.82,141.732
823.875,47.2441
826.929,15.748
829.984,15.748
833.039,15.748
836.093,15.748
839.148,15.748
842.203,31.4961
845.257,31.4961
848.312,31.4961
851.367,31.4961
854.421,31.4961
857.476,31.4961
860.531,31.4961
863.585,31.4961
866.64,31.4961
869.695,31.4961
872.749,31.4961
875.804,31.4961
878.859,47.2441
881.913,47.2441
884.968,47.2441
888.023,47.2441
891.077,47.2441
894.132,47.2441
897.186,47.2441
900.241,47.2441
903.296,47.2441
906.35,47.2441
909.405,47.2441
912.46,47.2441
915.514,31.4961
918.569,31.4961
921.624,47.2441
924.678,47.2441
927.733,47.2441
930.788,47.2441
933.842,47.2441
936.897,47.2441
939.952,47.2441
943.006,47.2441
946.061,47.2441
949.116,47.2441
952.17,62.9921
955.225,62.9921
958.28,62.9921
961.334,62.9921
964.389,62.9921
967.444,47.2441
970.498,47.2441
973.553,47.2441
976.608,47.2441
979.662,47.2441
982.717,47.2441
985.772,47.2441
988.826,31.4961
991.881,31.4961
994.936,31.4961
997.99,31.4961
1001.05,31.4961
1004.1,31.4961
1007.15,31.4961
1010.21,31.4961
1013.26,31.4961
1016.32,47.2441
1019.37,47.2441
1022.43,47.2441
1025.48,78.7402
1028.54,110.236
1031.59,141.732
1034.65,173.228
1037.7,188.976
1040.76,236.22
1043.81,251.969
1046.86,283.465
1049.92,314.961
1052.97,330.709
1056.03,377.953
1059.08,425.197
1062.14,456.693
1065.19,503.937
1068.25,566.929
1071.3,614.173
1074.36,645.669
1077.41,661.417
1080.47,677.165
1083.52,708.661
1086.58,755.906
1089.63,677.165
1092.68,661.417
1095.74,614.173
1098.79,598.425
1101.85,551.181
1104.9,503.937
1107.96,425.197
1111.01,362.205
1114.07,299.213
1117.12,251.969
1120.18,204.724
1123.23,141.732
1126.29,94.4882
1129.34,47.2441
1132.4,47.2441
1135.45,47.2441
1138.5,15.748
1141.56,15.748
1144.61,15.748
1147.67,15.748
1150.72,15.748
1153.78,15.748
1156.83,15.748
1159.89,15.748
1162.94,15.748
1166,15.748
1169.05,15.748
1172.11,15.748
1175.16,15.748
1178.22,15.748
1181.27,15.748
1184.32,15.748
1187.38,15.748
1190.43,15.748
1193.49,15.748
1196.54,15.748
1199.6,15.748
1202.65,15.748
1205.71,15.748
1208.76,15.748
1211.82,15.748
1214.87,15.748
1217.93,15.748
1220.98,15.748
1224.04,15.748
1227.09,15.748
1230.14,15.748
1233.2,15.748
1236.25,15.748
1239.31,15.748
1242.36,15.748
1245.42,15.748
1248.47,15.748
1251.53,15.748
1254.58,15.748
1257.64,15.748
1260.69,15.748
1263.75,15.748
1266.8,15.748
1269.86,15.748
1272.91,15.748
1275.96,15.748
1279.02,15.748
1282.07,15.748
1285.13,15.748
1288.18,15.748
1291.24,15.748
1294.29,15.748
1297.35,15.748
1300.4,15.748
1303.46,15.748
1306.51,15.748
1309.57,15.748
1312.62,15.748
1315.68,15.748
1318.73,15.748
1321.78,15.748
1324.84,15.748
1327.89,15.748
1330.95,15.748
1334,15.748
1337.06,15.748
1340.11,15.748
1343.17,15.748
1346.22,15.748
1349.28,15.748
1352.33,15.748
1355.39,15.748
1358.44,15.748
1361.5,15.748
1364.55,15.748
1367.6,15.748
1370.66,15.748
1373.71,15.748
1376.77,15.748
1379.82,15.748
1382.88,15.748
1385.93,15.748
1388.99,15.748
1392.04,15.748
1395.1,15.748
1398.15,15.748
1401.21,15.748
1404.26,15.748
1407.32,15.748
1410.37,15.748
1413.42,15.748
1416.48,15.748
1419.53,15.748
1422.59,15.748
1425.64,15.748
1428.7,15.748
1431.75,15.748
1434.81,15.748
1437.86,15.748
1440.92,15.748
1443.97,15.748
1447.03,15.748
1450.08,15.748
1453.14,15.748
1456.19,15.748
1459.24,15.748
1462.3,15.748
1465.35,15.748
1468.41,15.748
1471.46,15.748
1474.52,15.748
1477.57,15.748
1480.63,15.748
1483.68,15.748
1486.74,15.748
1489.79,15.748
1492.85,15.748
1495.9,15.748
1498.95,15.748
1502.01,15.748
1505.06,15.748
1508.12,15.748
1511.17,15.748
1514.23,15.748
1517.28,15.748
1520.34,15.748
1523.39,15.748
1526.45,15.748
1529.5,15.748
1532.56,15.748
1535.61,15.748
1538.67,15.748
1541.72,15.748
1544.77,15.748
1547.83,15.748
1550.88,15.748
1553.94,15.748
1556.99,15.748
1560.05,15.748
1563.1,15.748
1566.16,15.748
1569.21,15.748
1572.27,15.748
1575.32,15.748
1578.38,15.748
1581.43,15.748
1584.49,15.748
1587.54,15.748
1590.59,15.748
1593.65,15.748
1596.7,15.748
1599.76,15.748
1602.81,15.748
1605.87,15.748
1608.92,15.748
1611.98,15.748
1615.03,15.748
1618.09,15.748
1621.14,15.748
1624.2,15.748
1627.25,15.748
1630.31,15.748
1633.36,15.748
1636.41,15.748
1639.47,15.748
1642.52,15.748
1645.58,15.748
1648.63,15.748
1651.69,15.748
1654.74,15.748
