,GP550R
RamanShit,Intensity
253.618,101.27
257.328,84.7619
261.039,84.7619
264.75,76.5079
268.46,60
272.171,60
275.881,51.746
279.592,35.2381
283.302,43.4921
287.013,43.4921
290.724,51.746
294.434,51.746
298.145,60
301.855,68.254
305.566,101.27
309.276,134.286
312.987,167.302
316.698,208.571
320.408,299.365
324.119,373.651
327.829,406.667
331.54,456.19
335.25,464.444
338.961,480.952
342.672,464.444
346.382,464.444
350.093,456.19
353.803,456.19
357.514,447.937
361.224,456.19
364.935,456.19
368.646,472.698
372.356,456.19
376.067,431.429
379.777,406.667
383.488,406.667
387.199,398.413
390.909,398.413
394.62,390.159
398.33,373.651
402.041,357.143
405.751,357.143
409.462,332.381
413.173,249.841
416.883,142.54
420.594,68.254
424.304,35.2381
428.015,26.9841
431.725,26.9841
435.436,18.7302
439.147,26.9841
442.857,26.9841
446.568,26.9841
450.278,26.9841
453.989,26.9841
457.699,26.9841
461.41,26.9841
465.121,26.9841
468.831,26.9841
472.542,26.9841
476.252,35.2381
479.963,43.4921
483.673,43.4921
487.384,51.746
491.095,60
494.805,76.5079
498.516,93.0159
502.226,109.524
505.937,134.286
509.647,117.778
513.358,117.778
517.069,117.778
520.779,117.778
524.49,126.032
528.2,142.54
531.911,159.048
535.622,183.81
539.332,208.571
543.043,225.079
546.753,241.587
550.464,274.603
554.174,258.095
557.885,241.587
561.596,225.079
565.306,183.81
569.017,159.048
572.727,150.794
576.438,134.286
580.148,109.524
583.859,101.27
587.57,101.27
591.28,93.0159
594.991,76.5079
598.701,68.254
602.412,51.746
606.122,43.4921
609.833,35.2381
613.544,35.2381
617.254,35.2381
620.965,43.4921
624.675,51.746
628.386,60
632.096,68.254
635.807,76.5079
639.518,93.0159
643.228,109.524
646.939,142.54
650.649,225.079
654.36,299.365
658.071,381.905
661.781,695.556
665.492,1083.49
669.202,1240.32
672.913,1801.59
676.623,1232.06
680.334,1223.81
684.045,967.937
687.755,571.746
691.466,357.143
695.176,225.079
698.887,134.286
702.597,109.524
706.308,101.27
710.019,84.7619
713.729,68.254
717.44,60
721.15,60
724.861,60
728.571,60
732.282,60
735.993,51.746
739.703,43.4921
743.414,43.4921
747.124,43.4921
750.835,35.2381
754.545,35.2381
758.256,26.9841
761.967,26.9841
765.677,26.9841
769.388,26.9841
773.098,26.9841
776.809,26.9841
780.519,26.9841
784.23,26.9841
787.941,26.9841
791.651,26.9841
795.362,26.9841
799.072,26.9841
802.783,26.9841
806.494,26.9841
810.204,26.9841
813.915,84.7619
817.625,60
821.336,43.4921
825.046,35.2381
828.757,35.2381
832.468,35.2381
836.178,35.2381
839.889,35.2381
843.599,35.2381
847.31,35.2381
851.02,35.2381
854.731,35.2381
858.442,35.2381
862.152,35.2381
865.863,43.4921
869.573,43.4921
873.284,51.746
876.994,51.746
880.705,60
884.416,68.254
888.126,84.7619
891.837,84.7619
895.547,84.7619
899.258,84.7619
902.968,84.7619
906.679,84.7619
910.39,84.7619
914.1,84.7619
917.811,84.7619
921.521,76.5079
925.232,51.746
928.942,51.746
932.653,43.4921
936.364,43.4921
940.074,35.2381
943.785,26.9841
947.495,26.9841
951.206,26.9841
954.917,35.2381
958.627,35.2381
962.338,35.2381
966.048,35.2381
969.759,43.4921
973.469,76.5079
977.18,117.778
980.891,142.54
984.601,175.556
988.312,233.333
992.022,373.651
995.733,522.222
999.443,670.794
1003.15,802.857
1006.86,852.381
1010.58,860.635
1014.29,918.413
1018,984.444
1021.71,827.619
1025.42,712.063
1029.13,530.476
1032.84,357.143
1036.55,274.603
1040.26,249.841
1043.97,192.063
1047.68,117.778
1051.39,84.7619
1055.1,84.7619
1058.81,84.7619
