,GP550R
RamanShit,Intensity
249.029,378.4
253.883,650.4
258.738,650.4
263.592,199.2
268.447,164
273.301,250.4
278.155,352.8
283.01,407.2
287.864,442.4
292.718,516
297.573,573.6
302.427,612
307.282,634.4
312.136,647.2
316.99,656.8
321.845,672.8
326.699,656.8
331.553,656.8
336.408,653.6
341.262,653.6
346.117,650.4
350.971,644
355.825,628
360.68,615.2
365.534,596
370.388,557.6
375.243,538.4
380.097,528.8
384.951,525.6
389.806,525.6
394.66,528.8
399.515,535.2
404.369,541.6
409.223,554.4
414.078,564
418.932,570.4
423.786,573.6
428.641,573.6
433.495,570.4
438.35,567.2
443.204,551.2
448.058,519.2
452.913,484
457.767,436
462.621,410.4
467.476,407.2
472.33,388
477.184,372
482.039,368.8
486.893,317.6
491.748,208.8
496.602,100
501.456,20
506.311,-8.8
511.165,-21.6
516.019,-12
520.874,-12
525.728,-5.6
530.583,4
535.437,7.2
540.291,7.2
545.146,7.2
550,10.4
554.854,10.4
559.709,10.4
564.563,10.4
569.417,10.4
574.272,10.4
579.126,10.4
583.981,10.4
588.835,10.4
593.689,16.8
598.544,7.2
603.398,7.2
608.252,7.2
613.107,7.2
617.961,7.2
622.816,7.2
627.67,7.2
632.524,10.4
637.379,10.4
642.233,13.6
647.087,13.6
651.942,16.8
656.796,16.8
661.65,16.8
666.505,16.8
671.359,16.8
676.214,13.6
681.068,13.6
685.922,16.8
690.777,16.8
695.631,13.6
700.485,13.6
705.34,13.6
710.194,10.4
715.049,10.4
719.903,10.4
724.757,10.4
729.612,10.4
734.466,16.8
739.32,20
744.175,26.4
749.029,36
753.883,58.4
758.738,109.6
763.592,234.4
768.447,423.2
773.301,532
778.155,592.8
783.01,535.2
787.864,532
792.718,500
797.573,445.6
802.427,397.6
807.282,356
812.136,314.4
816.99,292
821.845,272.8
826.699,212
831.553,141.6
836.408,77.6
841.262,32.8
846.117,23.2
850.971,16.8
855.825,20
860.68,23.2
865.534,26.4
870.388,26.4
875.243,29.6
880.097,39.2
884.951,52
889.806,61.6
894.66,80.8
899.515,103.2
904.369,116
909.223,128.8
914.078,141.6
918.932,164
923.786,183.2
928.641,186.4
933.495,189.6
938.35,192.8
943.204,192.8
948.058,192.8
952.913,183.2
957.767,154.4
962.621,116
967.476,93.6
972.33,74.4
977.184,36
982.039,16.8
986.893,13.6
991.748,10.4
996.602,7.2
1001.46,13.6
1006.31,16.8
1011.17,16.8
1016.02,20
1020.87,20
1025.73,32.8
1030.58,55.2
1035.44,87.2
1040.29,106.4
1045.15,122.4
