,GP550R
RamanShit,Intensity
257.284,2606.9
260.701,2606.9
264.119,2606.9
267.536,2275.86
270.953,3048.28
274.371,3462.07
277.788,3986.21
281.205,4896.55
284.622,5420.69
288.04,5889.66
291.457,6689.66
294.874,7268.97
298.291,7489.66
301.709,7600
305.126,7737.93
308.543,7820.69
311.96,7820.69
315.378,7820.69
318.795,7820.69
322.212,7793.1
325.629,7737.93
329.047,7682.76
332.464,7544.83
335.881,7241.38
339.299,6800
342.716,6524.14
346.133,6303.45
349.55,5751.72
352.968,5420.69
356.385,5117.24
359.802,4565.52
363.219,4289.66
366.637,3931.03
370.054,3296.55
373.471,2662.07
376.888,2331.03
380.306,2110.34
383.723,1724.14
387.14,1586.21
390.558,1558.62
393.975,1531.03
397.392,1531.03
400.809,1531.03
404.227,1503.45
407.644,1475.86
411.061,1475.86
414.478,1448.28
417.896,1337.93
421.313,1255.17
424.73,1227.59
428.147,1089.66
431.565,1006.9
434.982,951.724
438.399,813.793
441.817,648.276
445.234,537.931
448.651,455.172
452.068,344.828
455.486,262.069
458.903,206.897
462.32,179.31
465.737,206.897
469.155,206.897
472.572,234.483
475.989,262.069
479.406,510.345
482.824,427.586
486.241,234.483
489.658,206.897
493.076,206.897
496.493,151.724
499.91,151.724
503.327,151.724
506.745,151.724
510.162,151.724
513.579,151.724
516.996,179.31
520.414,179.31
523.831,179.31
527.248,151.724
530.665,151.724
534.083,151.724
537.5,151.724
540.917,151.724
544.335,151.724
547.752,151.724
551.169,151.724
554.586,151.724
558.004,151.724
561.421,151.724
564.838,151.724
568.255,151.724
571.673,151.724
575.09,151.724
578.507,151.724
581.924,151.724
585.342,151.724
588.759,151.724
592.176,151.724
595.594,179.31
599.011,179.31
602.428,179.31
605.845,206.897
609.263,179.31
612.68,179.31
616.097,179.31
619.514,151.724
622.932,151.724
626.349,151.724
629.766,151.724
633.183,151.724
636.601,151.724
640.018,151.724
643.435,151.724
646.853,179.31
650.27,179.31
653.687,179.31
657.104,179.31
660.522,179.31
663.939,151.724
667.356,151.724
670.773,151.724
674.191,151.724
677.608,151.724
681.025,151.724
684.442,151.724
687.86,151.724
691.277,151.724
694.694,151.724
698.112,151.724
701.529,151.724
704.946,179.31
708.363,179.31
711.781,179.31
715.198,179.31
718.615,179.31
722.032,179.31
725.45,179.31
728.867,179.31
732.284,179.31
735.701,179.31
739.119,179.31
742.536,206.897
745.953,262.069
749.371,317.241
752.788,427.586
756.205,675.862
759.622,896.552
763.04,1310.34
766.457,2358.62
769.874,3048.28
773.291,3075.86
776.709,3489.66
780.126,3075.86
783.543,3075.86
786.96,2772.41
790.378,2220.69
793.795,1917.24
797.212,1751.72
800.629,1448.28
804.047,1282.76
807.464,1172.41
810.881,979.31
814.299,841.379
817.716,786.207
821.133,731.034
824.55,593.103
827.968,482.759
831.385,427.586
834.802,344.828
838.219,289.655
841.637,234.483
845.054,206.897
848.471,151.724
851.888,151.724
855.306,151.724
858.723,151.724
862.14,151.724
865.558,151.724
868.975,151.724
872.392,179.31
875.809,179.31
879.227,206.897
882.644,206.897
886.061,206.897
889.478,206.897
892.896,206.897
896.313,234.483
899.73,262.069
903.147,289.655
906.565,289.655
909.982,289.655
913.399,289.655
916.817,289.655
920.234,289.655
923.651,289.655
927.068,289.655
930.486,317.241
933.903,344.828
937.32,400
940.737,427.586
944.155,482.759
947.572,565.517
950.989,675.862
954.406,731.034
957.824,731.034
961.241,758.621
964.658,758.621
968.076,758.621
971.493,731.034
974.91,675.862
978.327,593.103
981.745,400
985.162,289.655
988.579,234.483
991.996,206.897
995.414,151.724
998.831,151.724
1002.25,151.724
1005.67,151.724
1009.08,151.724
1012.5,151.724
1015.92,151.724
1019.33,151.724
1022.75,179.31
1026.17,206.897
1029.59,206.897
1033,234.483
1036.42,289.655
1039.84,344.828
1043.26,400
1046.67,427.586
1050.09,537.931
1053.51,620.69
1056.92,703.448
1060.34,868.966
1063.76,1034.48
1067.18,1062.07
1070.59,1062.07
1074.01,1144.83
1077.43,1062.07
1080.85,1006.9
1084.26,868.966
1087.68,758.621
1091.1,675.862
1094.51,537.931
1097.93,427.586
1101.35,372.414
1104.77,262.069
1108.18,234.483
1111.6,179.31
1115.02,179.31
1118.44,151.724
1121.85,151.724
1125.27,151.724
1128.69,151.724
1132.1,151.724
1135.52,151.724
1138.94,179.31
1142.36,179.31
1145.77,179.31
1149.19,179.31
1152.61,206.897
1156.03,206.897
1159.44,206.897
1162.86,206.897
1166.28,234.483
1169.69,262.069
1173.11,289.655
1176.53,289.655
1179.95,289.655
1183.36,317.241
1186.78,317.241
1190.2,317.241
1193.62,317.241
1197.03,317.241
1200.45,344.828
1203.87,344.828
1207.28,344.828
1210.7,344.828
1214.12,344.828
1217.54,344.828
1220.95,344.828
1224.37,344.828
1227.79,344.828
1231.21,317.241
1234.62,317.241
1238.04,317.241
1241.46,317.241
1244.87,289.655
1248.29,289.655
1251.71,262.069
1255.13,234.483
1258.54,206.897
1261.96,206.897
1265.38,179.31
1268.79,179.31
1272.21,179.31
1275.63,179.31
1279.05,179.31
1282.46,179.31
1285.88,206.897
1289.3,206.897
1292.72,206.897
1296.13,234.483
1299.55,262.069
1302.97,289.655
1306.38,289.655
1309.8,289.655
1313.22,289.655
1316.64,289.655
1320.05,289.655
1323.47,289.655
1326.89,289.655
1330.31,289.655
1333.72,289.655
1337.14,289.655
1340.56,289.655
1343.97,289.655
1347.39,289.655
1350.81,262.069
1354.23,234.483
1357.64,234.483
1361.06,234.483
1364.48,234.483
1367.9,234.483
1371.31,234.483
1374.73,234.483
1378.15,234.483
1381.56,234.483
1384.98,206.897
1388.4,206.897
1391.82,206.897
1395.23,206.897
1398.65,179.31
1402.07,151.724
1405.49,151.724
1408.9,151.724
1412.32,151.724
1415.74,151.724
1419.15,179.31
1422.57,179.31
1425.99,179.31
1429.41,179.31
1432.82,179.31
1436.24,179.31
1439.66,179.31
1443.08,151.724
1446.49,151.724
1449.91,151.724
1453.33,151.724
1456.74,151.724
1460.16,151.724
1463.58,151.724
1467,179.31
1470.41,179.31
1473.83,179.31
1477.25,179.31
1480.67,179.31
1484.08,179.31
1487.5,179.31
1490.92,179.31
1494.33,179.31
1497.75,179.31
1501.17,179.31
1504.59,179.31
1508,179.31
1511.42,179.31
1514.84,179.31
1518.26,179.31
1521.67,179.31
1525.09,179.31
1528.51,179.31
1531.92,179.31
1535.34,179.31
1538.76,206.897
1542.18,206.897
1545.59,206.897
1549.01,206.897
1552.43,206.897
1555.85,206.897
1559.26,206.897
1562.68,234.483
1566.1,234.483
1569.51,234.483
1572.93,234.483
1576.35,262.069
1579.77,289.655
1583.18,289.655
1586.6,289.655
1590.02,289.655
1593.44,317.241
1596.85,317.241
1600.27,344.828
1603.69,344.828
1607.1,344.828
1610.52,372.414
1613.94,372.414
1617.36,400
1620.77,400
1624.19,427.586
1627.61,427.586
1631.03,427.586
1634.44,400
1637.86,400
1641.28,400
1644.69,372.414
1648.11,344.828
1651.53,344.828
1654.95,344.828
1658.36,344.828
1661.78,317.241
1665.2,317.241
1668.62,317.241
1672.03,289.655
1675.45,262.069
1678.87,234.483
1682.28,234.483
1685.7,206.897
1689.12,206.897
1692.54,206.897
1695.95,206.897
1699.37,179.31
1702.79,151.724
1706.21,151.724
1709.62,151.724
1713.04,151.724
1716.46,151.724
1719.87,151.724
1723.29,151.724
1726.71,179.31
1730.13,179.31
1733.54,179.31
1736.96,179.31
1740.38,179.31
1743.79,179.31
1747.21,179.31
1750.63,179.31
1754.05,179.31
1757.46,179.31
1760.88,179.31
1764.3,179.31
1767.72,179.31
1771.13,179.31
1774.55,179.31
1777.97,179.31
1781.38,179.31
1784.8,179.31
1788.22,179.31
1791.64,179.31
1795.05,179.31
1798.47,179.31
1801.89,179.31
1805.31,179.31
1808.72,179.31
1812.14,179.31
1815.56,179.31
1818.97,179.31
1822.39,179.31
1825.81,179.31
1829.23,179.31
1832.64,179.31
1836.06,179.31
1839.48,179.31
1842.9,179.31
1846.31,179.31
1849.73,206.897
1853.15,206.897
1856.56,206.897
1859.98,206.897
1863.4,206.897
1866.82,206.897
1870.23,206.897
1873.65,206.897
1877.07,206.897
1880.49,206.897
1883.9,206.897
1887.32,206.897
1890.74,206.897
1894.15,206.897
1897.57,206.897
1900.99,206.897
1904.41,206.897
1907.82,206.897
1911.24,206.897
1914.66,179.31
1918.08,179.31
1921.49,179.31
1924.91,179.31
1928.33,179.31
1931.74,179.31
1935.16,179.31
1938.58,179.31
1942,179.31
1945.41,179.31
1948.83,179.31
1952.25,179.31
1955.67,179.31
1959.08,179.31
1962.5,179.31
1965.92,179.31
1969.33,179.31
1972.75,151.724
1976.17,151.724
1979.59,151.724
1983,151.724
1986.42,151.724
1989.84,151.724
1993.26,151.724
1996.67,179.31
2000.09,179.31
2003.51,179.31
2006.92,179.31
2010.34,179.31
2013.76,179.31
2017.18,179.31
2020.59,179.31
2024.01,179.31
2027.43,179.31
2030.85,206.897
2034.26,206.897
2037.68,206.897
2041.1,206.897
2044.51,206.897
2047.93,206.897
2051.35,206.897
2054.77,206.897
2058.18,206.897
2061.6,179.31
2065.02,206.897
2068.44,206.897
2071.85,206.897
2075.27,206.897
2078.69,206.897
2082.1,206.897
2085.52,206.897
2088.94,206.897
2092.36,206.897
2095.77,206.897
2099.19,206.897
2102.61,206.897
2106.03,179.31
2109.44,179.31
2112.86,179.31
2116.28,179.31
2119.69,179.31
2123.11,206.897
2126.53,206.897
2129.95,206.897
2133.36,206.897
2136.78,206.897
2140.2,206.897
2143.62,206.897
2147.03,206.897
2150.45,206.897
2153.87,206.897
2157.28,206.897
2160.7,206.897
2164.12,206.897
2167.54,206.897
2170.95,206.897
2174.37,206.897
2177.79,206.897
2181.21,206.897
2184.62,206.897
2188.04,206.897
2191.46,206.897
2194.87,206.897
2198.29,206.897
2201.71,206.897
2205.13,206.897
2208.54,179.31
2211.96,179.31
2215.38,179.31
2218.79,179.31
2222.21,179.31
2225.63,179.31
2229.05,179.31
2232.46,179.31
2235.88,179.31
2239.3,179.31
2242.72,179.31
2246.13,179.31
2249.55,179.31
2252.97,179.31
2256.38,179.31
2259.8,179.31
2263.22,179.31
2266.64,179.31
2270.05,179.31
2273.47,179.31
2276.89,179.31
2280.31,179.31
2283.72,206.897
