,GP550R
RamanShit,Intensity
255.636,88.5827
258.696,253.937
261.755,364.173
264.815,501.969
267.874,722.441
270.934,970.472
273.994,1190.94
277.053,1466.54
280.113,1494.09
283.172,1218.5
286.232,1108.27
289.291,832.677
292.351,612.205
295.411,419.291
298.47,281.496
301.53,198.819
304.589,116.142
307.649,88.5827
310.709,88.5827
313.768,88.5827
316.828,88.5827
319.887,88.5827
322.947,61.0236
326.006,61.0236
329.066,33.4646
332.126,33.4646
335.185,33.4646
338.245,33.4646
341.304,33.4646
344.364,61.0236
347.424,88.5827
350.483,116.142
353.543,171.26
356.602,171.26
359.662,198.819
362.721,198.819
365.781,198.819
368.841,198.819
371.9,198.819
374.96,198.819
378.019,198.819
381.079,171.26
384.138,198.819
387.198,226.378
390.258,281.496
393.317,309.055
396.377,364.173
399.436,364.173
402.496,391.732
405.556,364.173
408.615,336.614
411.675,336.614
414.734,336.614
417.794,253.937
420.853,143.701
423.913,61.0236
426.973,33.4646
430.032,33.4646
433.092,33.4646
436.151,61.0236
439.211,116.142
442.271,143.701
445.33,226.378
448.39,364.173
451.449,529.528
454.509,667.323
457.568,750
460.628,970.472
463.688,1273.62
466.747,1438.98
469.807,1604.33
472.866,1438.98
475.926,1383.86
478.986,1163.39
482.045,860.236
485.105,694.882
488.164,584.646
491.224,667.323
494.283,694.882
497.343,887.795
500.403,1466.54
503.462,2513.78
506.522,3753.94
509.581,5462.6
512.641,5600.39
515.7,4277.56
518.76,3616.14
521.82,2238.19
524.879,1301.18
527.939,887.795
530.998,612.205
534.058,474.409
537.118,419.291
540.177,281.496
543.237,143.701
546.296,116.142
549.356,116.142
552.415,116.142
555.475,88.5827
558.535,88.5827
561.594,88.5827
564.654,88.5827
567.713,88.5827
570.773,61.0236
573.833,61.0236
576.892,61.0236
579.952,61.0236
583.011,61.0236
586.071,61.0236
589.13,61.0236
592.19,61.0236
595.25,61.0236
598.309,88.5827
601.369,88.5827
604.428,88.5827
607.488,116.142
610.548,143.701
613.607,171.26
616.667,171.26
619.726,171.26
