,GP550R
RamanShit,Intensity
260.084,160
263.277,320
266.471,320
269.664,320
272.857,320
276.05,320
279.244,320
282.437,320
285.63,320
288.824,480
292.017,480
295.21,480
298.403,480
301.597,640
304.79,480
307.983,480
311.176,480
314.37,320
317.563,320
320.756,320
323.95,320
327.143,320
330.336,320
333.529,320
336.723,160
339.916,160
343.109,160
346.303,160
349.496,160
352.689,160
355.882,160
359.076,160
362.269,160
365.462,160
368.655,160
371.849,160
375.042,320
378.235,320
381.429,320
384.622,640
387.815,800
391.008,800
394.202,800
397.395,960
400.588,960
403.782,1120
406.975,1440
410.168,1760
413.361,2240
416.555,3040
419.748,3520
422.941,3680
426.134,3680
429.328,3520
432.521,3520
435.714,3360
438.908,3040
442.101,2880
445.294,2720
448.487,2400
451.681,2080
454.874,1920
458.067,1600
461.261,1280
464.454,960
467.647,800
470.84,800
474.034,480
477.227,320
480.42,320
483.613,160
486.807,160
490,160
493.193,160
496.387,160
499.58,160
502.773,160
505.966,320
509.16,320
512.353,320
515.546,320
518.739,480
521.933,480
525.126,480
528.319,480
531.513,640
534.706,640
537.899,640
541.092,800
544.286,800
547.479,800
550.672,800
553.866,960
557.059,1120
560.252,1280
563.445,1280
566.639,1760
569.832,2240
573.025,2720
576.218,2880
579.412,3040
582.605,3040
585.798,3040
588.992,2880
592.185,2880
595.378,2560
598.571,2080
601.765,1920
604.958,1920
608.151,1920
611.345,1600
614.538,1440
617.731,1120
620.924,800
624.118,480
627.311,320
630.504,320
633.697,160
636.891,160
640.084,160
643.277,160
646.471,160
649.664,160
652.857,160
656.05,160
659.244,160
662.437,160
665.63,320
668.824,320
672.017,320
675.21,320
678.403,320
681.597,320
684.79,320
687.983,320
691.176,320
694.37,320
697.563,320
700.756,320
703.95,320
707.143,320
710.336,320
713.529,320
716.723,320
719.916,320
723.109,320
726.303,320
729.496,320
732.689,160
735.882,160
739.076,160
742.269,320
745.462,320
748.655,320
751.849,320
755.042,480
758.235,480
761.429,480
764.622,320
767.815,320
771.008,320
774.202,320
777.395,320
780.588,320
783.782,320
786.975,320
790.168,160
793.361,160
796.555,160
799.748,160
802.941,160
806.134,320
809.328,480
812.521,480
815.714,480
818.908,480
822.101,480
825.294,480
828.487,480
831.681,480
834.874,480
838.067,640
841.261,800
844.454,960
847.647,960
850.84,1120
854.034,1120
857.227,1120
860.42,1120
863.613,1120
866.807,960
870,960
873.193,960
876.387,960
879.58,800
882.773,800
885.966,480
889.16,480
892.353,320
895.546,320
898.739,160
901.933,160
905.126,480
908.319,640
911.513,800
914.706,1120
917.899,1280
921.092,1280
924.286,1600
927.479,1760
930.672,2240
933.866,3040
937.059,4000
940.252,5120
943.445,7360
946.639,10880
949.832,12960
953.025,13120
956.218,22720
959.412,25600
962.605,13120
965.798,12960
968.992,9280
972.185,5600
975.378,3520
978.571,1120
981.765,800
984.958,640
988.151,480
991.345,480
994.538,480
997.731,640
1000.92,800
1004.12,960
1007.31,960
1010.5,960
1013.7,960
1016.89,1120
1020.08,1280
1023.28,1440
1026.47,1760
1029.66,1920
1032.86,2080
1036.05,2080
1039.24,2080
1042.44,2080
1045.63,2080
1048.82,2240
1052.02,2240
1055.21,2400
1058.4,2560
1061.6,3040
1064.79,3360
1067.98,3520
1071.18,4000
1074.37,3360
1077.56,3040
1080.76,2560
1083.95,2080
1087.14,1600
1090.34,1280
