,GP550R
RamanShit,Intensity
248.096,8094.2
251.242,11239.1
254.387,11036.2
257.533,8905.8
260.679,8297.1
263.825,7586.96
266.97,7282.61
270.116,6876.81
273.262,6166.67
276.407,5253.62
279.553,3934.78
282.699,2920.29
285.844,2108.7
288.99,1601.45
292.136,1398.55
295.281,1297.1
298.427,1094.2
301.573,1195.65
304.719,1297.1
307.864,1601.45
311.01,2007.25
314.156,2210.14
317.301,2615.94
320.447,2818.84
323.593,3021.74
326.738,3326.09
329.884,3528.99
333.03,3630.43
336.175,3731.88
339.321,4239.13
342.467,4543.48
345.613,5152.17
348.758,6268.12
351.904,7079.71
355.05,8195.65
358.195,12253.6
361.341,15297.1
364.487,15601.4
367.632,15702.9
370.778,23717.4
373.924,21587
377.07,15500
380.215,13166.7
383.361,10731.9
386.507,9514.49
389.652,7992.75
392.798,7384.06
395.944,7282.61
399.089,7181.16
402.235,7181.16
405.381,7181.16
408.526,6369.57
411.672,5050.72
414.818,3833.33
417.964,2818.84
421.109,2311.59
424.255,1500
427.401,992.754
430.546,789.855
433.692,586.957
436.838,384.058
439.983,384.058
443.129,384.058
446.275,181.159
449.421,181.159
452.566,181.159
455.712,181.159
458.858,181.159
462.003,282.609
465.149,384.058
468.295,384.058
471.44,485.507
474.586,586.957
477.732,688.406
480.877,891.304
484.023,1094.2
487.169,1297.1
490.315,1500
493.46,1804.35
496.606,2108.7
499.752,2311.59
502.897,2311.59
506.043,2413.04
509.189,2413.04
512.334,2413.04
515.48,2108.7
518.626,1804.35
521.772,1601.45
524.917,1500
528.063,1500
531.209,1297.1
534.354,1195.65
537.5,1094.2
540.646,992.754
543.791,789.855
546.937,688.406
550.083,586.957
553.228,485.507
556.374,384.058
559.52,384.058
562.666,181.159
565.811,181.159
568.957,181.159
572.103,181.159
575.248,181.159
578.394,181.159
581.54,181.159
584.685,181.159
587.831,181.159
590.977,181.159
594.123,181.159
597.268,181.159
600.414,181.159
603.56,282.609
606.705,384.058
609.851,384.058
612.997,384.058
616.142,688.406
619.288,891.304
622.434,1195.65
625.579,1702.9
628.725,2007.25
631.871,2108.7
635.017,2108.7
638.162,2108.7
641.308,2108.7
644.454,1905.8
647.599,1601.45
650.745,1398.55
653.891,1297.1
657.036,992.754
660.182,789.855
663.328,586.957
666.474,586.957
669.619,586.957
672.765,485.507
675.911,586.957
679.056,789.855
682.202,1398.55
685.348,1905.8
688.493,2311.59
691.639,3731.88
694.785,5557.97
697.93,7485.51
701.076,8398.55
704.222,8500
707.368,9615.94
710.513,8297.1
713.659,7384.06
716.805,6471.01
719.95,5659.42
723.096,4137.68
726.242,3528.99
729.387,3427.54
732.533,3326.09
735.679,3224.64
738.825,3326.09
741.97,3427.54
745.116,3528.99
748.262,3021.74
751.407,2717.39
754.553,2210.14
757.699,1905.8
760.844,1601.45
763.99,1094.2
767.136,789.855
770.281,688.406
773.427,688.406
776.573,586.957
779.719,384.058
782.864,282.609
786.01,181.159
789.156,181.159
792.301,181.159
795.447,79.7101
798.593,79.7101
801.738,79.7101
804.884,79.7101
808.03,79.7101
811.175,79.7101
814.321,79.7101
817.467,79.7101
820.613,79.7101
823.758,181.159
826.904,181.159
830.05,181.159
833.195,181.159
836.341,181.159
839.487,181.159
842.632,181.159
845.778,181.159
848.924,181.159
852.07,181.159
855.215,282.609
858.361,282.609
861.507,181.159
864.652,181.159
867.798,181.159
870.944,181.159
874.089,181.159
877.235,181.159
880.381,181.159
883.526,181.159
886.672,79.7101
889.818,79.7101
892.964,79.7101
896.109,79.7101
899.255,79.7101
902.401,79.7101
905.546,79.7101
908.692,79.7101
911.838,181.159
914.983,181.159
918.129,181.159
921.275,181.159
924.421,282.609
927.566,384.058
930.712,384.058
933.858,384.058
937.003,586.957
940.149,688.406
943.295,688.406
946.44,891.304
949.586,992.754
952.732,1094.2
955.877,1094.2
959.023,1195.65
962.169,1398.55
965.315,1398.55
968.46,1398.55
971.606,1398.55
974.752,1398.55
977.897,1398.55
981.043,1398.55
