,GP550R
RamanShit,Intensity
250.587,18700.4
253.775,16967.5
256.963,15884.5
260.151,15451.3
263.339,12635.4
266.527,11769
269.715,11119.1
272.903,10252.7
276.091,8086.64
279.279,6137.18
282.466,4837.55
285.654,3321.3
288.842,2454.87
292.03,1805.05
295.218,1805.05
298.406,1805.05
301.594,1805.05
304.782,1805.05
307.97,2671.48
311.158,3321.3
314.346,3321.3
317.534,3537.91
320.721,3754.51
323.909,3971.12
327.097,4187.73
330.285,4620.94
333.473,5054.15
336.661,5270.76
339.849,5920.58
343.037,7220.22
346.225,8303.25
349.413,9169.68
352.601,11335.7
355.789,13068.6
358.977,17833.9
362.164,25198.6
365.352,28014.4
368.54,29747.3
371.728,41877.3
374.916,41010.8
378.104,27797.8
381.292,23465.7
384.48,16750.9
387.668,14368.2
390.856,13718.4
394.044,13068.6
397.232,12852
400.419,12635.4
403.607,12418.8
406.795,11335.7
409.983,10036.1
413.171,8736.46
416.359,6137.18
419.547,4620.94
422.735,3537.91
425.923,2021.66
429.111,1371.84
432.299,1155.23
435.487,938.628
438.674,722.022
441.862,722.022
445.05,505.415
448.238,505.415
451.426,505.415
454.614,505.415
457.802,505.415
460.99,505.415
464.178,505.415
467.366,505.415
470.554,505.415
473.742,505.415
476.93,505.415
480.117,938.628
483.305,1371.84
486.493,1588.45
489.681,2021.66
492.869,2454.87
496.057,3104.69
499.245,3321.3
502.433,3537.91
505.621,3754.51
508.809,4187.73
511.997,3754.51
515.185,3537.91
518.372,3321.3
521.56,3104.69
524.748,2671.48
527.936,2238.27
531.124,2021.66
534.312,2021.66
537.5,1588.45
540.688,1371.84
543.876,1371.84
547.064,938.628
550.252,722.022
553.44,722.022
556.628,722.022
559.815,505.415
563.003,505.415
566.191,505.415
569.379,505.415
572.567,505.415
575.755,505.415
578.943,505.415
582.131,505.415
585.319,505.415
588.507,722.022
591.695,722.022
594.883,722.022
598.07,722.022
601.258,722.022
604.446,722.022
607.634,722.022
610.822,1155.23
614.01,1371.84
617.198,1805.05
620.386,2454.87
623.574,3537.91
626.762,4620.94
629.95,4620.94
633.138,4620.94
636.326,5487.36
639.513,4620.94
642.701,4620.94
645.889,4404.33
649.077,3754.51
652.265,3537.91
655.453,2888.09
658.641,2671.48
661.829,2238.27
665.017,1588.45
668.205,1588.45
671.393,1588.45
674.581,1588.45
677.768,1805.05
680.956,2238.27
684.144,2671.48
687.332,4187.73
690.52,5487.36
693.708,8519.86
696.896,11335.7
700.084,11335.7
703.272,15451.3
706.46,17400.7
709.648,11335.7
712.836,11119.1
716.023,9819.49
719.211,7436.82
722.399,5920.58
725.587,5270.76
728.775,4620.94
731.963,4620.94
735.151,4620.94
738.339,4620.94
741.527,4620.94
744.715,4837.55
747.903,4404.33
751.091,3971.12
754.279,3321.3
757.466,3104.69
760.654,2238.27
763.842,1371.84
767.03,1155.23
770.218,1155.23
773.406,938.628
776.594,722.022
779.782,505.415
782.97,505.415
786.158,505.415
789.346,505.415
792.534,505.415
795.721,505.415
798.909,505.415
802.097,505.415
805.285,505.415
808.473,505.415
811.661,505.415
814.849,505.415
818.037,505.415
821.225,505.415
824.413,505.415
827.601,505.415
830.789,505.415
833.977,505.415
837.164,505.415
840.352,505.415
843.54,505.415
846.728,505.415
849.916,505.415
853.104,505.415
856.292,505.415
859.48,505.415
862.668,505.415
865.856,505.415
869.044,505.415
872.232,505.415
875.419,505.415
878.607,505.415
881.795,505.415
884.983,505.415
888.171,505.415
891.359,505.415
894.547,505.415
897.735,505.415
900.923,505.415
904.111,505.415
907.299,505.415
910.487,505.415
913.674,505.415
916.862,505.415
920.05,505.415
923.238,505.415
926.426,505.415
929.614,722.022
932.802,722.022
935.99,938.628
939.178,1155.23
942.366,1155.23
945.554,1371.84
948.742,1588.45
951.93,1805.05
955.117,2021.66
958.305,2454.87
961.493,2671.48
964.681,2671.48
967.869,2671.48
971.057,2671.48
974.245,2671.48
977.433,2671.48
980.621,2671.48
983.809,2671.48
986.997,2671.48
990.185,2671.48
993.372,2671.48
996.56,2671.48
999.748,2454.87
1002.94,2454.87
1006.12,2454.87
1009.31,2454.87
1012.5,2454.87
1015.69,2454.87
1018.88,2454.87
1022.06,2454.87
1025.25,2454.87
1028.44,2454.87
1031.63,2454.87
1034.82,2454.87
1038,2454.87
1041.19,2888.09
1044.38,3321.3
1047.57,3537.91
1050.76,3754.51
1053.94,4187.73
1057.13,4404.33
1060.32,4404.33
1063.51,4404.33
1066.69,4404.33
1069.88,4404.33
1073.07,4620.94
1076.26,4837.55
1079.45,5054.15
1082.63,5054.15
1085.82,5054.15
1089.01,5054.15
