,GP550R
RamanShit,Intensity
255.636,156.863
258.696,313.725
261.755,627.451
264.815,941.176
267.874,1254.9
270.934,1490.2
273.994,1333.33
277.053,1176.47
280.113,862.745
283.172,392.157
286.232,235.294
289.291,235.294
292.351,235.294
295.411,313.725
298.47,392.157
301.53,627.451
304.589,1019.61
307.649,1725.49
310.709,2431.37
313.768,3215.69
316.828,3294.12
319.887,2588.24
322.947,2274.51
326.006,1490.2
329.066,862.745
332.126,470.588
335.185,235.294
338.245,235.294
341.304,235.294
344.364,470.588
347.424,862.745
350.483,1098.04
353.543,1568.63
356.602,1254.9
359.662,1333.33
362.721,1333.33
365.781,1411.76
368.841,1725.49
371.9,1960.78
374.96,2431.37
378.019,1882.35
381.079,1490.2
384.138,784.314
387.198,470.588
390.258,392.157
393.317,392.157
396.377,470.588
399.436,705.882
402.496,1333.33
405.556,1882.35
408.615,2196.08
411.675,2509.8
414.734,2196.08
417.794,1725.49
420.853,941.176
423.913,470.588
426.973,235.294
430.032,156.863
433.092,78.4314
436.151,78.4314
439.211,78.4314
442.271,78.4314
445.33,78.4314
448.39,78.4314
451.449,78.4314
454.509,156.863
457.568,235.294
460.628,313.725
463.688,313.725
466.747,235.294
469.807,235.294
472.866,235.294
475.926,235.294
478.986,235.294
482.045,235.294
485.105,235.294
488.164,235.294
491.224,313.725
494.283,470.588
497.343,627.451
500.403,705.882
503.462,705.882
506.522,705.882
509.581,705.882
512.641,705.882
515.7,705.882
518.76,705.882
521.82,784.314
524.879,784.314
527.939,705.882
530.998,705.882
534.058,627.451
537.118,627.451
540.177,392.157
543.237,156.863
546.296,156.863
549.356,156.863
552.415,156.863
555.475,156.863
558.535,156.863
561.594,156.863
564.654,156.863
567.713,78.4314
570.773,78.4314
573.833,78.4314
576.892,78.4314
579.952,78.4314
583.011,78.4314
586.071,78.4314
589.13,78.4314
592.19,78.4314
595.25,78.4314
598.309,156.863
601.369,156.863
604.428,156.863
607.488,235.294
610.548,235.294
613.607,235.294
616.667,313.725
619.726,470.588
622.786,549.02
625.845,627.451
628.905,862.745
631.965,1176.47
635.024,1725.49
638.084,2745.1
641.143,4941.18
644.203,8705.88
647.262,10823.5
650.322,13568.6
653.382,10823.5
656.441,8627.45
659.501,4941.18
662.56,2666.67
665.62,1647.06
668.68,1098.04
671.739,862.745
674.799,784.314
677.858,862.745
680.918,941.176
683.977,941.176
687.037,941.176
690.097,862.745
693.156,784.314
696.216,470.588
699.275,313.725
702.335,313.725
705.395,235.294
708.454,235.294
711.514,156.863
714.573,156.863
717.633,156.863
720.692,78.4314
723.752,78.4314
726.812,78.4314
729.871,78.4314
732.931,78.4314
735.99,156.863
739.05,156.863
742.11,156.863
745.169,156.863
748.229,156.863
751.288,78.4314
754.348,78.4314
757.407,78.4314
760.467,78.4314
763.527,78.4314
766.586,78.4314
769.646,78.4314
772.705,78.4314
775.765,78.4314
778.824,78.4314
781.884,78.4314
784.944,78.4314
788.003,78.4314
791.063,78.4314
794.122,78.4314
797.182,78.4314
800.242,156.863
803.301,156.863
806.361,156.863
809.42,235.294
812.48,235.294
815.539,235.294
818.599,235.294
821.659,235.294
824.718,235.294
827.778,235.294
830.837,235.294
833.897,313.725
836.957,235.294
840.016,235.294
843.076,235.294
846.135,156.863
849.195,156.863
852.254,156.863
855.314,156.863
858.374,156.863
861.433,156.863
864.493,156.863
867.552,156.863
870.612,156.863
873.671,156.863
876.731,78.4314
879.791,78.4314
882.85,78.4314
885.91,78.4314
888.969,78.4314
892.029,156.863
895.089,235.294
898.148,313.725
901.208,392.157
904.267,470.588
907.327,549.02
910.386,705.882
913.446,470.588
916.506,392.157
919.565,235.294
922.625,156.863
925.684,156.863
928.744,156.863
931.804,156.863
934.863,156.863
937.923,156.863
940.982,156.863
944.042,235.294
947.101,313.725
950.161,392.157
953.221,470.588
956.28,784.314
959.34,1176.47
962.399,1647.06
965.459,2431.37
968.519,3215.69
971.578,4078.43
974.638,4156.86
977.697,3529.41
980.757,3294.12
983.816,2745.1
986.876,2431.37
989.936,2431.37
992.995,2509.8
996.055,2509.8
999.114,2588.24
1002.17,2588.24
1005.23,3058.82
1008.29,2901.96
1011.35,2588.24
1014.41,2980.39
1017.47,3294.12
1020.53,4156.86
1023.59,4784.31
1026.65,5725.49
1029.71,4627.45
1032.77,3843.14
1035.83,2352.94
1038.89,1490.2
1041.95,941.176
1045.01,627.451
1048.07,392.157
1051.13,313.725
1054.19,156.863
1057.25,156.863
1060.31,156.863
1063.37,156.863
1066.43,156.863
1069.48,156.863
1072.54,156.863
1075.6,156.863
1078.66,156.863
1081.72,156.863
1084.78,235.294
1087.84,235.294
1090.9,156.863
1093.96,156.863
1097.02,156.863
1100.08,156.863
1103.14,78.4314
1106.2,78.4314
1109.26,78.4314
1112.32,78.4314
1115.38,156.863
1118.44,156.863
1121.5,156.863
1124.56,156.863
1127.62,156.863
1130.68,156.863
1133.74,156.863
1136.8,156.863
1139.86,156.863
1142.91,156.863
1145.97,235.294
1149.03,235.294
1152.09,156.863
1155.15,156.863
1158.21,156.863
1161.27,156.863
1164.33,156.863
1167.39,235.294
1170.45,235.294
1173.51,235.294
1176.57,235.294
1179.63,235.294
1182.69,235.294
1185.75,313.725
1188.81,313.725
1191.87,235.294
1194.93,235.294
1197.99,235.294
1201.05,235.294
1204.11,235.294
1207.17,235.294
