,GP550R
RamanShit,Intensity
267.883,1266.45
271.263,1266.45
274.644,1726.97
278.025,1726.97
281.406,1957.24
284.786,2417.76
288.167,2878.29
291.548,3108.55
294.929,4490.13
298.31,4720.39
301.69,2878.29
305.071,2878.29
308.452,2648.03
311.833,2417.76
315.214,2417.76
318.594,2417.76
321.975,2417.76
325.356,2187.5
328.737,2187.5
332.117,2187.5
335.498,2187.5
338.879,1726.97
342.26,1726.97
345.641,1726.97
349.021,1726.97
352.402,1726.97
355.783,1726.97
359.164,1726.97
362.544,1726.97
365.925,1726.97
369.306,1726.97
372.687,1726.97
376.068,1726.97
379.448,1726.97
382.829,1496.71
386.21,1496.71
389.591,1496.71
392.972,1496.71
396.352,1496.71
399.733,1957.24
403.114,2187.5
406.495,2187.5
409.875,2187.5
413.256,2417.76
416.637,2417.76
420.018,2648.03
423.399,2648.03
426.779,2878.29
430.16,2878.29
433.541,2648.03
436.922,2417.76
440.302,2187.5
443.683,1957.24
447.064,1726.97
450.445,1726.97
453.826,1496.71
457.206,1496.71
460.587,1266.45
463.968,1266.45
467.349,1266.45
470.73,1266.45
474.11,1266.45
477.491,1266.45
480.872,1266.45
484.253,1266.45
487.633,1266.45
491.014,1266.45
494.395,1266.45
497.776,805.921
501.157,1266.45
504.537,1266.45
507.918,1266.45
511.299,1266.45
514.68,1266.45
518.06,1266.45
521.441,1266.45
524.822,1266.45
528.203,1726.97
531.584,1726.97
534.964,1726.97
538.345,1957.24
541.726,1726.97
545.107,1726.97
548.488,1726.97
551.868,1726.97
555.249,1726.97
558.63,1726.97
562.011,1957.24
565.391,2187.5
568.772,2648.03
572.153,3338.82
575.534,3799.34
578.915,4029.61
582.295,4259.87
585.676,4259.87
589.057,4259.87
592.438,4259.87
595.819,4259.87
599.199,4490.13
602.58,4950.66
605.961,4259.87
609.342,3799.34
612.722,2878.29
616.103,2648.03
619.484,2187.5
622.865,1957.24
626.246,1726.97
629.626,1726.97
633.007,1726.97
636.388,1726.97
639.769,1726.97
643.149,1266.45
646.53,1266.45
649.911,1266.45
653.292,1266.45
656.673,1266.45
660.053,1266.45
663.434,1266.45
666.815,1266.45
670.196,1266.45
673.577,1266.45
676.957,1266.45
680.338,1266.45
683.719,1266.45
687.1,1266.45
690.48,1266.45
693.861,1266.45
697.242,1266.45
700.623,575.658
704.004,1266.45
707.384,1266.45
710.765,1266.45
714.146,1266.45
717.527,1266.45
720.907,1266.45
724.288,1266.45
727.669,1266.45
731.05,1266.45
734.431,1266.45
737.811,1266.45
741.192,1266.45
744.573,1266.45
747.954,1266.45
751.335,1266.45
754.715,1266.45
758.096,1266.45
761.477,1266.45
764.858,1266.45
768.238,1266.45
771.619,1266.45
775,1266.45
778.381,1266.45
781.762,1266.45
785.142,1266.45
788.523,1266.45
791.904,1957.24
795.285,2417.76
798.665,3108.55
802.046,4259.87
805.427,7713.82
808.808,10707.2
812.189,13700.7
815.569,16463.8
818.95,33273
822.331,37417.8
825.712,25904.6
829.093,25213.8
832.473,26134.9
835.854,26365.1
839.235,26595.4
842.616,26825.7
845.996,27055.9
849.377,61365.1
852.758,56069.1
856.139,27055.9
859.52,21069.1
862.9,14852
866.281,12088.8
869.662,9555.92
873.043,9325.66
876.423,8634.87
879.804,7253.29
883.185,4720.39
886.566,2878.29
889.947,2417.76
893.327,1726.97
896.708,1726.97
900.089,805.921
903.47,1957.24
906.851,2187.5
910.231,2417.76
913.612,2417.76
916.993,2878.29
920.374,2187.5
923.754,2187.5
927.135,1957.24
930.516,1496.71
933.897,1957.24
937.278,2417.76
940.658,2878.29
944.039,3569.08
947.42,4720.39
950.801,6101.97
954.181,6101.97
957.562,7483.55
960.943,6101.97
964.324,5871.71
967.705,4720.39
971.085,3108.55
974.466,2417.76
977.847,2417.76
981.228,1957.24
984.609,1726.97
987.989,1726.97
991.37,1726.97
994.751,1726.97
998.132,805.921
1001.51,1266.45
1004.89,1266.45
1008.27,1266.45
1011.65,1266.45
1015.04,1266.45
1018.42,1266.45
1021.8,1266.45
1025.18,1266.45
1028.56,1266.45
1031.94,1266.45
1035.32,1266.45
1038.7,1266.45
1042.08,1266.45
1045.46,1266.45
1048.84,1266.45
1052.22,1266.45
1055.6,1266.45
1058.99,1266.45
1062.37,1266.45
1065.75,1266.45
1069.13,1266.45
1072.51,1266.45
1075.89,1266.45
1079.27,1266.45
1082.65,1266.45
1086.03,1266.45
1089.41,1266.45
1092.79,1266.45
1096.17,1266.45
1099.56,805.921
1102.94,1266.45
1106.32,1266.45
1109.7,1266.45
1113.08,1496.71
1116.46,1496.71
1119.84,1496.71
1123.22,1496.71
1126.6,1496.71
1129.98,1496.71
1133.36,1496.71
1136.74,1496.71
1140.12,1496.71
1143.51,1496.71
1146.89,1726.97
1150.27,1726.97
1153.65,1726.97
1157.03,1726.97
1160.41,1726.97
1163.79,1726.97
1167.17,1726.97
1170.55,1726.97
1173.93,1726.97
1177.31,1496.71
1180.69,1496.71
1184.07,1496.71
1187.46,1496.71
1190.84,1496.71
1194.22,1496.71
1197.6,1036.18
1200.98,1726.97
1204.36,1726.97
1207.74,1726.97
1211.12,1726.97
1214.5,1726.97
1217.88,1726.97
1221.26,1726.97
1224.64,1726.97
1228.02,1726.97
1231.41,1726.97
1234.79,1726.97
1238.17,1726.97
1241.55,1726.97
1244.93,1266.45
1248.31,1266.45
1251.69,1266.45
1255.07,1266.45
