,GP550R
RamanShit,Intensity
264.758,1363.64
267.823,3537.55
270.887,7292.49
273.952,12628.5
277.016,21126.5
280.081,21917
283.145,15790.5
286.21,13814.2
289.274,10454.5
292.339,7687.75
295.403,5316.21
298.468,3932.81
301.532,3142.29
304.597,3932.81
307.661,4328.06
310.726,5316.21
313.79,7885.38
316.855,8280.63
319.919,5711.46
322.984,4723.32
326.048,2747.04
329.113,1363.64
332.177,770.751
335.242,770.751
338.306,770.751
341.371,968.379
344.435,1758.89
347.5,3537.55
350.565,5909.09
353.629,9664.03
356.694,10059.3
359.758,6699.6
362.823,6106.72
365.887,5316.21
368.952,4920.95
372.016,5711.46
375.081,6699.6
378.145,7885.38
381.21,9664.03
384.274,7490.12
387.339,5909.09
390.403,3339.92
393.468,1956.52
396.532,1363.64
399.597,968.379
402.661,573.123
405.726,573.123
408.79,375.494
411.855,375.494
414.919,177.866
417.984,177.866
421.048,177.866
424.113,177.866
427.177,177.866
430.242,177.866
433.306,177.866
436.371,177.866
439.435,177.866
442.5,177.866
445.565,177.866
448.629,177.866
451.694,177.866
454.758,375.494
457.823,770.751
460.887,1758.89
463.952,2351.78
467.016,2549.41
470.081,2944.66
473.145,3339.92
476.21,3932.81
479.274,6501.98
482.339,12430.8
485.403,16383.4
488.468,24090.9
491.532,16383.4
494.597,15395.3
497.661,11047.4
500.726,6304.35
503.79,3932.81
506.855,2549.41
509.919,1758.89
512.984,1561.26
516.048,1166.01
519.113,968.379
522.177,770.751
525.242,770.751
528.306,770.751
531.371,770.751
534.435,770.751
537.5,573.123
540.565,573.123
543.629,573.123
546.694,573.123
549.758,573.123
552.823,573.123
555.887,573.123
558.952,573.123
562.016,770.751
565.081,770.751
568.145,770.751
571.21,770.751
574.274,770.751
577.339,770.751
580.403,770.751
583.468,770.751
586.532,770.751
589.597,968.379
592.661,968.379
595.726,968.379
598.79,1166.01
601.855,1166.01
604.919,1166.01
607.984,1166.01
611.048,1166.01
614.113,1166.01
617.177,1166.01
620.242,968.379
623.306,968.379
626.371,968.379
629.435,968.379
632.5,968.379
635.565,968.379
638.629,968.379
641.694,770.751
644.758,770.751
647.823,770.751
650.887,770.751
653.952,573.123
657.016,573.123
660.081,573.123
663.145,573.123
666.21,573.123
669.274,573.123
672.339,573.123
675.403,573.123
678.468,573.123
681.532,573.123
684.597,375.494
687.661,375.494
690.726,177.866
693.79,177.866
696.855,177.866
699.919,177.866
702.984,177.866
706.048,177.866
709.113,177.866
712.177,177.866
715.242,177.866
718.306,177.866
721.371,177.866
724.435,177.866
727.5,177.866
730.565,177.866
733.629,177.866
736.694,177.866
739.758,177.866
742.823,177.866
745.887,177.866
748.952,177.866
752.016,177.866
755.081,177.866
758.145,177.866
761.21,375.494
764.274,375.494
767.339,770.751
770.403,1166.01
773.468,1166.01
776.532,1166.01
779.597,1363.64
782.661,1363.64
785.726,1561.26
788.79,2351.78
791.855,1956.52
794.919,1363.64
797.984,968.379
801.048,573.123
804.113,375.494
807.177,375.494
810.242,375.494
813.306,375.494
816.371,375.494
819.435,375.494
822.5,375.494
825.565,573.123
828.629,573.123
831.694,573.123
834.758,573.123
837.823,573.123
840.887,573.123
843.952,770.751
847.016,770.751
850.081,770.751
853.145,770.751
856.21,770.751
859.274,770.751
862.339,770.751
865.403,770.751
868.468,770.751
871.532,770.751
874.597,968.379
877.661,968.379
880.726,770.751
883.79,770.751
886.855,770.751
889.919,770.751
892.984,770.751
896.048,968.379
899.113,968.379
902.177,968.379
905.242,968.379
908.306,968.379
911.371,770.751
914.435,770.751
917.5,770.751
920.565,770.751
923.629,770.751
926.694,770.751
929.758,770.751
932.823,573.123
935.887,573.123
938.952,573.123
942.016,573.123
945.081,573.123
948.145,375.494
951.21,375.494
954.274,375.494
957.339,375.494
960.403,375.494
963.468,375.494
966.532,375.494
969.597,177.866
972.661,177.866
975.726,177.866
978.79,177.866
981.855,177.866
984.919,177.866
987.984,177.866
991.048,177.866
994.113,177.866
997.177,177.866
1000.24,177.866
1003.31,177.866
1006.37,177.866
1009.44,177.866
1012.5,177.866
1015.56,177.866
1018.63,177.866
1021.69,177.866
1024.76,177.866
1027.82,177.866
1030.89,177.866
1033.95,177.866
1037.02,375.494
1040.08,375.494
1043.15,573.123
1046.21,770.751
1049.27,968.379
1052.34,1363.64
1055.4,1561.26
1058.47,1561.26
1061.53,1561.26
1064.6,1363.64
1067.66,968.379
1070.73,573.123
1073.79,375.494
1076.85,375.494
1079.92,177.866
1082.98,177.866
1086.05,177.866
1089.11,177.866
1092.18,177.866
1095.24,375.494
1098.31,375.494
1101.37,573.123
1104.44,573.123
1107.5,573.123
1110.56,770.751
1113.63,968.379
1116.69,1166.01
1119.76,1363.64
1122.82,2154.15
1125.89,3339.92
1128.95,4130.43
1132.02,4723.32
1135.08,4130.43
1138.15,3932.81
1141.21,3537.55
1144.27,2944.66
1147.34,2549.41
1150.4,2549.41
1153.47,2549.41
1156.53,2549.41
1159.6,2549.41
1162.66,2549.41
1165.73,2549.41
1168.79,2549.41
1171.85,2549.41
1174.92,2154.15
1177.98,1956.52
1181.05,1561.26
1184.11,1166.01
1187.18,968.379
1190.24,968.379
1193.31,770.751
1196.37,573.123
1199.44,573.123
1202.5,573.123
1205.56,573.123
1208.63,573.123
1211.69,770.751
1214.76,968.379
1217.82,1166.01
1220.89,1166.01
1223.95,1166.01
1227.02,1166.01
1230.08,1166.01
1233.15,968.379
1236.21,968.379
1239.27,770.751
1242.34,573.123
1245.4,573.123
1248.47,573.123
1251.53,375.494
1254.6,375.494
1257.66,375.494
1260.73,177.866
1263.79,177.866
1266.85,177.866
1269.92,375.494
1272.98,375.494
1276.05,573.123
1279.11,573.123
1282.18,573.123
1285.24,770.751
1288.31,573.123
1291.37,573.123
1294.44,573.123
1297.5,177.866
1300.56,177.866
1303.63,177.866
1306.69,177.866
1309.76,177.866
1312.82,177.866
1315.89,177.866
1318.95,177.866
1322.02,177.866
1325.08,375.494
1328.15,573.123
1331.21,770.751
1334.27,968.379
1337.34,1166.01
1340.4,1363.64
1343.47,1363.64
1346.53,1561.26
1349.6,1561.26
1352.66,1363.64
1355.73,1363.64
1358.79,1166.01
1361.85,968.379
1364.92,770.751
1367.98,770.751
1371.05,573.123
1374.11,573.123
