,GP550R
RamanShit,Intensity
261.817,531.496
264.871,1712.6
267.926,4074.8
270.981,8602.36
274.035,15492.1
277.09,25531.5
280.145,26515.7
283.199,19429.1
286.254,16673.2
289.309,12145.7
292.363,8405.51
295.418,5059.06
298.473,2893.7
301.527,2106.3
304.582,1712.6
307.637,2303.15
310.691,2696.85
313.746,4271.65
316.801,4468.5
319.855,2696.85
322.91,2106.3
325.965,728.346
329.019,334.646
332.074,334.646
335.129,531.496
338.183,1122.05
341.238,3287.4
344.293,7224.41
347.347,14114.2
350.402,19822.8
353.457,32618.1
356.511,34980.3
359.566,20610.2
362.621,16870.1
365.675,12736.2
368.73,10767.7
371.785,12736.2
374.839,13720.5
377.894,20216.5
380.949,21003.9
384.003,14114.2
387.058,11161.4
390.113,6240.16
393.167,3484.25
396.222,2106.3
399.277,1318.9
402.331,925.197
405.386,728.346
408.441,334.646
411.495,137.795
414.55,137.795
417.605,-59.0551
420.659,-59.0551
423.714,-59.0551
426.768,-59.0551
429.823,-59.0551
432.878,-59.0551
435.932,-59.0551
438.987,-59.0551
442.042,-59.0551
445.096,-59.0551
448.151,-59.0551
451.206,137.795
454.26,334.646
457.315,925.197
460.37,2303.15
463.424,3090.55
466.479,3287.4
469.534,4074.8
472.588,4665.35
475.643,4862.2
478.698,7224.41
481.752,14311
484.807,19232.3
487.862,28681.1
490.916,19232.3
493.971,18248
497.026,13129.9
500.08,7224.41
503.135,4271.65
506.19,2893.7
509.244,2106.3
512.299,1515.75
515.354,1122.05
518.408,925.197
521.463,925.197
524.518,728.346
527.572,531.496
530.627,334.646
533.682,334.646
536.736,137.795
539.791,137.795
542.846,-59.0551
545.9,-59.0551
548.955,-59.0551
552.01,-59.0551
555.064,-59.0551
558.119,-59.0551
561.174,-59.0551
564.228,-59.0551
567.283,-59.0551
570.338,-59.0551
573.392,-59.0551
576.447,-59.0551
579.502,-59.0551
582.556,-59.0551
585.611,-59.0551
588.666,-59.0551
591.72,137.795
594.775,137.795
597.83,137.795
600.884,137.795
603.939,137.795
606.994,137.795
610.048,137.795
613.103,-59.0551
616.158,-59.0551
619.212,-59.0551
622.267,-59.0551
625.322,-59.0551
628.376,-59.0551
631.431,-59.0551
634.486,137.795
637.54,137.795
640.595,137.795
643.65,137.795
646.704,137.795
649.759,137.795
652.814,137.795
655.868,-59.0551
658.923,-59.0551
661.977,-59.0551
665.032,137.795
668.087,137.795
671.141,334.646
674.196,334.646
677.251,531.496
680.305,531.496
683.36,334.646
686.415,334.646
689.469,137.795
692.524,-59.0551
695.579,-59.0551
698.633,-59.0551
701.688,-59.0551
704.743,-59.0551
707.797,-59.0551
710.852,-59.0551
713.907,-59.0551
716.961,-59.0551
720.016,-59.0551
723.071,-59.0551
726.125,-59.0551
729.18,-59.0551
732.235,-59.0551
735.289,137.795
738.344,137.795
741.399,137.795
744.453,334.646
747.508,334.646
750.563,334.646
753.617,334.646
756.672,334.646
759.727,334.646
762.781,531.496
