,GP550R
RamanShit,Intensity
255.636,56.8627
258.696,13.7255
261.755,13.7255
264.815,13.7255
267.874,56.8627
270.934,56.8627
273.994,100
277.053,143.137
280.113,186.275
283.172,56.8627
286.232,56.8627
289.291,56.8627
292.351,56.8627
295.411,100
298.47,56.8627
301.53,56.8627
304.589,56.8627
307.649,56.8627
310.709,56.8627
313.768,56.8627
316.828,13.7255
319.887,13.7255
322.947,13.7255
326.006,13.7255
329.066,56.8627
332.126,56.8627
335.185,56.8627
338.245,56.8627
341.304,56.8627
344.364,143.137
347.424,229.412
350.483,56.8627
353.543,56.8627
356.602,56.8627
359.662,56.8627
362.721,56.8627
365.781,56.8627
368.841,56.8627
371.9,56.8627
374.96,100
378.019,100
381.079,229.412
384.138,315.686
387.198,100
390.258,56.8627
393.317,56.8627
396.377,13.7255
399.436,13.7255
402.496,13.7255
405.556,13.7255
408.615,13.7255
411.675,13.7255
414.734,56.8627
417.794,56.8627
420.853,56.8627
423.913,56.8627
426.973,56.8627
430.032,56.8627
433.092,100
436.151,143.137
439.211,186.275
442.271,401.961
445.33,660.784
448.39,100
451.449,56.8627
454.509,56.8627
457.568,56.8627
460.628,56.8627
463.688,56.8627
466.747,56.8627
469.807,56.8627
472.866,56.8627
475.926,56.8627
478.986,56.8627
482.045,56.8627
485.105,56.8627
488.164,56.8627
491.224,56.8627
494.283,56.8627
497.343,56.8627
500.403,56.8627
503.462,56.8627
506.522,56.8627
509.581,56.8627
512.641,56.8627
515.7,56.8627
518.76,100
521.82,315.686
524.879,401.961
527.939,56.8627
530.998,56.8627
534.058,56.8627
537.118,56.8627
540.177,56.8627
543.237,56.8627
546.296,13.7255
549.356,13.7255
552.415,13.7255
555.475,13.7255
558.535,13.7255
561.594,56.8627
564.654,56.8627
567.713,56.8627
570.773,56.8627
573.833,56.8627
576.892,56.8627
579.952,56.8627
583.011,56.8627
586.071,56.8627
589.13,56.8627
592.19,100
595.25,100
598.309,272.549
601.369,56.8627
604.428,56.8627
607.488,56.8627
610.548,56.8627
613.607,56.8627
616.667,56.8627
619.726,56.8627
622.786,56.8627
625.845,56.8627
628.905,56.8627
631.965,13.7255
635.024,13.7255
638.084,13.7255
641.143,13.7255
644.203,13.7255
647.262,56.8627
650.322,56.8627
653.382,56.8627
656.441,56.8627
659.501,56.8627
662.56,56.8627
665.62,56.8627
668.68,56.8627
671.739,56.8627
674.799,56.8627
677.858,56.8627
680.918,56.8627
683.977,56.8627
687.037,100
690.097,100
693.156,100
696.216,100
699.275,100
702.335,100
705.395,56.8627
708.454,56.8627
711.514,56.8627
714.573,56.8627
717.633,56.8627
720.692,56.8627
723.752,56.8627
726.812,56.8627
729.871,56.8627
732.931,56.8627
735.99,13.7255
739.05,13.7255
742.11,13.7255
745.169,13.7255
748.229,13.7255
751.288,13.7255
754.348,13.7255
757.407,56.8627
760.467,100
763.527,100
766.586,143.137
769.646,143.137
772.705,143.137
775.765,186.275
778.824,186.275
781.884,186.275
784.944,186.275
788.003,143.137
791.063,100
794.122,56.8627
797.182,56.8627
800.242,56.8627
803.301,56.8627
806.361,56.8627
809.42,56.8627
812.48,56.8627
815.539,13.7255
818.599,13.7255
821.659,13.7255
824.718,13.7255
827.778,13.7255
830.837,13.7255
833.897,13.7255
836.957,13.7255
840.016,13.7255
843.076,13.7255
846.135,13.7255
849.195,13.7255
852.254,56.8627
855.314,56.8627
858.374,100
861.433,143.137
864.493,186.275
867.552,358.824
870.612,876.471
873.671,1782.35
876.731,2774.51
879.791,6182.35
882.85,2256.86
885.91,1437.25
888.969,488.235
892.029,272.549
895.089,229.412
898.148,143.137
901.208,143.137
904.267,143.137
907.327,143.137
910.386,186.275
913.446,272.549
916.506,401.961
919.565,272.549
922.625,272.549
925.684,229.412
928.744,229.412
931.804,229.412
934.863,229.412
937.923,272.549
940.982,315.686
944.042,315.686
947.101,315.686
950.161,574.51
953.221,315.686
956.28,186.275
959.34,100
962.399,56.8627
965.459,56.8627
968.519,13.7255
971.578,13.7255
974.638,13.7255
977.697,13.7255
980.757,13.7255
983.816,13.7255
986.876,13.7255
989.936,56.8627
992.995,56.8627
996.055,56.8627
999.114,56.8627
1002.17,56.8627
1005.23,56.8627
1008.29,56.8627
1011.35,100
1014.41,100
1017.47,100
1020.53,143.137
1023.59,100
1026.65,56.8627
1029.71,56.8627
1032.77,56.8627
1035.83,56.8627
1038.89,56.8627
1041.95,56.8627
1045.01,56.8627
1048.07,56.8627
1051.13,56.8627
1054.19,56.8627
1057.25,56.8627
1060.31,56.8627
1063.37,56.8627
1066.43,56.8627
1069.48,56.8627
1072.54,56.8627
1075.6,56.8627
1078.66,56.8627
1081.72,56.8627
1084.78,56.8627
1087.84,13.7255
1090.9,13.7255
1093.96,13.7255
1097.02,13.7255
1100.08,13.7255
1103.14,56.8627
1106.2,56.8627
1109.26,56.8627
1112.32,56.8627
1115.38,56.8627
1118.44,56.8627
1121.5,56.8627
1124.56,56.8627
1127.62,56.8627
1130.68,56.8627
1133.74,56.8627
1136.8,56.8627
1139.86,56.8627
1142.91,56.8627
1145.97,56.8627
1149.03,56.8627
1152.09,56.8627
1155.15,56.8627
1158.21,56.8627
1161.27,56.8627
1164.33,56.8627
1167.39,56.8627
1170.45,56.8627
1173.51,56.8627
1176.57,56.8627
1179.63,56.8627
1182.69,56.8627
1185.75,56.8627
1188.81,56.8627
1191.87,56.8627
1194.93,56.8627
1197.99,56.8627
1201.05,56.8627
1204.11,56.8627
1207.17,56.8627
1210.23,56.8627
1213.29,56.8627
1216.34,56.8627
1219.4,56.8627
1222.46,56.8627
1225.52,56.8627
1228.58,56.8627
1231.64,56.8627
1234.7,56.8627
1237.76,56.8627
1240.82,56.8627
1243.88,56.8627
1246.94,56.8627
1250,56.8627
1253.06,56.8627
1256.12,13.7255
1259.18,13.7255
1262.24,13.7255
1265.3,13.7255
1268.36,13.7255
1271.42,13.7255
1274.48,13.7255
1277.54,13.7255
1280.6,13.7255
1283.66,13.7255
1286.71,13.7255
1289.77,13.7255
1292.83,13.7255
1295.89,13.7255
1298.95,13.7255
1302.01,13.7255
1305.07,13.7255
1308.13,13.7255
1311.19,13.7255
1314.25,13.7255
1317.31,13.7255
1320.37,13.7255
1323.43,13.7255
1326.49,13.7255
1329.55,13.7255
1332.61,13.7255
1335.67,13.7255
1338.73,13.7255
1341.79,13.7255
1344.85,13.7255
1347.91,13.7255
1350.97,13.7255
1354.03,13.7255
1357.09,13.7255
1360.14,13.7255
1363.2,13.7255
1366.26,13.7255
1369.32,13.7255
1372.38,13.7255
1375.44,13.7255
1378.5,13.7255
1381.56,13.7255
1384.62,13.7255
1387.68,13.7255
1390.74,13.7255
1393.8,13.7255
1396.86,13.7255
1399.92,13.7255
1402.98,13.7255
1406.04,13.7255
1409.1,13.7255
1412.16,13.7255
1415.22,13.7255
1418.28,13.7255
1421.34,13.7255
1424.4,13.7255
1427.46,13.7255
1430.52,13.7255
1433.57,13.7255
1436.63,13.7255
1439.69,13.7255
1442.75,13.7255
1445.81,13.7255
1448.87,13.7255
1451.93,13.7255
1454.99,13.7255
1458.05,13.7255
1461.11,13.7255
1464.17,13.7255
1467.23,13.7255
1470.29,13.7255
1473.35,13.7255
1476.41,13.7255
1479.47,13.7255
1482.53,13.7255
1485.59,13.7255
1488.65,13.7255
1491.71,13.7255
1494.77,13.7255
1497.83,13.7255
1500.89,13.7255
1503.95,13.7255
1507,13.7255
1510.06,13.7255
1513.12,13.7255
1516.18,13.7255
1519.24,13.7255
1522.3,13.7255
1525.36,13.7255
1528.42,13.7255
1531.48,13.7255
1534.54,13.7255
1537.6,13.7255
1540.66,13.7255
1543.72,13.7255
1546.78,13.7255
1549.84,13.7255
1552.9,13.7255
1555.96,13.7255
1559.02,13.7255
1562.08,13.7255
1565.14,13.7255
1568.2,13.7255
1571.26,13.7255
1574.32,13.7255
1577.38,13.7255
1580.43,13.7255
1583.49,13.7255
1586.55,13.7255
1589.61,13.7255
1592.67,13.7255
1595.73,13.7255
1598.79,13.7255
1601.85,13.7255
1604.91,13.7255
1607.97,13.7255
1611.03,13.7255
1614.09,13.7255
1617.15,13.7255
1620.21,13.7255
1623.27,13.7255
1626.33,13.7255
1629.39,13.7255
1632.45,13.7255
1635.51,13.7255
1638.57,13.7255
1641.63,13.7255
1644.69,13.7255
1647.75,13.7255
1650.81,13.7255
1653.86,13.7255
1656.92,13.7255
1659.98,13.7255
1663.04,13.7255
1666.1,13.7255
1669.16,13.7255
1672.22,13.7255
1675.28,13.7255
1678.34,13.7255
1681.4,13.7255
1684.46,13.7255
1687.52,13.7255
1690.58,13.7255
1693.64,13.7255
